twitter_id,date,tweet
1546612746870874114,2022-07-11 21:49:48+00:00,"b'Former Michigan head coach Gary Moeller, who spent 23 years associated with the Michigan football program, passed away this morning in Lima, Ohio, the school confirmed. Moeller was 81 years old.'"
1546571140084015105,2022-07-11 19:04:28+00:00,b'RT @MatthewBerryTMR: So\xe2\x80\xa6 some personal news: This is my last week at ESPN. https://t.co/cDcVgN2BSc'
1546570865160101890,2022-07-11 19:03:22+00:00,"b'More about the Pittsburgh Steelers\xe2\x80\x99 home venue now being set to be called Acrisure Stadium for the next 15 years, ending a two-decade run as Heinz Field, via @bepryor:\n\nhttps://t.co/ga09BcY10h'"
1546556015541252096,2022-07-11 18:04:22+00:00,b'Steelers announced they now will play at Acrisure Stadium. https://t.co/cvWQIm5PH3'
1546535088699199488,2022-07-11 16:41:13+00:00,"b'More on former United States Secretary of State Condoleezza Rice joining the incoming ownership group for the Denver Broncos, via @Jeff_Legwold.\n\nhttps://t.co/jDcQVksC8X'"
1546528398922629122,2022-07-11 16:14:38+00:00,b'Big free-agent pickups: https://t.co/N3etb8GWmp'
1546510833924046849,2022-07-11 15:04:50+00:00,b'RT @Broncos: The Walton-Penner Family Ownership Group is pleased to welcome former Secretary of State @CondoleezzaRice to its ownership gro\xe2\x80\xa6'
1546155174149898241,2022-07-10 15:31:34+00:00,b'RT @astoneabcnews: LAX Airport Police confirm arrest of former Seattle Seahawks OT and free agent Duane Brown for allegedly having a concea\xe2\x80\xa6'
1546130162714034177,2022-07-10 13:52:11+00:00,"b'RT @CBSSunday: After losing a leg in an accident, Dexter, a Brittany Spaniel in Ouray, Colorado, has surprised its owner by taking adaptive\xe2\x80\xa6'"
1545452868278407171,2022-07-08 17:00:51+00:00,"b'RT @Broncos: Another step closer to Canton. \xf0\x9f\x91\x8f\n\nThe quotes that help make the @ProFootballHOF case for Randy Gradishar, Dan Reeves &amp; Mike Sh\xe2\x80\xa6'"
1545221191417348097,2022-07-08 01:40:15+00:00,"b'Washington Commanders\xe2\x80\x99 owner Daniel Snyder offered to testify via video before the House Oversight Committee in July, via @TishaESPN and @john_keim:\n\nhttps://t.co/mcYiNnh2WL'"
1545208361330802689,2022-07-08 00:49:16+00:00,"b'RT @KyleSoppeESPN: EARLY  #FantasyFootball sleepers, busts and breakouts\n\n*ducks for his RB bust pick*\n\n@MatthewBerryTMR, @Stephania_ESPN,\xe2\x80\xa6'"
1545181920623050753,2022-07-07 23:04:12+00:00,"b'More on the Raiders hiring Las Vegas attorney Sandra Douglass Morgan as their new team president, and Morgan becoming the first-ever Black woman to hold a team president title for an NFL franchise.\n\nhttps://t.co/3HkdwhLeWm'"
1545171730888540160,2022-07-07 22:23:43+00:00,"b'49ers\xe2\x80\x99 OT Trent Williams is the first offensive lineman to get a 99 rating on the Madden video game, via @nwagoner.\n\nhttps://t.co/jIdJjZBi7L'"
1545171199529033728,2022-07-07 22:21:36+00:00,"b'RT @Broncos: Congratulations to Randy Gradishar, Dan Reeves &amp; Mike Shanahan on being named semifinalists for the @ProFootballHOF Class of 2\xe2\x80\xa6'"
1545139156644503553,2022-07-07 20:14:16+00:00,b'Raiders announced they officially have hired Sandra Douglass Morgan as their new president. https://t.co/CB1ZIkIh85'
1545124342127890432,2022-07-07 19:15:24+00:00,"b'Justin Houston and the Ravens reached an agreement in principle today on a one-year deal for the four-time Pro-Bowl OLB to return to Baltimore, per sources.\n\nRavens tendered Houston after the draft, like the Chiefs did with Melvin Ingram, to try to ensure his return to Baltimore.'"
1544685692764258304,2022-07-06 14:12:22+00:00,b'RT @john_keim: Terry McLaurin is leaving Ashburn later this morning to fly to California for a workout session with CArson Wentz and a few\xe2\x80\xa6'
1544682825810599936,2022-07-06 14:00:59+00:00,"b""RT @michaeleaves: It's been 7 years since we lost #StuartScott, who died 6 months before his 50th birthday. With that in mind, I'm raising\xe2\x80\xa6"""
1544680729329762304,2022-07-06 13:52:39+00:00,b'ESPN Films\xe2\x80\x99 latest documentary \xe2\x80\x9cDickie V\xe2\x80\x9d will debut July 20 on ESPN+.\n\nhttps://t.co/h2FhxyG0Ui'
1544437791211274240,2022-07-05 21:47:18+00:00,b'RT @MarParNews: Remember this little boy found wandering alone after #HighlandPark parade? We\xe2\x80\x99ve just found out why\xe2\x80\xa6 both his parents were\xe2\x80\xa6'
1544425708482662400,2022-07-05 20:59:17+00:00,"b""Jody Allen, the de facto owner of the NFL's Seattle Seahawks and NBA's Portland Trail Blazers, said in a statement Tuesday that the teams are not currently for sale but eventually will be, via @BradyHenderson:\n\nhttps://t.co/8HkKR3ehFF"""
1544417255827640321,2022-07-05 20:25:42+00:00,b'RT @MiamiDolphins: Statement from Chris Grier on his brother Mike being named General Manager of the @SanJoseSharks. https://t.co/vv59hH7OFN'
1544373370216763397,2022-07-05 17:31:19+00:00,"b'More on Boston University researchers saying that the late NFL standout wide receiver Demaryius Thomas had the degenerative brain disease, CTE.\n\nhttps://t.co/yLtpMguwTH'"
1544343567966957570,2022-07-05 15:32:53+00:00,b'Commanders\xe2\x80\x99 WR Terry McLaurin officially signed his three-year contract extension today. https://t.co/UAc10aLnvs'
1544297833075023876,2022-07-05 12:31:09+00:00,"b'RT @FieldYates: The Sharks are making an historic hire for their GM in Mike Grier, whose older brother Chris Grier is the Dolphins\xe2\x80\x99 GM.\n\nRe\xe2\x80\xa6'"
1544289724889763841,2022-07-05 11:58:56+00:00,b'RT @ChrisNowinski1: Breaking: Beloved #NFL WR Demaryius Thomas had Stage 2 #CTE when he died at 33. I arranged his brain donation to the VA\xe2\x80\xa6'
1544111206822191106,2022-07-05 00:09:34+00:00,"b'RT @ABC7Chicago: Robert ""Bobby"" E. Crimo, a person of interest in the Highland Park, Illinois parade shooting, is in custody, police said.\xe2\x80\xa6'"
1544085162794811392,2022-07-04 22:26:05+00:00,b'RT @ChicagoBears: https://t.co/pWygWWJHF8'
1544073803499798530,2022-07-04 21:40:56+00:00,"b'Remembering late great Hank Goldberg, via @JeremySchaap. https://t.co/ezRgnj20tK'"
1544025809882648579,2022-07-04 18:30:14+00:00,"b'Hank Goldberg, who worked at ESPN as an NFL reporter and handicapping expert for 17 years, died Monday on his 82nd birthday, his family confirmed. Goldberg had been in treatment for chronic kidney disease in recent years.\n\nhttps://t.co/iGal5YGB4c'"
1544015995416764420,2022-07-04 17:51:14+00:00,"b'RT @ABC: BREAKING: At least five people were killed in a mass shooting at a Fourth of July parade in the Chicago suburb of Highland Park, I\xe2\x80\xa6'"
1544006173225091074,2022-07-04 17:12:12+00:00,b'Drew Lock for the win: https://t.co/eILJ0isXxI'
1544002374993313797,2022-07-04 16:57:07+00:00,"b""Breaking: @joeyjaws wins his record 15th \xe2\x80\x94 \xf0\x9f\x8c\xad \xf0\x9f\x8c\xad \xf0\x9f\x8c\xad \xf0\x9f\x8c\xad \xf0\x9f\x8c\xad \xf0\x9f\x8c\xad \xf0\x9f\x8c\xad \xf0\x9f\x8c\xad \xf0\x9f\x8c\xad \xf0\x9f\x8c\xad \xf0\x9f\x8c\xad \xf0\x9f\x8c\xad \xf0\x9f\x8c\xad \xf0\x9f\x8c\xad \xf0\x9f\x8c\xad \xe2\x80\x94 Nathan's Hot Dog Eating Contest.\n\nAs @JohnAndersonTV proclaimed, \xe2\x80\x9cThe man, the myth, the stomach.\xe2\x80\x9d\n\nChestnut\xe2\x80\x99s 15 titles are now eight more than Tom Brady\xe2\x80\x99s seven Super Bowl wins."""
1543999879999094784,2022-07-04 16:47:12+00:00,"b'RT @espn: Eric ""Badlands"" Booker wins his second career Chug Contest title \xf0\x9f\x99\x8c https://t.co/5jtjqzmges'"
1543990982546432000,2022-07-04 16:11:50+00:00,"b'Here he comes, hobbled and all\xe2\x80\xa6. https://t.co/vzcjCjg4LG'"
1543948523422507009,2022-07-04 13:23:07+00:00,b'Legend. https://t.co/vfvqgwS4KS'
1543598316524634112,2022-07-03 14:11:31+00:00,"b'RT @CBSSunday: Abraham and his brother, James, found their way from a Sierra Leone orphanage to their new family outside Charlotte, NC, and\xe2\x80\xa6'"
1543420260333883392,2022-07-03 02:24:00+00:00,"b'RT @ABCWorldNews: .@DavidMuir reports on the retired kindergarten teacher from Indiana, who taught for over three decades, and got a specia\xe2\x80\xa6'"
1543369121068376064,2022-07-02 23:00:47+00:00,b'The biggest UFC PPV of the summer is here.\n\nStream #UFC276 on @ESPNPlus \xe2\x9e\xa1\xef\xb8\x8f https://t.co/MgpT4XjkQu https://t.co/EtgdKCjnmJ'
