twitter_id,date,tweet
1546470709735587840,2022-07-11 12:25:23+00:00,b'\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f https://t.co/Te3y7zXbUP'
1546094843352547330,2022-07-10 11:31:50+00:00,b'Sufro de Cadiztofilia: amor incondicional e incomparable por C\xc3\xa1diz y su gente. \n\nGracias por tu coraz\xc3\xb3n y tu arte @npastorioficial \xf0\x9f\x99\x8f\n\n#SANZenVivo #SoldOut #C\xc3\xa1diz https://t.co/n6qoL0cZ1c'
1545905292910764035,2022-07-09 22:58:38+00:00,"b'Y ahora, Que carajo hago yo con todo esto que siento?'"
1545796324368547841,2022-07-09 15:45:37+00:00,"b'Conf\xc3\xado en las corazonadas, y todas me llevan a C\xc3\xa1diz. Hoy volvemos a encontrarnos \xf0\x9f\x99\x8c\n\nDa igual que te lo cuenten, que te lo griten, C\xc3\xa1diz te tat\xc3\xbaa el alma. \n\n#SANZenVivo #SoldOut #C\xc3\xa1diz https://t.co/3qYKPJ0lD9'"
1545796054800629761,2022-07-09 15:44:33+00:00,b'Gracias @_danielmartin_ \xf0\x9f\x99\x8f como en C\xc3\xa1diz en ning\xc3\xban sitio https://t.co/o3L9PzvcDz'
1545580008642691073,2022-07-09 01:26:04+00:00,"b'Yo no necesito tanto, ni necesito tan poco tampoco.'"
1545174910531772418,2022-07-07 22:36:21+00:00,"b'CA DIZ no es una ciudad, C\xc3\xa1diz es un sentimiento. Me vivo por ti.'"
1544798727352848390,2022-07-06 21:41:32+00:00,"b'Las mitades de un todo, c\xc3\xb3mplices de vida\xe2\x80\xa6Por todxs los hermanos en general, y el m\xc3\xado en particular, Jes\xc3\xbas \xf0\x9f\x99\x8f @tutypleny \n#LosHermanosTambi\xc3\xa9nCuran @juegaterapia https://t.co/XEb09Vwu9y'"
1544080340842602497,2022-07-04 22:06:55+00:00,"b'Son tan fuertes tus miradas, \nelegantes y estudiadas.'"
1543946180387815427,2022-07-04 13:13:49+00:00,b'Long live freedom \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #Happy4thofJuly'
1542849402112540672,2022-07-01 12:35:36+00:00,b'FUEN GI RO LA se respira distinto \xf0\x9f\x8d\xaf'
1542260994847772672,2022-06-29 21:37:29+00:00,b'Te pienso dar de una todos aquellos besos que te merec\xc3\xadas.'
1541719975437680643,2022-06-28 09:47:40+00:00,"b'A M O R se escribe en may\xc3\xbasculas, con todos los colores y se subraya con libertad.\n#OrgulloLGTBI #Pride2022 #PrideMonth'"
1541103162605592579,2022-06-26 16:56:40+00:00,b'Y a veces del viento https://t.co/yFSzlbEls0'
1540842301857177600,2022-06-25 23:40:06+00:00,b'I Told you!!!!'
1540652839940366336,2022-06-25 11:07:15+00:00,b'ZA RA GO ZA y mas nada. Tengo un presentimiento fuerte. \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa7\xa8'
1540301214398685186,2022-06-24 11:50:01+00:00,"b'Familia, fams\xe2\x80\xa6Hoy es nuestro d\xc3\xada para cantarle al mundo cu\xc3\xa1nto nos queremos \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\n#D\xc3\xadaDelFamSanzero'"
