twitter_id,date,tweet
1546623779555536896,2022-07-11 22:33:38+00:00,b'@DayDaVonne_ Thank you for what you do. What you speak. How you speak up. It\xe2\x80\x99s appreciated.'
1545877683568971776,2022-07-09 21:08:55+00:00,b'this my everything cover on love island. ok I miss 2014'
1545129280090189824,2022-07-07 19:35:02+00:00,b'#NOPEMOVIE https://t.co/gW7qkW2DgF'
1544166295532232704,2022-07-05 03:48:28+00:00,b'@iamjojo Let me borrow it lol'
1543647763807608832,2022-07-03 17:28:01+00:00,b'@JessMarieGarcia I\xe2\x80\x99m buzzing'
1541970991705862144,2022-06-29 02:25:07+00:00,b'@floresupdates HAPPPPY BITTHDAYYYYYYY!!!! LOVE YOUUUUUUU \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xf0\x9f\xa5\xb0\xf0\x9f\x98\x98\xf0\x9f\xab\xa0'
1541845049578647552,2022-06-28 18:04:40+00:00,b'\xf0\x9f\xa5\x82 @maluma https://t.co/7gEqNE1n5Y'
1541844041301520384,2022-06-28 18:00:40+00:00,b'what a weekend \xf0\x9f\xa5\xb3 https://t.co/4fym76ebiU'
1540125920417091584,2022-06-24 00:13:28+00:00,b'@arisintuition LMAOOOOOOOOOO'
1540076364274970624,2022-06-23 20:56:33+00:00,b'whattttt \xf0\x9f\xa5\xba https://t.co/vPR4i1nbps'
1539079528986845185,2022-06-21 02:55:29+00:00,b'Release ya anger! Release ya mind! Release ya job! Release the time! Release your trade! Release the stress! Release the LOVE! Forget the rest!!!'
1538992382473121793,2022-06-20 21:09:11+00:00,b'@Janessa_Mariee \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1538743079070572544,2022-06-20 04:38:33+00:00,b'@Erickaveli Damnnnn'
1538692570204848128,2022-06-20 01:17:50+00:00,b'\xf0\x9f\xa5\x82 https://t.co/km3SV3UILh'
1537923895189114882,2022-06-17 22:23:24+00:00,"b'That second pic was literally during the lyrics \xe2\x80\x9cvamo\xe2\x80\x99 a tirarnos un selfie, say cheese\xe2\x80\x9d fav song lmao'"
1537923591861194753,2022-06-17 22:22:12+00:00,b'\xe2\x99\x8a\xef\xb8\x8e szn https://t.co/ZjYEpHAkd0'
1537910943564255237,2022-06-17 21:31:56+00:00,b'@fredoscity \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd'
1537910884558770176,2022-06-17 21:31:42+00:00,b'@thelicsw thank uuuuu \xf0\x9f\xa4\x8c\xf0\x9f\x8f\xbd'
1537910847804043266,2022-06-17 21:31:33+00:00,b'@WASTEDTAPES \xf0\x9f\xa4\x8d'
1537910812462813186,2022-06-17 21:31:25+00:00,b'@CouRageJD Likewise bro!'
1537910743621726215,2022-06-17 21:31:08+00:00,b'@AnnHegeBieber It was amazing. Thank you'
1537910715280830467,2022-06-17 21:31:02+00:00,b'@fredosmine I gotta come back. I miss y\xe2\x80\x99all too. Let me do better'
1537895675744030721,2022-06-17 20:31:16+00:00,"b'thank y\xe2\x80\x99all for the bday wishes, the videos, collages \xe2\x80\x94 all that!! so sweet. appreciate it allllllll! https://t.co/5f1dhx4ynE'"
1537894976310214657,2022-06-17 20:28:29+00:00,b'@floresupdates \xf0\x9f\xa4\x8d\xf0\x9f\x8e\x88'
1537894904482803712,2022-06-17 20:28:12+00:00,b'@Janessa_Mariee Tysm! \xf0\x9f\xa4\x8d'
1537894767303921668,2022-06-17 20:27:39+00:00,b'@MachineGunKehl Thank you'
1529894980826779648,2022-05-26 18:39:22+00:00,b'@chelseatorrestv Sending love.'
1528506665057734656,2022-05-22 22:42:41+00:00,b'@catherinekelley Noooooo lmao'
1528415420541128704,2022-05-22 16:40:07+00:00,b'\xf0\x9f\x90\x9d\xf0\x9f\x96\xa4'
1528021330955685889,2022-05-21 14:34:09+00:00,b'@fredosmine influencer'
1528021205256572929,2022-05-21 14:33:39+00:00,b'@moonlightbbz Love youuuu'
1528020073687814145,2022-05-21 14:29:09+00:00,b'@MANUELCAV don\xe2\x80\x99t ask'
1528020021531664385,2022-05-21 14:28:57+00:00,b'@EquinoxStars813 stopppp it !'
1528019984890220544,2022-05-21 14:28:48+00:00,b'@MachineGunKehl \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'
1528019570002305024,2022-05-21 14:27:09+00:00,b'emo \xf0\x9f\xa5\xb9 https://t.co/Szt7TCILnp'
1528019501081432064,2022-05-21 14:26:52+00:00,b'@MachineGunKehl okayyyy this was the sweetest message!! wow. Thank you. Big Helllo to you and that Angel'
1528019039053762560,2022-05-21 14:25:02+00:00,b'@tbsagb \xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d'
