twitter_id,date,tweet
1546226328088846337,2022-07-10 20:14:18+00:00,"b'Piece of Peace \n\xe2\x9c\x8c\xf0\x9f\x8f\xbdof \xe2\x98\xae\xef\xb8\x8f\n\n#SoulcareSunday Reminder - Our growth, full bloom and greatness takes time\xf0\x9f\x92\x9c Don\xe2\x80\x99t rush it \xf0\x9f\x92\x9c https://t.co/msJWNwdgyN'"
1545765148828254208,2022-07-09 13:41:45+00:00,b'Paris!!!!! FUCK!!!!! That was crazyyyy!!!!!!! \xf0\x9f\xa4\xaf\xf0\x9f\xa4\xaf\xf0\x9f\xa4\xaf\xf0\x9f\xa4\xaf\nI love u soooo much!!! \nBiiiigggggg love to my sis @AyaNakamuraa everybody loves you!! You are magic!!\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\n@DSmoke7 is out her KILLIN too!!! https://t.co/QyfRonEMuJ'
1545058337787547652,2022-07-07 14:53:08+00:00,"b'Paris\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f I\xe2\x80\x99ve been waiting for you! Tonight is OUR night!! \xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\n\nIf I were to surprise you, how should I do it? \xf0\x9f\x98\x89\xf0\x9f\x98\x89\n\n#AliciaAndKeysWorldTour https://t.co/ReeTV9P3Yo'"
1544806358213705736,2022-07-06 22:11:51+00:00,b'She tried to come for me yall \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\nBy the way she did have a shirt on\xe2\x80\xa6. https://t.co/kUeDuLVGpb'
1544392132701704193,2022-07-05 18:45:52+00:00,b'Just a vibe \xf0\x9f\x92\x9c https://t.co/1UY2LtIXjz'
1544116509445947392,2022-07-05 00:30:38+00:00,b'https://t.co/Rt7bA1WSIR'
1543687744941088768,2022-07-03 20:06:53+00:00,b'I\xe2\x80\x99m so proud to stand with the people of Ukraine\xf0\x9f\x87\xba\xf0\x9f\x87\xa6 https://t.co/s4bLpwFsKy'
1543634575678738433,2022-07-03 16:35:36+00:00,b'#SoulCareSunday Reminder \xf0\x9f\x92\x9c\xf0\x9f\x98\x9a\xf0\x9f\xa4\xa3\xf0\x9f\x92\x9c  @keyssoulcare https://t.co/SRiLJpfA4z'
1542961958911188994,2022-07-01 20:02:52+00:00,b'It\xe2\x80\x99s a little dark and blurry but he has me DYIN\xe2\x80\x99!!! The hubby @THEREALSWIZZZ doesn\xe2\x80\x99t really love my expeditions. He calls it \xe2\x80\xa6.. ADVENTURES OF THE WHITE SIDE\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\nNo one\xe2\x80\x99s coming\xe2\x80\x99 to get u babe \xe2\x80\xa6. Except me \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9chaaaa!! Vibes from the Black Forest in Germany https://t.co/iZb2oejnAv'
1542535578431930374,2022-06-30 15:48:35+00:00,b'Barcelona I\xe2\x80\x99m waiting for you!!!\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c https://t.co/sgkkm0w2yC'
1542500217089536001,2022-06-30 13:28:04+00:00,b'Craaaazzzzyyyy!!!!! \xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5 let\xe2\x80\x99s go @BrunoMars https://t.co/qaPk5Ty49V'
1542257976605548546,2022-06-29 21:25:30+00:00,b'Egypt getting ready for his big moment live in Mannheim!!!! \xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5 \nFull video here:\nhttps://t.co/VhPXEbXwQH'
1541858851955384322,2022-06-28 18:59:31+00:00,b'\xe2\x81\x83\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0 Gleam on Highlighting Balm with Sunflower Seed Oil \xe2\x80\x98Transcendence\xe2\x80\x98 above cheekbones and under brow \n\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0\xe2\x81\x83\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0Soft Stay Brow Gel\n- favorite white eyeliner \n-favorite mascara\n-favorite concealer/foundation \n\n@KeysSoulcare'
1541858762046177282,2022-06-28 18:59:09+00:00,b'@KeysSoulcare Offerings:\n\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0\xe2\x81\x83\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0Let Me Glow Illuminating Priming Serum with Niacinamide\n\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0\xe2\x81\x83\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0Sheer Flush Cheek Tint \xe2\x80\x98Grace\xe2\x80\x99 and \xe2\x80\x98Powerful\xe2\x80\x99\n\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0\xe2\x81\x83\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0Comforting Tinted Lip Balm \xe2\x80\x98Sheer Bliss\xe2\x80\x99'
1541858679535931392,2022-06-28 18:58:50+00:00,"b'Tonight\xe2\x80\x99s look! \xf0\x9f\x92\x9c\nGetting ready for MILAN, Italy tonight!! \nYou like?? \xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9 https://t.co/V2qulzFAFb'"
1541763556378611720,2022-06-28 12:40:51+00:00,"b'RT @DEADLINE: NBC Sets \xe2\x80\x98Ukraine: Answering The Call\xe2\x80\x99 Fundraising Special With Kristen Bell, Alicia Keys, Julianne Moore,\xc2\xa0More https://t.co/\xe2\x80\xa6'"
1540980909930840066,2022-06-26 08:50:53+00:00,b'Let\xe2\x80\x99s go gorgeous!!!!!!!!!!!!! Got that \n@keyssoulcare glowwww\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8 https://t.co/OS3UCj6FDo'
1540437715014909952,2022-06-24 20:52:25+00:00,"b""RT @MichelleObama: My thoughts on the Supreme Court's decision to overturn Roe v. Wade. https://t.co/9ALSbapHDY"""
1540382914550108160,2022-06-24 17:14:40+00:00,"b'Fuckin bullshit!! \n\nThis decision is about more than abortion, it\xe2\x80\x99s about who has power over you, who has authority to make decisions for you, and who is going to control how your future turns out~ @nwlc \n\n@PPFA @ACLU @SisterSong_WOC https://t.co/52Pj6j36Z1'"
1540381465581592576,2022-06-24 17:08:54+00:00,"b'RT @BarackObama: Today, the Supreme Court not only reversed nearly 50 years of precedent, it relegated the most intensely personal decision\xe2\x80\xa6'"
1539599723593494528,2022-06-22 13:22:33+00:00,b'RT @LEGO_Group: \xe2\x80\x9cUse play to find your voice by just being who you are\xe2\x80\x9d \xf0\x9f\x8e\xa4\n\nMusic megastar @aliciakeys explains how play gives her the confi\xe2\x80\xa6'
1539258120630947840,2022-06-21 14:45:08+00:00,b'Taking my little/not so little bestie to explore the city before I hit the stage \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\nBERLIN we are READY\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\n\nAlso big love to #KIY for the exclusive tour Merch collab \xe2\x9a\xa1\xef\xb8\x8f\xe2\x9a\xa1\xef\xb8\x8f\xe2\x9a\xa1\xef\xb8\x8f\xf0\x9f\x98\x9d\xf0\x9f\x98\x9d\xf0\x9f\x98\x9d https://t.co/cZn5KuHBPo'
1538916728415166464,2022-06-20 16:08:34+00:00,b'Fly on the wall \xf0\x9f\x91\x80\nEven on tour I\xe2\x80\x99ll still find time to get to the studio! Working on something very special for you guys! \xf0\x9f\x92\x9c https://t.co/G5Ce53bZWR'
1538188057098305536,2022-06-18 15:53:05+00:00,b'All my friends with me on this run \xf0\x9f\x92\x9c\xf0\x9f\xa5\xb9 \nWho should I bring out next??\n#AliciaAndKeysWorldTour https://t.co/tkm90X2PmX'
1537812053049626624,2022-06-17 14:58:59+00:00,b'*Random tweet disclaimer*\n\nIf I was going to sing you your favorite holiday song what would it be?'
1537506819408400385,2022-06-16 18:46:05+00:00,b'All the things I CANT do now that I\xe2\x80\x99m on tour\xe2\x80\xa6. Ahhhhh!!!! \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\nFull video here: https://t.co/I3RYOQzukZ https://t.co/giJj4y6Rde'
1537068997933469696,2022-06-15 13:46:21+00:00,b'Come on Summer!!!!\xf0\x9f\x8c\x9e\xf0\x9f\x8c\x9e\xf0\x9f\x8c\x9e\nY\xe2\x80\x99all know how @keyssoulcare comes through with the GLOW!!  \n\nThis Highlighting Balm is Everything!!\n\nhttps://t.co/EWrkklZ1Cw https://t.co/zZx9JUMBbm'
1536751821863239681,2022-06-14 16:46:00+00:00,"b""RT @keyssoulcare: Can't get enough of the soulcare glow? Introducing Gleam On Highlighting Balm, a crystal-infused cream highlighter that n\xe2\x80\xa6"""
1536509505462226946,2022-06-14 00:43:07+00:00,b'London - all I have to say is:\n\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\n\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c https://t.co/PiXFsrgmlX'
1536429336256987146,2022-06-13 19:24:33+00:00,b'Brother!! That was literally one of the best moments of my LIFE!!! Thank you for blessing me and Manchester!!!!! \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c https://t.co/2qt9X2AHT7'
1536374616536805378,2022-06-13 15:47:07+00:00,"b'Hello London, can I speak to Micheal ?? \n\nAre u ready for tonight at the O2????!!!!!!!!!! https://t.co/Q8TzrxMT7T'"
1535683672589869060,2022-06-11 18:01:33+00:00,"b'And It feels so GOOD\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\n\nYou give me life!!\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\n\nDay 2: Manchester, UK TONIGHT!!! \n\nI\xe2\x80\x99m so ready for you!!! https://t.co/H6Kt37nn8G'"
1535242423944847360,2022-06-10 12:48:11+00:00,b'RT @PeabodyAwards: \xe2\x80\x9cA Black consciousness revolution.\xe2\x80\x9d\n\nWatch @AliciaKeys present @Questlove with his SECOND Peabody\xe2\x80\x94this one for @Summerof\xe2\x80\xa6'
1534987160641847299,2022-06-09 19:53:52+00:00,"b'Showtime. \xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\n\nThe Alicia + Keys Tour starts now in Birmingham, UK!!\n\nIm ready for you!!! Letsss gooooo!!!!! https://t.co/XrUtWLHiVK'"
1534297170374864896,2022-06-07 22:12:05+00:00,b'LA are u readyyyy! I caaaant wait! 3rd LA show tickets go live this Friday!! #AliciaAndKeysWorldTour https://t.co/h5vBL4oyGb'
1533993402970230784,2022-06-07 02:05:02+00:00,b'Epic night at the jubilee!! \nCelebrating the Queen and all the Queens!!!!!\xf0\x9f\x91\x91\xf0\x9f\x91\x91\xf0\x9f\x91\x91\xf0\x9f\x91\x91\xf0\x9f\x91\x91\xf0\x9f\x91\x91\xf0\x9f\x91\x91\n\n\xe2\x80\x9cShe\xe2\x80\x99s got her feet on the ground and she\xe2\x80\x99s burning it down!\xe2\x80\x9d\n\nFYI: Every song was requested personally by the Queen \n\nEven EMPIRE!! \n\nBig lovvveeee!!!!!\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\n\nhttps://t.co/BKNRd3TGVX https://t.co/8Wa8mhF2nO'
1533856998927880194,2022-06-06 17:03:00+00:00,b'RT @DailyMailCeleb: Alicia Keys stuns the audience as she joins star-studded lineup for Party At The Palace https://t.co/5eVRXPZeBx'
1533828310001602565,2022-06-06 15:09:00+00:00,b'RT @Moschino: Alicia Keys at the Queen Elizabeth II Platinum Jubilee in a custom black velvet jumpsuit with square neckline and cape with g\xe2\x80\xa6'
1532510514432966657,2022-06-02 23:52:33+00:00,b'RT @keyssoulcare: \xe2\x9c\xa8GIVEAWAY\xe2\x9c\xa8 Find out how to win our Make You PR box on Instagram! https://t.co/5RbSi6aOGi'
1532355370701701121,2022-06-02 13:36:04+00:00,b'Inspired by the greatest \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd https://t.co/fTPfGgaIdN'
1530237354908188674,2022-05-27 17:19:50+00:00,b'ON F I R E E EE !\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x98\x82\xf0\x9f\x98\x82 \nshould we bring her out on tour??\xf0\x9f\x91\x80\n\n#AliciaAndKeysWorldTour #13daysUntilTheFirstShow !!! https://t.co/8WKReIe66y'
1529914745565892615,2022-05-26 19:57:54+00:00,"b'RT @MercedesBenzInd: Together with @aliciakeys, we invited several female musicians to New York. \n\n#KeysToSuccess #AliciaKeys #SheIsTheMusi\xe2\x80\xa6'"
1528894739231039488,2022-05-24 00:24:45+00:00,b'\xe2\x9c\x8c\xf0\x9f\x8f\xbdof \xe2\x98\xae\xef\xb8\x8f: Giving &amp; Receiving \xf0\x9f\x92\x9c\nAre you ready for both? https://t.co/VxC1zOw2Qi'
1527095574469541888,2022-05-19 01:15:31+00:00,b'Can\xe2\x80\x99t wait to see you London!! #AliciaandKeysTour starts in the UK https://t.co/BDXoODVMXE https://t.co/IY3tynluAv'
1526714126830927875,2022-05-17 23:59:47+00:00,b'It\xe2\x80\x99s so heartbreaking that children suffer the most\xe2\x80\xa6\xe2\x80\xa6\xf0\x9f\x98\xa2\xf0\x9f\x98\xa2 Find out what @keepachildalive are doing in solidarity with the children of Ukraine https://t.co/SDQSj9HZpJ https://t.co/oXQcmCkjhc'
1526641485554208768,2022-05-17 19:11:08+00:00,b'If you ask me I\xe2\x80\x99m ready!!!!!!!!\nThe countdown is ON!!!! What songs are u ready to hear??? \xf0\x9f\x91\x82\xf0\x9f\x8f\xbd\xf0\x9f\x91\x82\xf0\x9f\x8f\xbd\xf0\x9f\x91\x82\xf0\x9f\x8f\xbd\xf0\x9f\x91\x82\xf0\x9f\x8f\xbd\xf0\x9f\x8e\xb6\xf0\x9f\x8e\xb6\xf0\x9f\x8e\xb6\xf0\x9f\x8e\xa4\xf0\x9f\x8e\xa4\xf0\x9f\x8e\xa4\xf0\x9f\x8e\xb8\xf0\x9f\xa5\x81\xf0\x9f\x8e\xb9\xf0\x9f\x8e\xb9\xf0\x9f\x8e\xa7\xf0\x9f\x8e\xbc\n\n#AliciaAndKeysWorldTour\n\nhttps://t.co/xhDC2YuFHr'
1525218358911803392,2022-05-13 20:56:08+00:00,b'Get Ready With Me for THE MET GALA!!\xf0\x9f\x92\x9c\nhttps://t.co/4Qk1jzPa9B'
1524138685377167360,2022-05-10 21:25:54+00:00,b'Million \xf0\x9f\x92\xb5 worth of game \xf0\x9f\xa4\x91 @gilliedakid @mworthofgame @THEREALSWIZZZ https://t.co/Iowf5ubGqG https://t.co/BFPMSD7C8e'
1523780225561104384,2022-05-09 21:41:30+00:00,b'RT @gilliedakid: ALICIA KEYS AND SWIZZ BEATZ: MILLION DOLLAZ WORTH OF GAME EPISODE 165 https://t.co/kNVqEMVTuf via @YouTube \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'
1523675471610740736,2022-05-09 14:45:15+00:00,b'\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c https://t.co/WAc9Dvs6Yg'
1523370273214320640,2022-05-08 18:32:30+00:00,"b""RT @AppleMusic: Celebrate Mother's Day with @aliciakeys, @Camila_Cabello, @Meghan_Trainor, and more on the Dedicated to Mom special on Appl\xe2\x80\xa6"""
