twitter_id,date,tweet
1546589031399444480,2022-07-11 20:15:33+00:00,"b""RT @RepEscobar: Maybe if we named our electric grid \xe2\x80\x9cWomen\xe2\x80\x99s Bodies,\xe2\x80\x9d @GregAbbott_TX would regulate it?\n\nHe guaranteed the lights wouldn't\xe2\x80\xa6"""
1546431921042989057,2022-07-11 09:51:15+00:00,"b'RT @sorrynotsorry: \xf0\x9f\x92\xb8NEW\xf0\x9f\x92\xb8\n\nThe pandemic has been financially devastating for so many, and it can be hard to see a way back. In \xe2\x80\x9cStimulus Wre\xe2\x80\xa6'"
1546400806810685440,2022-07-11 07:47:37+00:00,"b'RT @Strandjunker: I need someone to explain to me why it\xe2\x80\x99s always \xe2\x80\x9cif you can\xe2\x80\x99t pay rent, buy fewer lattes and avocado toasts\xe2\x80\x9d and not \xe2\x80\x9cif\xe2\x80\xa6'"
1546348981743013889,2022-07-11 04:21:41+00:00,b'RT @BetoORourke: The governor of the 9th largest economy on earth \xe2\x80\x94 the energy capital of the world \xe2\x80\x94 can\xe2\x80\x99t guarantee the power will stay o\xe2\x80\xa6'
1546348859470647298,2022-07-11 04:21:12+00:00,"b'RT @SenWhitehouse: I\xe2\x80\x99ve been trying to draw attention to the Supreme Court\xe2\x80\x99s downward spiral for years. Yes, the Court is in shambles, but\xe2\x80\xa6'"
1546325352649211905,2022-07-11 02:47:48+00:00,"b'RT @Collias4NC11: The women are the backbone of the country, and we deserve to be full citizens. Publish the ERA!  It is law. It is the 28t\xe2\x80\xa6'"
1546325238085873664,2022-07-11 02:47:20+00:00,"b'@fred_guttenberg @POTUS Thank you for making all kids safer, Fred. Love you.'"
1546325076684902400,2022-07-11 02:46:42+00:00,"b'RT @fred_guttenberg: Tomorrow we celebrate passing of legislation to reduce gun violence, the first time in over 30 years.  Why do I fight?\xe2\x80\xa6'"
1546222912771764224,2022-07-10 20:00:44+00:00,b'RT @NoLieWithBTC: Pete Buttigieg is just so good at this. https://t.co/N1DIbzNw1O'
1546213717519613957,2022-07-10 19:24:12+00:00,"b'Italy, 2022\n\nI will never forget this trip. https://t.co/OULAkI7aZq'"
1546168693897535494,2022-07-10 16:25:17+00:00,b'SCOTUS quietly slashed your Sixth Amendment rights https://t.co/EGzyQD3ZSi'
1546110279171411970,2022-07-10 12:33:10+00:00,b'RT @fred_guttenberg: I leaving today for Washington DC &amp; a visit to the WH tomorrow to celebrate the passing of gun safety legislation.   I\xe2\x80\xa6'
1545942473792540672,2022-07-10 01:26:22+00:00,b'RT @AdamParkhomenko: if you watch one thing today make it this https://t.co/SzLpNvCUl2'
1545942196569968642,2022-07-10 01:25:16+00:00,b'RT @joncoopertweets: BREAKING: Gas prices in the U.S. have now DROPPED for 24 days in a row. \xe2\x9b\xbd\xef\xb8\x8f\n\nWhere\xe2\x80\x99s the media coverage about this good\xe2\x80\xa6'
1545941816033378312,2022-07-10 01:23:45+00:00,"b'RT @dearsarah: 115 days after he was imprisoned by the Taliban &amp; 12 days after his release, our friend &amp; collaborator @saf_rauf shared his\xe2\x80\xa6'"
1545907494509232130,2022-07-09 23:07:22+00:00,"b'RT @FortuneMagazine: California Gov. @GavinNewsom said the state will begin manufacturing its own low-cost insulin, possibly upending the p\xe2\x80\xa6'"
1545527977525616640,2022-07-08 21:59:19+00:00,b'RT @Alyssa_Milano: There are 13 Democrats (not counting Speaker Pelosi and Rep Thompson) who have not yet cosponsored H.R. 1808 - the House\xe2\x80\xa6'
1545526727417516032,2022-07-08 21:54:20+00:00,"b'RT @atrupar: Biden on Republican abortion bans: ""A 10-year-old girl should be forced to give birth to a rapist\'s child? ... I can\'t think o\xe2\x80\xa6'"
1545526704101363712,2022-07-08 21:54:15+00:00,"b'RT @atrupar: Biden: ""We need 2 additional pro-choice senators &amp; a pro-choice House to codify Roe as federal law. Your vote can make that a\xe2\x80\xa6'"
