twitter_id,date,tweet
1546548201339101186,2022-07-11 17:33:19+00:00,b'@ShanatanShaswat \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
1546544090355224576,2022-07-11 17:16:59+00:00,"b'If you\xe2\x80\x99re happy with it, it is my voice and if you don\xe2\x80\x99t like it, it isn\xe2\x80\x99t! ( Just kidding; yes it\xe2\x80\x99s my voice) https://t.co/TG1yczLSrk'"
1546525336510545925,2022-07-11 16:02:27+00:00,"b'Presenting The Museum of Living History, where #PurposeMeetsDesign. It celebrates the philosophy, DNA, core values, and culture of the @MahindraRise Group and is a collection of stories that define us. Located at our HQ in Mumbai, it\xe2\x80\x99ll soon be open for viewing by appointment https://t.co/c5ew7YaEsZ'"
1546475501778116608,2022-07-11 12:44:26+00:00,b'Punjab has been both a wonderful birthplace and home for @TractorsSwaraj  It\xe2\x80\x99s only right to give back by reinvesting in it\xe2\x80\xa6 https://t.co/WrIAHZwMQX'
1546376064733044736,2022-07-11 06:09:18+00:00,b'It\xe2\x80\x99s a privilege to have strong competitors like @TataMotors They keep reinventing themselves and that inspires us to do even better\xe2\x80\xa6 Competition spurs Innovation.. https://t.co/MwpBYsMOWZ'
1546366085418455040,2022-07-11 05:29:39+00:00,b'Just incredible. And if they had called it the \xe2\x80\x98Metaverse IPL\xe2\x80\x99 they could have gotten a billion dollar valuation! https://t.co/62j974dL2U'
1546331079920914432,2022-07-11 03:10:33+00:00,"b'This post gave me my #MondayMotivation  I stand in awe of Shri Sharma \xe2\x80\x94his selflessness &amp; dedication. Despite the work thousands of NGO\xe2\x80\x99s are doing in education, the continuing plight of many children is heartbreaking. @SheetalMehta @manoj_naandi what can we do to support him? https://t.co/2qCzlS6eXb'"
1546183466965839872,2022-07-10 17:23:59+00:00,"b'We may have missed the clean sweep, but still important to do a Surya-Namaskar\xe2\x80\xa6\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd https://t.co/Lv3pKIWPZt'"
1545978096850915328,2022-07-10 03:47:55+00:00,"b'Tholi ekadashi, Maha ekadashi, Padma ekadashi, Shayana ekadashi. Many names, one united feeling of devotion. Greetings to you all\xe2\x80\xa6 https://t.co/81dKZveznh'"
1545964307602554880,2022-07-10 02:53:08+00:00,b'This is mesmerising. Couldn\xe2\x80\x99t take my eyes off it so kept looping it. And it made me realise that weekends can be days of celebrating just being alive..Have a great Sunday https://t.co/B08EnMjNay'
1545962500675346433,2022-07-10 02:45:57+00:00,b'Greetings and good wishes to you and your family on this occasion of Eid-ul-Adha. May your devotion and dedication bring you a life where you never encounter hardships #EidMubarak https://t.co/gwqU973DR0'
