twitter_id,date,tweet
1546499408858161152,2022-07-11 14:19:26+00:00,b'RT @leonardoarea: #MaisVoce @andreolifelipe n\xc3\xa3o esconde que \xc3\xa9 muito f\xc3\xa3 da Xuxa \xf0\x9f\xa4\xa3\xf0\x9f\x98\x8d'
1546498656378884096,2022-07-11 14:16:26+00:00,b'Uma segunda-feira com as rainhas @anamaria16 e @xuxameneghel \n\nPS: tentei ir embora o mais r\xc3\xa1pido poss\xc3\xadvel pra poder ver as duas juntas logo...\xf0\x9f\x98\x85\xe2\x9d\xa4\xef\xb8\x8f em Tv Globo https://t.co/bIhZE1am3r'
1546493836549054466,2022-07-11 13:57:17+00:00,"b'RT @nave_da_xuxa: ""posso dar um beijo na rainha? quebrei o protocolo"" KKKKKKKKK #MaisVoc\xc3\xaa https://t.co/xcpbRUzt6R'"
1546493159357796352,2022-07-11 13:54:36+00:00,"b'Quem perderia uma chance dessas, ne? https://t.co/PekcDcL9zD'"
1546250874858749953,2022-07-10 21:51:51+00:00,b'@delucca \xf0\x9f\x97\xa3\xf0\x9f\x97\xa3\xf0\x9f\x97\xa3\xf0\x9f\x97\xa3\xf0\x9f\x97\xa3'
1546250789399797760,2022-07-10 21:51:30+00:00,b'@ma__linharess Se ja discordei nao lembro...\xf0\x9f\x98\x85\xf0\x9f\x8e\xbe\xf0\x9f\x92\x9a'
1546250407961411584,2022-07-10 21:49:59+00:00,b'@ma__linharess 100%!'
1546249090371026944,2022-07-10 21:44:45+00:00,"b'@livbrandao Poxa, Liv. Meus sentimentos. Beijo na fam\xc3\xadlia \xe2\x9d\xa4\xef\xb8\x8f'"
1546224122765639682,2022-07-10 20:05:32+00:00,b'@jrfrnnds Esse \xc3\xa9 DEMAIS tamb\xc3\xa9m! O melhor \xc3\xa9 que sempre aparece um Cantona do nada...\xf0\x9f\x98\x85'
1546223501312409600,2022-07-10 20:03:04+00:00,b'@HenriqueSauer Exato! Nao lembrava desse detalhe...'
1546203598463303683,2022-07-10 18:43:59+00:00,b'@gaab_diias Kkkkk...nao tinha pensado nisso.\nBateu na trave e a bola ainda voltou no saco eu diria...\xf0\x9f\x98\x85\xf0\x9f\x98\xab'
1546198614724206593,2022-07-10 18:24:11+00:00,b'Melhor comercial de todos os tempos. https://t.co/j1CprUdUgs'
1545862057014214658,2022-07-09 20:06:49+00:00,b'RT @marcelmerguizo: E aqui o ponto final do bate bola com Bia Haddad \xe2\x99\xa5\xef\xb8\x8f A \xc3\xadntegra t\xc3\xa1 l\xc3\xa1 no @globoesporteSP \xf0\x9f\x93\xba https://t.co/bS3Jxg8nES'
1545837339636801537,2022-07-09 18:28:36+00:00,"b'RT @AlemTenis: \xf0\x9f\x87\xb7\xf0\x9f\x87\xba\xf0\x9f\x87\xb0\xf0\x9f\x87\xbfELENA RYBAKINA \xc3\xa9 russa, mora em Moscou e \xc3\xb1 tem liga\xc3\xa7\xc3\xb5es c/ o Cazaquist\xc3\xa3o.\n\nMas, como mts outros russos, joga como cazaqu\xe2\x80\xa6'"
1545815271713243138,2022-07-09 17:00:55+00:00,"b'RT @marcelmerguizo: Al\xc3\xa9m de tenista gigante, Bia Haddad \xc3\xa9 uma grande mulher! O papo com @andreolifelipe no @globoesporteSP mostra um pouco\xe2\x80\xa6'"
1545785817020383235,2022-07-09 15:03:52+00:00,"b'Os caras tiraram ""todos"" os tenistas russos de Wimbledon. \nQuem ganhou no feminino? Elena Rybakina, nascida em Moscou, naturalizada cazaque.\nDeviam ter deixado todos os atletas - que nao tem nada a ver - jogar.'"
1545782471136002049,2022-07-09 14:50:35+00:00,"b'@Savagefiction Akeem, de longe. Mas s\xc3\xb3 vale o principe em NY 1.'"
1545446937222172672,2022-07-08 16:37:17+00:00,b'Quem nao fica ne? https://t.co/XkDRzfxGsb'
1545406837259911169,2022-07-08 13:57:56+00:00,"b'@andrefran \xc3\x89. PARABENS ANDRE, BRIGADOTCHAU'"
1545189530491387906,2022-07-07 23:34:26+00:00,"b'RT @CuriosidadesPRL: No ano retrasado, nossa p\xc3\xa1gina de mais de 100 mil teve problemas com o Twitter. N\xc3\xa3o \xc3\xa9 f\xc3\xa1cil alcan\xc3\xa7ar esse n\xc3\xbamero de no\xe2\x80\xa6'"
1545155977464496128,2022-07-07 21:21:07+00:00,b'@DiarioOle Santos'
1545055647292502017,2022-07-07 14:42:26+00:00,b'RT @tossiro: https://t.co/Mb6yvSuzM2'
1545054751758225408,2022-07-07 14:38:53+00:00,b'@essediafoilouco @ESPNBrasil Simplesmente enamorado de Gabi'
1544680222359953410,2022-07-06 13:50:38+00:00,"b'@steftsitsipas Relaxa, Stef...\nJa foi'"
1544679891848904705,2022-07-06 13:49:19+00:00,b'@pedrocertezas faltou na foto ele ta chorando s\xc3\xb3...'
1544525631316271104,2022-07-06 03:36:21+00:00,b'Kkkkkkkkkkk https://t.co/eqDAu8wzJu'
1544525325480099852,2022-07-06 03:35:08+00:00,b'@LibertadoresBR @Corinthians @BocaJrsOficial Kkkkkkkkkkkkkk'
1544523458725421057,2022-07-06 03:27:43+00:00,b'@lianamachado Roubado sempre'
1544518528899944448,2022-07-06 03:08:07+00:00,b'Doutor eu n\xc3\xa3o me engano... https://t.co/uE9YmM7L5Q'
1544517095232356353,2022-07-06 03:02:25+00:00,b'@Vini__Cardoso Eu sempre tor\xc3\xa7o contra os argentinos.\nCada um na sua...'
1544516130512969728,2022-07-06 02:58:35+00:00,b'Todo brasileiro agora deveria repetir comigo:\n\nQUE DELICIA\n\nComo um dia disse Diego...que la chupen!!!!'
1544390251615080449,2022-07-05 18:38:24+00:00,b'@chefdangalhardo @SEPLatina Passou ne...'
1544335213450371072,2022-07-05 14:59:41+00:00,b'@fcoelho2014 kkkkkkk...tmnc po'
1544335149260853248,2022-07-05 14:59:26+00:00,b'RT @cal_duraes: @andreolifelipe As primeiras bolas trazidas ao Brasil eram bem diferentes das atuais. Elas tinham uma abertura por onde ent\xe2\x80\xa6'
1544335131493769219,2022-07-05 14:59:22+00:00,b'@cal_duraes excelente! na mosca! Obrigado'
1544335011658317834,2022-07-05 14:58:53+00:00,b'@stefanomarin acho que era isso mesmo...'
1544334942049648640,2022-07-05 14:58:37+00:00,b'@garridouff \xc3\xa9 isso mesmo? faz sentido...'
1544322513613750275,2022-07-05 14:09:14+00:00,b'@chefdangalhardo KKKKKKK\nVisionarios!'
1544319870397038597,2022-07-05 13:58:43+00:00,"b'Sensacional. Alguem sabe explicar os ""chap\xc3\xa9us""? https://t.co/ymaH8lsRY4'"
1544309476991311872,2022-07-05 13:17:25+00:00,b'@tossiro oooooolha...\xf0\x9f\x98\x85'
1544302545488809985,2022-07-05 12:49:53+00:00,b'@tossiro Ue...aqui na reda\xc3\xa7\xc3\xa3o voce falava que era Corinthians. E que seu segundo time era o Santos...'
1543385343403212800,2022-07-03 00:05:15+00:00,"b'Sim, me tornei aquele tioz\xc3\xa3o que posta a foto do stories no feed.\nOu seria isso coisa de jovem?\nTo na duvida....\nUnica certeza \xc3\xa9 a paix\xc3\xa3o por esse moleque sangue bom...\xe2\x9d\xa4\xef\xb8\x8f https://t.co/apDlhU53wD'"
1542877212604506117,2022-07-01 14:26:07+00:00,b'RT @BiodiversidadeB: V\xc3\xaddeo simples que mostra a grande import\xc3\xa2ncia da restinga na prote\xc3\xa7\xc3\xa3o costeira. \n\n https://t.co/HSd6IRsBdn'
1542856297497989120,2022-07-01 13:03:00+00:00,b'@richarlison97 @Everton He is number 7...'
1542548728283807745,2022-06-30 16:40:50+00:00,b'@sixlongyears Kkkkkkkk'
1542533892292370433,2022-06-30 15:41:53+00:00,b'RT @galvaobueno: 30 de junho!!\nExatos 20 anos do Penta!!\nQue gera\xc3\xa7\xc3\xa3o!! Que time!!\nQue emo\xc3\xa7\xc3\xa3o!! https://t.co/LU8lIegvrV'
1542505992281133069,2022-06-30 13:51:01+00:00,b'@felipekieling Tirou de letra!!! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1542492864017489921,2022-06-30 12:58:51+00:00,b'@pedrocertezas pegou uma promo\xc3\xa7\xc3\xa3o boa hein...'
1542489501230137344,2022-06-30 12:45:29+00:00,b'@anathaismatos Vai dar tudo certo\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f'
1542229455380299779,2022-06-29 19:32:10+00:00,"b'Um dia incr\xc3\xadvel sem ter que postar  no Instagram pra nao ""perder engajamento"" nem seguidores. Podia ser assim 5x por semana...\xf0\x9f\x98\x85'"
1542190224838721537,2022-06-29 16:56:16+00:00,b'Que alegria ler isso\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8c\x88 https://t.co/2d4mfrlQfA'
1542153155034710018,2022-06-29 14:28:58+00:00,b'@OMarcusBruno @chefdangalhardo 100% errado'
1542151726614151169,2022-06-29 14:23:18+00:00,b'Sabe o que isso aqui vai dar? Nada. De novo. \nUm multinha sem vergonha e olhe l\xc3\xa1.\nToda vez a mesma palha\xc3\xa7ada. https://t.co/0zTFEMhPjP'
1542134394059644928,2022-06-29 13:14:25+00:00,b'@DiarioOle @Libertadores Jajajajajaj...piada. \nE na arquibancada? La nao se ve os valores ne?'
1542128752469151750,2022-06-29 12:52:00+00:00,b'RT @GeorgMarques: Esses s\xc3\xa3o os 32 senadores de 81 que assinaram o pedido para a CPI do MEC a fim de investigar den\xc3\xbancias de corrup\xc3\xa7\xc3\xa3o na ge\xe2\x80\xa6'
1541813509461245952,2022-06-28 15:59:20+00:00,b'RT @Thalitabq: Que linda a reportagem sobre pessoas trans do Globo Esporte \xf0\x9f\x98\xad\xe2\x9d\xa4\xef\xb8\x8f\n\nCiara e Murilo arrasaram!'
1541813179583447041,2022-06-28 15:58:02+00:00,b'RT @le_brunett: Parab\xc3\xa9ns para o #GloboEsporteSP! \nMuito foda essa reportagem sobre o acolhimento LGBTQIA+ no esporte. Eu t\xc3\xb4 aqui como\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
1541798189984006145,2022-06-28 14:58:28+00:00,b'Cruzeiro gigante tambem... https://t.co/ZIXSor79AY'
1541797253890940929,2022-06-28 14:54:45+00:00,"b'Quem nao se sensibiliza, nao muda a atitude ao ver um relato como esse n\xc3\xa3o pode ser humano... https://t.co/FCuIG8JfgW'"
1541797006594772992,2022-06-28 14:53:46+00:00,"b'RT @Corinthians: Hoje \xc3\xa9 dia de se orgulhar, de celebrar sua luta, sua resist\xc3\xaancia e, acima de tudo, celebrar quem voc\xc3\xaa \xc3\xa9! \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88\n\nDia do Orgu\xe2\x80\xa6'"
1541796675525681152,2022-06-28 14:52:27+00:00,"b'RT @Palmeiras: A hist\xc3\xb3ria do #PalmeirasDeTodos foi constru\xc3\xadda com o amor e o respeito que, dia ap\xc3\xb3s dia, levamos adiante dentro e fora dos\xe2\x80\xa6'"
1541796572945580033,2022-06-28 14:52:02+00:00,"b'RT @SaoPauloFC: Seja quem voc\xc3\xaa \xc3\xa9. E tenha orgulho n\xc3\xa3o s\xc3\xb3 hoje, mas todos os dias. O S\xc3\xa3o Paulo FC \xc3\xa9 de todos. \xf0\x9f\xab\xb6\n\n28/06 - Dia Internacional d\xe2\x80\xa6'"
1541792887012204550,2022-06-28 14:37:24+00:00,"b'RT @rodrigosalem: O motorista do verme \xc3\xa9 o passado. Vamos falar do futuro, nas m\xc3\xa3os de gente como Vini Jr. https://t.co/pbgO1e6C80'"
