twitter_id,date,tweet
1545712435721605120,2022-07-09 10:12:17+00:00,"b'Fr Dermott you were the kindest, wisest man I knew. Rest in peace my friend. You will never be forgotten. \nMy thoughts, prayers and love are with your wonderful family. \nThe world has lost a special man. X\nA'"
1545438383970914305,2022-07-08 16:03:18+00:00,"b'I am heartbroken to tell you that my darling brother Fr Dermott, @TweeterPriest, sadly passed away this afternoon. We are all beyond devastated. Thank you for your messages of sympathy and support, they are appreciated \xf0\x9f\x99\x8f  \nDD'"
1544696607626649600,2022-07-06 14:55:44+00:00,b'Wow thank you so much @TRICawards and to everyone who voted!\xf0\x9f\x8e\x89 https://t.co/gquPNFTPTT'
1544021195896619010,2022-07-04 18:11:54+00:00,"b'\xf0\x9f\x91\x8b from Belfast! Today we met young people who joined our Making it in Media programme to learn all about a career in media and TV. If you\xe2\x80\x99re a business in Northern Ireland looking for the new talent in these industries, info here on our Get Hired event https://t.co/vLGWLMw5zS https://t.co/9EYJOvVfcO'"
1541500360199589890,2022-06-27 19:15:00+00:00,b'Gameboys level 10: Completed it mate \xf0\x9f\x98\x82\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa5\x9a https://t.co/JmhZ1EbBOC'
1540391615818354689,2022-06-24 17:49:14+00:00,b'POV you\xe2\x80\x99re at Glastonbury and these acts clash\xe2\x80\xa6 who you choosing?\xf0\x9f\x98\x82 https://t.co/TraYS4xQ2K'
1539896395276091396,2022-06-23 09:01:25+00:00,"b'Thankfully, real teachers have made the learning packs\xc2\xa0at\xc2\xa0https://t.co/5kQej6ZwQy to help children build their money confidence \xf0\x9f\x99\x8c Check them out for FREE financial wisdom, without the \xe2\x80\x98whack\xe2\x80\x99 wardrobe! \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x98\x82 https://t.co/Ce1x5pRnvK'"
1539617120174080001,2022-06-22 14:31:40+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x90\xb6 https://t.co/BBcxbTMOjW'
1539306513986113541,2022-06-21 17:57:26+00:00,"b'We\xe2\x80\x99re bringing our Making It In Media course with @PrincesTrust to Belfast!\xf0\x9f\x99\x8c If you\xe2\x80\x99re a young person looking for an introduction to media and TV, or a business who can offer job opportunities to those taking part, then find out more here https://t.co/vLGWLMw5zS https://t.co/A54p0rqB73'"
1538461979152613376,2022-06-19 10:01:33+00:00,"b'Happy Father\xe2\x80\x99s Day to all Daddies, Step-Daddies, Daddies to be and Daddies who have gone \xf0\x9f\x99\x8f'"
1537144156530823168,2022-06-15 18:45:00+00:00,"b'Drum LOL, please\xe2\x80\xa6 it\xe2\x80\x99s Game Boys level 9!\xf0\x9f\x98\x82\xf0\x9f\xa5\x81 https://t.co/WeREZpLYm5'"
1535208387411161088,2022-06-10 10:32:57+00:00,"b'#ChildhoodDay is here! Thank you for all your support so far, if you\xe2\x80\x99d like to be involved head to https://t.co/2rTL0cQEhb for all info. Our children\xe2\x80\x99s book in aid of @NSPCC also has loads of ideas to help you play your part! #PropaHappy \xf0\x9f\x8e\x88https://t.co/Vle3ktkDOm https://t.co/wqYBOn5Gxo'"
1534893241610473472,2022-06-09 13:40:40+00:00,b'@RustyBycicle @beth1814 More coming soon\xe2\x80\xa6 D'
1534645672162516992,2022-06-08 21:16:55+00:00,b'Big congratulations to all the students and staff @WilkesAcademy on your end of year show! \n@Jonny_Wilkes \nBravo!!!! \nX'
