twitter_id,date,tweet
1544788438926385152,2022-07-06 21:00:39+00:00,"b'Now we\xe2\x80\x99re stressed and depressed and we\xe2\x80\x99re going round again, in an emotional blender'"
1544788021891014661,2022-07-06 20:58:59+00:00,b'\xf0\x9f\xa5\x81 \xf0\x9f\x8c\x8e \xe2\x9a\xa1\xef\xb8\x8f https://t.co/StffMxrOvL'
1541515003420868608,2022-06-27 20:13:11+00:00,b'I suffered from an intense migraine brought on by exhaustion and overheating onstage which made me loose my vision and gave me symptoms of stroke in the left side of my body. So the decision was to end the show there and then.'
1541514651590172673,2022-06-27 20:11:47+00:00,"b'I feel so loved and looked after by my brothers and team and all of you. this is the price a dehydrated drummer pays when he takes on Texas heat. All will be made right, ticketing wise, and rescheduling wise. I love you. Thanks for the love. I\xe2\x80\x99ll be back onstage ASAP! X'"
1541514649895682050,2022-06-27 20:11:47+00:00,"b'It\xe2\x80\x99s always amazing to play a massive energetic show in every environment thrown at us. Unfortunately this time my body gave out due to heat exhaustion. I was in tears in the ambulance, because I feel I\xe2\x80\x99ve let many people down. I\xe2\x80\x99m looking after myself and getting rest now.'"
1540846902933078016,2022-06-25 23:58:23+00:00,b'@afidrumvault @5SOS @ZildjianCompany @JordanKingDrums I\xe2\x80\x99ll be playing for you tonight!'
1537207224413483008,2022-06-15 22:55:36+00:00,b'RT @5SOS: 4 years of Youngblood. Thank you for showering this album with love. It\xe2\x80\x99s an important part of our history as a band and we\xe2\x80\x99re gr\xe2\x80\xa6'
1536829397742678016,2022-06-14 21:54:15+00:00,"b'So stoked to see so many people around the world on TMHT. it\xe2\x80\x99s about to be an amazing summer across the US for the band and fans, see you tonight \xf0\x9f\xa4\xa9 @5SOS https://t.co/PrEHMgQLnt'"
1534229527110381568,2022-06-07 17:43:18+00:00,b'@thatscooljacket @5SOS @Michael5SOS @Luke5SOS @Calum5SOS I wish'
1534229289742151680,2022-06-07 17:42:21+00:00,"b""RT @xluvmymichael: listening to 5sos' entire discography https://t.co/kldBaO6Twk"""
1529185502175211520,2022-05-24 19:40:09+00:00,b'Didn\xe2\x80\x99t realize I\xe2\x80\x99d just be watching Fleetwood Mac videos on YouTube when I got off tour'
1526986596607741952,2022-05-18 18:02:29+00:00,b'@5SOST0URUPDATES Omg I just ordered 4 of these before we get to the venue. So sick \xf0\x9f\x98\x8d'
1526617334835646464,2022-05-17 17:35:10+00:00,b'@halsey @adorebhadid powerful! \xe2\x9a\xa1\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f'
1526617097438044160,2022-05-17 17:34:13+00:00,b'@Michael5SOS Dude\xe2\x80\xa6 it has a million views!!!!!'
1526616792801550336,2022-05-17 17:33:01+00:00,b'RT @Michael5SOS: me myself and i https://t.co/J7ESoaCzuo'
1525581032317018114,2022-05-14 20:57:16+00:00,b'@ashtonupdating @purplevests @5SOS This is actually gaining some major heat!!!!! Wooooo'
1525580812158021632,2022-05-14 20:56:24+00:00,"b'RT @5SOS: Your body is your own. You and only you should control your personal medical decisions. No politicians, no bans, and no court rul\xe2\x80\xa6'"
1525302400738684928,2022-05-14 02:30:05+00:00,b'RT @Calum5SOS: Hope y\xe2\x80\x99all are enjoying this one \xf0\x9f\x92\x9e'
1525226863378898944,2022-05-13 21:29:56+00:00,b'RT @5SOS: Me Myself &amp; I Official Video is out NOW \xf0\x9f\x8c\xbc \n\nhttps://t.co/JnPpxlbX9k https://t.co/r6EUoOsrmZ'
1525188583161667584,2022-05-13 18:57:49+00:00,b'@5SOS 2 hrs \xf0\x9f\x8e\x81'
1525188547354849280,2022-05-13 18:57:40+00:00,"b'RT @5SOS: Friday, May 13th at 2pm PT \n\nhttps://t.co/JnPpxlbX9k https://t.co/W5KLO03ziq'"
1524779157892190209,2022-05-12 15:50:54+00:00,"b'#5SOS5 will be yours on September 23rd, but first\xe2\x80\xa6 a couple more bangers https://t.co/qDJ2rHo9Pa'"
1524505755000487936,2022-05-11 21:44:30+00:00,b'@butbandsdoe @5SOS Manual labor (beating the shit out of the kit every night) my hands are made of leather now \xf0\x9f\x98\x89 it\xe2\x80\x99s a pleasure to have my \xe2\x80\x9cgig hands\xe2\x80\x9d back.'
1524504905771278336,2022-05-11 21:41:08+00:00,b'@5SOS Thank you if you\xe2\x80\x99re pre ordering. I can\xe2\x80\x99t wait to hold this one in my hands. #5sos5'
