twitter_id,date,tweet
1546543991776223232,2022-07-11 17:16:35+00:00,b'@mousa_abdallah @RotanaMusic @salimMsalemeh @bwh_7 @YouTube \xd8\xaa\xd8\xb3\xd9\x84\xd9\x85 \xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8 \xd9\x82\xd9\x84\xd8\xa8\xd9\x8a \xd9\x88\xd8\xa7\xd9\x86 \xd8\xb4\xd8\xa7\xd8\xa1 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd8\xa7\xd9\x84\xd9\x82\xd8\xa7\xd8\xaf\xd9\x85 \xd8\xa7\xd8\xb9\xd8\xb8\xd9\x85 \xf0\x9f\x99\x8f'
1546543766215053315,2022-07-11 17:15:41+00:00,b'@salimMsalemeh \xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8 \xd9\x82\xd9\x84\xd8\xa8\xd9\x8a \xd9\x87\xd9\x8a\xd8\xaf\xd8\xa7 \xd9\x86\xd8\xac\xd8\xa7\xd8\xad \xd9\x85\xd8\xb4\xd8\xaa\xd8\xb1\xd9\x83 \xf0\x9f\x99\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1546543533800185861,2022-07-11 17:14:46+00:00,b'RT @salimMsalemeh: \xd8\xa7\xd9\x84\xd9\x86\xd8\xac\xd8\xa7\xd8\xad \xd8\xa8\xd9\x8a\xd9\x84\xd8\xa8\xd9\x82\xd9\x84\xd9\x83 \xd9\x88 \xd8\xa8\xd8\xaa\xd8\xb3\xd8\xaa\xd8\xa7\xd9\x87\xd9\x84\xd9\x88 \xd9\x84\xd8\xa7\xd9\x86\xd9\x83 \xd8\xa7\xd8\xb5\xd9\x8a\xd9\x84 \xd9\x88 \xd8\xa7\xd8\xb5\xd9\x84\xd9\x8a @assihallani'
1546530045791019009,2022-07-11 16:21:10+00:00,"b'RT @Bitajarod: \xd8\xb9\xd8\xa7\xd8\xb5\xd9\x8a \xd8\xa7\xd9\x84\xd8\xad\xd9\x84\xd8\xa7\xd9\x86\xd9\x8a \xd9\x8a\xd9\x83\xd8\xb3\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb1\xd9\x82\xd8\xa7\xd9\x85 \xd8\xa7\xd9\x84\xd9\x82\xd9\x8a\xd8\xa7\xd8\xb3\xd9\x8a\xd8\xa9 \xd8\xa8\xd9\x80""\xd8\xb6\xd8\xad\xd9\x83\xd8\xa9 \xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8\xd9\x8a""\nhttps://t.co/9tqn13dIbB\n@assihallani https://t.co/1yXxt4w9XD'"
1546529967126740993,2022-07-11 16:20:51+00:00,b'\xd8\xb9\xd8\xb4\xd8\xb1\xd9\x8a\xd9\x86 \xd9\x85\xd9\x84\xd9\x8a\xd9\x88\xd9\x86 \xd9\x83\xd9\x84\xd9\x85\xd8\xa9 \xd8\xa8\xd8\xad\xd8\xa8\xd9\x83\xd9\x86 \xd9\x82\xd9\x84\xd9\x8a\xd9\x84 \xf0\x9f\x99\x8f\xe2\x9d\xa4\xef\xb8\x8f\n#\xd8\xb9\xd8\xa7\xd8\xb5\xd9\x8a_\xd8\xa7\xd9\x84\xd8\xad\xd9\x84\xd8\xa7\xd9\x86\xd9\x8a #\xd8\xb6\xd8\xad\xd9\x83\xd8\xa9_\xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8\xd9\x8a\xf0\x9f\x98\x8d @RotanaMusic @salimMsalemeh @bwh_7 #assielhallani \nhttps://t.co/OESbM2X80K via @YouTube https://t.co/mVtneY5M34'
1546472785312186369,2022-07-11 12:33:38+00:00,b'\xd9\x8a\xd8\xa7 \xd8\xb9\xd9\x8a\xd9\x88\xd9\x86 \xd9\x85\xd9\x84\xd9\x8a\xd8\xa7\xd9\x86\xd9\x8a \xd8\xad\xd9\x83\xd9\x8a \n\xd8\xa8\xd9\x83\xd9\x84 \xd8\xa7\xd9\x84\xd8\xaf\xd9\x86\xd9\x8a \xd9\x85\xd8\xa7 \xd8\xa8\xd8\xaf\xd9\x84\xd9\x86 \xe2\x9d\xa4\xef\xb8\x8f\nAssi El Hallani ... Dahket Habibi - Video Clip | #\xd8\xb9\xd8\xa7\xd8\xb5\xd9\x8a_\xd8\xa7\xd9\x84\xd8\xad\xd9\x84\xd8\xa7\xd9\x86\xd9\x8a #\xd8\xb6\xd8\xad\xd9\x83\xd8\xa9_\xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8\xd9\x8a\xf0\x9f\x98\x8d \nhttps://t.co/OESbM2X80K via @YouTube https://t.co/8QOkZPpLzj'
1546472031516086272,2022-07-11 12:30:39+00:00,b'RT @BeirutcomMag: \xd8\xa7\xd9\x84\xd9\x8a\xd9\x88\xd9\x85- \xd8\xa7\xd9\x84\xd9\x86\xd8\xac\xd9\x88\xd9\x85 \xd9\x8a\xd8\xad\xd8\xaa\xd9\x81\xd9\x84\xd9\x88\xd9\x86 \xd9\x81\xd9\x8a \xd8\xb9\xd9\x8a\xd8\xaf \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb6\xd8\xad\xd9\x89 \xd8\xa7\xd9\x84\xd9\x85\xd8\xa8\xd8\xa7\xd8\xb1\xd9\x83... https://t.co/BkRgoHjjpp\n\nvia @BeirutcomMag #\xd8\xb9\xd9\x8a\xd8\xaf_\xd8\xa7\xd9\x84\xd8\xa3\xd8\xb6\xd8\xad\xd9\x89_\xd8\xa7\xd9\x84\xd9\x85\xd8\xa8\xd8\xa7\xd8\xb1\xd9\x83 @naderalata\xe2\x80\xa6'
1546452161063682048,2022-07-11 11:11:41+00:00,b'RT @BeirutcomMag: \xd8\xba\xd8\xaf\xd8\xa7\xd9\x8b.. \xd8\xb9\xd8\xa7\xd8\xb5\xd9\x8a \xd8\xa7\xd9\x84\xd8\xad\xd9\x84\xd8\xa7\xd9\x86\xd9\x8a \xd9\x8a\xd8\xad\xd9\x8a\xd9\x8a \xd8\xa3\xd9\x82\xd9\x88\xd9\x89 \xd8\xad\xd9\x81\xd9\x84\xd8\xa7\xd8\xaa \xd8\xb9\xd9\x8a\xd8\xaf \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb6\xd8\xad\xd9\x89 \xd9\x81\xd9\x8a \xd8\xa8\xd9\x8a\xd8\xb1\xd9\x88\xd8\xaa https://t.co/i9eOQfyhKH \n\nvia @BeirutcomMag @assihallani #\xd8\xb9\xd8\xa7\xd8\xb5\xd9\x8a_\xd8\xa7\xd9\x84\xe2\x80\xa6'
1545748452751151104,2022-07-09 12:35:24+00:00,b'RT @adelsamia: @assihallani #\xd8\xb9\xd8\xa7\xd8\xb5\xd9\x8a_\xd8\xa7\xd9\x84\xd8\xad\xd9\x84\xd8\xa7\xd9\x86\xd9\x8a \xd9\x8a\xd8\xad\xd9\x82\xd9\x82 \xd8\xb1\xd9\x82\xd9\x85\xd8\xa7\xd9\x8b \xd9\x82\xd9\x8a\xd8\xa7\xd8\xb3\xd9\x8a\xd8\xa7\xd9\x8b \xd8\xac\xd8\xaf\xd9\x8a\xd8\xaf\xd8\xa7\xd9\x8b \xd9\x85\xd9\x86 \xd8\xae\xd9\x84\xd8\xa7\xd9\x84 \xe2\x80\x9c#\xd8\xb6\xd8\xad\xd9\x83\xd8\xa9_\xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8\xd9\x8a\xe2\x80\x9d \xd9\x88\xd9\x8a\xd8\xad\xd8\xb5\xd8\xaf \xd8\xa7\xd9\x83\xd8\xab\xd8\xb1 \xd9\x85\xd9\x86 \xd9\xa2\xd9\xa0 \xd9\x85\xd9\x84\xd9\x8a\xd9\x88\xd9\x86\n\nhttps://t.co/1oXAlOe7TH'
1545748364595167232,2022-07-09 12:35:03+00:00,b'RT @assiholics: #\xd8\xb6\xd8\xad\xd9\x83\xd8\xa9_\xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8\xd9\x8a \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x94\xa5 #\xd8\xb9\xd8\xa7\xd8\xb5\xd9\x8a_\xd8\xa7\xd9\x84\xd8\xad\xd9\x84\xd8\xa7\xd9\x86\xd9\x8a \n\nhttps://t.co/XSxF5xC9td'
