twitter_id,date,tweet
1491861709723619337,2022-02-10 19:48:43+00:00,b'RT @BossBeautiesNFT: Our Free Mint for Boss Beauties + Rolling Stone is LIVE!\n\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\n\nOnly use this official\xe2\x80\xa6'
1483201592308363264,2022-01-17 22:16:30+00:00,b'RT @randizuckerberg: NFT shopping? \n13 women-led PFPs under 1E\n\n@BossBeautiesNFT .98\n@crypto_coven .74\n@WomenandWeapons .44\n@8sianNFT .4\n@C\xe2\x80\xa6'
1333863238161711106,2020-12-01 19:59:12+00:00,"b'We love The Croods! What we love even more is by tagging #croodscare to a friend,  a donation will be made to @feedingamercia to support as many families as possible! It\xe2\x80\x99s the season for love ,peace &amp;support\xe2\x9d\xa4\xef\xb8\x8f \xc2\xa0We cannot wait to watch the croods:new age! https://t.co/0uq2EMkO3Z'"
1216945234287849472,2020-01-14 04:48:48+00:00,b'This was the coldest stickiest bloodiest night of my life!! In lingerie Lol https://t.co/5kIRhZL5Iu'
1216944809362911233,2020-01-14 04:47:06+00:00,b'RT @RyanCabrera: .@AudrinaPatridge https://t.co/5CfvN67Ilq'
1216944033857077248,2020-01-14 04:44:02+00:00,"b""RT @iHeartRadio: .@TeddiMellencamp &amp; @AudrinaPatridge is here and I'm SO HAPPY! \n\n#iHeartFestival2019 \xf0\x9f\x98\x8d https://t.co/zIlcOybkC9"""
1216943842563248128,2020-01-14 04:43:16+00:00,b'@Stephaworks @hulu @spencerpratt Glad you were entertained enough to write this! HAH'
1216941313938952192,2020-01-14 04:33:13+00:00,"b""RT @AudrinaOnline: More photos of Audrina's South Beach Diet 2020 Photoshoot added to our gallery! https://t.co/uTWKESgj35 @AudrinaPatridge\xe2\x80\xa6"""
1196538521810399233,2019-11-18 21:19:48+00:00,"b'Kicking off the week like \xf0\x9f\x92\xab @southbeachdiet takes all of the anxiety out of meal prep for the week ahead. That means on Sundays, you can find me at the pool\xf0\x9f\x91\x99 Use my link to try South Beach Diet for 50% off https://t.co/ygbkvAgRBJ  #southbeachdiet #southbeachdietambassador https://t.co/maMnBKAQPZ'"
1187166317188509697,2019-10-24 00:38:01+00:00,b'I used to think that changing my eating habits would be scary.  With @southbeachdiet not anymore! Here\xe2\x80\x99s one of mybest trick for keeping up a healthy routine. Use my link to try South Beach Diet today for 50% off  https://t.co/3D5CC2ARuA #southbeachdiet #southbeachdietambassador https://t.co/CMTBxTJV5J'
