twitter_id,date,tweet
1546515115851124736,2022-07-11 15:21:51+00:00,b'RT @ClubRandom_: Latest episode of Club Random w/@billmaher &amp; special guest @LisaKudrow out now! #thecomeback #friends #lisakudrow #billmah\xe2\x80\xa6'
1545065035772227584,2022-07-07 15:19:45+00:00,b'RT @hotboxinpodcast: @billmaher talks about Transgender athletes in sports.\n\nFull episode: https://t.co/FyfciMC5I4\n\n@MikeTyson @SJD_51 #Tra\xe2\x80\xa6'
1544750926228926464,2022-07-06 18:31:35+00:00,b'Message for DJT. https://t.co/DkvTGBcQ1S'
1544750548858982401,2022-07-06 18:30:05+00:00,b'.@CedEntertainer @ClubRandom_ https://t.co/EjULuFrDyI'
1544390879430881280,2022-07-05 18:40:53+00:00,"b'RT @RealTimers: ""She was asking whether it was okay for her to not like being choked by a stranger...and if the fact that she consented mad\xe2\x80\xa6'"
1544390413280092160,2022-07-05 18:39:02+00:00,b'.@CedEntertainer this week @ClubRandom_ https://t.co/FVcFdtY7tD https://t.co/VewLRyHI0Z'
1543968039065964544,2022-07-04 14:40:40+00:00,"b""RT @RealTimers: #RealTime is off for the summer, but @BillMaher has all the news you'll need in this edition of #FutureHeadlines.\n\nWe'll be\xe2\x80\xa6"""
1543967884841431040,2022-07-04 14:40:03+00:00,b'RT @ClubRandom_: New episode of #clubrandom #podcast with @billmaher is available now ft special guest @CedEntertainer ! \n\nWatch: https://t\xe2\x80\xa6'
1542607346861453313,2022-06-30 20:33:46+00:00,"b'RT @RealTimers: As with weed, we are going to be living in two very distinct Americas when it comes to abortion access. So, be careful wher\xe2\x80\xa6'"
1542324062524911616,2022-06-30 01:48:06+00:00,b'RT @howiemandel: I loved having @billmaher on my podcast making newsworthy announcements https://t.co/fnnisAVjKR'
1542285130575642625,2022-06-29 23:13:24+00:00,b'RT @howiemandel: I\xe2\x80\x99m pretty sure this is @billmaher making a huge announcement https://t.co/ryzcDwT1I3'
1541870569557151744,2022-06-28 19:46:05+00:00,b'A new poll finds that half the country thinks they will see a civil war in their lifetime. I think a lot of them are rooting for one. https://t.co/kEkC2mv5I3'
1541859582841999360,2022-06-28 19:02:25+00:00,b'.@JohnMcEnroe @ClubRandom_ https://t.co/FVcFdtY7tD https://t.co/uXnYcKf0Ge'
1541429793589145600,2022-06-27 14:34:35+00:00,b'RT @RealTimers: \xe2\x80\x9cMake the argument. Build the coalitions. Win the elections in the states. And get pro-choice policies back.\xe2\x80\x9d \n\nWatch @sull\xe2\x80\xa6'
1541429741286109184,2022-06-27 14:34:23+00:00,b'.@JohnMcEnroe this week @ClubRandom_ https://t.co/FVcFdtY7tD https://t.co/gST9jJtkjU'
1540559422556016640,2022-06-25 04:56:03+00:00,"b""If there's one thing the Johnny Depp trial proved it's that in this world, you got to have a good lawyer, and @theDemocrats need a few. https://t.co/qHU9a8LsrA"""
1540538164258910208,2022-06-25 03:31:34+00:00,"b'To all you progressives who refused to vote for Hillary because she said ""super-predators"" in 1996. Enjoy being ""super-pregnant"" in 2022. #RoeVsWade #ElectionsMatter https://t.co/jbWT50Ttdo'"
1540515254358093824,2022-06-25 02:00:32+00:00,"b""RT @RealTimers: #StartTheClock: Tonight's episode of #RealTime with @BillMaher feat. @ChristineEmba, @kittypurrzog + @sullydish is now on @\xe2\x80\xa6"""
1540097931893608449,2022-06-23 22:22:15+00:00,"b'RT @RealTimers: FRIDAY: @BillMaher welcomes @ChristineEmba, @sullydish + @kittypurrzog to Real Time @HBO! \n\nReply with a question for #RTOv\xe2\x80\xa6'"
1539689411813658624,2022-06-22 19:18:56+00:00,b'RT @peta: Honorary PETA Director @BillMaher is calling on @Inotivco to release 500 beagles Envigo plans to sell to be used in cruel experim\xe2\x80\xa6'
1539302976363196418,2022-06-21 17:43:23+00:00,"b'In America, you have the right to be wrong. https://t.co/QFo51Qcg8H'"
1539302439920160768,2022-06-21 17:41:15+00:00,"b'Hey liberals, could you not piss off the one guy who might get us all out of this global warming disaster. https://t.co/fpOb42iF46'"
1538938510475816962,2022-06-20 17:35:07+00:00,"b""RT @RealTimers: Humans beware! It's only a matter of time before our #AI robot overlords gain consciousness, so be on the lookout for these\xe2\x80\xa6"""
1538938413293834240,2022-06-20 17:34:44+00:00,b'RT @ClubRandom_: How kids used to be scared of their friends dads. @billmaher @adamcarolla #clubrandom #podcast #monday \n\nWatch: https://t.\xe2\x80\xa6'
1538682560049553419,2022-06-20 00:38:04+00:00,"b'1/2 Donald Trump says Fox News is ""Kissing the ass of the enemy"" by booking me. He must have been ""accidentally"" watching Real Time again. I know of no booking I have on Fox, but I\'ve made clear I\'d love to come on with Hannity or Carlson, but they back out when I balk at...'"
1538681789086060545,2022-06-20 00:35:00+00:00,"b'2/2 ... ""only talking about the things we agree on.""'"
1538013603701280775,2022-06-18 04:19:52+00:00,b'Nothing captures what\xe2\x80\x99s wrong with today\xe2\x80\x99s \xe2\x80\x9cjournalism\xe2\x80\x9d like the sad saga of what happened last week at The @WashingtonPost. https://t.co/pqnPYNfT0g'
1538002267659304962,2022-06-18 03:34:49+00:00,"b'On the bright side with the economy, that guy at the office who would never shut up about crypto has finally shut up about crypto. https://t.co/vGlpuuVSx8'"
1537978533678440456,2022-06-18 02:00:31+00:00,"b""RT @RealTimers: #StartTheClock: Tonight's episode of Real Time with @BillMaher feat. @Dannystrong, @jkirchick + @krystalball is now on @HBO\xe2\x80\xa6"""
1537606757253451776,2022-06-17 01:23:12+00:00,"b'RT @RealTimers: FRIDAY: @BillMaher welcomes @KrystalBall, @jkirchick + @DopesickOnHulu creator @DannyStrong to #RealTime @HBO! \n\nSend us yo\xe2\x80\xa6'"
1537603861891805185,2022-06-17 01:11:42+00:00,"b""RT @nowthisnews: Thursday's Jan 6 hearing ended on a somber note as Judge J. Michael Luttig sent out a warning looking ahead to the 2024 el\xe2\x80\xa6"""
1537515624976379904,2022-06-16 19:21:05+00:00,"b""The debate of whether Trump is stupid or crazy? He's both. #SAD! https://t.co/4I02wW534y"""
1536792406724444160,2022-06-14 19:27:16+00:00,b'.@CornelWest \xf0\x9f\x92\xaf\xf0\x9f\x94\xa5 @RealTimers https://t.co/3wHoDT1aju'
1536792266882301953,2022-06-14 19:26:43+00:00,b'My Beatles breakup theory. With @SammyHagar @ClubRandom_ https://t.co/fM3mxghQuu'
1536379237040414721,2022-06-13 16:05:29+00:00,"b'RT @RealTimers: English is not the official language, but if you speak anything else, a white lady is going to yell at you. #WikiTravelTip\xe2\x80\xa6'"
1536379127938174979,2022-06-13 16:05:03+00:00,b'Rock legend @SammyHagar this week @ClubRandom! https://t.co/FVcFdtY7tD https://t.co/MCycl6QRGh'
1535493769109196800,2022-06-11 05:26:57+00:00,b'There\xe2\x80\x99s a sick similarity between the revenge fantasies Hollywood turns out and those of school shooters. https://t.co/PU47JWhGiK'
1535492833292931072,2022-06-11 05:23:14+00:00,"b'Fox News is not going to show the January 6th hearings live. It doesn\xe2\x80\x99t fit with their narrative. Plus, why rehash the riot for all their viewers who experienced it in person? https://t.co/0Fcrkq7NJK'"
1535443315906097152,2022-06-11 02:06:28+00:00,"b""RT @RealTimers: #StartTheClock: Tonight's episode of #RealTime with @BillMaher feat. Dr. @CornelWest, @KellyannePolls + @jbarro is now on @\xe2\x80\xa6"""
1535244211359916032,2022-06-10 12:55:18+00:00,"b'RT @RealTimers: FRIDAY: @BillMaher welcomes Dr. @CornelWest, @KellyannePolls + @jbarro to #RealTime @HBO! \n\nAsk a question for #RTOvertime\xe2\x80\xa6'"
1535017921264513025,2022-06-09 21:56:06+00:00,"b'RT @RealTimers: It would appear that Nick Cannon\'s ""Birth Control for Dummies"" continues to not age well. #BooksThatDidntAgeWell https://t.\xe2\x80\xa6'"
1534601348116668416,2022-06-08 18:20:47+00:00,"b""My message to the left is when what you're doing sounds like an Onion headline, STOP! https://t.co/YgnNsprGRN"""
