twitter_id,date,tweet
1539307542748315650,2022-06-21 18:01:31+00:00,b'Stunnaman CMRG https://t.co/R2S0V9y3y3'
1521535971442974720,2022-05-03 17:03:39+00:00,b'Richgang stunnaman https://t.co/fDHLcGC5EM'
1521218261278511106,2022-05-02 20:01:11+00:00,b'Williams\xf0\x9f\xa9\xb8 RG\xf0\x9f\xa6\x85 https://t.co/Kpn5QgLly3'
1520141173813399553,2022-04-29 20:41:13+00:00,b'@Jacquees it\xe2\x80\x99s your album time I\xe2\x80\x99m on one let\xe2\x80\x99s GO show tha world your Supa \xe2\xad\x90\xef\xb8\x8f #RICHGANG RB\xf0\x9f\xa6\x85 https://t.co/mQtq1Sm5bG'
1515391848860237832,2022-04-16 18:09:06+00:00,b'Stunnaman RG\xf0\x9f\xa6\x85 https://t.co/Ty4Hj8SxB7'
1471978678351499264,2021-12-17 23:00:39+00:00,b'@Jacquees out now FYBRG\xf0\x9f\xa6\x85 https://t.co/EaL0XLEwju'
1469885797981691908,2021-12-12 04:24:18+00:00,b'From tha bayou\xf0\x9f\x90\x8aout now https://t.co/7u7G3mvpRX'
1469885601646362628,2021-12-12 04:23:31+00:00,b'Never_broke_again.com out now https://t.co/uxbUScnyjV'
1465555226153398278,2021-11-30 05:36:09+00:00,b'From tha bayou 12/3 Friday Stunna and top NBARG https://t.co/Xlvq9ZZt0h'
1464003486715191299,2021-11-25 22:50:05+00:00,b'Stunnaman RICHGANG\xf0\x9f\xa6\x85 https://t.co/tCzq5QlThp'
1426232111090995202,2021-08-13 17:20:08+00:00,b'Richgang ovo stunnaman https://t.co/Nrpee4LkLt'
1416914095597625345,2021-07-19 00:13:40+00:00,b'YMCMB the biggest ever Richgang https://t.co/6QFT0hCp7Q'
1395084638599720965,2021-05-19 18:31:11+00:00,b'Video Friday noon @liltunechi @RoddyRicch @BIRDMAN5STAR stunnaman @sheball movie https://t.co/Uk0g8iC20m'
1395084303638335497,2021-05-19 18:29:52+00:00,b'Lifestyle https://t.co/SZQgzyJONa'
1331398867250659329,2020-11-25 00:46:40+00:00,b'Stunnaman https://t.co/lcHczU0mMX'
1329188406883213318,2020-11-18 22:23:05+00:00,b'Lifestyle https://t.co/lDL1fGkziN'
1311711205392822272,2020-10-01 16:54:56+00:00,b'Anyweather stunnaman https://t.co/Plg0zaudcH'
1291826446910935040,2020-08-07 20:00:00+00:00,b'Stunnaman richgang https://t.co/okyRdWVC6F'
1284258750056902656,2020-07-17 22:48:41+00:00,b'Choppin it up wit my son @liltunechi tonight on @applemusic at 4pm PST/7pm EST. #YoungMoneyRadio https://t.co/NyKlDUINRN'
1281367017417658368,2020-07-09 23:17:58+00:00,b'Stunnaman  Cashmoney richgang\xf0\x9f\xa6\x85 https://t.co/FqtUFNsGUJ'
1261755245480173568,2020-05-16 20:27:47+00:00,b'Richgang lifestyle Stunnaman https://t.co/fzgBbI8UXm'
1254940672177700865,2020-04-28 01:09:06+00:00,b'@Bmjrrr like father like son https://t.co/Q1cK4tlOy7'
1245913032988823555,2020-04-03 03:16:29+00:00,b'https://t.co/CWykNgtAiF #RICHGANG out now on all digital &amp;streaming platforms https://t.co/8g6pOiVzSw'
1243235674356092931,2020-03-26 17:57:37+00:00,b'Lifestyle Richgang https://t.co/hcuiiHOE5V'
1241042599000997890,2020-03-20 16:43:07+00:00,b'Stunnaman lifestyle RICHGANG\xf0\x9f\xa6\x85 https://t.co/wK84G1KtEF'
1225004648760795136,2020-02-05 10:34:02+00:00,b'Stunnaman \xf0\x9f\xa6\x85 https://t.co/k5gbyRCGt9'
1213869243822940162,2020-01-05 17:05:54+00:00,b'Stunnaman https://t.co/RIM5AkULPb'
1213592998283501570,2020-01-04 22:48:12+00:00,b'Stunnaman https://t.co/ogOa8ahUJk'
1213508093352562688,2020-01-04 17:10:50+00:00,b'Stunnaman https://t.co/k7lPnvvQt2'
1213317419416076288,2020-01-04 04:33:09+00:00,b'Lifestyle https://t.co/GIlbdQODL4'
1210269769494081536,2019-12-26 18:42:53+00:00,b'Stunnaman lifestyle\xf0\x9f\xa6\x85 https://t.co/HArcY2Q19s'
1209687842894630912,2019-12-25 04:10:31+00:00,b'Spaceship stunnaman #RICHGANG https://t.co/CCH4MunnvJ'
1186381724244008960,2019-10-21 20:40:19+00:00,b'https://t.co/0p7FI0BJYY'
1184874240706666497,2019-10-17 16:50:07+00:00,b'Kmin soon #SHEBALL https://t.co/vsCI7faK4v'
1183518646821195777,2019-10-13 23:03:28+00:00,b'Stunnaman https://t.co/WskHhmrCln'
1183040485637574657,2019-10-12 15:23:26+00:00,b'Stunnaman #lifestyle https://t.co/sYeHB6x2cj'
1182872251416371201,2019-10-12 04:14:56+00:00,b'STUNNAMAN https://t.co/zQH4UJSO2Z'
1182872197385334784,2019-10-12 04:14:43+00:00,b'Stunnaman'
1182336909990879236,2019-10-10 16:47:40+00:00,b'Mastermind #STUNNAMAN https://t.co/JjV0auojfZ'
1179808607791144962,2019-10-03 17:21:06+00:00,b'Stunnaman https://t.co/vIwJOfq3qT'
1178346900703137792,2019-09-29 16:32:48+00:00,b'Rixhlife stunnamn https://t.co/uTwZvfacaG'
1177213386070941697,2019-09-26 13:28:37+00:00,b'Stunnaman #RICHGANG https://t.co/JoXXVBzfkA'
1176213887298850816,2019-09-23 19:16:58+00:00,b'Stunnaman #RICHGANG'
1175206758085619712,2019-09-21 00:35:00+00:00,b'Stunnaman spaceship richgang https://t.co/5xvdBgqsT3'
1175096931091005440,2019-09-20 17:18:35+00:00,b'@BIRDMAN5STAR #STUNNAMAN  lifestyle #richgang https://t.co/P3kJ3cW1VS'
1174899805111275522,2019-09-20 04:15:16+00:00,b'Richlife stunnaman #richgang https://t.co/Lc47sQrgJF'
1174899576530096128,2019-09-20 04:14:22+00:00,b'YSLRG @youngthug @BIRDMAN5STAR #CASHMONEY https://t.co/qezY31fdZM'
1173343527687872513,2019-09-15 21:11:11+00:00,b'Love my babygirl @briawilliamss https://t.co/o9EJmaeDL8'
1172918398533214213,2019-09-14 17:01:52+00:00,b'Stunnaman https://t.co/RgFmlXhSXa'
1172614855934849024,2019-09-13 20:55:42+00:00,b'Video out now @MTV #RIDE THAT https://t.co/C52YJow1IS'
1172253007184048130,2019-09-12 20:57:50+00:00,b'@MTV tomorrow ride that juvenile Lil wayne Birdman MTVU .RICHGANG YMCMB Cashmoneylifestyle https://t.co/2SPuVtcRqk'
1171232013950603265,2019-09-10 01:20:47+00:00,b'Stunnaman https://t.co/URPLuD0scJ'
1168735560883724288,2019-09-03 04:00:46+00:00,b'Ride that out now #richgang https://t.co/K2SqqiKhz4'
1167991611994693632,2019-09-01 02:44:35+00:00,b'Ride that out now @AppleMusic https://t.co/9dt9oIcJHy'
1167191160097574912,2019-08-29 21:43:52+00:00,b'Out now @BIRDMAN5STAR @LilTunechi   @juvenile #YMCMB https://t.co/yIkeGvRbSZ'
1166820340074524672,2019-08-28 21:10:22+00:00,b'Lifestyle RICHGANG https://t.co/XmHksfOY45'
1166775065788256256,2019-08-28 18:10:27+00:00,b'New music tomorrow HOTBOYS https://t.co/ONtiFy5nK6'
1165721332128112645,2019-08-25 20:23:18+00:00,b'Built to last @BIRDMAN5STAR #lilwayne #cashmoney https://t.co/n2bcfLtriq'
1165442046594883584,2019-08-25 01:53:31+00:00,b'Thuggin with my son today @BIRDMAN5STAR @liltunechi @whoisteveJ Cashmoney #richgang'
