twitter_id,date,tweet
1545091211777650688,2022-07-07 17:03:45+00:00,"b'It\xe2\x80\x99s important that it is said: This has been the FINEST, warmest, happiest crew we have ever flown with.\nThank you Angie, Maisie, Nick, Harry and Lisa and Capt. Wrigley and the entire crew. \n\nThank you @virginatlantic flight VS355 to London. https://t.co/78ADCi0ZuN'"
1544750994558316544,2022-07-06 18:31:51+00:00,b'Is he even human?\nWhat a match. What a man.\n#RafaelNadal\xf0\x93\x83\xb5  \n#NadalvsFritz'
1541753302844641281,2022-06-28 12:00:06+00:00,b'RT @kunalkohli: The performances of @SrBachchan @ajaydevgn @bomanirani are beyond superlative. #AjayDevgn as a director is inspiring. #Runw\xe2\x80\xa6'
1539858016085970945,2022-06-23 06:28:54+00:00,"b'RT @FilmCompanion: From new releases like season 2 of #She on @NetflixIndia to older shows still going strong like #Aashram on @MXPlayer, h\xe2\x80\xa6'"
1539253832978423810,2022-06-21 14:28:06+00:00,b'Way to go #teamMasoom https://t.co/TmQDYnnb78'
1537813956995448833,2022-06-17 15:06:33+00:00,"b""RT @taran_adarsh: 'MASOOM' NOW STREAMING ON DISNEY PLUS HOTSTAR... #Masoom - a narrative with layers - is now streaming only on @DisneyPlus\xe2\x80\xa6"""
1537813715072200704,2022-06-17 15:05:35+00:00,b'RT @RelianceEnt: Critics shower praise!\n#Masoom streaming now only on @DisneyPlusHS!\n#MasoomOnHotstar\n\n@SamaraTijori @bomanirani @itsupasan\xe2\x80\xa6'
1534597244540059649,2022-06-08 18:04:29+00:00,"b""A family, a secret from the past and shattered innocence - a person's truth is never simple.\xc2\xa0\n\n\xc2\xa0#HotstarSpecials #Masoom. All episodes streaming from 17th June only on @DisneyPlusHS\n\n#MasoomOnHotstar https://t.co/DYSEh1qxUf"""
1534533084514856961,2022-06-08 13:49:32+00:00,b'Indian Skipper and Inspiration to millions of girls and boys all around the world. It\xe2\x80\x99s been an honor to watch you play @M_Raj03. I hope your 2nd innings is as successful and inspirational as your 1st! \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb https://t.co/V04QCiG7bO'
1531712861986500608,2022-05-31 19:02:58+00:00,b'Saddened beyond words. What a huge and untimely loss. Will miss you @K_K_Pal .\nMay your beautiful soul rest in peace.'
1526109457813340161,2022-05-16 07:57:03+00:00,"b'RT @PaytmTickets: Naam hai Jayeshbhai, aur kaam hai Jordaar! \xf0\x9f\x98\x8e\n\nMake your weekend plans already, meet #JayeshbhaiJordaar at your nearest th\xe2\x80\xa6'"
1522175931565359104,2022-05-05 11:26:37+00:00,b'Congratulations Film Heritage Foundation for your remarkable work in Preserving and Restoring India\xe2\x80\x99s Film Heritage and Proud that a masterpiece like Aravindan\xe2\x80\x99s Thamp will be screened at Cannes @srbachchan @FHF_Official @shividungarpur . https://t.co/kzz8DBlA8o'
1513452375641624578,2022-04-11 09:42:19+00:00,b'AVIOUR or CULPRIT?\nBrace yourselves for the unexpected.\nThe clash of two stalwarts begins. #Runway34Trailer2 will grip you!\n\nhttps://t.co/MlH0PpyU7I\n \n#Runway34 #Runway34OnApril29\n@SrBachchan @ajaydevgn @Rakulpreet @CarryMinati @aakanksha_s30 @angira_dhar @ADFFilms @KumarMangat'
1510226425542230019,2022-04-02 12:03:33+00:00,b'Tera bhi toh khuda hai #MitraRe\nSong OUT NOW. \n\n#MitraReSongOutNow #Runway34 \n\nLink: https://t.co/QqbK5gYC9g\n\n@SrBachchan @ajaydevgn @Rakulpreet @CarryMinati @aakanksha_s30 @angira_dhar @arijitsingh @jasleenroyal @ADFFilms @KumarMangat @vicky1980 @PanoramaMovies @PanoramaMusic_'
1510118919373463553,2022-04-02 04:56:21+00:00,b'Attention Please! #MitraRe is arriving today at 1.11 pm on your playlist.  Stay Tuned! #Runway34 \n\n@SrBachchan @ajaydevgn @Rakulpreet @CarryMinati @aakanksha_s30 @angira_dhar @arijitsingh @jasleenroyal  @ADFFilms @KumarMangat @vicky1980 @Meena_Iyer @PanoramaMovies @PanoramaMusic_ https://t.co/wxqQFXorHY'
1508097671172706310,2022-03-27 15:04:38+00:00,"b'Looking for a place to watch my blockbuster films? GTPL Genie by @GTPLHathwayLtd  is your best bet! With  Live TV channels and 12+ OTT Apps, your normal TV will convert into a Smart TV! All thanks to, entertainment ki nayi duniya - GTPL Genie! Get yourself a GTPL Genie box today. https://t.co/cIiIehdDF5'"
1505978311197233152,2022-03-21 18:43:03+00:00,b'@Meena_Iyer @PanoramaMovies @hasnain_husaini #JayKanojiya @sandeep_kewlani'
1505978285104463872,2022-03-21 18:42:57+00:00,b'Every second counts. \nProudly presenting the trailer of Ajay Devgn\xe2\x80\x99s directorial film Runway 34. We are ready for take-off. \n\nhttps://t.co/JFWSVDMzSo\n\n#Runway34Trailer @SrBachchan @ajaydevgn @Rakulpreet @CarryMinati @aakanksha_s30 @angira_dhar @ADFFilms @KumarMangat @vicky1980 https://t.co/yXJamCRJvd'
1505402813437861891,2022-03-20 04:36:14+00:00,b'Runway 34 trailer landing tomorrow at 2.14pm\n\n#Runway34TrailerOnMarch21\n@SrBachchan @ajaydevgn @Rakulpreet @CarryMinati @aakanksha_s30 @angira_dhar @ADFFilms @KumarMangat @vicky1980 @Meena_Iyer @PanoramaMovies @hasnain_husaini #JayKanojiya\n@sandeep_kewlani https://t.co/smA6eqfWTp'
1503609102194282497,2022-03-15 05:48:40+00:00,b'@Meena_Iyer @hasnain_husaini @jaykanojiya17 @sandeep_kewlani'
1503608828012552197,2022-03-15 05:47:34+00:00,"b'The truth is hidden 35,000 feet above the ground. Now experience the teaser of #Runway34\n\nhttps://t.co/E1hVrRWtzq\n\n#Runway34Teaser #Runway34OnApril29\n@SrBachchan @ajaydevgn @Rakulpreet @CarryMinati @aakanksha_s30 @angira_dhar @ADFFilms @KumarMangat @vicky1980  @PanoramaMovies'"
1503291449710104582,2022-03-14 08:46:26+00:00,b'Never before in the history of aviation! \nExperience turbulence in air and on ground.\n\n#Runway34TeaserOutTom\n\n@SrBachchan @ajaydevgn @Rakulpreet @CarryMinati @aakanksha_s30 @angira_dhar @ADFFilms @KumarMangat #VikrantSharma @Meena_Iyer @PanoramaMovies https://t.co/veDne7AWtV'
1502557859782926338,2022-03-12 08:11:24+00:00,b'https://t.co/7cEkJMGpoK'
1502557714068566016,2022-03-12 08:10:49+00:00,b'Brace for impact\n#Runway34OnApril29\n\n@SrBachchan @ajaydevgn @Rakulpreet @CarryMinati @aakanksha_s3 @angira_dhar @ADFFilms @KumarMangat #VikrantSharma @Meena_Iyer @PanoramaMovies https://t.co/0ov4F0RGrF'
1502551953137872899,2022-03-12 07:47:56+00:00,b'https://t.co/6lUYZtcQC0'
1502551715148886018,2022-03-12 07:46:59+00:00,b'Brace for the unexpected \n#Runway34OnApril29\n\n@SrBachchan @ajaydevgn @Rakulpreet @CarryMinati @aakanksha_s3 @angira_dhar @ADFFilms @KumarMangat #VikrantSharma @Meena_Iyer @PanoramaMovies https://t.co/JLcHLTckm4'
1499757424072282114,2022-03-04 14:43:28+00:00,b'A legend is no more.\nGone too soon.\nThank you Mr. Warne for the memories of your magic on the cricket field.\n#RIP #ShaneWarne'
1499702576472014848,2022-03-04 11:05:32+00:00,"b""The trailer itself has me hooked, I\xe2\x80\x99m pretty sure this one's going to be one hell of an entertainer. \xf0\x9f\x92\xa5\n\nKeep an eye out for #Apharan2OnVootSelect guys! https://t.co/FTN9vtgd2a"""
1497198638505730060,2022-02-25 13:15:46+00:00,b'RT @shishhattangadi: A story of a Cricketer who lost his new born daughter a few days ago.He attends the funeral and gets back to represent\xe2\x80\xa6'
1490187058975232002,2022-02-06 04:54:15+00:00,b'She sounded like an angel and now she becomes one.\nRest in peace Lata Didi. \nEverlasting Peace.\n#LataMangeshkar'
1490176029461467136,2022-02-06 04:10:26+00:00,b'@RonnieScrewvala Mine was Rogers\xe2\x80\x99 Raspberry!!!'
