twitter_id,date,tweet
1507493562690248707,2022-03-25 23:04:07+00:00,b'June 28 @onlymurdershulu https://t.co/EbClByxLbY'
1440085064860065796,2021-09-20 22:46:49+00:00,"b""RT @voguemagazine: .@Caradelevingne's custom creation by @Dior\xe2\x80\x99s Maria Grazia Chiuri may be the star\xe2\x80\x99s boldest statement yet https://t.co/8\xe2\x80\xa6"""
1440084993951211527,2021-09-20 22:46:32+00:00,"b'RT @ReserveBar: Created by Chloe, Poppy, and Cara Delevingne, the award-winning Della Vite Prosecco is vegan certified, made in a solar-pow\xe2\x80\xa6'"
1440084957301383177,2021-09-20 22:46:23+00:00,b'RT @RollingStone: Cara Delevingne talks Prosecco and playlists as she celebrates the U.S. launch of Della Vite - the wine brand she started\xe2\x80\xa6'
1440084741588328454,2021-09-20 22:45:32+00:00,"b'RT @NylonMag: Cara, Poppy, and Chloe Delevingne on their Della Vite Prosecco \xe2\x80\x94 and how to properly celebrate.\nhttps://t.co/LwQsxxHTQE'"
1440062344810303489,2021-09-20 21:16:32+00:00,b'RT @enews: Choose your fighter. \xe2\x9a\x94\xef\xb8\x8f (\xf0\x9f\x93\xb7: Getty) https://t.co/0nt2FjmkI3'
1425197174103724037,2021-08-10 20:47:39+00:00,b'RT @MariahCarey: Happy birthday Whitney \xf0\x9f\x91\x91 Missing and celebrating you today \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/oZcIdV2RgW'
1404833579960614913,2021-06-15 16:10:00+00:00,"b'I\xe2\x80\x99ve made my first comic for #RewritingExtinction! Please donate, share and join us in finally saving species from extinction. https://t.co/Tls4maOBWK  @rwritextinction @myecoresolution @kierongillen, @seanpphillips @paulgoodenough'"
1397269518519517194,2021-05-25 19:13:07+00:00,"b'RT @Chemical_X_Lab: Cara Delevingne Is Selling an NFT of Her Vagina, Donating Profits https://t.co/uuGKmJlcFM'"
1397269140864442375,2021-05-25 19:11:37+00:00,"b'RT @hbomax: Picture this: \n\nThe year is 2002, it\xe2\x80\x99s Thursday night, and you rush home to catch the latest episode of Friends. Now get ready\xe2\x80\xa6'"
1393202394943561733,2021-05-14 13:51:50+00:00,b'RT @Dazed: All proceeds will be donated to the @Caradelevingne Foundation to support vulnerable women across the globe.\n\nhttps://t.co/FD7m6\xe2\x80\xa6'
1393202372998950913,2021-05-14 13:51:44+00:00,b'RT @AdobeUK: In celebration of #MentalHealthAwarenessWeek we are sharing inspiring quotes from the Best of British that create a positive o\xe2\x80\xa6'
1393202339037650952,2021-05-14 13:51:36+00:00,"b'RT @InsideHBOMax: #FriendsReunion to premiere Thursday, May 27 on @HBOMax: https://t.co/M3fslXbq2B\n\nGuest stars appearing in the cast reuni\xe2\x80\xa6'"
1378349259884437509,2021-04-03 14:10:46+00:00,"b'RT @MeredithFrost: Marvin Gaye\xe2\x80\x99s isolated vocals for \xe2\x80\x9cI Heard It Through The Grapevine."" Simply incredible. https://t.co/ztG6l3lM2U https:/\xe2\x80\xa6'"
1360784872630018048,2021-02-14 02:56:10+00:00,"b'RT @portalcaradbr: Amanh\xc3\xa3, (14/Fev), Cara Delevingne e seu professor de Yoga, Colin, far\xc3\xa3o uma live com uma sess\xc3\xa3o especial em comemora\xc3\xa7\xc3\xa3o\xe2\x80\xa6'"
1360784619373801472,2021-02-14 02:55:10+00:00,"b""RT @US_CARA: #INFO Cara Delevingne will do a special Valentine's day yoga live on @Puma's instagram, tomorrow at 11am PT"""
1353395743831289856,2021-01-24 17:34:24+00:00,b'https://t.co/68yOfVeNUm\n\nhttps://t.co/VJU6tQM6d9'
1346546963974660096,2021-01-05 19:59:48+00:00,"b'RT @staceyabrams: Jobs, justice, health care, and recovery from Covid-19 are all on the ballot today. We need President-elect @JoeBiden to\xe2\x80\xa6'"
1336740313591844864,2020-12-09 18:31:40+00:00,b'RT @fairfightaction: It is unacceptable that Cobb County - GA\xe2\x80\x99s third-largest and already the site of the longest early voting lines of 201\xe2\x80\xa6'
1334942725968433154,2020-12-04 19:28:42+00:00,b'Join us this Sunday for a free screening &amp; discussion of award-winning documentary The Condor &amp; The Eagle! \nWe will be raising money for indigenous communities whilst learning how we can stand in solidarity with them : https://t.co/8NFDR0QosW @MyEcoResolution @TheCondorFilm'
1299556300972589056,2020-08-29 03:55:41+00:00,b'RT @iamavoter_: Text VOTER to 26797 to register or confirm your registration. And you will get reminders for all upcoming elections and you\xe2\x80\xa6'
1299555954392997890,2020-08-29 03:54:18+00:00,"b'RT @wearepushblack: @kerrywashington and @itsgabrielleu bring an inspiring level of wisdom, humility, humor and Black pride to this special\xe2\x80\xa6'"
1296930600046284800,2020-08-21 22:02:05+00:00,b'RT @ProgressPopNow: Look who we found! \xf0\x9f\x91\x80Huge thanks to @tanfrance for partnering with us on our Make It Pop series. (Pssss\xe2\x80\xa6 register to vot\xe2\x80\xa6'
1296930534048899072,2020-08-21 22:01:49+00:00,b'Leo and I partnered with @ProgressPopNow on Instagram - check it out and follow them for more pet posts &amp; positive vibes ! https://t.co/MAfBmC7Lg6'
1275483037220954113,2020-06-23 17:37:08+00:00,"b""I got a chance to see this doc early thanks to @kerrywashington and I can't wait for you all to learn about these amazing lawyers at the @ACLU https://t.co/jglAegL0Kg"""
1265751067100360712,2020-05-27 21:05:45+00:00,"b""Let's fight back against\xc2\xa0#COVID19\xc2\xa0&amp;\xc2\xa0#ClimateChange. I encourage developers &amp; innovators to make a difference. Join\xc2\xa0@CallforCode\xc2\xa0&amp; its partner\xc2\xa0@UNHumanRights\xc2\xa0to help create solutions for the world's most vulnerable people. Visit:\xc2\xa0https://t.co/8eXNiAmMAZ\xc2\xa0#TechForGood"""
1265747949272752128,2020-05-27 20:53:22+00:00,b'RT @torylanez: They re - opening the country because they losing money ... not because it\xe2\x80\x99s safe outside .'
1255734790009098242,2020-04-30 05:44:39+00:00,b'You can now text me!!! +1-310-421-0894 \xe2\x9d\xa4'
1255345261804732416,2020-04-29 03:56:48+00:00,"b'Tune in Thursday for a virtual screening of The Story Of Plastic followed by a live Q&amp;A with me &amp; Annie Leonard, executive director of Greenpeace &amp; author of The Story Of Stuff. Join us for a discussion &amp; bring your questions! Register: https://t.co/7AT2yC6SqF @MyEcoResolution https://t.co/sF62VnqNSu'"
1247579559597391876,2020-04-07 17:38:40+00:00,b'RT @DryWrite: \xf0\x9f\xa4\x93 #Fleabagforcharity #Peopleareallwegot https://t.co/awm9kxBHZq'
1247579541607985155,2020-04-07 17:38:36+00:00,b'RT @DryWrite: THE FLEABAG SUPPORT FUND will provide grants of \xc2\xa32500 to freelancers working in the theatre industry who are in urgent financ\xe2\x80\xa6'
1242143104783785988,2020-03-23 17:36:08+00:00,b'RT @UNDP: #COVID19 threatens already dire situations for people &amp; health workers in conflict zones. @UN Secretary-General @antonioguterres\xe2\x80\xa6'
1236667512475004929,2020-03-08 14:58:05+00:00,b'There is no place or part of life where women are equal to men.\nThat\xe2\x80\x99s why I\xe2\x80\x99m taking a stand with @girlup this International Women\xe2\x80\x99s Day to drive faster action on #genderequality. Share what #EqualEverywhere means to you! #GirlStories  #InternationalWomensDay https://t.co/1HDJB9ca84'
1225447964577091585,2020-02-06 15:55:37+00:00,"b""RT @advaya_co: Part Two:\n@Caradelevingne on @MyEcoResolution and why she's stepping up and not shutting down this year!\n\n#MyEcoResolution\xe2\x80\xa6"""
1225447756413710337,2020-02-06 15:54:47+00:00,"b""RT @advaya_co: We're SO excited to launch @MyEcoResolution with @Caradelevingne\nThis year we're going on a journey of climate action, from\xe2\x80\xa6"""
1224642673723600897,2020-02-04 10:35:40+00:00,b'RT @PatrickSKling: Shakira wore her same outfit from Zootopia... https://t.co/kjc3tlPZLY'
