twitter_id,date,tweet
1546257060655992833,2022-07-10 22:16:25+00:00,b'#ColdplayBerlin Night one in the books! https://t.co/1ZCIKDXr0t'
1546222554981060609,2022-07-10 19:59:19+00:00,"b'@mrbrightsaad @StadeFrance Yes , let me look into it PH'"
1546218512368140293,2022-07-10 19:43:15+00:00,"b'So sorry not to see you for these two shows, Zoe. Let\xe2\x80\x99s make it happen next time \xf0\x9f\x92\xaf.  Get well soon \xf0\x9f\x92\x93 PH https://t.co/4NgINUiPLs'"
1546140863432212480,2022-07-10 14:34:42+00:00,b'Here are the times for tonight\xe2\x80\x99s sold out #ColdplayBerlin show. https://t.co/wPY6G0UUQ0'
1546130741851033600,2022-07-10 13:54:29+00:00,b'Back at the beautiful Olympiastadion\xe2\x80\xa6 follow the bear\xe2\x80\xa6! W. X https://t.co/DvfIWbgL2v'
1546080881604960256,2022-07-10 10:36:21+00:00,b'\xf0\x9f\xa4\x8d\xe2\x9d\xa4\xef\xb8\x8f #ColdplayWarsaw https://t.co/IZlXxNNvya'
1545838553493606403,2022-07-09 18:33:26+00:00,"b'Dear @romariopunch; thankyou so much for singing with us last night in Warsaw. And @okeanelzy, thankyou for your beautiful song. Love c, g, w &amp; j https://t.co/eIU4rZFPN0'"
1545544800174108672,2022-07-08 23:06:09+00:00,b'Thank You Warsaw! https://t.co/AjKS6PyqBX'
1545530570741989376,2022-07-08 22:09:37+00:00,b'#ColdplayWarsaw https://t.co/pF8ZBBO2QK'
1545514025970270208,2022-07-08 21:03:52+00:00,"b'@FrankSchepers24 Venue curfew, I\xe2\x80\x99m afraid. PH'"
1545493666202062850,2022-07-08 19:42:58+00:00,b'Better late than never\xe2\x80\xa6 a smokey night in Warsaw\xe2\x80\xa6 W. X https://t.co/0USYgAvePB'
1545414799743500289,2022-07-08 14:29:35+00:00,b'Here are the times for tonight\xe2\x80\x99s sold out show at @PGENarodowy. #ColdplayWarsaw https://t.co/m9SFInfnC3'
1545097604970823681,2022-07-07 17:29:10+00:00,b'Super happy to be in Poland \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/fWCBig1q8n'
1544799376404627461,2022-07-06 21:44:06+00:00,b'RT @youtubemusic: honestly teared up when The Weirdos played the big stage in @coldplay\xe2\x80\x99s \xe2\x80\x9cBiutyful\xe2\x80\x9d \xf0\x9f\xa5\xb9 \xe2\x86\x92 https://t.co/tAOcpOZRNy https://t.\xe2\x80\xa6'
1544767435512889346,2022-07-06 19:37:11+00:00,b'\xf0\x9f\x91\x8a https://t.co/gQoyeIslva'
