twitter_id,date,tweet
1546427701912813569,2022-07-11 09:34:30+00:00,b'Postcard from the first few days of my holibobs \xf0\x9f\x8f\x9d https://t.co/9qv85IEGXT'
1544374283400519683,2022-07-05 17:34:56+00:00,"b'Life has been far from perfect recently, but there\xe2\x80\x99s definitely been a little bit of perfect in each day and I\xe2\x80\x99m grateful for that \xf0\x9f\x92\xab @ My Little Life https://t.co/PJY0770i5d'"
1542942951537627137,2022-07-01 18:47:20+00:00,b'It\xe2\x80\x99s all fun and games until your flight home gets cancelled and you get back 12 hours later than scheduled \xf0\x9f\xab\xa0 https://t.co/flpNKMYRfs'
1542210814463164416,2022-06-29 18:18:05+00:00,b'Living my best Mamma Mia life in Greece with @the_athonites \xf0\x9f\x87\xac\xf0\x9f\x87\xb7 \xf0\x9f\x92\xab https://t.co/Pn3FCUut6S'
1541491535967051777,2022-06-27 18:39:56+00:00,b'Gentle reminder\xe2\x80\xa6 don\xe2\x80\x99t be upset by the results you didn\xe2\x80\x99t get from the work you didn\xe2\x80\x99t do. Swipe for todays workout selected by you guys in my stories \xf0\x9f\x94\xa5 @daniellepeazermethod https://t.co/jVgb2ad5o8'
1539228208838561793,2022-06-21 12:46:17+00:00,b'Always and forever \xf0\x9f\xa4\x8d https://t.co/a3EHdhKLwX'
1537157857786793984,2022-06-15 19:39:26+00:00,b'Instagram stories is having a strange little moment right now so the feed is getting a mini Portugal photo album instead \xf0\x9f\xa5\xb0 @domeslakealgarve @ Domes Lake Algarve https://t.co/fOxzJAzSLg'
1536791872349388800,2022-06-14 19:25:09+00:00,b'Arrived in the Algarve and having a lovely time tbh \xf0\x9f\x8c\xb4 https://t.co/IAYxotRped'
1536035684640759811,2022-06-12 17:20:20+00:00,b'My favourite thing to do in life is have fun with those I love and I\xe2\x80\x99m going to keep doing that for as long as I can \xf0\x9f\xa5\x82\xf0\x9f\x92\x98 https://t.co/OJAqP05gL5'
1534599623574228994,2022-06-08 18:13:56+00:00,b'I have zero new content but it\xe2\x80\x99s summer and I found this pic whilst scrolling through my phone so here we are \xf0\x9f\x8c\x85 https://t.co/0RVNGfLGRA'
1533887482210680832,2022-06-06 19:04:08+00:00,"b'Recent life &amp; platty jubes lols \xf0\x9f\x87\xac\xf0\x9f\x87\xa7 @ London, United Kingdom https://t.co/qpyFYyg2tz'"
1532131334545604609,2022-06-01 22:45:50+00:00,b'\xf0\x9f\xa4\x8d\xf0\x9f\x92\xab https://t.co/ksJrh7B8Lg'
1532099681911726081,2022-06-01 20:40:03+00:00,b'Peace feels like boredom to those who are used to chaos \xf0\x9f\x92\xab (outfit tagged) https://t.co/QWcjQq7Q7B'
1531292475045945345,2022-05-30 15:12:30+00:00,b'Take one and pass it on \xf0\x9f\x92\xab https://t.co/jfMqQHWa5q'
1530243980696227840,2022-05-27 17:46:10+00:00,"b'Remember, rumours either come from a guy who can\xe2\x80\x99t have you or a girl who can\xe2\x80\x99t be you \xf0\x9f\xa5\xb2 https://t.co/baV70XKmNQ'"
1529567799282225160,2022-05-25 20:59:16+00:00,b'RT @POTUS: These kinds of mass shootings rarely happen elsewhere in the world.\n\nWhy are we willing to live with this carnage? Why do we kee\xe2\x80\xa6'
1529004025911312385,2022-05-24 07:39:01+00:00,"b'I feel this to my core. Twitter is the scariest of all the social media platforms, keeping my therapist on speed dial \xf0\x9f\x98\x82 https://t.co/QtNQfyILRd'"
1528721257205743617,2022-05-23 12:55:24+00:00,b'@rahilariouss \xf0\x9f\x98\x98\xf0\x9f\x98\x98'
1528721139731779584,2022-05-23 12:54:56+00:00,"b'Last night I had my first ever dream about my teeth falling out. Not just one or 2 teeth, my whole bottom row of teeth. I did not need to wake up with that level of anxiety on a Monday \xf0\x9f\xab\xa0'"
1527245463543500802,2022-05-19 11:11:08+00:00,b'Just posted a photo https://t.co/fsCa1FcQHT'
1526271519126654979,2022-05-16 18:41:01+00:00,b'Just posted a photo https://t.co/47ZLBCz4GQ'
1523401497035231232,2022-05-08 20:36:34+00:00,b'Just posted a photo https://t.co/DgIhH7lLbl'
1522663860309745668,2022-05-06 19:45:28+00:00,b'My money don\xe2\x80\x99t jiggle jiggle\xe2\x80\xa6 https://t.co/JvRUJAJ7Zv'
1522261094093496320,2022-05-05 17:05:01+00:00,b'Just posted a photo https://t.co/WSmuWxwGwE'
1521787964476567555,2022-05-04 09:44:58+00:00,"b'Just posted a photo @ London, United Kingdom https://t.co/th6J59UOQs'"
1519691224495632384,2022-04-28 14:53:17+00:00,"b'The power a fresh set of nails holds is like no other \xf0\x9f\x92\x85\xf0\x9f\x8f\xbc All done at @mytownhouseuk, hit save for inspo \xe2\x9c\xa8 #naildesigns https://t.co/E1hmZrHapd'"
1518647818914836481,2022-04-25 17:47:09+00:00,b'Everyday essentials from @victoriassecretuk \xf0\x9f\x92\x95 Wearing the new Love Cloud Collection \xe2\x98\x81\xef\xb8\x8f\xf0\x9f\x92\xab  #VSPartner #WearTheCloud #ad https://t.co/MTR9Us3aes'
