twitter_id,date,tweet
1546594928347815942,2022-07-11 20:38:59+00:00,"b'RT @Variety: Disney Channel Stars Debby Ryan, Alyson Stoner, Matthew Scott Montgomery and More to Star in LGBTQ Horror Film\xc2\xa0(EXCLUSIVE) htt\xe2\x80\xa6'"
1546594903630692352,2022-07-11 20:38:54+00:00,b'RT @IFCFilms: Pull up a chair and mangia \xf0\x9f\x8d\x9d #SpinMeRound trailer is served this Tuesday!\n\n@alisonbrie #mollyshannon @aydenmayeri @sandronivo\xe2\x80\xa6'
1546174506217136130,2022-07-10 16:48:23+00:00,b'RT @twentyonepilots: #neverbeendun https://t.co/ruAYzCkeJ9'
1545449473169657857,2022-07-08 16:47:22+00:00,"b'RT @tubbytyinthetub: Today on Perfectly Imperfect\xe2\x80\xa6\n\n@DebbyRyan on Magnesium Dreams, Racer Trash, Putting Stuff In Her Water, and more.\n\nhtt\xe2\x80\xa6'"
1541406045851078659,2022-06-27 13:00:13+00:00,b'@lovelypleaser \xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb6\xf0\x9f\x8e\xb5'
1539068455948800000,2022-06-21 02:11:29+00:00,b'@jillboard guys can to'
1539068272087339008,2022-06-21 02:10:45+00:00,b'RT @jillboard: actor\xe2\x80\xa6 but a guy'
1537968906475667458,2022-06-18 01:22:16+00:00,"b'RT @twentyonepilots: It\xe2\x80\x99s Josh\xe2\x80\x99s birthday here in Europe. Happy birthday, Josh. https://t.co/dGACW2pxXC'"
1537966725303373824,2022-06-18 01:13:36+00:00,"b'RT @Nick_Offerman: Folks, starting July 28, you can see me at a resort supporting a cadre of very good actors, but I will not have a mustac\xe2\x80\xa6'"
1536098413812629513,2022-06-12 21:29:35+00:00,b'RT @DVYDREVMING: .@DebbyRyan https://t.co/1bIt5A29z9'
1534994627757064227,2022-06-09 20:23:32+00:00,b'@femmeclancy @myri_ technically tyler had first dibs'
1534989507132637208,2022-06-09 20:03:11+00:00,b'@myri_ nah I didn\xe2\x80\x99t say that dawg he\xe2\x80\x99s mine but I get why you would be tho'
1534988275122946075,2022-06-09 19:58:18+00:00,"b'@myri_ listen, I get it. if anyone understands why you would be in love with that dude, it\xe2\x80\x99s me'"
1534987461490888704,2022-06-09 19:55:04+00:00,b'@formidabledun me too (\xe2\x80\x9c: they really got into it. I looked at his notes of all the cues just for one song and it was dizzying. baby boy was busy'
1534985569142554652,2022-06-09 19:47:32+00:00,"b'@lovelypleaser honestly he sounded so good when they were practicing. all the vocal melodies and arrangements for unplugged are very special, you want to swim in them'"
1529137770370940929,2022-05-24 16:30:29+00:00,"b'I mean this has to be right, right? https://t.co/70U87dWyAQ'"
1528930206018330625,2022-05-24 02:45:41+00:00,b'@BrotiGupta maritime law chicken'
1528929715230326784,2022-05-24 02:43:44+00:00,b'@BrotiGupta so much chicken is loose chicken nowadays'
1527495215916924941,2022-05-20 03:43:33+00:00,b'RT @ReelBearMedia: when I went to film school I wanted to one day work on something that would screen in a theater. I quickly found myself\xe2\x80\xa6'
1506090761745362945,2022-03-22 02:09:54+00:00,b'@timheidecker thank you (:'
1506015964504092675,2022-03-21 21:12:41+00:00,"b'RT @TheCherryPicks: The team behind Spin Me Round (stars @debbyryan, @aydenmayeri, Zach Woods &amp; @timheidecker and writer/director Jeff Baen\xe2\x80\xa6'"
1501391682541076482,2022-03-09 02:57:26+00:00,"b'@lovelypleaser ohh yeah Little Miss Little Compton, Priestdaddy, Broken People, Fake Accounts \xe2\x80\x94 all varying levels of wicked clever, silly, deeply stirring and touch on how we relate to other people or ourselves'"
1501390699278876676,2022-03-09 02:53:31+00:00,b'RT @2chainz: everyday Women\xe2\x80\x99s Day'
1496273584570118146,2022-02-22 23:59:56+00:00,b'@formidabledun mix &gt; match. matching is fussy'
1496272891033579521,2022-02-22 23:57:11+00:00,b'@laursprfctring idk stop getting to work early when I\xe2\x80\x99m posting'
1496272562808291332,2022-02-22 23:55:53+00:00,"b'@debbysivy @kaminocatch lmao same, anyone whose mind went there doesn\xe2\x80\x99t know me or us at all, deeply silly'"
1496271363375775744,2022-02-22 23:51:07+00:00,"b'@DVYDREVMING wait have I actually not? the amount of spooky movies I actively haven\xe2\x80\x99t done, I\xe2\x80\x99m surprised one didn\xe2\x80\x99t slip through the cracks into my past'"
1496270516235157510,2022-02-22 23:47:45+00:00,b'@debsthere dude I was just hanging out with DABSMYLA and myla painted that cosmic shooting star for me and it\xe2\x80\x99s been magic ever since'
1496270000306462726,2022-02-22 23:45:42+00:00,b'@aliienlynn dude ok VERY tite'
1496269386633875456,2022-02-22 23:43:15+00:00,b'@MattBennett @peachgillies is this the Mandela effect'
1496268737368010754,2022-02-22 23:40:40+00:00,b'So excited for my daughter to come to hometowns. Bring her home to us!!! \n\ncc: @ThenSusieSaid https://t.co/4u7woWhrHC'
1493707750009933825,2022-02-15 22:04:14+00:00,b'RT @jillboard: And... you can now read the exclusive excerpt from Girls Can Kiss Now online! Read it now on @Cosmopolitan:   https://t.co/q\xe2\x80\xa6'
1490057672804253700,2022-02-05 20:20:07+00:00,b'@_anathemma_ What else goes in there'
1490057426825060361,2022-02-05 20:19:09+00:00,b'@myri_ I loved it. Had to restrain myself from tearing straight through the series and digest it; was constantly surprised by the sound design and direction and could already watch it again. Excited to work on a Sam Esmail project \xe2\x80\x94 his voice and point of view is so smart and so punk'
1486146976920055809,2022-01-26 01:20:25+00:00,"b'@lovelypleaser Reading, which is to say actively not running tysm for asking'"
1486143063999365123,2022-01-26 01:04:52+00:00,"b'@debbysivy Give it a couple months, movies take time'"
