twitter_id,date,tweet
1542659704735666181,2022-07-01 00:01:49+00:00,b'@mynx63 @rayyyyyluv @erikajayne @GarcelleB I did. &amp; texted her'
1542657925910364160,2022-06-30 23:54:45+00:00,b'@JesseBeltran75 @GarcelleB I did. @GarcelleB knows why I wasn\xe2\x80\x99t there. I wasn\xe2\x80\x99t able to be there. I wanted to \xf0\x9f\x92\xab'
1524595414455840768,2022-05-12 03:40:47+00:00,"b'RT @LMN: Not sure this is one, big happy family. \xf0\x9f\xa4\x94 Don\xe2\x80\x99t miss #KillerCheerMom tomorrow night at 8/7c! https://t.co/9M2FkpcFKM'"
1499204064688717824,2022-03-03 02:04:37+00:00,b'I\xe2\x80\x99m partnering again w/ @HallowApp this Lent to help you find peace for the next 40 days. Join me in their awesome #Pray40 Challenge leading up to Easter. Get access to the #1 Catholic app at\xc2\xa0https://t.co/1PD1HLfWfa.\xc2\xa0#ad #Catholic #AshWednesday #hallowapp #Ashtag #Lent https://t.co/3q5hieQJ6E'
1492251328692711424,2022-02-11 21:36:56+00:00,b'@BrianW189 @housewivesguy @KyleRichards @lisarinna Not everything said is aired.'
1485763990848360449,2022-01-24 23:58:34+00:00,b'Thank you for remembering me sneaking you the yummier food &amp; posting this. It means a lot. The crew works harder than anyone &amp; I really appreciate all the hard work. Thank you again for your lovely kind words\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/KRtlbdWcmQ'
1485689144386883585,2022-01-24 19:01:09+00:00,b'@ThatsJustPunny @TGodmama Thank you so much.'
1476340543219109891,2021-12-29 23:53:09+00:00,b'@Nikelodeon2021 @MarTEAnisEddy Thank you for your kind words'
1465714270503583745,2021-11-30 16:08:08+00:00,"b'Last spring I shared about this amazing app I\xe2\x80\x99ve been using called @HallowApp  to bring peace and calm into my life. As we head into the Christmas season, I invite you to join me in Hallow\xe2\x80\x99s Advent #Pray25 Challenge. \nhttps://t.co/1PD1HLfWfa https://t.co/4DH5x47Hvy'"
1460264698163732487,2021-11-15 15:13:29+00:00,b'@scaryhours I can confirm it\xf0\x9f\x98\x81'
1451723630971211782,2021-10-23 01:34:20+00:00,b'Thank you \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/aJdneibe0R'
1447985500330106882,2021-10-12 18:00:20+00:00,"b'RT @patrick_ganino: Fun piece I just finished of @DENISE_RICHARDS , def wait till the end on this one! \xf0\x9f\x94\xa5\xf0\x9f\x98\x89\n.\n\xf0\x9f\x93\xb7 @Chriiswilson https://t.co/MN\xe2\x80\xa6'"
1447985456042348546,2021-10-12 18:00:09+00:00,b'Check out this new painting by my friend/artist Patrick Ganino\n\nGo follow @patrick_ganino https://t.co/Gs0AMowjeQ'
1447984557672775689,2021-10-12 17:56:35+00:00,b'@patrick_ganino @Chriiswilson \xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f'
1438593677903990785,2021-09-16 20:00:35+00:00,b'@LVPfan_ No I have not\xe2\x80\xa6'
1437599192982204416,2021-09-14 02:08:51+00:00,"b""RT @jessmstephens: Can we all just take a moment to acknowledge that @DENISE_RICHARDS absolutely nailed this year's Met Gala theme? https:/\xe2\x80\xa6"""
1434668853288603650,2021-09-06 00:04:44+00:00,"b'I love that our daughter Eloise goes on my Ipad and orders many items from amazon. I can\xe2\x80\x99t even get mad. She picked out nice TV\xe2\x80\x99s and #frozen inspired decor. And being special needs,  I\xe2\x80\x99m so happy \xf0\x9f\x98\x81 she knows how to order it more than we do\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'"
1428779808821899265,2021-08-20 18:03:46+00:00,b'@LizTVLiz1 The comparison is disgusting'
1428779410350436352,2021-08-20 18:02:11+00:00,b'@ClaraLangham @JesseBeltran75 @jcxhandler @erikajayne Clearly not'
1419745274394644489,2021-07-26 19:43:45+00:00,b'@JohnMen82791696 Thank you \xf0\x9f\x92\x9a'
1419745067942613008,2021-07-26 19:42:56+00:00,b'@80sBaby90sKid_ @EddieGriffinCom @ChrisKattan @DaveChappelle @ActuallyNPH Loved working on this movie!!!! So fun'
1418680178084024327,2021-07-23 21:11:26+00:00,b'@Lavendargirl47 @Obviously_Maybe @ejyoder @Ford I\xe2\x80\x99m well educated. He purchased it from @Ford how they handle it with @ShelbyAmerican that\xe2\x80\x99s not our responsibility. @Ford signed off on the truck delivered to my husband. Not once have they even tried to put Shelby in touch with him. But thank you anyway'
1418400100095778818,2021-07-23 02:38:31+00:00,b'@Strangevillie @Ford @RamTrucks He was just looking at @RamTrucks TRX !!'
1418311748835291146,2021-07-22 20:47:26+00:00,b'@TiF79785946 @Ford Thank you. I\xe2\x80\x99m grateful I wasn\xe2\x80\x99t driving I\xe2\x80\x99m not strong enough to handle that situation'
1418311569507815429,2021-07-22 20:46:43+00:00,b'@ejyoder @Ford The truck was bought from .@Ford  it\xe2\x80\x99s their responsibility I believe. But thank you.. I\xe2\x80\x99m also trying to convince him to buy a truck other than @Ford at this point. Even though that\xe2\x80\x99s all he ever drove.'
1418300942613721091,2021-07-22 20:04:30+00:00,b'Hubby drove home getting us \xe2\x98\x95\xef\xb8\x8fthe wheel of his brand new #F150Shelby came right off while he was driving Could\xe2\x80\x99ve killed him or someone else. This has happened to others &amp; I Don\xe2\x80\x99t want it to happen to anyone else. Not right how @Ford is dealing with it or not I should say https://t.co/3FB4c5mmFU'
1411126151796326403,2021-07-03 00:54:26+00:00,"b'Thank you. And with the very humiliating &amp; public divorce I had, everything has been out there https://t.co/3iq1z1I4nA'"
1411125047276670976,2021-07-03 00:50:03+00:00,b'@Ragamuffin_Tm @dave_oliverr @AllCelebPolls @lisarinna @BravoTV @Andy thank you for being a fan.'
1411123974445015047,2021-07-03 00:45:47+00:00,b'@PoshLifeWithDeb @phoebetoal @BravoWWHL @GarcelleB Thank you. And for the record. Did not demand an ultimatum'
1410693657703837696,2021-07-01 20:15:52+00:00,b'@phoebetoal @BravoWWHL @GarcelleB What show did you watch? I did show my life...'
1405405978783219714,2021-06-17 06:04:31+00:00,"b'@friendlysmilepi @Glamhairus I like mixing flavors. All @HaagenDazs_US  mint chip, vanilla Swiss almond, and chocolate peanut butter !  \xf0\x9f\x8d\xa6'"
1400422794689662987,2021-06-03 12:03:07+00:00,"b""I'm participation in the @WindsorVineyard  \xe2\x80\x98Pop Art\xe2\x80\x99 auction to benefit the California Wildfires Relief Fund. Excited to let you know that the auction is now live!\n\nThe direct link to the auction is: https://t.co/0AzVPD7SMD"""
1399451647428808706,2021-05-31 19:44:07+00:00,b'Click here to watch \xf0\x9f\x91\x87 https://t.co/jukFIidBn9 @KDDMediaCompany https://t.co/9VXTPZHZsG'
1399449806737756160,2021-05-31 19:36:49+00:00,"b'Thankful for our military. It\xe2\x80\x99s important to honor and remember the sacrifices and our heroes. My father is a Vietnam Veteran. This is him in Vietnam in 1969.  \n#memorialday @irv_richards @ Los Angeles, California https://t.co/vTw8KOJRnd'"
1397395370267795460,2021-05-26 03:33:13+00:00,b'Just posted a photo @ Home Sweet Home https://t.co/2XEzUH11K8'
1394499526342455299,2021-05-18 03:46:10+00:00,"b'Just posted a photo @ Malibu, California https://t.co/s6Y4sodkft'"
1394380224696049664,2021-05-17 19:52:06+00:00,"b'#bts @thetalkcbs thank you for having me. \nGlam: @glambypamelab \nstudio: hubby\xe2\x80\x99s office \n\xf0\x9f\x93\xb8:  @glambypamelab @ Malibu, California https://t.co/VcAhXQvC9l'"
1394358918973988865,2021-05-17 18:27:26+00:00,"b'Early am glam with @glambypamelab at hubby\xe2\x80\x99s office  for @thetalkcbs @ Malibu, California https://t.co/r94QjK32Q9'"
1394327134454300673,2021-05-17 16:21:08+00:00,b'Today on @TheTalkCBS .... https://t.co/zeF2ybO09g'
1392297118652682247,2021-05-12 01:54:35+00:00,b'A dream job to co-host @entertainmenttonight today with @kevinfrazier  &amp; @laurenzima I had so much fun thank you for having me. \nGlam: @glambypamelab \n\xf0\x9f\x91\x97: @loveshackfancy \nShoes: @louboutinworld https://t.co/LQ7GGIyz77'
1392266726818029570,2021-05-11 23:53:49+00:00,"b'Getting some glam before co-hosting @entertainmenttonight  takes a village \xf0\x9f\x98\x82\n@glambypamelab @ Malibu, California https://t.co/YbPGZp62qd'"
1389399616026677248,2021-05-04 02:00:56+00:00,b'@Skye05847740 @LadyTeapots What \xe2\x80\x9ctop secret lies?\xe2\x80\x9d There are none when you\xe2\x80\x99ve been through a divorce like mine \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1389398452153593860,2021-05-04 01:56:19+00:00,"b'Just posted a video @ Los Angeles, California https://t.co/lUw0qjlTE0'"
1388211847975866371,2021-04-30 19:21:10+00:00,"b'Summer blonde \xf0\x9f\x8c\xbc\nThank you @glambypamelab \xe2\x9d\xa4\xef\xb8\x8fmy hairdo..... @ Los Angeles, California https://t.co/VFXODTokeR'"
1385276543371407360,2021-04-22 16:57:19+00:00,b'@LadyTeapots @AllCelebPolls @BravoTV @Andy How do you know what my contract was? I had every internet of going beyond 2 yrs'
1384183020676997127,2021-04-19 16:32:03+00:00,"b'#bts photoshoot ....  Fun shoot. \nAlso we work often together and have to get tested all the time. \n@glambypamelab @ Los Angeles, California https://t.co/OFQupnwIFX'"
1383980512503504901,2021-04-19 03:07:21+00:00,"b'2nd time just today at @homedepot ... \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f... We\xe2\x80\x99ll see you again this week #homedepot @aaronwilliamcameron @ Los Angeles, California https://t.co/PbhdilS1Ny'"
1380699815441354760,2021-04-10 01:51:02+00:00,"b'Happy Friday!!!\n#bts #denisefuc*ingrichards \n#ragamuffin #setlife #paperempire \nGlam: makeup: @glambypamelab hair: @misskimbeautyy dress: @loveshackfancy boots: @ysl @ Los Angeles, California https://t.co/p6GgNdJqK9'"
1374593009690550273,2021-03-24 05:24:46+00:00,b'Just posted a photo @ CBS Television Studios. https://t.co/T5zjlISvko'
1369418246118588419,2021-03-09 22:42:07+00:00,"b'Just posted a photo @ Los Angeles, California https://t.co/uFKnx7WMdQ'"
1367316248556625922,2021-03-04 03:29:31+00:00,"b'Hubby &amp; I getting ready for the virtual premiere of COMING 2 AMERICA ..... my beautiful &amp; talented friend @garcelle is in it \n\xc2\xa0@amazonprimevideo @zamundaroyals @ Los Angeles, California https://t.co/IwlshkRlnz'"
1367235857728630791,2021-03-03 22:10:05+00:00,"b'Just posted a photo @ Los Angeles, California https://t.co/Si8SiA3SQ9'"
1363629681849737216,2021-02-21 23:20:25+00:00,b'Just posted a photo @ Q360 Club https://t.co/UAGe3aYV2p'
1362656360693968896,2021-02-19 06:52:47+00:00,"b'Just posted a video @ Los Angeles, California https://t.co/c7FsrBXC7k'"
1362227361287204865,2021-02-18 02:28:06+00:00,"b'For Christians, today is the start of #Lent, the 40 days leading up to Easter. Download @hallowapp to pray and meditate every day with their #pray40 challenge\xc2\xa0https://t.co/1PD1HLfWfa\xc2\xa0#ashwednesday https://t.co/Ug7rMJ5tLl'"
1361081774089011201,2021-02-14 22:35:57+00:00,"b'My one and only... I\xe2\x80\x99m so blessed to be going through this journey with you. You\xe2\x80\x99re my forever and I cherish you... my husband, best friend, lover, and better half. I love you so much baby. Happy Valentine\xe2\x80\x99s Day \xe2\x9d\xa4\xef\xb8\x8f https://t.co/dOdvFHDQtP'"
1354906948647309315,2021-01-28 21:39:24+00:00,"b'Just posted a photo @ Los Angeles, California https://t.co/BxdgnQRwHM'"
