twitter_id,date,tweet
1540440936546611200,2022-06-24 21:05:13+00:00,b'fucking evil https://t.co/i3fEfMHiPh'
1540435899648856064,2022-06-24 20:45:13+00:00,b'fuck your bible'
1540434647338713089,2022-06-24 20:40:14+00:00,"b'RT @ananavarro: If you\xe2\x80\x99re against abortion, don\xe2\x80\x99t get one.\nIf you\xe2\x80\x99re against contraception, don\xe2\x80\x99t take any.\nIf you\xe2\x80\x99re against same-sex rela\xe2\x80\xa6'"
1540434441293533184,2022-06-24 20:39:25+00:00,"b""RT @TheAmandaGorman: This ruling was never about caring for people. It's always been about controlling them."""
1540434433521483776,2022-06-24 20:39:23+00:00,"b""RT @MrAhmednurAli: If this wasn't about power and control, America would be a nation that protects, supports, and invests in children. They\xe2\x80\xa6"""
1540433926195273728,2022-06-24 20:37:22+00:00,b'RT @GeauxGabrielle: Married LGBTQ people: CALL A LAWYER. \n\nGet copies of birth certificates and custody for your children on paper. Make su\xe2\x80\xa6'
1540433870226567168,2022-06-24 20:37:09+00:00,"b""RT @ImALittleBitShi: Roe v. Wade is not just an abortion case. It's a privacy case. This is bad for more reasons than the media has been hi\xe2\x80\xa6"""
1540433857656238080,2022-06-24 20:37:06+00:00,"b'RT @JoyceWhiteVance: Abortion, which is lifesaving in cases of miscarriage, ectopic pregnancy, etc, will now be illegal in many states &amp; ev\xe2\x80\xa6'"
1540433834210078720,2022-06-24 20:37:00+00:00,"b'RT @dereckapurnell: If this was about babies, there would be universal healthcare. Free education. Free daycare. Southern states would be d\xe2\x80\xa6'"
1540432606247866368,2022-06-24 20:32:07+00:00,b'fucking dystopia'
1539345384849301505,2022-06-21 20:31:54+00:00,b'oh shit yo https://t.co/vzDy1IyYCO'
1529507573765898241,2022-05-25 16:59:57+00:00,b'RT @TheAmandaGorman: It takes a monster to kill children. But to watch monsters kill children again and again and do nothing isn\xe2\x80\x99t just ins\xe2\x80\xa6'
1529212279094448129,2022-05-24 21:26:33+00:00,b'republicans will force you to have your kid but will do absolutely fucking nothing to keep them safe'
1526720885201043456,2022-05-18 00:26:38+00:00,b'not flirting just hot and talking'
1520184199612936192,2022-04-29 23:32:11+00:00,b'@DojaCat u right'
1520180992379658241,2022-04-29 23:19:26+00:00,b'@DojaCat \xf0\x9f\x92\x80'
1519785881531523072,2022-04-28 21:09:25+00:00,b'@DojaCat ur an icon'
1519463463994724353,2022-04-27 23:48:14+00:00,b'slut era'
1518602182504837120,2022-04-25 14:45:49+00:00,b'happy april 25th it\xe2\x80\x99s not too hot and it\xe2\x80\x99s not too cold all you need is a light jacket'
1514379966611267584,2022-04-13 23:08:14+00:00,b'Jesus Christ https://t.co/nLAyaaEgUo'
1513639747532439553,2022-04-11 22:06:52+00:00,b'i got to be on @unqualified w one of my childhood hero\xe2\x80\x99s @AnnaFaris \xf0\x9f\x92\x85\xf0\x9f\x8f\xbbhttps://t.co/FHWSKIkTPS'
1512582793997402120,2022-04-09 00:06:55+00:00,b'Everything Everywhere All at Once is astonishing'
1505023002097856514,2022-03-19 03:27:00+00:00,b'@oranicuhh happy ur back'
1505020175069851649,2022-03-19 03:15:46+00:00,b'please go to a theater to see #TheOutfit this weekend if you can :) https://t.co/8jIRjo4esb'
1504214214067458049,2022-03-16 21:53:10+00:00,b'ughh long hard day promoting my major motion picture #TheOutfit \xf0\x9f\x92\x81\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f in theaters this Friday March 18th https://t.co/SLVN6UcfWI'
1504207363288363009,2022-03-16 21:25:56+00:00,b'\xf0\x9f\x91\x80 https://t.co/XqsVjBCL3t'
1504199575967461376,2022-03-16 20:55:00+00:00,b'i\xe2\x80\x99m promoting \xf0\x9f\x92\x85\xf0\x9f\x8f\xbb'
1504199403833241601,2022-03-16 20:54:19+00:00,b'\xf0\x9f\x91\x80 https://t.co/8seSyYiFcv'
1504199383562133505,2022-03-16 20:54:14+00:00,b'\xf0\x9f\x91\x80 https://t.co/pZwYyTbj6R'
1504199358354366465,2022-03-16 20:54:08+00:00,b'\xf0\x9f\x91\x80 https://t.co/19f4S8udly'
1504199335990337540,2022-03-16 20:54:03+00:00,b'\xf0\x9f\x91\x80 https://t.co/pT4HnQlmp6'
1504199304826683395,2022-03-16 20:53:55+00:00,b'\xf0\x9f\x91\x80 https://t.co/xOTiFnNqtQ'
1503503923042127874,2022-03-14 22:50:43+00:00,b'got the vid\n\nall good mild symptoms\n\nbeing vaxxed &amp; boosted (and having it with Obama) is v much helping\n\nbut had to cancel rest of press\n\nsobering reminder that we\xe2\x80\x99re still in a pandemic\n\nstay safe be mindful x'
1501043635927887874,2022-03-08 03:54:25+00:00,b'I had a catheter put in. \n\nFor The Batman.'
1496299967652442115,2022-02-23 01:44:46+00:00,b'Wow fuck this https://t.co/tg9lCMsJWM'
1491842637799645206,2022-02-10 18:32:56+00:00,b'https://t.co/qAJLrGGDR9 https://t.co/sbGxnnsYIw'
1483210973624160257,2022-01-17 22:53:47+00:00,b'@remiwolf All of \xe2\x80\x98em \xf0\x9f\x98\xa9'
1478233333251424256,2022-01-04 05:14:25+00:00,"b'I\xe2\x80\x99ve heard this is super good, so they keep having to push it back because we aren\xe2\x80\x99t able to handle it yet, because it\xe2\x80\x99s that good, that we need more time to evolve as a species to be better prepared to handle a movie this good https://t.co/fYfamkNQrX'"
1478132704315064321,2022-01-03 22:34:33+00:00,b'Give Jessie Buckley all the awards'
1477462814344286213,2022-01-02 02:12:39+00:00,b'@iamcardib https://t.co/xu9FsCmaRl'
1477347126938112001,2022-01-01 18:32:57+00:00,b'Happy\xe2\x80\xa6 fuck it'
1474189624863985666,2021-12-24 01:26:10+00:00,b'@monicamonroe @oranicuhh My whole team was seeing green like Yo she acts too'
1468605359795453956,2021-12-08 15:36:17+00:00,b'What a radiant person #AdrienneShelly was. A breathtaking ode to a special human being. Beautifully done @AndyOstroy #AdrienneHBO \xe2\x9d\xa4\xef\xb8\x8f https://t.co/HplL1IMSEv'
1466870767765921802,2021-12-03 20:43:38+00:00,b'@oranicuhh \xf0\x9f\x92\xaf'
1466865576098344966,2021-12-03 20:23:01+00:00,b'Holy fucking shit https://t.co/u1Xp7fpqHM'
1463637342615490562,2021-11-24 22:35:10+00:00,b'@SammieBenches happy birthday Sammie!!! \xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3'
1461379229615022081,2021-11-18 17:02:14+00:00,b'\xf0\x9f\x91\x80 https://t.co/8VZf5n6p8c'
1459310194173874176,2021-11-13 00:00:37+00:00,b'So casually cruel in the name of being honest'
1456728970985185280,2021-11-05 21:03:46+00:00,b'\xf0\x9f\x91\x80 https://t.co/sHgBb4WME9'
1437814355756716041,2021-09-14 16:23:50+00:00,b'Go off \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb https://t.co/vvbRXaKIJl'
1435753028292956161,2021-09-08 23:52:51+00:00,b'@oranicuhh @jennaashlyn Smashed it on the blues clues content today'
1433455605935525888,2021-09-02 15:43:43+00:00,b'We\xe2\x80\x99re living in a dystopian present. Please donate anything you can for Texas Equal Access right now https://t.co/Uch12h27Wh #EndTheFilibuster #ExpandTheCourt https://t.co/hBkWYR97ig'
1431016665433534464,2021-08-26 22:12:14+00:00,b'We did it again \xf0\x9f\x92\x81\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x92\x85\xf0\x9f\x8f\xbb @sarahramos @ReeseW @iamchrisklein https://t.co/adwFQfiuVw'
1424426647164383241,2021-08-08 17:45:51+00:00,b'@MetsFarmReport He\xe2\x80\x99s not a switch hitter'
1422255516118523907,2021-08-02 17:58:33+00:00,b'Ady\xe2\x80\x99s story is absolutely awe-inspiring. Share this! Tickets here for NY / LA: https://t.co/bfdT8FUXJq https://t.co/IXICkC6PfO'
1420068026653675523,2021-07-27 17:06:15+00:00,b'GOP\xe2\x80\x99s attack on our voting rights is relentless. Sign this petition to help put the pressure on @JoeBiden @POTUS #EndTheFilibuster https://t.co/B1UZtHD17v \nhttps://t.co/pYKPutRiEc'
1417542530397212673,2021-07-20 17:50:50+00:00,b'Holy shit you\xe2\x80\x99re a legend https://t.co/2hRApZfldj'
1417174890755477524,2021-07-19 17:29:58+00:00,b'Couldn\xe2\x80\x99t be more excited to share this film with you all \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb Really proud of this one @dunemovie #Dune2021 https://t.co/oio0wMLJUR https://t.co/NwTxz0jHdq'
1417164637015973893,2021-07-19 16:49:13+00:00,b'RT @desusnice: space jam 2 stole so much from shiva baby and no one is talking about this'
1417163803125424130,2021-07-19 16:45:54+00:00,b'Honestly they\xe2\x80\x99ve got nothing on my drunk white uncles https://t.co/VhlOdEkBrA'
1416418180021456897,2021-07-17 15:23:04+00:00,b'On my bday okayyyyyyy \xf0\x9f\x92\x81\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.co/rl9SRMvdAo'
1415448310731608067,2021-07-14 23:09:09+00:00,b'BREAKING: Lindsey Graham vows to die on homophobic hill https://t.co/Jk8QDHKVmz'
1415130956520857600,2021-07-14 02:08:06+00:00,b'Hahahahahahah https://t.co/hZrwpmBWfT'
1414692624728936448,2021-07-12 21:06:20+00:00,b'@theestallion https://t.co/zlTpf5Ax7E'
1414657752228503567,2021-07-12 18:47:45+00:00,b'This is amazing Sarah \xe2\x9d\xa4\xef\xb8\x8f https://t.co/YLkOlptdPr'
1411360703668047872,2021-07-03 16:26:28+00:00,b'@DeeshaThosar https://t.co/AfQDsFDvpg'
1411359587630948357,2021-07-03 16:22:02+00:00,b'@MatthewACherry \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1407468800480464900,2021-06-22 22:41:26+00:00,b'RT @ewarren: Here\xe2\x80\x99s what Mitch McConnell just blocked. https://t.co/KTLEodOB9A'
1407393954039959553,2021-06-22 17:44:01+00:00,b'@DylanGelula Wow. This is my Super Bowl.'
1407390643664527362,2021-06-22 17:30:52+00:00,b'@DylanGelula Thanks for speaking on this Dylan'
1407134747348721664,2021-06-22 00:34:01+00:00,b'The disrespect smh https://t.co/pxddzWZH4P'
1407126608494792732,2021-06-22 00:01:41+00:00,b'RT @StandUpAmerica: TONIGHT: Get some sleep. \n\nTOMORROW: Wake up ready to call your senators and tell them to vote yes on the For the Peopl\xe2\x80\xa6'
1403783609828274177,2021-06-12 18:37:48+00:00,b'Get \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb fucking \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb vaccinated \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb'
1403782179771928580,2021-06-12 18:32:07+00:00,b'@broadcities \xf0\x9f\x92\xaf'
1403780286274367490,2021-06-12 18:24:35+00:00,b'Imagine being so fucking dumb you think you\xe2\x80\x99re smarter than science'
1401262522821320707,2021-06-05 19:39:54+00:00,b'What a mf\xe2\x80\x99ing day \xf0\x9f\xa5\xba\xe2\x9d\xa4\xef\xb8\x8f https://t.co/GEvNKncBYY'
