twitter_id,date,tweet
1365830209233162244,2021-02-28 01:04:32+00:00,b'https://t.co/2gChEtPbq8'
1365830200706138112,2021-02-28 01:04:30+00:00,b'https://t.co/rdwha0kVZi'
1365830190291685378,2021-02-28 01:04:27+00:00,b'https://t.co/bA2cnvEZEg'
1365830178878992390,2021-02-28 01:04:25+00:00,"b'Can\xe2\x80\x99t believe its been 9 years since my Gramps passed away. Without him I would never have found myself, my magic. I owe him my life and I miss him every moment of it. Here\xe2\x80\x99s 9 of my favourite pics of the man the, myth, the legend. Gone but never forgotten, may his magic live on'"
1365744753220837378,2021-02-27 19:24:58+00:00,b'@LewisHamilton Ahh man snakeboards I remember them!'
1365720433354563591,2021-02-27 17:48:19+00:00,b'@eliistender10 Love this'
1365720194228879361,2021-02-27 17:47:22+00:00,"b'@susie22784334 Hope you have a good walk, yeah be careful lots of horrible stories I\xe2\x80\x99m hearing about. Bella looks lovely as always'"
1365719909087461376,2021-02-27 17:46:14+00:00,b'@HolmeJanet Hope work isn\xe2\x80\x99t too stressful'
1365719812853399555,2021-02-27 17:45:51+00:00,"b'@DoubleZCreative Oh awesome, what you painting?'"
1365719731240640522,2021-02-27 17:45:32+00:00,b'@georgie51160 Sounds like a good day'
1365704512091127812,2021-02-27 16:45:03+00:00,b'@mrboyzzy Very talented'
1365704423159267337,2021-02-27 16:44:42+00:00,b'@simonsoss Eddie looks like a good boy'
1365704290224979971,2021-02-27 16:44:11+00:00,b'@clf7ey Oh harvey looks lovely'
1365704239008395267,2021-02-27 16:43:58+00:00,"b'@Deepak08873578 Very interesting, I\xe2\x80\x99ve been working on a lot of new ideas since lockdown'"
1365704038277410816,2021-02-27 16:43:10+00:00,b'@Donovan_W_G Enjoy'
1365704001057153028,2021-02-27 16:43:02+00:00,"b'@susie22784334 Oh that\xe2\x80\x99s very sad to hear, please stay safe, my condolences to the family'"
1365692021852282885,2021-02-27 15:55:25+00:00,b'@Yuvrajsingh06 Enjoy'
1365691982165778433,2021-02-27 15:55:16+00:00,"b'@manasi_mohaney Haha thanks for the invite, enjoy your dinner x'"
1365691886850179078,2021-02-27 15:54:53+00:00,"b'@s_w_hitch Interesting, good luck with that'"
1365691827781738503,2021-02-27 15:54:39+00:00,b'@BojinovAlex Hope work goes well'
1365691755471978496,2021-02-27 15:54:22+00:00,b'@IMPRED Nice enjoy'
1365641212611473410,2021-02-27 12:33:32+00:00,b'What you doing today?'
1365347537809514498,2021-02-26 17:06:34+00:00,b'No \xf0\x9f\xa7\xa2 https://t.co/7tgIcKB6bc'
1365079991726333952,2021-02-25 23:23:26+00:00,"b'@hitRECordJoe Dodgers, but I also had a sonic the hedgehog one \xf0\x9f\xa4\xa9'"
1365046985716359168,2021-02-25 21:12:17+00:00,b'@jharrison1608 Thanks Jen'
1365011903832084481,2021-02-25 18:52:53+00:00,b'@UncleNazir \xf0\x9f\x92\xaf'
1365010550221139970,2021-02-25 18:47:30+00:00,"b'Ok this picture wins the day, glad you  and Wiley Dog enjoyed the show \xe2\x9d\xa4\xef\xb8\x8f https://t.co/eOMDIySMz1'"
