twitter_id,date,tweet
833086999120793600,2017-02-18 22:53:13+00:00,b'https://t.co/A2lKmcHYYO'
823477653378387970,2017-01-23 10:29:06+00:00,"b""Brunch this morning playing with our new huaweimobile Mate 9's. Definitely our favourite device\xe2\x80\xa6 https://t.co/drvUClWGuc"""
822440181966000128,2017-01-20 13:46:34+00:00,"b""Life made easier this morning by Farm girl charcoal latte's and my huaweimobile #huaweiCES2017\xe2\x80\xa6 https://t.co/0LY1vZmugA"""
804407047131398144,2016-12-01 19:29:19+00:00,b'At the new @FolliFollie_UK new store opening #RegentStreet.. #FFConceptstore #DreamComeTrue https://t.co/Oz2U5XDnk1'
794622389913059335,2016-11-04 19:28:35+00:00,"b""So excited to be in Rotterdam as part of the @mtvema 'It girls' project #MTVEMA / wearing\xe2\x80\xa6 https://t.co/wU5UOoboR1"""
790781551567077377,2016-10-25 05:06:28+00:00,b'Be part of shaping the next #TOMMYXGIGI collection &amp; win a chance to be at the next runway show!\xe2\x80\xa6 https://t.co/8cZ5LZoEpE'
777894471035920384,2016-09-19 15:37:49+00:00,b'https://t.co/5OG0AJYuX2'
777729892381229056,2016-09-19 04:43:50+00:00,"b'Rule #09 #forsuccessfulliving - Be Brave! @diesel @ London, United Kingdom https://t.co/hswSa4sBsq'"
774155956779298817,2016-09-09 08:02:17+00:00,b'Another piece from #TommyXGiGi collab / subscribe on https://t.co/z0QPQ8NrkP for a chance to win the\xe2\x80\xa6 https://t.co/RhIBTbP8L1'
773363671619764224,2016-09-07 03:34:02+00:00,b'Last night before #dieseljapan30 / how cool is this new collection bomber?! @diesel @ Tokyo Japan https://t.co/VWZMueHpiS'
772752613104357376,2016-09-05 11:05:54+00:00,b'This made me very happy.. \xf0\x9f\x8d\xa5 @ Harajuku Tokyo https://t.co/IR94MnCv2a'
771823275424960513,2016-09-02 21:33:03+00:00,b'Excited that I can finally share some of the #TommyXGiGi collection with you! (obsessed w this\xe2\x80\xa6 https://t.co/UDpYgkabXs'
753640621877956608,2016-07-14 17:21:40+00:00,"b'Stopped by @revolve social club NYC this morning / next stop, Hamptons! @maxhurd @sophia_xxox\xe2\x80\xa6 https://t.co/zQlqxpZqns'"
751938445958868992,2016-07-10 00:37:50+00:00,b'Family affair / in @_selfportrait_ @ Blue Print Cafe https://t.co/z2RnIoz0BW'
748612268208836608,2016-06-30 20:20:47+00:00,"b""It's been a while.. new post up on the blog soon about @jenatkinhair launch / #thetrendpear @\xe2\x80\xa6 https://t.co/BSAFzul0eH"""
748559406577651712,2016-06-30 16:50:44+00:00,b'Team \xf0\x9f\x91\x8a in @superdry (&amp; odd socks) @ Notting Hill London UK https://t.co/NLsmatpTpb'
727192916301647872,2016-05-02 17:47:56+00:00,b'Hands up who stole the roast beef so there was none for anyone else! https://t.co/CJ6APUbk0x'
722227425124491264,2016-04-19 00:56:51+00:00,b'Amazing weekend at Coachella with @revolveclothing - home time now! #revolvefestival https://t.co/wjNdmC6z9P'
721452367795863552,2016-04-16 21:37:03+00:00,b'Coachella day 2 / in @LoveandLemons #revolvefestival @ City of Palm Springs https://t.co/FQ5VpS3fbb'
721183061782753281,2016-04-16 03:46:55+00:00,b'Revolve babes take coachella \xf0\x9f\x92\x99 #revolvefestival https://t.co/JE82nPLlBi'
721142754223464448,2016-04-16 01:06:45+00:00,"b'Arrived at @revolveclothing house! #revolvefestival @ Palm Springs, California https://t.co/6Jr0TMTwWc'"
720496256368394240,2016-04-14 06:17:48+00:00,b'At grlfrnd_denim launch/ @revolveclothing #myGRLFRND (my t-shirt untucked :( ) @ Revolve Clothing https://t.co/Y7iUQfLDMK'
719176467775664129,2016-04-10 14:53:26+00:00,"b""Got my baby back! I'm obsessed.. @ Little Venice In London https://t.co/fSV2PYheLG"""
718254656963653634,2016-04-08 01:50:29+00:00,b'Today @revolveclothing / @LoveandLemons brunch #revolvesocialclub @ Revolve Clothing https://t.co/bud4FETxvu'
