twitter_id,date,tweet
1546603745802346496,2022-07-11 21:14:02+00:00,b'RT @Rulaelhalabi: #France \xf0\x9f\x87\xab\xf0\x9f\x87\xb7 #GlaceBachir \nWaiting in Long Queues at GLACE BACHIR - Rambuteau #Paris \nBachir Ice Cream is a business firstl\xe2\x80\xa6'
1546587036093747209,2022-07-11 20:07:38+00:00,b'RT @alaame_sy: \xd9\x87\xd9\x8a\xd8\xaf\xd9\x8a \xd9\x87\xd9\x88 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xba\xd9\x84 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb2\xd8\xa8\xd9\x88\xd8\xb7\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n\n #\xd8\xb2\xd9\x87\xd8\xb1\xd8\xa9_\xd9\x85\xd9\x86_\xd8\xa7\xd9\x84\xd9\x8a\xd8\xa7\xd8\xb3\xd9\x85\xd9\x8a\xd9\x86 https://t.co/ZWfdip6HKW'
1546586478129586177,2022-07-11 20:05:25+00:00,b'RT @nisrinezawahra_: \xd9\x82\xd8\xaf\xd9\x8a\xd9\x87 #\xd9\x84\xd8\xa8\xd9\x86\xd8\xa7\xd9\x86 \xd8\xa8\xd8\xad\xd8\xa7\xd8\xac\xd8\xa9 \xd9\x86\xd8\xb9\xd8\xa8\xd9\x91\xd8\xb1\xd9\x84\xd9\x88 \xd8\xb9\xd9\x86 \xd9\x88\xd9\x84\xd8\xa7\xd8\xa1\xd9\x86\xd8\xa7 \xd9\x88\xd8\xaa\xd9\x82\xd8\xaf\xd9\x8a\xd8\xb1\xd9\x86\xd8\xa7 \n\xd8\xb1\xd8\xb3\xd8\xa7\xd9\x84\xd8\xa9 \xd8\xad\xd8\xa8 \xd8\xa5\xd9\x84\xd9\x89 #\xd9\x84\xd8\xa8\xd9\x86\xd8\xa7\xd9\x86 \xf0\x9f\x92\x99\xf0\x9f\x92\x99'
1546585080092659712,2022-07-11 19:59:51+00:00,b'RT @ET_DZ1: #\xd8\xb2\xd9\x87\xd8\xb1\xd8\xa9_\xd9\x85\xd9\x86_\xd8\xa7\xd9\x84\xd9\x8a\xd8\xa7\xd8\xb3\xd9\x85\xd9\x8a\xd9\x86 \xd9\x8a\xd9\x86\xd8\xb5\xd8\xa8 \xd9\x86\xd8\xac\xd9\x85\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xa7\xd8\xad\xd8\xb3\xd8\xa7\xd8\xb3 #\xd8\xa5\xd9\x84\xd9\x8a\xd8\xb3\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xa3\xd9\x88\xd9\x84\xd9\x89 \xd9\x81\xd9\x8a #\xd8\xa7\xd9\x84\xd9\x88\xd8\xb7\xd9\x86_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a \xf0\x9f\x94\xa5\n\n\xd8\xb9\xd9\x85\xd9\x84 \xd9\x81\xd9\x86\xd9\x8a \xd8\xa3\xd9\x83\xd8\xab\xd8\xb1 \xd9\x85\xd9\x86 \xd8\xb1\xd8\xa7\xd8\xa6\xd8\xb9 \xd8\xa8\xd8\xb4\xd9\x87\xd8\xa7\xd8\xaf\xd8\xa9 \xd8\xa3\xd9\x87\xd9\x84 \xd8\xa7\xd9\x84\xd9\x81\xd9\x86 @elissakh \xd9\x85\xd8\xb9 \xd8\xa7\xd9\x84\xd9\x86\xd8\xac\xd9\x85 @\xe2\x80\xa6'
1546556887457583104,2022-07-11 18:07:50+00:00,b'RT @tonimouawad: \xd8\xa7\xd9\x84\xd8\xad\xd9\x84\xd9\x88 \xd8\xa8 @elissakh \xd8\xa7\xd9\x86\xd9\x88 \xd8\xa8\xd8\xaa\xd8\xb9\xd9\x85\xd9\x84 \xd8\xa3\xd8\xba\xd8\xa7\xd9\x86\xd9\x8a \xd9\x84\xd9\x84\xd8\xa3\xd8\xb1\xd8\xb4\xd9\x8a\xd9\x81 \xd9\x88 \xd8\xba\xd9\x86\xd9\x8a\xd8\xa9 #\xd8\xb2\xd9\x87\xd8\xb1\xd8\xa9_\xd9\x85\xd9\x86_\xd8\xa7\xd9\x84\xd9\x8a\xd8\xa7\xd8\xb3\xd9\x85\xd9\x8a\xd9\x86 \xd8\xb1\xd8\xad \xd8\xaa\xd9\x86\xd8\xb0\xd9\x83\xd8\xb1 \xd9\x83\xd8\xba\xd9\x86\xd9\x8a\xd8\xa9 \xd8\xa8\xd8\xab\xd8\xaa \xd9\x81\xd9\x8a\xd9\x86\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xa3\xd9\x85\xd9\x84 \xd9\x88 \xd8\xae\xd9\x84\xd8\xaa\xd9\x86\xd8\xa7 \xd9\x86\xd8\xb1\xd8\xac\xd8\xb9 \xd9\x86\xd8\xad\xd8\xa8 \xd9\x84\xd8\xa8\xd9\x86\xd8\xa7\xd9\x86!\xe2\x80\xa6'
1546550330598592513,2022-07-11 17:41:46+00:00,b'RT @Salehlsl10: \xd8\xb2\xd9\x87\xd8\xb1\xd8\xa9 \xd9\x84\xd8\xa8\xd9\x86\xd8\xa7\xd9\x86 \xd9\x88\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xa7\xd8\xad\xd8\xb3\xd8\xa7\xd8\xb3 @elissakh \xd8\xba\xd9\x86\xd8\xaa \xd9\x85\xd8\xa4\xd8\xae\xd8\xb1\xd8\xa7\xd9\x8b \xd8\xa7\xd8\xba\xd9\x86\xd9\x8a\xd9\x87 \xd8\xa7\xd8\xb3\xd8\xb7\xd9\x88\xd8\xb1\xd9\x8a\xd9\x87 #\xd8\xb2\xd9\x87\xd8\xb1\xd8\xa9_\xd9\x85\xd9\x86_\xd8\xa7\xd9\x84\xd9\x8a\xd8\xa7\xd8\xb3\xd9\x85\xd9\x8a\xd9\x86 \xd8\xa8\xd9\x83\xd9\x84 \xd8\xad\xd8\xa8 \xd8\xba\xd9\x86\xd8\xaa\xd9\x87\xd8\xa7 \xd9\x84\xd8\xa8\xd9\x84\xd8\xaf\xd9\x87\xd8\xa7 #\xd9\x84\xd8\xa8\xd9\x86\xd8\xa7\xd9\x86 \xd9\x88\xd8\xa7\xd8\xad\xd8\xb3\xd8\xa7\xd8\xb3 #\xd8\xa7\xd9\x84\xd9\x8a\xd8\xb3\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xe2\x80\xa6'
1546550187593809921,2022-07-11 17:41:12+00:00,b'@hibatawaji @OussamaRahbani Love you hayete'
1546550143662653440,2022-07-11 17:41:02+00:00,b'RT @hibatawaji: \xd8\xb1\xd9\x88\xd8\xb9\xd8\xa9 \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc #\xd8\xb2\xd9\x87\xd8\xb1\xd8\xa9_\xd9\x85\xd9\x86_\xd8\xa7\xd9\x84\xd9\x8a\xd8\xa7\xd8\xb3\xd9\x85\xd9\x8a\xd9\x86 \nStraight to the heart! Congrats &amp; love to both @elissakh @OussamaRahbani'
1546550106954014721,2022-07-11 17:40:53+00:00,b'RT @airshaid: \xd8\xa7\xd9\x84\xd9\x8a\xd9\x88\xd9\x85 @elissakh \xd8\xae\xd9\x88\xd8\xaa\xd8\xaa \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85 \xd8\xa8\xd9\x87\xd9\x8a\xd9\x83 \xd8\xba\xd9\x86\xd9\x8a\xd8\xa9 \xd8\xaa\xd8\xb5\xd9\x88\xd8\xb1\xd9\x88\xd8\xa7 \xd8\xa8\xd8\xb3\xd9\x85\xd8\xb9 \xd9\x81\xd9\x8a\xd9\x87\xd8\xa7 \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb8\xd9\x87\xd8\xb1 \xd8\xb1\xd8\xac\xd8\xb9\xd8\xaa \xd9\x84\xd8\xa8\xd9\x86\xd8\xa7\xd9\x86 \xd9\x84\xd8\xb9\xd9\x87\xd8\xaf\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xac\xd9\x85\xd9\x8a\xd9\x84 \xd8\xa7\xd9\x86\xd8\xa7 \xd9\x85\xd8\xaa\xd8\xa3\xd9\x83\xd8\xaf \xd8\xa7\xd9\x86\xd9\x87 \xd9\x85\xd9\x84\xd8\xa7\xd9\x8a\xd9\x8a\xd9\x86 \xd8\xb1\xd8\xa7\xd9\x8a\xd8\xad\xd9\x8a\xd9\x8a\xd9\x86 \xd8\xb9 \xd9\x84\xd8\xa8\xd9\x86\xd8\xa7\xd9\x86\xe2\x80\xa6'
1546545636094394371,2022-07-11 17:23:07+00:00,b'RT @joe_younan21: \xd9\x83\xd9\x86\xd8\xaa \xd9\x85\xd9\x81\xd9\x83\xd8\xb1 \xd8\xa7\xd9\x86\xd9\x88 \xd8\xad\xd8\xa8\xd9\x8a \xd9\x84 #\xd9\x84\xd8\xa8\xd9\x86\xd8\xa7\xd9\x86  \xd9\x85\xd8\xb4 \xd9\x85\xd9\x85\xd9\x83\xd9\x86 \xd9\x8a\xd8\xb2\xd9\x8a\xd8\xaf \xd8\xa7\xd9\x83\xd8\xab\xd8\xb1 \xd9\x85\xd9\x86 \xd9\x87\xd9\x8a\xd9\x83 \xd8\xa8\xd8\xb3 \xd9\x84\xd9\x85\xd8\xa7 \xd8\xb3\xd9\x85\xd8\xb9\xd8\xaa #\xd8\xb2\xd9\x87\xd8\xb1\xd8\xa9_\xd9\x85\xd9\x86_\xd8\xa7\xd9\x84\xd9\x8a\xd8\xa7\xd8\xb3\xd9\x85\xd9\x8a\xd9\x86  \xd8\xb9\xd8\xb1\xd9\x81\xd8\xaa \xd8\xa7\xd9\x86\xd9\x88 \xd8\xa8\xd8\xb9\xd8\xaf \xd9\x81\xd9\x8a\xd9\x8a \xd8\xad\xd8\xa8\xd9\x88 \xd8\xa7\xd9\x83\xd8\xab\xd8\xb1 \xd8\xa8\xd9\x83\xd8\xaa\xd9\x8a\xd8\xb1 \xe2\x80\xa6 #\xd8\xa5\xd9\x84\xd9\x8a\xe2\x80\xa6'
