twitter_id,date,tweet
1546602051022495746,2022-07-11 21:07:18+00:00,b'@BillyM2k Mimic + Dark Moon + Stars of Ruin'
1546598042844991489,2022-07-11 20:51:22+00:00,b'https://t.co/mvVUR4doqB'
1546561966331789318,2022-07-11 18:28:01+00:00,b'@greg16676935420 @MrBeast \xf0\x9f\x94\xa5\xf0\x9f\x91\x8d'
1546552413083111424,2022-07-11 17:50:03+00:00,b'@WholeMarsBlog Absolutely'
1546552287153242117,2022-07-11 17:49:33+00:00,b'@WholeMarsBlog Problematic'
1546525481624895490,2022-07-11 16:03:02+00:00,"b'@MrBeast Good chance you\xe2\x80\x99re experiencing at least mild acid reflux at night, affecting quality sleep without consciousness awareness'"
1546518415183159296,2022-07-11 15:34:57+00:00,b'@GailAlfarATX @Tesla @teslacn @TeslaOwnersEBay @blueskykites @Kristennetten @JenniCurrent @daelmor @IheartTesla @EvrybodynthrMom Children are essential to the future'
1546518224887496705,2022-07-11 15:34:12+00:00,"b'For improved quality of sleep, raise head of your bed by about 3\xe2\x80\x9d or 5cm and don\xe2\x80\x99t eat 3 hours before bedtime'"
1546367753870770177,2022-07-11 05:36:17+00:00,b'These polar launches will enable complete coverage of Earth (where approved by local government) https://t.co/0ssHobwdp3'
1546361634347749376,2022-07-11 05:11:58+00:00,b'Chuckmate'
1546358748649766914,2022-07-11 05:00:30+00:00,b'@itsALLrisky @PPathole @SECGov \xf0\x9f\x92\xaf'
1546350723654369280,2022-07-11 04:28:36+00:00,b'@PPathole Hello??? @SECGov'
1546345773348147201,2022-07-11 04:08:56+00:00,b'https://t.co/d5tSnoDs5s'
1546345323219533824,2022-07-11 04:07:09+00:00,b'@WholeMarsBlog \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
1546344529460174849,2022-07-11 04:04:00+00:00,b'https://t.co/JcLMee61wj'
1545485800833372160,2022-07-08 19:11:43+00:00,"b'@WholeMarsBlog Future wars are all about the drones. Human crews of planes or tanks have no chance.\n\nOne exception: a purely analog, human-controlled vehicle is far more resilient to EMF weapons.'"
1545457074389151744,2022-07-08 17:17:34+00:00,b'@greg_price11 Whoever controls the teleprompter is the real President! https://t.co/1rcqmwLe9S'
1545454408237867010,2022-07-08 17:06:58+00:00,"b'@ScottAdamsSays @NickCannon We know so little today. I want to know the meaning of life or whatever the right question is to ask, as Douglas Adams would put it. \n\nWait \xe2\x80\xa6 are you guys related?'"
1545453113888215040,2022-07-08 17:01:50+00:00,b'@ScottAdamsSays @NickCannon But sponges &amp; starfish obv can https://t.co/v7Bbz7vstW'
1545451741780463617,2022-07-08 16:56:23+00:00,"b'@ScottAdamsSays @NickCannon Consciousness can understand the nature of the Universe. Clams, not so much.'"
1545432981241679872,2022-07-08 15:41:50+00:00,b'@Andst7 Interesting. Who is behind the bot attack?'
1545428479830659073,2022-07-08 15:23:56+00:00,"b'@BLKMDL3 @NickCannon Kids are worth it if at all possible. I\xe2\x80\x99m planning to increase childcare benefits at my companies significantly.\n\nHopefully, other companies do same.\n\nAlso, Musk Foundation plans to donate directly to families.\n\nHopefully, details to be announced next month.'"
1545424964546748416,2022-07-08 15:09:58+00:00,"b'@sm Agreed, this needs to be addressed'"
1545420831299227649,2022-07-08 14:53:33+00:00,b'@Liv_Boeree The world has gone mad'
1545419348277202945,2022-07-08 14:47:39+00:00,b'@hiromichimizuno Terrible news'
1545208079331074054,2022-07-08 00:48:09+00:00,b'@slashdot Great!'
1545188187085029376,2022-07-07 23:29:06+00:00,b'@BillyM2k @slashdot That is indeed the real question'
1545176999043379200,2022-07-07 22:44:39+00:00,b'@BillyM2k I had same great experience from Tokyo to Osaka'
1545172331093377024,2022-07-07 22:26:06+00:00,b'@BillyM2k China &amp; Japan have awesome trains. \n\nTook bullet train from Beijing to Xi\xe2\x80\x99an to see Terracotta Army of \xe7\xa7\xa6\xe5\xa7\x8b\xe7\x9a\x87.'
1545166492408328193,2022-07-07 22:02:54+00:00,b'Super fired up for future product development with our awesome Tesla team! Such an honor to work with them.'
1545166089675362305,2022-07-07 22:01:18+00:00,"b'@WholeMarsBlog Also, being ruggedized for relentless salt spray &amp; extreme winds &amp; storms in deep ocean is not easy'"
1545165611201728512,2022-07-07 21:59:24+00:00,"b'@WholeMarsBlog No, it\xe2\x80\x99s dual, high performance terminals, which are important for maintaining the connection in choppy seas &amp; heavy storms.\n\nStill obv premium pricing, but way cheaper &amp; faster than alternatives.\n\nSpaceX was paying $150k/month for a much worse connection to our ships!'"
1545154942159056896,2022-07-07 21:17:00+00:00,"b'@JoshSeefried A flying, electric boat would be sickkk'"
1545150462214623232,2022-07-07 20:59:12+00:00,b'Starlink for boats! https://t.co/BQujU8Ngna'
1545150198564790272,2022-07-07 20:58:09+00:00,b'@cb_doge Not bad! \n\nIt is high time that the future looked like the future.\n\nSame goes for fashion.'
1545127971383640066,2022-07-07 19:29:50+00:00,"b'RT @SpaceX: In addition to withstanding extreme cold, heat, hail, sleet, heavy rain, and gale force winds, Starlink is rugged enough to wit\xe2\x80\xa6'"
1545104424913207296,2022-07-07 17:56:16+00:00,"b'@EvaFoxU @BillyM2k @tesla_adri Pretty much. A van would have more roof height, so you could stand or sit under it for shade.'"
1545102846995095552,2022-07-07 17:50:00+00:00,"b'@BillyM2k Maybe with an optional solar power canopy that extends both sides of the van, tripling roof area'"
1545055807019962374,2022-07-07 14:43:04+00:00,b'@teslaownersSV \xf0\x9f\x98\x89'
1545051959178059777,2022-07-07 14:27:47+00:00,b'@micsolana @rmcentush Exactly'
1545051509020192768,2022-07-07 14:26:00+00:00,b'Maybe Tesla should make a highly configurable Robovan for people &amp; cargo?'
1545050496230051844,2022-07-07 14:21:58+00:00,"b'@PPathole Far too many people are under the illusion that Earth is overpopulated, even though birth rate trends are so obviously headed to population collapse'"
1545049944796516357,2022-07-07 14:19:47+00:00,b'I hope you have big families and congrats to those who already do!'
1545049435654172675,2022-07-07 14:17:45+00:00,b'Population of Mars is still zero people!'
1545047278976524294,2022-07-07 14:09:11+00:00,"b'Mark my words, they are sadly true'"
1545046146548019201,2022-07-07 14:04:41+00:00,b'Doing my best to help the underpopulation crisis. \n\nA collapsing birth rate is the biggest danger civilization faces by far.'
1545040832050434048,2022-07-07 13:43:34+00:00,"b'@_SuccessMinded_ @pmarca \xe2\x80\x9cWait A Minute, Doc. Are You Telling Me You Built A Time Machine...Out Of A DeLorean?\xe2\x80\x9d \xe2\x80\x93 Back to the Future'"
1545038178876362760,2022-07-07 13:33:01+00:00,b'RT @SpaceX: Liftoff! https://t.co/x5Lo6JrDmq'
1545037152286900224,2022-07-07 13:28:57+00:00,b'RT @SpaceX: Watch Falcon 9 launch 53 Starlink satellites to orbit \xe2\x86\x92 https://t.co/fQ3R4IVxZ8  https://t.co/ocibwLcez3'
1544903231934955525,2022-07-07 04:36:48+00:00,b'@Rjdlandscapes @WholeMarsBlog \xf0\x9f\xa4\xa3'
1544790652969533441,2022-07-06 21:09:27+00:00,"b'Highly recommend Revolutions by Mike Duncan, especially Season 10 https://t.co/LoJXYL2HTU'"
1544764856762605568,2022-07-06 19:26:56+00:00,"b'@pmarca The world is actually vastly better than Orwell imagined, but there is also vastly more surveillance'"
1544763117686644737,2022-07-06 19:20:02+00:00,b'@ggreenwald Troubling \xe2\x80\xa6'
1544743525585141761,2022-07-06 18:02:11+00:00,b'@mishaboar @boringcompany Supporting Doge wherever possible'
1544721101238018048,2022-07-06 16:33:04+00:00,"b'Moon brought us together in \xe2\x80\x9869,\nMars can do that in the future'"
1544720926020968453,2022-07-06 16:32:22+00:00,"b'Without a common goal, \nhumanity will fight itself'"
1544719307975938048,2022-07-06 16:25:57+00:00,b'@PPathole Exactly'
1544719143387238403,2022-07-06 16:25:17+00:00,b'@AlexBerenson @Twitter Can you say more about this: \xe2\x80\x9c\xe2\x80\xa6 pressures that the government may have placed on Twitter \xe2\x80\xa6\xe2\x80\x9d'
1544636989647032321,2022-07-06 10:58:50+00:00,b'Humanity will reach Mars in your lifetime'
1544615634453020673,2022-07-06 09:33:59+00:00,b'Flatulence Earther'
1544544105417658369,2022-07-06 04:49:45+00:00,b'@BillyM2k \xf0\x9f\xa4\xa3'
1544531744812040194,2022-07-06 04:00:38+00:00,b'@OwenSparks_ @Tesmanian_com Maybe later this year'
1544531302933749760,2022-07-06 03:58:53+00:00,b'@WholeMarsBlog \xf0\x9f\x98\x9c\xf0\x9f\x92\xa9'
1544513390357381120,2022-07-06 02:47:42+00:00,b'@Tesmanian_com Zip around Vegas super fast with Teslas in tunnels!'
1544511999392071680,2022-07-06 02:42:10+00:00,"b'@EvaFoxU Structural pack is the right overall architecture from a physics standpoint, but it is still far from optimized'"
1544379368478212100,2022-07-05 17:55:09+00:00,b'@BillyM2k I find the gold toe sock \xe2\x80\x93 inevitably off kilter &amp; washed out \xe2\x80\x93 a little troubling esthetically &amp; arguably a bit corpo'
1544377493263720450,2022-07-05 17:47:42+00:00,"b'Sock Con, the conference for socks'"
