twitter_id,date,tweet
1546535698836094976,2022-07-11 16:43:38+00:00,"b""RT @satoshicomtr: Kriptalk Show'un yeni b\xc3\xb6l\xc3\xbcm konu\xc4\x9fu Su Soley.\xf0\x9f\x8e\xb6\xf0\x9f\x9f\xa0\n\nM\xc3\xbczik kariyeri, yeni alb\xc3\xbcm\xc3\xbc, #NFT'ye bak\xc4\xb1\xc5\x9f a\xc3\xa7\xc4\xb1s\xc4\xb1 ve daha fazlas\xc4\xb1n\xc4\xb1 @emrea\xe2\x80\xa6"""
1546441640017108992,2022-07-11 10:29:53+00:00,b'RT @bestbitcoinmeme: a short story about money https://t.co/Nyi4O85m9K'
1545666810795769856,2022-07-09 07:10:59+00:00,b'mutlu bayramlar \xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1545418683580825602,2022-07-08 14:45:01+00:00,b'RT @BrhnKcby61: ponzi scam.'
1545168081625956352,2022-07-07 22:09:13+00:00,b'@mesgo_ hakk\xc4\xb1m\xc4\xb1zda hay\xc4\xb1rl\xc4\xb1s\xc4\xb1 mehmet hocam \xf0\x9f\x99\x83'
1545166372933718017,2022-07-07 22:02:25+00:00,b'ya fake ya brief rally bence.'
1545141034971238400,2022-07-07 20:21:44+00:00,b'#bitcoin diren\xc3\xa7te. https://t.co/Oa1KcwbKcy'
1544800685212016642,2022-07-06 21:49:19+00:00,b'@yaseminyakutt \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1544646251366457345,2022-07-06 11:35:39+00:00,b'@naberfenerlii \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1544646223726100481,2022-07-06 11:35:32+00:00,b'@ozleemsi onun ne oldu\xc4\x9funu bilmiyorum ama kesin gelir \xf0\x9f\x98\x82'
