twitter_id,date,tweet
1546490723264073729,2022-07-11 13:44:55+00:00,b'Back on training ground @FCBayern. \nWelcome season 2022/23 \xf0\x9f\x98\x83\xf0\x9f\x91\x8b https://t.co/DLdU7F3Doz'
1546487714203172870,2022-07-11 13:32:58+00:00,"b'@FCBayernEN PACK MAS, @FCBayern'"
1546475903919824899,2022-07-11 12:46:02+00:00,"b'Oh no! Hoffentlich sch\xc3\xbcllert es ganz schnell wieder bei der @WEURO2022. Gute Genesung, Lea! #WEURO22 \xf0\x9f\x87\xa9\xf0\x9f\x87\xaa #dfb #esschuellert #esmuellert https://t.co/TrQ7widpQ9'"
1545667716807368704,2022-07-09 07:14:35+00:00,"b'Das war ein Traumstart in die @WEURO2022 \xf0\x9f\x92\xaa\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Gratulation zum 4:0 Sieg! Weiter so, @DFB_Frauen. \xf0\x9f\x91\x8f https://t.co/DlLdsj8Vwv'"
1545391559444758529,2022-07-08 12:57:14+00:00,b'RT @FCBayernUS: All smiles for this new kit. \xf0\x9f\xa4\xa9\n\nIntroducing the new FC Bayern away shirt.  \xf0\x9f\x93\xb8\n\n#MiaSanMia'
1545391408298790915,2022-07-08 12:56:38+00:00,"b'@kaihavertz29 Wer hat dir nur diese gro\xc3\x9fartige Batik-Technik beigebracht, um dieses Shirt so wundersch\xc3\xb6n zu bemalen?'"
1545390815970820100,2022-07-08 12:54:17+00:00,b'What a crazy game. #BRAGER #WC2014 https://t.co/kUvRSnCilX'
1545390366467178498,2022-07-08 12:52:29+00:00,b'@Dirono \xf0\x9f\x98\x83\xf0\x9f\xa4\xa3\xf0\x9f\x91\x8f'
1545004172956794880,2022-07-07 11:17:54+00:00,b'#M\xc3\xbcnchen Sightseeing-Tour by bike \xf0\x9f\x9a\xb4\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f. What a beautiful city! Do you know this building? \xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x98\x8e #Munich #DaSchauHi #esmuellert #biketour #thomasMueller https://t.co/j2R2QTohsv'
1541771992327675905,2022-06-28 13:14:22+00:00,b'@ChampionsLeague @GarethBale11?'
1541770944439631872,2022-06-28 13:10:12+00:00,b'Vielen Dank zur Wahl des @FCBayern Spieler der Saison! \xe2\x9c\x8c\xef\xb8\x8f\xf0\x9f\x98\x83\nDerzeit bin ich noch im Urlaubsmodus aber bald greifen wir wieder voll an! #PACKMAS #FCBayern #esmuellert https://t.co/mm5mH3qVdf'
1541770365147422721,2022-06-28 13:07:54+00:00,"b'Kurz vor der @WEURO2022 habe ich noch mit @SarahZadrazil eine Fu\xc3\x9fball-Challenge abgedreht: 25 vs. 25! In der R\xc3\xbcckennummer beim @FCBayern vereint, aber an der TIC TAC TOE-Wand im knallharten Wettkampf. \xe2\x9a\xbd\xef\xb8\x8f #DaSchauHi #esmuellert #SarahZadrazil #fcbayern #ThomasM\xc3\xbcller #Fussball https://t.co/CAP0uWJuqs'"
1539288846852038656,2022-06-21 16:47:14+00:00,b'Come on #TeamM\xc3\xbcller! \xe2\x9c\x8c\xef\xb8\x8f https://t.co/NWPvOh6brM'
1537727709513760768,2022-06-17 09:23:50+00:00,b'@FCBayern Da sind ein paar Highlights dabei...'
1537727408819822592,2022-06-17 09:22:38+00:00,b'@StephenCurry30 MVP MVP MVP - great performance! \xf0\x9f\x91\x8d\xf0\x9f\x98\x83'
1537726896259080193,2022-06-17 09:20:36+00:00,b'@warriors Congratulations to the title! \xf0\x9f\x91\x8d\xf0\x9f\x8f\x80\xf0\x9f\x91\x8f'
1537726366434611203,2022-06-17 09:18:29+00:00,b'Ready for the next @NBA season. \xf0\x9f\x8f\x80 https://t.co/k6K4vX7IHX'
1536842991788343296,2022-06-14 22:48:17+00:00,b'Five months to go \xe2\x80\xa6 #wc2022 \n@DFB_Team is back on track! #esmuellert #GERITA #ready #Germany https://t.co/CAgtd3bF8q'
1535861317935964160,2022-06-12 05:47:27+00:00,b'I am still disappointed after the 1-1 in Hungary. But now full focus to the match on Tuesday #GERITA \xe2\x9a\xbd\xef\xb8\x8f\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa #NationsLeague #zusammen #gewinnen  #DFBTeam https://t.co/pnbOLPhI7q'
1535252519986909184,2022-06-10 13:28:19+00:00,b'Danke f\xc3\xbcr die Wahl zum @FCBayern Spieler des Monats \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\xf0\x9f\x98\x80 https://t.co/RUGd6u5AM6'
1535252140028993538,2022-06-10 13:26:48+00:00,"b'RT @DFB_Team: \xf0\x9f\x8e\x99\xef\xb8\x8f @esmuellert_: ""Wir hatten gegen England viel Spielkontrolle, kommen gut vor das letzte Drittel. Aber die Sachen, die wir d\xe2\x80\xa6'"
1533309930165391360,2022-06-05 04:49:09+00:00,"b'RT @FCBayern: \xf0\x9f\x97\xa3\xef\xb8\x8f ""Respekt vor dem Scheitern bringt nichts!"" \n\n@esmuellert_ im Interview mit #Saebener51. \xf0\x9f\x91\x87 #MiaSanMia'"
1533200400014262275,2022-06-04 21:33:55+00:00,b'RT @DFB_Team_EN: One popular man in Bologna \xf0\x9f\xa4\xb3\xf0\x9f\x8f\xbc \n\n@esmuellert_ #DieMannschaft #ITAGER https://t.co/FoPYATMuiC'
1533200262701228033,2022-06-04 21:33:22+00:00,b'1-1 in Bologna \xe2\x9a\xbd\xef\xb8\x8f\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa #DFBTeam Firat #NationsLeague match #ITAGER remis. https://t.co/z4T5n61SeJ'
1532761557918171137,2022-06-03 16:30:07+00:00,"b'Get well soon, @AlexZverev ! All the best! #ComeBackStronger https://t.co/01PEXcbvMr'"
1532756926651674626,2022-06-03 16:11:43+00:00,b'@YTCreatorsDE @matshummels Google wei\xc3\x9f zum Gl\xc3\xbcck aber trotzdem nicht alles... \xf0\x9f\x98\x85'
1532296155207434240,2022-06-02 09:40:46+00:00,"b'RT @DFB_Team_EN: \xf0\x9d\x98\x88\xf0\x9d\x98\xad\xf0\x9d\x98\xb8\xf0\x9d\x98\xa2\xf0\x9d\x98\xba\xf0\x9d\x98\xb4 a tough opponent \xf0\x9f\x91\x8a\xf0\x9f\x87\xae\xf0\x9f\x87\xb9\n\nCongrats on an incredible international career, Giorgio Chiellini! \xf0\x9f\x91\x8f\n\n#DieMannschaft https://\xe2\x80\xa6'"
1530665570017878018,2022-05-28 21:41:24+00:00,"b'Congratulations to @realmadrid with my companions @David_Alaba, @ToniKroos and @MrAncelotti \xf0\x9f\x91\x8f\xf0\x9f\x8f\x86 #ucl #RealMadrid #RMALIV #UCLfinal #esmuellert https://t.co/w9eZAnZxde'"
1529092507761516545,2022-05-24 13:30:37+00:00,b'New balls please\xe2\x80\xa6 \xf0\x9f\x98\x83\xf0\x9f\x98\x82 @DFB_Team #esmuellert #training #NationsLeague #DFBTeam https://t.co/ayytZ34abZ'
