twitter_id,date,tweet
1546556815344668672,2022-07-11 18:07:33+00:00,b'It\xe2\x80\x99s all in the details \xe2\x9c\xa8 @Eobuwie1 #evalongoriaXeobuwie #eobuwie #evalongoria https://t.co/LTDyisoVoy'
1546530280483082240,2022-07-11 16:22:06+00:00,"b'Excited for our friends at @latino_society for the upcoming launch of their collection (sneak peek below)! In hopes of increasing the visibility and participation of Latinos in web3, we are giving away 5 FREE mints. RT + tag someone new to web3 for them to have a chance to win! https://t.co/lXcRzEV5JX'"
1544721009823064067,2022-07-06 16:32:42+00:00,b'The world has been heavy lately. Remember to have grace for yourself. \xf0\x9f\xa4\x8d https://t.co/8s16Bm5QUy'
1542596177165795331,2022-06-30 19:49:23+00:00,b'Just posted a photo https://t.co/GBseAKIi5d'
1542517584318177282,2022-06-30 14:37:05+00:00,b'Huge congrats!! https://t.co/OhzIrmYG3e'
1542257788344320003,2022-06-29 21:24:45+00:00,b'Just posted a photo https://t.co/SOQBb6FNac'
1541781228113764353,2022-06-28 13:51:04+00:00,"b'RT @AlexNowrasteh: If the border policy were actually \xe2\x80\x9copen borders,\xe2\x80\x9d then why did the immigrants employ criminal smugglers?\n\nIt\xe2\x80\x99s because\xe2\x80\xa6'"
1540707363656802305,2022-06-25 14:43:55+00:00,b'Denim on denim\xe2\x80\xa6 on agave \xf0\x9f\x98\x8e https://t.co/yxqOr79RA7'
1540457132243517440,2022-06-24 22:09:35+00:00,b'Wishing you the best of luck @CocoGauff as you head to Wimbledon \xf0\x9f\x8e\xbe The collection is so cool!! https://t.co/uIuZTVGO3p'
1540034348132536320,2022-06-23 18:09:35+00:00,b'\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9 \n#GorditaChronicles @hbomax @PalanteHBOMax https://t.co/mx6xOyexkS'
1540033483048902658,2022-06-23 18:06:09+00:00,b'It\xe2\x80\x99s premier day!!! #GorditaChronicles is finally here on @hbomax \xf0\x9f\x92\x9c I can\xe2\x80\x99t wait for y\xe2\x80\x99all to watch!! @PalanteHBOMax https://t.co/3NxxZowAdY'
1539289133188792321,2022-06-21 16:48:22+00:00,b'It\xe2\x80\x99s not a selfie without some Casa Del Sol in my hands #NationalSelfieDay \xf0\x9f\xa4\xb3 https://t.co/o4fjNcw4gy'
1538963978495434753,2022-06-20 19:16:19+00:00,b'There may or may not be Casa del Sol in this milkshake \xf0\x9f\x91\x80 Happy Monday! https://t.co/ZW79ueumZQ'
1537483426433220609,2022-06-16 17:13:08+00:00,b'#FatherOfTheBride is out on @hbomax today!! Make sure to watch it \xf0\x9f\x8d\xbf\n@wbpictures \n\nhttps://t.co/IvSa23XCCC https://t.co/OF9yvINZtn'
1537145373176758277,2022-06-15 18:49:50+00:00,b'RT @PalanteHBOMax: How could we not share \xf0\x9f\x93\xb8\xe2\x80\x99s from our #GorditaChronicles event!\n\nWe can\xe2\x80\x99t wait for you to meet the entire familia Castelli\xe2\x80\xa6'
1537145045752721411,2022-06-15 18:48:32+00:00,b'Business casual \xf0\x9f\x96\xa4 https://t.co/IkPYHLUZaj'
1536782561804013568,2022-06-14 18:48:09+00:00,b'RT @VenetianVegas: Nothing says summer like Casa Del Sol cocktails poolside! @EvaLongoria mixed up her signature margarita at one of The Ve\xe2\x80\xa6'
1536341312911335424,2022-06-13 13:34:47+00:00,b'RT @GlobalGiftFound: Movie Star @EvaLongoria posing for @nicolasgerardin on the day of The #GlobalGiftGala #Cannes presented by @WoonklyEN\xe2\x80\xa6'
1535345059637301249,2022-06-10 19:36:02+00:00,b'@EthBarbie @NFTCryptoChicks Love it! So good meeting you'
1534989294753918976,2022-06-09 20:02:21+00:00,b'RT @IAmCharlesDKing: Excited to co-chair the @producersguild\xe2\x80\x99s 12th annual #ProducedByConference with @Shondaland\xe2\x80\x99s @beersbetsy and @Funnyo\xe2\x80\xa6'
1534957436829741056,2022-06-09 17:55:45+00:00,b'Throwback to this stairway photoshoot moment \xf0\x9f\x96\xa4 https://t.co/ubJp1BEnMF'
1534764822163640320,2022-06-09 05:10:22+00:00,b'RT @CryptoTechWomen: Honored to be panelists at the Women\xe2\x80\x99s Forum alongside the amazing @EvaLongoria \xe2\x9c\xa8\n\nTalking web3 &amp; how CTW is focused o\xe2\x80\xa6'
1531676072865153026,2022-05-31 16:36:47+00:00,b'Kicking off the summer in the Hamptons at the Casa del Sol #HouseOfTheSun \xe2\x98\x80\xef\xb8\x8f https://t.co/OZf14EJMM9'
1529373135044333569,2022-05-25 08:05:44+00:00,"b'RT @kerrywashington: As a mother, this is the tragically unimaginable. School should be a SAFE place. My heart breaks for the pain and suff\xe2\x80\xa6'"
1529373089066278912,2022-05-25 08:05:33+00:00,"b""The Uvalde community is one of 16,000 people and prominently Latinos.\n\nNow 19 of their children and two teachers are dead.\n\nOur kids deserve to learn and live without fear. Thoughts and prayers are\nnot enough and it's long past time for our leaders to take action."""
1528722900861210624,2022-05-23 13:01:56+00:00,"b'Just like traditional mole sauce, we\xe2\x80\x99re slow cooking something very exciting for @CNN. Get ready to journey with me across Mexico in Eva Longoria: Searching for Mexico in 2023 \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd https://t.co/MIg4BpEzTl'"
1528475380784537600,2022-05-22 20:38:23+00:00,b'RT @GlobalGiftFound: Today our founder @MariaRBravo together with @NinoSaezGG @EvaLongoria and @hudabeauty are in USA in AN EXCLUSIVE \xe2\x80\x9cUNCO\xe2\x80\xa6'
1528474673180295169,2022-05-22 20:35:34+00:00,"b'If you missed grabbing a Milagros t-shirt this weekend, you can visit: https://t.co/4BG3J4QaQC to grab yours. Reminder a portion of proceeds go to \n@GlobalGiftUSA Powered By Her scholarship program supporting girls in STEM.'"
1528442710629093377,2022-05-22 18:28:33+00:00,b'RT @worldofwomennft: What a day @veecon!\n\n\xf0\x9f\x8e\x99 Yam &amp; @Innamodja both participated in panels\n\xf0\x9f\x91\x95 We gave away hundreds of Milagros t-shirts\n\xf0\x9f\x96\x8a @YK\xe2\x80\xa6'
1528442556769779712,2022-05-22 18:27:57+00:00,b'RT @GlobalGiftFound: Thank you so much @mrsantoscoach founder of @WoonklyES for your valuable support presenting The 9 #GlobalGiftGala #Can\xe2\x80\xa6'
1527622665388756993,2022-05-20 12:09:59+00:00,b'Cannes = done. Now I\xe2\x80\x99m headed to Minneapolis for @veecon! Who\xe2\x80\x99s going to be around?'
1525881989898899456,2022-05-15 16:53:10+00:00,b'It\xe2\x80\x99s Santi\xe2\x80\x99s world and we\xe2\x80\x99re all just living in it \xe2\x9d\xa4\xef\xb8\x8f https://t.co/dx4Utx479J'
