twitter_id,date,tweet
1546630456585732099,2022-07-11 23:00:10+00:00,b'Canciones que llegaron para quedarse y por eso gracias a ustedes el \xf0\x9f\x8e\xa5 de #EresMiSue\xc3\xb1o ya tiene \xe2\x9e\x95 de 200 millones de views en @YouTube \xf0\x9f\x99\x8c\xf0\x9f\x92\xa5\xe2\x9d\xa4\xef\xb8\x8f https://t.co/HjVtQG3to1 https://t.co/oUOTAoJ5Fq'
1546480857782820864,2022-07-11 13:05:43+00:00,b'Desayuno Catal\xc3\xa1n\xf0\x9f\x87\xaa\xf0\x9f\x87\xb8 https://t.co/RYVLhrD6fm'
1545195146349879296,2022-07-07 23:56:45+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xbb\xf0\x9f\x87\xaa https://t.co/8ioBxu2bfy'
1545194739326132225,2022-07-07 23:55:08+00:00,"b'RT @hardbeatsper: @juanes \xf0\x9d\x98\x86 @Fonseca \xf0\x9d\x97\xb7\xf0\x9d\x98\x82\xf0\x9d\x97\xbb\xf0\x9d\x98\x81\xf0\x9d\x97\xbc\xf0\x9d\x98\x80 \xf0\x9d\x97\xb2\xf0\x9d\x97\xbb \xf0\x9d\x97\x9f\xf0\x9d\x97\xb6\xf0\x9d\x97\xba\xf0\x9d\x97\xae, \xf0\x9d\x97\x9f\xf0\x9d\x98\x82\xf0\x9d\x97\xbb\xf0\x9d\x97\xb2\xf0\x9d\x98\x80 \xf0\x9d\x9f\xae\xf0\x9d\x9f\xb5 \xf0\x9d\x97\xb1\xf0\x9d\x97\xb2 \xf0\x9d\x97\x94\xf0\x9d\x97\xb4\xf0\x9d\x97\xbc\xf0\x9d\x98\x80\xf0\x9d\x98\x81\xf0\x9d\x97\xbc \xf0\x9d\x97\x94\xf0\x9d\x97\xbf\xf0\x9d\x97\xb2\xf0\x9d\x97\xbb\xf0\x9d\x97\xae \xf0\x9d\x97\xa3\xf0\x9d\x97\xb2\xf0\x9d\x97\xbf\xc3\xba. \xf0\x9d\x97\x98\xf0\x9d\x97\xbb\xf0\x9d\x98\x81\xf0\x9d\x97\xbf\xf0\x9d\x97\xae\xf0\x9d\x97\xb1\xf0\x9d\x97\xae\xf0\x9d\x98\x80 \xf0\x9d\x97\xae \xf0\x9d\x97\xb9\xf0\x9d\x97\xae \xf0\x9d\x98\x83\xf0\x9d\x97\xb2\xf0\x9d\x97\xbb\xf0\x9d\x98\x81\xf0\x9d\x97\xae \xf0\x9d\x97\xb2\xf0\x9d\x97\xbb @teleticketperu. \xf0\x9d\x97\xa3\xf0\x9d\x97\xbf\xf0\x9d\x97\xb2\xf0\x9d\x98\x83\xf0\x9d\x97\xb2\xf0\x9d\x97\xbb\xf0\x9d\x98\x81\xf0\x9d\x97\xae \xf0\x9d\x97\xb0\xf0\x9d\x97\xbc\xf0\x9d\x97\xbb \xf0\x9d\x98\x81\xf0\x9d\x97\xae\xe2\x80\xa6'"
1545190985051025408,2022-07-07 23:40:13+00:00,"b'Mis ojos son tuyos, s\xc3\xb3lo tuyos para siempre\xe2\x9d\xa4\xef\xb8\x8f #BesosEnLaFrente https://t.co/fNTURFZbDg'"
1545190419293556737,2022-07-07 23:37:58+00:00,b'RT @juanes: Peruuu!!! \xf0\x9f\x87\xb5\xf0\x9f\x87\xaa\xf0\x9f\x87\xb5\xf0\x9f\x87\xaa\xf0\x9f\x87\xb5\xf0\x9f\x87\xaa Despu\xc3\xa9s de varios a\xc3\xb1os volvemos a esta tierra que quiero tanto \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\xf0\x9f\x94\xa5 Nos vemos el pr\xc3\xb3ximo 29 de Agosto con mi qu\xe2\x80\xa6'
1545189618185736192,2022-07-07 23:34:47+00:00,b'@JonBatiste \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'
1545071686256672769,2022-07-07 15:46:10+00:00,"b'Regresar a Lima siempre es muy emocionante y todav\xc3\xada m\xc3\xa1s en compa\xc3\xb1\xc3\xada de mi querido @juanes  \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\xf0\x9f\x94\xa5 Felices de anunciar nuestro concierto este 29 de Agosto en Arena Peru. \n\xf0\x9f\x92\xa5Preventa 7, 8 y 9 Julio con tarjetas BBVA\n\xf0\x9f\x92\xa5Venta General 10 de Julio. \n\xf0\x9f\x8e\xab\xf0\x9f\x91\x89https://t.co/n5EoRjakaH https://t.co/fla6VuBb1s'"
1544818481560010752,2022-07-06 23:00:02+00:00,b'Yo te confieso no te he podido olvidar\nY en cada beso sue\xc3\xb1o poderte encontrar #PASA escuch\xc3\xa9nla en mi nuevo \xc3\xa1lbum #Viajante https://t.co/1CbxWLMBKY'
1544805253098442754,2022-07-06 22:07:28+00:00,b'El viajero se mueve para conocer\xe2\x80\xa6 \nEscuchen mi nuevo \xc3\xa1lbum #VIAJANTE \xf0\x9f\xa7\xb3https://t.co/Jo0A1T4Vcq'
