twitter_id,date,tweet
1546560148877066240,2022-07-11 18:20:47+00:00,b'RT @emmagannon: Thanks for having me @GemmaAnneStyles \xe2\x9d\xa4\xef\xb8\x8fhttps://t.co/IcczTzmfTb'
1544930109844606976,2022-07-07 06:23:36+00:00,b'@briixcas It\xe2\x80\x99s called Should I Delete That? \xf0\x9f\x98\x8a'
1544648062861189121,2022-07-06 11:42:51+00:00,b'RT @ChrisStephensMD: When I pack too much for a short trip. https://t.co/qRcLTWySHc'
1544390863484329984,2022-07-05 18:40:49+00:00,b'https://t.co/jM2uDRiiwF https://t.co/eIGPCA5TCw'
1544390474194206723,2022-07-05 18:39:17+00:00,b'Monday: hello internet I have ADHD\nTuesday: ta daaaaa https://t.co/tbFjPHwcC8'
1543967615953010692,2022-07-04 14:38:59+00:00,b'Popular with puppies is now the only podcast category I care about https://t.co/VY9CyoNlP8'
1543911271015354371,2022-07-04 10:55:06+00:00,b'RT @Harry_Styles: I\xe2\x80\x99m heartbroken along with the people of Copenhagen. I adore this city. The people are so warm and full of love. \n\nI\xe2\x80\x99m de\xe2\x80\xa6'
1543894677413396481,2022-07-04 09:49:09+00:00,"b'RT @GoodInfluenceGS: Happy Monday and happy new episode! This week I\xe2\x80\x99m talking to @mariejbeech about her experience with echo chambers, par\xe2\x80\xa6'"
1542092546809233409,2022-06-29 10:28:08+00:00,b'RT @NHSEngland: In the words of the amazing Dame Deborah James \xe2\x80\x94 please check your poo.\n\nThe three main symptoms of bowel cancer are: blood\xe2\x80\xa6'
1541841644600827909,2022-06-28 17:51:08+00:00,"b'RT @GoodInfluenceGS: New guest alert: I\xe2\x80\x99ll be speaking to @mariejbeech about online social justice, echo chambers and more. Looking forward\xe2\x80\xa6'"
1541837783995760641,2022-06-28 17:35:48+00:00,b'@zoelondondj This is delightful'
