twitter_id,date,tweet
1542270969485709316,2022-06-29 22:17:07+00:00,b'GIOLaser marcando presen\xc3\xa7a no CIOSP hoje!! \xf0\x9f\x92\x9c https://t.co/qPF8gDQOpC'
1542270700395823108,2022-06-29 22:16:03+00:00,"b'RT @raridadegioanto: Filhas de Eva, estreia dia 12 de Julho, todas as ter\xc3\xa7as e quintas, depois de Pantanal. E eu s\xc3\xb3 vou assistir pela trama\xe2\x80\xa6'"
1542270662819078145,2022-06-29 22:15:54+00:00,b'\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d https://t.co/Cz1JjyCNX9'
1541465973244530689,2022-06-27 16:58:21+00:00,b'Depois fa\xc3\xa7o surpresa de novo hein. T\xc3\xb4 de olho \xf0\x9f\x91\x80'
1541465895523999745,2022-06-27 16:58:03+00:00,b'Deu a louca\xe2\x80\xa6 kkkkkk vcs pediram e segui! \xf0\x9f\x98\x82'
1541444121205870595,2022-06-27 15:31:31+00:00,b'Quero vcs interagindo no post de hj hein\xe2\x80\xa6 kkkkkkk'
1541439101068615681,2022-06-27 15:11:34+00:00,"b'Bom dia, bom dia, bom dia!'"
1541178183550177285,2022-06-26 21:54:47+00:00,b'RT @tuitavicc: lembro da palha\xc3\xa7ada que fizeram com a bruna por causa de uma fantasia e agora com um assunto realmente s\xc3\xa9rio vem com essa no\xe2\x80\xa6'
1541153787183865863,2022-06-26 20:17:50+00:00,"b""RT @MarieClaireBR: A institui\xc3\xa7\xc3\xa3o emitiu um comunicado neste domingo (26). 'Compete ao Coren-SP apurar as situa\xc3\xa7\xc3\xb5es em que haja infra\xc3\xa7\xc3\xa3o \xc3\xa9ti\xe2\x80\xa6"""
1541116243679272960,2022-06-26 17:48:39+00:00,"b'RT @marcellarica: N\xc3\xa3o basta a viol\xc3\xaancia do estupro.\nTem a viol\xc3\xaancia dos profissionais que deveriam acolher e proteger, das institui\xc3\xa7\xc3\xb5es, de\xe2\x80\xa6'"
1540944559416418306,2022-06-26 06:26:26+00:00,"b'Klara,voc\xc3\xaa t\xc3\xa3o rara e t\xc3\xa3o menina quando conheci\xe2\x80\xa6 sempre imaginava que se um dia tivesse filhas queria que fossem como vc.Doce, inteligente, Bom car\xc3\xa1ter talentosa e cheia de personalidade!\nConte com meu amor sempre,em meio a um mundo t\xc3\xa3o hostil a nossa voltaTe amo@KlaraCastanho'"
1540125300830486531,2022-06-24 00:11:00+00:00,"b'RT @secawards: .@gio_antonelli est\xc3\xa1 indicada na categoria Destaque em TV por ""Quanto Mais Vida, Melhor!"" no #SECAwards 2022.\n\nAproveite par\xe2\x80\xa6'"
1539986327546077187,2022-06-23 14:58:46+00:00,b'@gioschatzi \xf0\x9f\x97\xa3\xf0\x9f\x97\xa3\xf0\x9f\x97\xa3'
1539986027749806080,2022-06-23 14:57:35+00:00,b'J\xc3\xa1 votaram hoje???'
1538926972272787457,2022-06-20 16:49:16+00:00,b'@wytonelli @HugoGloss \xf0\x9f\x98\x8e'
1538926785760530435,2022-06-20 16:48:32+00:00,b'@HugoGloss \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'
1538926541605830661,2022-06-20 16:47:34+00:00,"b'RT @HugoGloss: Voc\xc3\xaas est\xc3\xa3o preparados? Recebam com exclusividade, a primeira foto do elenco de #Travessia, pr\xc3\xb3xima novela das 21h da Globo.\xe2\x80\xa6'"
1538926485268049920,2022-06-20 16:47:20+00:00,b'@ParaibanadaGioA \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
1538903572078899205,2022-06-20 15:16:17+00:00,b'Dicas de filmes e s\xc3\xa9ries na minha mesa! Kkkkkkk'
1538901690585432065,2022-06-20 15:08:49+00:00,b'@tuitavicc \xf0\x9f\x98\x8d'
1538901648000667656,2022-06-20 15:08:38+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/86NU3kYEOY'
1537813854838738944,2022-06-17 15:06:08+00:00,b'Sextoooou!'
