twitter_id,date,tweet
1545851805883580418,2022-07-09 19:26:05+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 \xc4\xb0MDAT \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\n\nhttps://t.co/OtgIhyqwxH'
1545676894707896322,2022-07-09 07:51:03+00:00,b'Hepimizin Kurban Bayram\xc4\xb1 m\xc3\xbcbarek olsun\xe2\x80\xa6 \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xe2\x9d\xa4'
1545312208766353409,2022-07-08 07:41:55+00:00,"b'RT @UNICEF_ECA: Congratulations to @unicefturk on the appointment of @Hadise, an internationally known singer, as their new Child Rights Ad\xe2\x80\xa6'"
1545311806645850113,2022-07-08 07:40:19+00:00,"b""RT @UNICAnkara: Hadise, UNICEF T\xc3\xbcrkiye'nin \xc3\x87ocuk Haklar\xc4\xb1 Savunucusu oldu \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f"""
1545009943258058753,2022-07-07 11:40:50+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f @unicefturk https://t.co/YjqsxBOo4B'
1545009755239944192,2022-07-07 11:40:05+00:00,"b'RT @unicefturk: Wecome @Hadise, our newest Child Rights Advocate! \xf0\x9f\x92\x99\xe2\x9c\xa8\n\nHadise will support @unicefturk for one year in raising awareness aro\xe2\x80\xa6'"
1543233727349891073,2022-07-02 14:02:47+00:00,b'#unutMADIMAKakl\xc4\xb1mda'
1542847126786510850,2022-07-01 12:26:34+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 B A B Y  \xc4\xb0 M D A T \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\n\nhttps://t.co/OtgIhyqwxH'
1542615555764621313,2022-06-30 21:06:23+00:00,b'#\xc4\xb0mdat \xf0\x9f\x94\xa5 \xc5\x9eimdi t\xc3\xbcm dijital platformlarda! \xf0\x9f\x86\x98 @murdaworld \n\nhttps://t.co/m1rsfK3IQH https://t.co/kQIj8kZUUV'
1542528532567539713,2022-06-30 15:20:35+00:00,b'Geliyor gelmekte olan \xf0\x9f\xa4\xab\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xf0\x9f\x86\x98 https://t.co/8JXryIKZQJ'
1542132299181039616,2022-06-29 13:06:06+00:00,b'RT @SpotifyTurkey: Cuma g\xc3\xbcn\xc3\xbcnden itibaren g\xc3\xb6nl\xc3\xbcnce basabilirsin. \xf0\x9f\x94\xb4 @Hadise @murdaworld https://t.co/LMqA8FwmVk'
1541695078154092546,2022-06-28 08:08:44+00:00,b'T\xc3\xbcrk sinemas\xc4\xb1n\xc4\xb1n unutulmaz oyuncular\xc4\xb1ndan #C\xc3\xbcneytArk\xc4\xb1n\xe2\x80\x99\xc4\xb1n vefat etti\xc4\x9fini derin bir \xc3\xbcz\xc3\xbcnt\xc3\xbcyle \xc3\xb6\xc4\x9frendim\xe2\x80\xa6 Seni asla unutmayaca\xc4\x9f\xc4\xb1z\xe2\x80\xa6'
1541333936722378753,2022-06-27 08:13:41+00:00,"b'\xc4\xb0nsan insand\xc4\xb1r. A\xc5\x9fk a\xc5\x9fkt\xc4\xb1r. A\xc5\x9fk\xc4\xb1n rengi, insan\xc4\xb1n ruhu \xc3\xb6zg\xc3\xbcrd\xc3\xbcr! Hep birlikte mutlu ve huzurlu bir ya\xc5\x9fam dile\xc4\x9fi ile \xf0\x9f\xa4\x8d\n\n#lgbt #loveislove'"
1541029981698007040,2022-06-26 12:05:53+00:00,b'HAZIR MISINIZ? #IMDAT MOVIE LOADING! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xf0\x9f\x86\x98 @murdaworld https://t.co/cZhr3HxcUH'
1540685559194038272,2022-06-25 13:17:16+00:00,b'RT @murdaworld: IMDAT COMING SOON \xf0\x9f\x8e\xac\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 @Hadise https://t.co/VGitxcxqnT'
1540685501983776768,2022-06-25 13:17:02+00:00,b'We know everyone is waiting for this... #IMDAT \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xf0\x9f\x8e\xac https://t.co/wnMCvJinkA'
1539594182536450050,2022-06-22 13:00:32+00:00,b'save the date 01.07.2022\n\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xf0\x9f\xa4\xab https://t.co/lGxeG0KVtH'
1539168738704076807,2022-06-21 08:49:58+00:00,b'P\xc4\xb1nar senden \xc3\xb6z\xc3\xbcr diliyoruz. Sen canice katledildin ama katilin indirim ald\xc4\xb1! \xc4\xb0\xc5\x9fkence edilerek \xc3\xb6ld\xc3\xbcr\xc3\xbclen bir kad\xc4\xb1n katiline haks\xc4\xb1z tahrik indirimi veren bu karar\xc4\xb1 \xc5\x9fiddetle k\xc4\xb1n\xc4\xb1yorum! \n\n\xc3\x87ok \xc3\xbczg\xc3\xbcn\xc3\xbcm. \xc3\x87ok \xc5\x9fa\xc5\x9fk\xc4\xb1n\xc4\xb1m. \xc3\x87ok \xc3\xb6fkeliyim.'
1530964894425677825,2022-05-29 17:30:49+00:00,b'NYC in @MaisonValentino \xf0\x9f\x96\xa4 https://t.co/9cpl9p7yJx'
1530543579558555649,2022-05-28 13:36:40+00:00,b'New York konserimiz \xc3\xb6ncesi Ba\xc5\x9fkonsoloslu\xc4\x9fu\xe2\x80\x99nun T\xc3\xbcrk Evi\xe2\x80\x99nde ger\xc3\xa7ekle\xc5\x9ftirdi\xc4\x9fi davete kat\xc4\xb1lmaktan mutluluk duydum. Ba\xc5\x9fkonsolos Say\xc4\xb1n Reyhan \xc3\x96zg\xc3\xbcr\xe2\x80\x99e daveti ve misafirperverli\xc4\x9fi i\xc3\xa7in te\xc5\x9fekk\xc3\xbcr ederim.\n\n@TRConsulNY https://t.co/X9dg29iV5e'
1527188012035080195,2022-05-19 07:22:50+00:00,b'19 May\xc4\xb1s Atat\xc3\xbcrk\xe2\x80\x99\xc3\xbc anma gen\xc3\xa7lik ve spor bayram\xc4\xb1m\xc4\xb1z kutlu olsun! https://t.co/Q8G7YHWMbe'
1524688936974622720,2022-05-12 09:52:24+00:00,"b'Kad\xc4\xb1nlar\xc4\xb1n k\xc4\xb1yafeti, dekoltesi, sa\xc3\xa7\xc4\xb1, kilosu ve makyaj\xc4\xb1 hakk\xc4\xb1nda konu\xc5\x9fmay\xc4\xb1 ne zaman b\xc4\xb1rakacaks\xc4\xb1n\xc4\xb1z? \n\nSenelerdir s\xc3\xb6yl\xc3\xbcyorum ve s\xc3\xb6ylemeye devam edece\xc4\x9fim! #Ahlaks\xc4\xb1zl\xc4\xb1kSizinKafan\xc4\xb1zda'"
1523201231597973505,2022-05-08 07:20:47+00:00,b'T\xc3\xbcm annelerimizin Anneler G\xc3\xbcn\xc3\xbc kutlu olsun\xe2\x80\xa6 \xf0\x9f\x92\x97\xf0\x9f\x8c\xb8'
1521025595223810049,2022-05-02 07:15:35+00:00,b'Herkese sevdikleri ile birlikte mutlu ve huzurlu bir bayram diliyorum.\n\nRamazan bayram\xc4\xb1m\xc4\xb1z m\xc3\xbcbarek olsun\xe2\x80\xa6 \xf0\x9f\x96\xa4'
1519226967207329793,2022-04-27 08:08:29+00:00,b'#KadirGecesi m\xc3\xbcbarek olsun... Allah t\xc3\xbcm dualar\xc4\xb1m\xc4\xb1z\xc4\xb1 kabul etsin... \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\xa4\x8d'
1517790654105112578,2022-04-23 09:01:05+00:00,"b'\xc3\x96zg\xc3\xbcr olmak, istedi\xc4\x9fini istedi\xc4\x9fin an yapmak, herkesi e\xc5\x9fit g\xc3\xb6rmek ve oldu\xc4\x9fu gibi kabul etmek ne b\xc3\xbcy\xc3\xbck bir erdem. 23 Nisan kutlu olsun! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xb9\xf0\x9f\x87\xb7 Atam\xc4\xb1z\xc4\xb1 sayg\xc4\xb1 ile an\xc4\xb1yorum\xe2\x80\xa6'"
1517790652607737856,2022-04-23 09:01:05+00:00,b'Ba\xc5\x9fka bir \xc3\xbclkede do\xc4\x9fmu\xc5\x9f olsamda her sene okulda 23 Nisan\xe2\x80\x99\xc4\xb1 kutlard\xc4\xb1k. Okulumuz buna izin verirdi. T\xc3\xbcrk ya da de\xc4\x9fil t\xc3\xbcm \xc3\xa7ocuklarla birlikte kutlard\xc4\xb1k. Atat\xc3\xbcrk\xe2\x80\x99\xc3\xbcn t\xc3\xbcm d\xc3\xbcnya \xc3\xa7ocuklar\xc4\xb1na arma\xc4\x9fan etti\xc4\x9fi gibi.'
1517790650439290880,2022-04-23 09:01:04+00:00,"b'Daha boyum mikrofona zor yeterken, T\xc3\xbcrkiye\xe2\x80\x99den \xc3\xa7ok uzaklarda da kutlard\xc4\xb1m 23 Nisan\xe2\x80\x99\xc4\xb1\xe2\x80\xa6 https://t.co/7WeUbc6jYc'"
1510201002862993413,2022-04-02 10:22:31+00:00,b'Herkese huzurlu bir #Ramazan diliyorum \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\xa4\x8d'
1508084511086678021,2022-03-27 14:12:20+00:00,b'Herkes hem fikirse d\xc3\xbcn \xc4\xb0stanbul\xe2\x80\x99da unutulmaz bir gece ya\xc5\x9fad\xc4\xb1k \xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/nS29UcOhAn'
1504734797406560267,2022-03-18 08:21:46+00:00,b'Ba\xc5\x9fta Gazi Mustafa Kemal Atat\xc3\xbcrk ve silah arkada\xc5\x9flar\xc4\xb1 olmak \xc3\xbczere kahraman askerlerimizi minnetle an\xc4\xb1yorum\xe2\x80\xa6 #18Mart'
1504138717207932939,2022-03-16 16:53:10+00:00,b'\xe2\x9c\xa8\xf0\x9f\xa4\x8d https://t.co/VAFm56oYi8'
1502548589280645120,2022-03-12 07:34:34+00:00,"b'#Kert\xe2\x80\x99in toparlay\xc4\xb1c\xc4\xb1 \xc3\xb6zellikli elbiseleri i\xc3\xa7in \xc3\xa7ok fazla soru al\xc4\xb1yorduk, t\xc3\xbcm bu sorular\xc4\xb1n\xc4\xb1za cevab\xc4\xb1; https://t.co/sq96SGXBCy\n\nAl\xc4\xb1\xc5\x9fveri\xc5\x9f i\xc3\xa7in: https://t.co/RBaw6Bd5IB \n\n@shopkert \xf0\x9f\xa4\x8d\xe2\x9c\xa8'"
