twitter_id,date,tweet
1546598758405783553,2022-07-11 20:54:13+00:00,"b'I need a holiday, don\xe2\x80\x99t know about y\xe2\x80\x99all! \xf0\x9f\x98\x81 #Jamaica \xf0\x9f\x87\xaf\xf0\x9f\x87\xb2 #Carnival2022\xf0\x9f\x87\xaf\xf0\x9f\x87\xb2 \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 #LifeisGood #UniverseBoss https://t.co/nh8WiWihdM'"
1546575381699866625,2022-07-11 19:21:19+00:00,b'RT @IRIE_FM: @therealsizzlakalonji added to the @billboard album series #tropicalhousecruisestojamaica #theasianedition headlined by @chris\xe2\x80\xa6'
1546150143304556546,2022-07-10 15:11:34+00:00,"b""RT @contractor4: #Ghana It's two of Janaica's biggest exports @henrygayle  @SizzlaKalonji  on our upcoming album #tropicalhousecruisestojam\xe2\x80\xa6"""
1545820565147004928,2022-07-09 17:21:57+00:00,"b'I Love My country, Jamaica \xf0\x9f\x87\xaf\xf0\x9f\x87\xb2 \xe2\x9d\xa4\xef\xb8\x8f  \xf0\x9f\x98\x84\xf0\x9f\x98\x81\xf0\x9f\xa4\x97 https://t.co/WUj1Q0CSxP'"
1545139899178704896,2022-07-07 20:17:13+00:00,b'El Chriso!! Just LivingDiLife \xf0\x9f\x98\x81 I Ain\xe2\x80\x99t Leaving \xf0\x9f\xab\xa3 https://t.co/BE1wrqiC7r'
1544936132781023234,2022-07-07 06:47:32+00:00,b'\xf0\x9f\xa4\xaa\xf0\x9f\x98\x81 https://t.co/qHBdylQvGO'
1544231465780740097,2022-07-05 08:07:26+00:00,b'I SWEAR..AFTER THIS THEY SAY PAY ME MY PHUCKING MONEY IN ENGLISH..NOT SPANISH! I LUV MEXICO \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x92\xab\xf0\x9f\x8e\x89\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbf https://t.co/hDJ3iOaE1H'
1543719989219311616,2022-07-03 22:15:01+00:00,b'High On The Hustle\xe2\x80\xa6I Am The Movie\xe2\x80\xa6Continue Watching...\xf0\x9f\x98\x81 \xf0\x9f\x92\xab https://t.co/o0Ztno50iR'
1542281604839510016,2022-06-29 22:59:23+00:00,b'Blessings to people \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x87\xaf\xf0\x9f\x87\xb2\xf0\x9f\x94\xa5 https://t.co/D2ASkVaBy4'
1542234773602574337,2022-06-29 19:53:18+00:00,"b""RT @contractor4: #Ghana It's today's @jamaicastar  honoring our sports and music ambassador @henrygayle  with UK Prime  Minister  @BorisJoh\xe2\x80\xa6"""
1541472504144961536,2022-06-27 17:24:18+00:00,b'The 6IXTY trophy will be called the Universe Boss Trophy \xf0\x9f\x8f\x86 \xf0\x9f\x98\x89\xf0\x9f\x8e\x8a\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbf https://t.co/X40y0zsMxq'
1541110066203459586,2022-06-26 17:24:06+00:00,b'Sun \xf0\x9f\x8c\xb4 \xf0\x9f\x98\x8a https://t.co/nuI97Ca4ix'
1540817352186552320,2022-06-25 22:00:58+00:00,"b'RT @contractor4: #Ghana @shattawalegh transcend smusic and is now a geo political figure just as @henrygayle  transcends sport, headlines o\xe2\x80\xa6'"
1540615377608228865,2022-06-25 08:38:23+00:00,b'Just posted a photo https://t.co/FYY5qjgGff'
1539975057786675201,2022-06-23 14:13:59+00:00,b'RT @RobStriar: Excited to announce this new project with Chris Gayle and to launch his new media platform with The Chris Gayle Universe @he\xe2\x80\xa6'
1539975013595504640,2022-06-23 14:13:49+00:00,b'https://t.co/chvk3TNGwQ \n\n@robstriar \n@mstylemarketing \n#Group33'
1539964700846333952,2022-06-23 13:32:50+00:00,"b""RT @contractor4: #Ghana It's an honor to have the official Jamaican Government website @JISNews  feature our  album.project for the Asian M\xe2\x80\xa6"""
1539743898448396291,2022-06-22 22:55:27+00:00,"b'RT @6ixtycricket: New tournament, new rules. Here is The Universe Boss @henrygayle to take you through how THE 6IXTY takes the excitement t\xe2\x80\xa6'"
1539447401525780480,2022-06-22 03:17:16+00:00,"b'RT @TheVijayMallya: Great to catch up with my good friend Christopher Henry Gayle \xe2\x81\xa6@henrygayle\xe2\x81\xa9 , the Universe Boss. Super friendship since\xe2\x80\xa6'"
1539268062859370496,2022-06-21 15:24:39+00:00,b'It was great meeting British Prime Minister Boris Johnson &amp; Cabinet Minister Nigel Adams promoting sports tourism for Jamaica \xf0\x9f\x87\xaf\xf0\x9f\x87\xb2 \xf0\x9f\x87\xac\xf0\x9f\x87\xa7 \n@borisjohnsonuk @nigeladams66 \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf \xf0\x9f\x98\x8a https://t.co/p0an66PPC4'
1539232719548338178,2022-06-21 13:04:12+00:00,b'Watch this space! Tomorrow we launch @6ixtycricket #The6IXTY https://t.co/KbhiyBv6ku'
1538934198827896833,2022-06-20 17:17:59+00:00,b'RT @contractor4: #Ghana loves @shattawalegh like how India loves @henrygayle  and looks forward to him on.our @billboard compilation series\xe2\x80\xa6'
1538828166759841793,2022-06-20 10:16:39+00:00,"b'Haven\xe2\x80\x99t yet made your first deposit at 10CRIC?\n\nEnjoy a winning welcome at @10cric.official with me, The Universe Boss, who is hitting \xe2\x82\xb91,00,000 in 3 different bonuses your way! \xf0\x9f\x8f\x8f\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\n\nJOIN NOW! \xf0\x9f\x91\x89\xf0\x9f\x8f\xbf https://t.co/RrTVJGg3L0\n\n#10CRIC #TheUniverseBoss #LETSBAT https://t.co/reuZYJulOB'"
1538567979444617217,2022-06-19 17:02:46+00:00,b'RT @contractor4: #Ghana When you say @UN  it means Unity and @shattawalegh  and shatta movement defined that on our tropical house cruises\xe2\x80\xa6'
1537999770983157760,2022-06-18 03:24:54+00:00,b'RT @contractor4: #Jamaica #India. Sports and Music merge as @tourismja  Mnister Ed Bartlett hails @henrygayle as ambassador for Jamaica to\xe2\x80\xa6'
1537777783019122694,2022-06-17 12:42:48+00:00,"b'Everyone was like, how does he do it..Sneakers, No socks! \xf0\x9f\xa4\xa3\xf0\x9f\x98\x81But he looks so lit \xf0\x9f\x94\xa5 \xf0\x9f\x9a\x80 #UniverseBoss #ChrisGayleAscot #RoyalAscot #Ascot \xf0\x9f\xa5\x82\xf0\x9f\x8d\xbb\xf0\x9f\x8e\x8a\xf0\x9f\x8e\xa9\xf0\x9f\x98\x81 \xf0\x9f\x87\xac\xf0\x9f\x87\xa7 #IAintLeaving \xf0\x9f\x98\x81 https://t.co/P7lmoX20P3'"
1537076458295803904,2022-06-15 14:15:59+00:00,b'Sweet like sugar! \xf0\x9f\x98\x8a https://t.co/GrGp6Onk6x'
1537076127629557760,2022-06-15 14:14:40+00:00,b'RT @IRIE_FM: Sports icon @chrisgayle333 will be featured on the @billboard album series Tropical House Cruises to Jamaica. The Asian Editio\xe2\x80\xa6'
1536803101889503233,2022-06-14 20:09:46+00:00,b'Just posted a video https://t.co/2VtzuKAeOh'
1536713137407270912,2022-06-14 14:12:17+00:00,b'You got ATTIITUDE? \n\nAvailable now in India\xe2\x80\x99s Biiiiiiiiiiiiiiggest fashion sale. Myntra End of Reason Sale is LIVE from 11th June to 16th June. Get 50% to 80% off. Isse Bada Sale Nahi Milega!!! \n\nhttps://t.co/3ZMHPGavgq Download the Myntra App &amp; start shopping NOW! https://t.co/RkRrZCctFT'
1536524653480382464,2022-06-14 01:43:19+00:00,b'Me \xe2\x9d\xa4\xef\xb8\x8f #Atl https://t.co/1tf3fv7mEx'
1536375200010637312,2022-06-13 15:49:26+00:00,b'RT @contractor4: #Ghana  Do you have any Ghanaian athletes who have invested in music? Here in Jamaics we have @usainbolt  and @henrygayle\xe2\x80\xa6'
1535676066660073473,2022-06-11 17:31:20+00:00,"b'RT @contractor4: #Ghana After his hit with @emiwaytweets  in India with 53 million views @YouTube , @henrygayle is featured our upcoming al\xe2\x80\xa6'"
1535416213085593600,2022-06-11 00:18:46+00:00,b'Tune in! \xf0\x9f\x9a\x80\xf0\x9f\x87\xaf\xf0\x9f\x87\xb2 https://t.co/dzdrXq0R4Z'
1534928373146861568,2022-06-09 16:00:16+00:00,"b""RT @contractor4: #Ghana Never give up says #Jamaica's superstar sportsman @henrygayle on @zip103fm  He features on our upcoming albumf or t\xe2\x80\xa6"""
1534245865711337475,2022-06-07 18:48:13+00:00,b'RT @contractor4: #Ghana #Dubai #India #Australia The hottest radio station in the Caribbean @zip103fm  shares the story of the hottest cric\xe2\x80\xa6'
1534245842810556417,2022-06-07 18:48:08+00:00,b'RT @ReggaeReactor: Chris Gayle to headline compilation reggae album series | Loop Jamaica - Loop News Jamaica https://t.co/zg2cCndlzy https\xe2\x80\xa6'
1534184639283224576,2022-06-07 14:44:56+00:00,"b""RT @contractor4: #Ghana It's an honor to have one of our Jamaican sports icons @henrygayle https://t.co/xgjIOlCwHj music and featured on ou\xe2\x80\xa6"""
1533555530278518786,2022-06-05 21:05:05+00:00,"b""RT @contractor4: #Ghana #India #England #Australia #Asia #Jamaica it's sporting icon @henrygayle on @OnstageTV  @CVMTV  talking about  bein\xe2\x80\xa6"""
1533321636065189888,2022-06-05 05:35:40+00:00,b'Full Music Video Out Now! \xf0\x9f\x91\x89\xf0\x9f\x8f\xbf https://t.co/lv43Y3hMpZ'
1532362895786397698,2022-06-02 14:05:58+00:00,b'Jamaica \xf0\x9f\x87\xaf\xf0\x9f\x87\xb2 To India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 Look Out For India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 To Jamaica \xf0\x9f\x87\xaf\xf0\x9f\x87\xb2 \xf0\x9f\x9a\x80\xf0\x9f\x94\xa5 @emiway_bantai \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbf \xf0\x9f\x8e\xb6 https://t.co/QPL3TVur7r'
1532042977979383808,2022-06-01 16:54:44+00:00,b'#ContractorMusicGroup https://t.co/WZyMfT6hf5'
1532027955077173248,2022-06-01 15:55:02+00:00,"b'RT @KP24: Mondii Khumalo, we\xe2\x80\x99re right behind you! Being brutally attacked in a nightclub just isn\xe2\x80\x99t fair! \n\nPLEASE SUPPORT &amp; RT! \nhttps://t\xe2\x80\xa6'"
1530937105454596096,2022-05-29 15:40:24+00:00,b'Video Dripping Soon! \xe2\x80\x9cDon\xe2\x80\x99t Go\xe2\x80\x9d On My YouTube Channel! #UniverseBoss \xf0\x9f\x87\xaf\xf0\x9f\x87\xb2\xf0\x9f\x9a\x80\xf0\x9f\x94\xa5 https://t.co/o84PEAXKJv'
1530179123938828289,2022-05-27 13:28:27+00:00,b'https://t.co/2FVTW9wSVg'
1529860727040876546,2022-05-26 16:23:15+00:00,"b'Chris Gyale (Universeboss) - ""DON\'T GO""  New Single Drops on May 27th 2022 on All Major Digital Platforms Worldwide !!!! .... Pre-Save NOW!!!  By Clicking The Link Below!                                        https://t.co/g4Ns3yizOj https://t.co/ZSQ6tnsnGb'"
1529806989177540608,2022-05-26 12:49:43+00:00,"b'RT @10cric_official: The legendary partnership between #10CRIC &amp; The Universe Boss @henrygayle continues, this time, with an exclusive inte\xe2\x80\xa6'"
1529152635546112000,2022-05-24 17:29:33+00:00,b'https://t.co/4mk5iCrrXl'
1528305406770040832,2022-05-22 09:22:58+00:00,"b""RT @contractor4: #Ghana It's #Jamaican cricket legend @henrygayle for our upcoming @billboard album with @shattawalegh @therealredman @King\xe2\x80\xa6"""
1527627209057370113,2022-05-20 12:28:03+00:00,"b'Welcome to the Cricket Allrounder app\xe2\x80\xa6I AINT LEAVING \xf0\x9f\x98\x81\xf0\x9f\x93\xb2 @cricketallrounderapp\n\nWatch, learn and play cricket like never before \xf0\x9f\x94\xa5\xf0\x9f\x8f\x8f\n\nDownload today on android and IOS \xf0\x9f\x99\x8f\n\nhttps://t.co/v1Fz1ppKLa\n\nhttps://t.co/fYMHCpzZMV\n\n#cricketallrounder #universeboss'"
1526469716436566016,2022-05-17 07:48:35+00:00,b'#RCB\xe2\x80\xa6Lot of memories! One love \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf https://t.co/IPTzxTcwnn'
1525939090440454144,2022-05-15 20:40:04+00:00,b'@CricketAllRndr https://t.co/v1Fz1ppKLa \xf0\x9f\x91\x8d https://t.co/zt0m4Qw4Sb'
1525863808690008064,2022-05-15 15:40:55+00:00,b'RIP #AndrewSymonds \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf'
1524981672734822414,2022-05-13 05:15:38+00:00,b'Out Now! #Tump \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbf click the link \xf0\x9f\x91\x89\xf0\x9f\x8f\xbf https://t.co/GEnEmb4ZPL'
1524261626488180739,2022-05-11 05:34:25+00:00,b'\xf0\x9f\x9a\xa8 #Tump \xf0\x9f\x9a\xa8 This Friday! \xf0\x9f\x87\xaf\xf0\x9f\x87\xb2\xf0\x9f\x94\xa5 #TripleCenturyRecords \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbf https://t.co/gnT2BIGcxk'
1523325963412459520,2022-05-08 15:36:26+00:00,b'Happy Mother\xe2\x80\x99s Day to all the Mom\xe2\x80\x99s out there. \xf0\x9f\xa4\x97\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf'
1522238438434652160,2022-05-05 15:35:00+00:00,b'RT @allrounderapp: #\xf0\x9d\x99\x87\xf0\x9d\x99\x9a\xf0\x9d\x99\xa8\xf0\x9d\x99\xa8\xf0\x9d\x99\xa4\xf0\x9d\x99\xa3\xf0\x9d\x99\xa8\xf0\x9d\x99\x92\xf0\x9d\x99\x9e\xf0\x9d\x99\xa9\xf0\x9d\x99\x9d\xf0\x9d\x99\x8f\xf0\x9d\x99\x9d\xf0\x9d\x99\x9a\xf0\x9d\x99\x8b\xf0\x9d\x99\xa7\xf0\x9d\x99\xa4\xf0\x9d\x99\xa8 \xf0\x9f\xa4\x9d Hitting 6\xe2\x80\x99s with @henrygayle \n\nFull video on the Cricket Allrounder app \xf0\x9f\x93\xb2\n\n#cricketallrounder #cri\xe2\x80\xa6'
1521853320276684801,2022-05-04 14:04:40+00:00,"b'RT @MuraliPod: \xf0\x9f\x9a\xa8 Murali End x Chris Gayle \xf0\x9f\x9a\xa8\n\n""This is disrespectful man... you can\'t put a spinner on so early to The Universe Boss""\n\n@henr\xe2\x80\xa6'"
1521853134443892738,2022-05-04 14:03:56+00:00,b'RT @Ad_Pierre1: @henrygayle my colleague heard you on @talkSPORT &amp; felt obliged to  return to work with this! #inspirational \xf0\x9f\xa4\xa3 https://t.co\xe2\x80\xa6'
1521853083814449153,2022-05-04 14:03:44+00:00,b'RT @tSHandJ: \xf0\x9f\x8f\x8f What a pleasure! The Universe Boss aka @henrygayle https://t.co/8FZ3qziuJw'
1521853007960358912,2022-05-04 14:03:26+00:00,b'RT @RDPRtweets: Great day so far in #London with the #UniverseBoss and cricketing legend @henrygayle for the launch of an exciting skills-b\xe2\x80\xa6'
1521852935856173059,2022-05-04 14:03:09+00:00,b'RT @LeeClayton_: The mighty @henrygayle meets @SamEllard \xf0\x9f\x8f\x8f https://t.co/K13iDAYtVL'
1520538460125372417,2022-04-30 22:59:53+00:00,b'Hello Manchester \xf0\x9f\x98\x8a @sterling7 #RicardoFuller \xf0\x9f\x87\xaf\xf0\x9f\x87\xb2\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 \xe2\x9c\x8a\xf0\x9f\x8f\xbf Generals \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbf\xf0\x9f\x98\x89 https://t.co/Ik6XqEasY9'
1520192791652880384,2022-04-30 00:06:20+00:00,b'Jah know star \xf0\x9f\x92\xab \xf0\x9f\xa4\x94 \xf0\x9f\x87\xaf\xf0\x9f\x87\xb2\xf0\x9f\x98\x84\xf0\x9f\x92\xa5\xf0\x9f\x95\xba\xf0\x9f\x8f\xbe https://t.co/FRunxpJw7n'
1519404758037114883,2022-04-27 19:54:58+00:00,b'RT @sachin_rt: @henrygayle Many thanks Chris! \xf0\x9f\x98\x8a\nIndia is missing you this IPL season.'
1518237859412688896,2022-04-24 14:38:07+00:00,b'Blessed Birthday Master @sachin_rt - wish you many more blessings \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbf\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf'
1517950975654252544,2022-04-23 19:38:09+00:00,b'I\xe2\x80\x99m so simple! #UniverseBoss #KingGayle \xf0\x9f\x91\x91 https://t.co/D1joK3bxru'
1517737397093650432,2022-04-23 05:29:28+00:00,"b'RT @cricbuzz: #OnThisDay in 2013, @henrygayle set/shattered all kinds of T20 records in an IPL game against Pune Warriors India. \n\nWhich re\xe2\x80\xa6'"
1517541350681587722,2022-04-22 16:30:27+00:00,b'RT @CPL: Get your @henrygayle merchandise now at https://t.co/SNYjbZ2rsP #CPL22 #ChrisGayle #CricketPlayedLouder https://t.co/naEKLMIjGy'
