twitter_id,date,tweet
1537919170100088834,2022-06-17 22:04:37+00:00,b'I had a great time speaking with #EmmyMagazine about #TheEqualizer \xe2\x9d\xa4\xef\xb8\x8f Thank you #televisionacademy https://t.co/Kj9Hzvoapl'
1537912333107748864,2022-06-17 21:37:27+00:00,b'RT @RedTableTalk: Fly as ever\xf0\x9f\x94\xa5\xf0\x9f\x98\x8e @IAMQUEENLATIFAH @jadapsmith https://t.co/s85anlfgB5'
1534786920068198401,2022-06-09 06:38:11+00:00,b'NO WORK by MisterButler on #SoundCloud https://t.co/xcNi98IgTq'
1534691909586673664,2022-06-09 00:20:39+00:00,b'Who is watching #HustleNetflix right now!? \xf0\x9f\x8f\x80\xf0\x9f\x94\xa5\xf0\x9f\x8e\xac https://t.co/8BRy8kS9uq'
1534676424295972865,2022-06-08 23:19:07+00:00,"b""RT @djkevlar: I've finally been caught. @IAMQUEENLATIFAH\n\n(And on first mention @questlove \xf0\x9f\x98\x86) https://t.co/6EdgBb9TcS"""
1534675694814318592,2022-06-08 23:16:13+00:00,b'RT @RedTableTalk: THE QUEEN IS HERE\xf0\x9f\x98\x8d\xf0\x9f\x91\x91 The one and only @IAMQUEENLATIFAH joins us at the Table to share her new mission!\xe2\x9d\xa4\xef\xb8\x8f It\xe2\x80\x99s a Red Table\xe2\x80\xa6'
1526255246980153344,2022-05-16 17:36:21+00:00,"b'Had an amazing time working with @ProcterGamble  @Tribeca and @flavorunit to host a day of mentorship, masterclasses, and creative connection to support the next generation of Black filmmakers \xf0\x9f\x8e\xa5 the images we see and stories we tell matter \xf0\x9f\x96\xa4 #QueenCollective\n#WidenTheScreen https://t.co/YX9gIwpdj2'"
1526076436813160448,2022-05-16 05:45:50+00:00,b'RT @JanetJackson: Quick little run through at @lynnfmlystadium \n\n#kentuckyderby\nLink in bio \xf0\x9f\x98\x98 https://t.co/RkHl15A6Ip'
1526073334680666113,2022-05-16 05:33:30+00:00,"b""RT @joywash916: @TheEqualizerCBS Great season finale...Dee has that same drive &amp; compassion just like her Mom...can't wait til next season.\xe2\x80\xa6"""
1526073278305079296,2022-05-16 05:33:17+00:00,b'RT @theoryofchris: @TheEqualizerCBS Me waiting all summer to find out what happens to McCall https://t.co/XPAqp9iLcL'
1526073111828914176,2022-05-16 05:32:37+00:00,b'RT @Thereal78930416: @TheEqualizerCBS Amazing episode see yall next season https://t.co/NFEeRB2xNo'
