twitter_id,date,tweet
1544289066388430848,2022-07-05 11:56:19+00:00,b'https://t.co/OUmSJPEC1Y'
1544288986205941761,2022-07-05 11:56:00+00:00,"b'Funny, dark, quirky, mendak, bichoo and to top it all @ShefaliShah_ and @aliaa08. Can\xe2\x80\x99t wait to watch the mix in #DarlingsOnNetflix. Releasing 5th August.\n\n@djasmeet @MrVijayVarma @roshanmathew22\n@gaurikhan @_gauravverma @RedChilliesEnt https://t.co/OhEpxcWuaw'"
1541085737549979648,2022-06-26 15:47:26+00:00,b'Thank u all for celebrating my 30 yrs with cakes &amp; edits and all things nice. For me the best way to celebrate is to work round the clock today to create more entertainment. Love you all. https://t.co/8MIHuJLj8A'
1540598873575624704,2022-06-25 07:32:49+00:00,"b'See you next year on 25th Jan, 2023. Celebrate #Pathaan with #YRF50 only at a big screen near you on 25th January, 2023. Releasing in Hindi, Tamil and Telugu. @deepikapadukone | @TheJohnAbraham | #SiddharthAnand | @yrf https://t.co/MUN3XFq5u3'"
1540583404252569600,2022-06-25 06:31:20+00:00,"b'30 yrs and not counting cos ur love &amp; smiles have been infinite. Here\xe2\x80\x99s to continuing with #Pathaan. \n\nCelebrate #Pathaan with #YRF50 on 25th January, 2023. Releasing in Hindi, Tamil and Telugu. \n\n@deepikapadukone |\xc2\xa0@TheJohnAbraham | #SiddharthAnand | @yrf https://t.co/tmLIfQfwUh'"
1537752567689580544,2022-06-17 11:02:36+00:00,b'This is such a happy moment for all of us at @KKRiders @ADKRiders &amp; of course the lovely set of people at @TKRiders Hope I can make it there to see this live!! https://t.co/IC9Gr96h92'
1533090728712482816,2022-06-04 14:18:07+00:00,b'https://t.co/3MWGKNwAwZ https://t.co/QHkpWfpIJN'
1533090371336814593,2022-06-04 14:16:42+00:00,"b'It\xe2\x80\x99s a special RC project that has seen its wait because of inevitable issues surrounding us.But a few good men worked hard &amp; made it happen. Want to thank @_GauravVerma the Co-Producer, @Atlee_dir and their Jawans for making this dream come to life. Now\xe2\x80\xa6 Good to go Chief\xe2\x80\xa6! https://t.co/7lhfMiE6hD'"
1532640880200663040,2022-06-03 08:30:35+00:00,"b'An action-packed 2023!!\nBringing #Jawan to you, an explosive entertainer in cinemas 2nd June 2023.\nIn Hindi, Tamil, Telugu, Malayalam and Kannada.\n\xc2\xa0\n@gaurikhan @Atlee_dir @RedChilliesEnt \n\nhttps://t.co/3MWGKNwAwZ'"
1529073281118371840,2022-05-24 12:14:13+00:00,"b'I\xe2\x80\x99d love to tell you if Darlings is coming to Netflix or not, but kisi ne poocha hi nahi. #Darlings #DarlingsOnNetflix\n\n@aliaa08 @ShefaliShah_ @MrVijayVarma @roshanmathew22 \n@djasmeet @gaurikhan @_GauravVerma  #ParveezShaikh\n@RedChilliesEnt @EternalSunProd @NetflixIndia https://t.co/HYaHMQiIq9'"
1528713718413922305,2022-05-23 12:25:27+00:00,b'An amazing true story of successfully chasing and nailing Covid virus by Team BMC. A must read. Pls grab ur copy on all online platforms/bookstores\xe2\x80\xa6 sorry I couldn\xe2\x80\x99t make it to the book launch @IqbalSinghChah2 . All the best and hope it generates the awareness it is meant to. https://t.co/NIsx5a3b7M'
1525400560903815168,2022-05-14 09:00:08+00:00,b'https://t.co/zv6JoPUmYM'
1525400426971275264,2022-05-14 08:59:37+00:00,b'From renting the Archie\xe2\x80\x99s Digest for 25 paise per day from book rental stores to see Zoya Akhtar make this come alive on screen\xe2\x80\xa6.is just incredible. Wishing all the little ones the best as they take their first little steps into the most beautiful of professions. https://t.co/uiKsLgGrP9'
1525063792656142336,2022-05-13 10:41:57+00:00,b'Don\xe2\x80\x99t want to sound formal as we are like a family all of us in the organisation. But a big thank u to @VenkyMysore  and his band of soldiers at @KKRiders for making this a reality. Onwards to newer terrains with cricket!!! https://t.co/O2marlSEHl'
1521488357594968068,2022-05-03 13:54:26+00:00,b'How lovely to meet you all on Eid\xe2\x80\xa6. May Allah bless you with love happiness and may the best of your past be the worst of your future. Eid Mubarak!! https://t.co/zsxyB783gR'
1516363784386138115,2022-04-19 10:31:13+00:00,"b'Dear @RajkumarHirani sir, Aap toh Mere Santa Claus nikle. Aap shuru karo main time pe pahunch jaunga. actually main toh set par hi rehne lagunga. Feeling humbled &amp; excited to finally work with you.Bringing to you all #Dunki in cinemas on 22nd December 2023\nhttps://t.co/KIqj8LfJEg'"
1516125031641718784,2022-04-18 18:42:30+00:00,b'Well played boys. Stupendous effort by @ShreyasIyer15 @AaronFinch5 @y_umesh congrats to #SunilNarine for the 150th match &amp; @Bazmccullum for that innings 15 yrs ago. I know we lost but if we have to go down this is the only way to do it! Keep ur chins up\xe2\x80\xa6.'
