twitter_id,date,tweet
1546514647183896576,2022-07-11 15:19:59+00:00,b'Wordle 387 5/6\n\n\xe2\xac\x9b\xe2\xac\x9b\xe2\xac\x9b\xe2\xac\x9b\xe2\xac\x9b\n\xe2\xac\x9b\xe2\xac\x9b\xf0\x9f\x9f\xa8\xe2\xac\x9b\xf0\x9f\x9f\xa8\n\xe2\xac\x9b\xf0\x9f\x9f\xa9\xe2\xac\x9b\xf0\x9f\x9f\xa8\xe2\xac\x9b\n\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xe2\xac\x9b\xe2\xac\x9b\n\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\n\nAha got you there'
1546463023639904256,2022-07-11 11:54:51+00:00,"b'""Trusting the process means openness.. you can\'t force your path."" New #TrustTheProcess episode on #PaanoBaTo with the new Head of Originals, Philippines of Amazon Studios, @quarkhenares! Watch here:\n\nhttps://t.co/gyJ38UeGEr'"
1545587421370208259,2022-07-09 01:55:31+00:00,b'Wordle 385 6/6\n\n\xe2\xac\x9b\xe2\xac\x9b\xe2\xac\x9b\xf0\x9f\x9f\xa8\xf0\x9f\x9f\xa8\n\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa8\xe2\xac\x9b\xe2\xac\x9b\xe2\xac\x9b\n\xf0\x9f\x9f\xa9\xe2\xac\x9b\xf0\x9f\x9f\xa8\xe2\xac\x9b\xf0\x9f\x9f\xa8\n\xf0\x9f\x9f\xa9\xe2\xac\x9b\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xe2\xac\x9b\n\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xe2\xac\x9b\n\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\n\nMissed opportunities'
1545385950078857216,2022-07-08 12:34:57+00:00,"b""@mjfelipe Yes! I stopped for a bit then went back to it. Nang-aano na sila sa words ngayon ha! Letters repeated thrice, adopted English words, aba'y level up na"""
1545336398814662657,2022-07-08 09:18:03+00:00,b'Wordle 384 6/6\n\n\xe2\xac\x9b\xf0\x9f\x9f\xa8\xf0\x9f\x9f\xa9\xe2\xac\x9b\xe2\xac\x9b\n\xf0\x9f\x9f\xa8\xe2\xac\x9b\xf0\x9f\x9f\xa9\xe2\xac\x9b\xf0\x9f\x9f\xa9\n\xe2\xac\x9b\xe2\xac\x9b\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\n\xe2\xac\x9b\xe2\xac\x9b\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\n\xe2\xac\x9b\xe2\xac\x9b\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\n\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\n\nHow could I have missed that'
1545334384462479362,2022-07-08 09:10:02+00:00,b'RT @mariam_elian: Best thing i\xe2\x80\x99ve seen in a while. https://t.co/jz5MIHZpNI'
1545074034739556352,2022-07-07 15:55:30+00:00,b'Wordle 383 4/6\n\n\xf0\x9f\x9f\xa8\xe2\xac\x9b\xe2\xac\x9b\xf0\x9f\x9f\xa8\xe2\xac\x9b\n\xe2\xac\x9b\xf0\x9f\x9f\xa8\xf0\x9f\x9f\xa8\xf0\x9f\x9f\xa8\xe2\xac\x9b\n\xe2\xac\x9b\xe2\xac\x9b\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa8\xf0\x9f\x9f\xa9\n\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\n\nUy grabe ganyanan na talaga'
1545038797603123200,2022-07-07 13:35:29+00:00,"b'PS. Tama ka, you really were meant to be *this* Darna, @MissIzaCalzado. I am so, so, so proud of you.'"
1545038721367416832,2022-07-07 13:35:11+00:00,b'ANG GANDA. WOW. Congratulations Team Darna \xe2\x9a\xa1\xe2\x9a\xa1\xe2\x9a\xa1\n\nhttps://t.co/paMfcCmOLg'
1544943614555394049,2022-07-07 07:17:16+00:00,"b'RT @probeph: While biases and opinions of a historian may influence the writing of history, it is still based on a methodology and evidence\xe2\x80\xa6'"
