twitter_id,date,tweet
1546445892114436098,2022-07-11 10:46:46+00:00,b'Men who can cook are so sexy to me. \nI wish more of you knew how attractive women find it.'
1546441173698580480,2022-07-11 10:28:01+00:00,b'Love it rapstress ! \xf0\x9f\x98\xb9\xf0\x9f\x92\x97 https://t.co/RmLIkbPF0q'
1546428781904236545,2022-07-11 09:38:47+00:00,b'Lmao https://t.co/mRtCScdX7t'
1546421469630107648,2022-07-11 09:09:44+00:00,b'@EASYDOJUAN I know\xe2\x80\xa6but I Can\xe2\x80\x99t spend 50 dates on tour with a 2 year old it\xe2\x80\x99s just too much chaos! I wish I could tho!'
1546419497103462400,2022-07-11 09:01:53+00:00,"b""RT @XORSY: If you could create the Iggy's setlist, what songs would you choose? https://t.co/VYzsLbFBnn"""
1546418584427134976,2022-07-11 08:58:16+00:00,"b'Exactly, like it CANT be that turbulent -\nPlease?! \xf0\x9f\x98\xad https://t.co/tooVrilCKE'"
1546413448191418368,2022-07-11 08:37:51+00:00,b'Can men please explain why you piss all over the bathroom floor on the plane all the time? I don\xe2\x80\x99t get it.'
1546412013085245441,2022-07-11 08:32:09+00:00,b'RT @JunoBirch: Can\xe2\x80\x99t believe I\xe2\x80\x99m doing a collab with @TrixieCosmetics this is the most excited thing evaaaaa! Can\xe2\x80\x99t wait for you all to see\xe2\x80\xa6'
1546411735053115392,2022-07-11 08:31:03+00:00,"b'Yes, it\xe2\x80\x99s a part 2 tour so I did a part 2 \nShow! \xf0\x9f\x98\x8a https://t.co/zxQkfky7vE'"
1546411381410484224,2022-07-11 08:29:38+00:00,b'It\xe2\x80\x99s just that way because I have extensions in at the moment so I can\xe2\x80\x99t wear it in any other style. Haha! \nThere are wigs on tour. https://t.co/tgyqXsCHOy'
1546411180247420929,2022-07-11 08:28:50+00:00,b'Thankyou! You know I always work hard on the colors and vibes! https://t.co/uKPTw6sP4j'
1546410844036161536,2022-07-11 08:27:30+00:00,b'RT @tiktokaustralia: @IGGYAZALEA an unstoppable queen \xf0\x9f\x92\x96\xe2\x9c\xa8'
1546408273586393088,2022-07-11 08:17:17+00:00,"b'Yes! There\xe2\x80\x99s fushias, oranges, lime greens &amp; blues on tour! https://t.co/inPUp3da1b'"
1546406799871512578,2022-07-11 08:11:26+00:00,"b'I love team randomly, works always good too, goddess is fun as well to just rap to. https://t.co/A2cB1bAKVi'"
1546402912095686656,2022-07-11 07:55:59+00:00,"b'@onecheetah1 I have, that\xe2\x80\x99s how I know I don\xe2\x80\x99t have it. Lol!'"
1546396473197207553,2022-07-11 07:30:24+00:00,"b'@paymeinkashx Lmao, hell nahhhhh I\xe2\x80\x99m not getting down on the dirty ass floor! \nI\xe2\x80\x99ll get up and have pictures covered in dust for the rest of the night, that\xe2\x80\x99s why I don\xe2\x80\x99t!'"
1546395531123064832,2022-07-11 07:26:39+00:00,b'@KingInThisHoe I plan to do 40mins this year. \nLast year was 30. Anything earlier than that and I\xe2\x80\x99m worried y\xe2\x80\x99all will be late and miss half the show! Lol'
1546395016720941056,2022-07-11 07:24:37+00:00,"b'@KingInThisHoe No, I can do up to an hour if I\xe2\x80\x99d like but the thing is I\xe2\x80\x99d have to start my show earlier in the night because we have rules about how late the entire show is allowed to be for noise purposes. \nSo I don\xe2\x80\x99t really want to have to start earlier in the day when the sun is still out!'"
1546394281140797442,2022-07-11 07:21:41+00:00,b'Life is so good when you don\xe2\x80\x99t let the wrong people take your energy!'
1546393149853032448,2022-07-11 07:17:12+00:00,"b'RT @Neyzus__: When you no longer care about what people think, shit just happens for you.'"
1546391311594438656,2022-07-11 07:09:53+00:00,b'@KingInThisHoe The locals would have a fit!'
1546391088562409474,2022-07-11 07:09:00+00:00,"b""RT @KayKayBeCoolin: When Iggy pulls me on stage for Goddess just know she's signing me directly after.\n\nShe can write my songs, I have no s\xe2\x80\xa6"""
1546386950176886785,2022-07-11 06:52:34+00:00,b'Yes! It\xe2\x80\x99s on the set list too! https://t.co/99P0rP2XBu'
1546386285530603520,2022-07-11 06:49:55+00:00,b'It\xe2\x80\x99s a little different this year! \nOff the top in no order it\xe2\x80\x99s: \nGoddess\nWork \nSally Walker \nTeam\nBlack widow \nIs that right \nImpossible is nothing \nProblem \nNo mediocre \nJust wanna \nKream \nStarted \nDiamonds \nFancy \nI know I\xe2\x80\x99m missing some others that I can\xe2\x80\x99t remember rn. https://t.co/CWpdsdh1CN'
1546384919840133120,2022-07-11 06:44:29+00:00,"b'RT @richsdiary: Me, @bishdafak and @IGGYAZALEA\xf0\x9f\x98\x9b\xe2\x9d\xa4\xef\xb8\x8f https://t.co/rigY2m9USU'"
1546384807948697600,2022-07-11 06:44:03+00:00,"b'I have another project I\xe2\x80\x99m filming at the end of the year so after this tour I won\xe2\x80\x99t be on stage much until next year but, \nNext year? \nI\xe2\x80\x99m going hard with my show schedule! https://t.co/gUnbgZB2az'"
1546384151070261248,2022-07-11 06:41:26+00:00,b'Yes! I\xe2\x80\x99m excited for all the new costumes &amp; really love the set list for tour with pitbull this year. https://t.co/4juGBlJT3V'
1546383400013107200,2022-07-11 06:38:27+00:00,b'\xf0\x9f\x92\x97 https://t.co/8J5Qngwvc6'
1546382884948381699,2022-07-11 06:36:24+00:00,b'RT @StanIggs: @IGGYAZALEA get some rest! \xf0\x9f\xa4\x8d i\xe2\x80\x99ll see you in minneapolis with pitbull \xf0\x9f\x92\x9e'
1546382484824379393,2022-07-11 06:34:49+00:00,b'RT @chrryblssm_eek: My sister is at Long Beach Pride and called me so I could hear @IGGYAZALEA sing bc that was one of the first songs my s\xe2\x80\xa6'
1546381405357219841,2022-07-11 06:30:32+00:00,b'RT @VictorRTafoya: @LongBeachPride closing with a bang!!! @IGGYAZALEA turning up the energy at the Urban Soul stage.  #lbpride #longbeachpr\xe2\x80\xa6'
1546377176689192961,2022-07-11 06:13:43+00:00,b'My voice is so dry &amp; gone that I\xe2\x80\x99m coughing &amp; I feel so bad because I just know everyone on my flight rn thinks I\xe2\x80\x99m infected with covid. Ugh! Lol \nCoughing in public feels so embarrassing now days. \xf0\x9f\x8c\x9a\xf0\x9f\x98\xa5'
1546376483135840256,2022-07-11 06:10:58+00:00,"b'I had soooooooo much fun tonight at Long Beach pride!\nSorry my voice is a bit gone tonight, but I don\xe2\x80\x99t think it really mattered because the energy was there! I took a shot on stage? \nWhaaaaaaaattttt hahahaha I love you guys! \xf0\x9f\x98\xb9\xf0\x9f\x92\x97'"
1546374411095199745,2022-07-11 06:02:44+00:00,b'I\xe2\x80\x99d love to come so much\xe2\x80\xa6 \nSomeone make it happen!!! \xf0\x9f\x92\x97\xf0\x9f\x98\x8a \nI\xe2\x80\x99m there! https://t.co/gNaIPuZBCA'
1546373834659356673,2022-07-11 06:00:27+00:00,b'RT @iggyhots: @IGGYAZALEA iggy has no idea how much i moved my ass today \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb TE AMO!'
1546373417397395458,2022-07-11 05:58:47+00:00,b'Thankyou! \xf0\x9f\x98\x8a\xf0\x9f\x99\x87\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x92\x97 https://t.co/0Awzh5uPfP'
1546372865406119941,2022-07-11 05:56:35+00:00,b'RT @Yassenee: i am proud to say. i was such a fan girl watching @IGGYAZALEA tonight \xf0\x9f\x98\xad\xf0\x9f\x92\x95'
1545909837195886592,2022-07-09 23:16:41+00:00,b'@iamrobbiez I mean I don\xe2\x80\x99t know what her name is.'
1545874035623567361,2022-07-09 20:54:25+00:00,"b""RT @knewclassic: @IGGYAZALEA @jmartins05 it's crazy when you realize that it's just turning off the wifi that several problems disappear"""
1545873982456582144,2022-07-09 20:54:13+00:00,b'RT @jmartins05: @IGGYAZALEA If they worried about their life they way they worry about yours they could be the next Elon Musk or something\xe2\x80\xa6'
1545873723462402053,2022-07-09 20:53:11+00:00,b'And it\xe2\x80\x99s so weirddddddd lmaoooooo https://t.co/ge0nF0n0nX'
