twitter_id,date,tweet
1546548858812973057,2022-07-11 17:35:56+00:00,"b'Long day today. Tapi happy. Walau sempet bumpy tapi dapet pengalaman seru. Besok lanjut lagi dengan halaman baru. Sekarang tidur dulu, night to you :)'"
1546394487760400384,2022-07-11 07:22:31+00:00,b'What are u up to?'
1545439450309619712,2022-07-08 16:07:32+00:00,"b""We out here doing our best. It's ALL for the love of the project. Nothing more. Hope you can see it"""
1544684177127133185,2022-07-06 14:06:21+00:00,b'https://t.co/afAbtIl8cv\n\nKeliatan kan degdegannya? Keliatan dong masa enggak. Abis keluar ruang interview aja masih ngawang ngawang berusaha recall apa yang terjadi. Campur aduk sama perasaan happy\xf0\x9f\x98\x81'
1544683460840738817,2022-07-06 14:03:30+00:00,"b""Degdegannya mau interview Chris dan Taika itu berhari-hari. Tapi semua ternyata bisa dilewati dengan lancar dalam hitungan menit. In other words, whatever you do, if you're prepared then you can do it\xe2\x9c\x8c\xef\xb8\x8f"""
1544677805325033472,2022-07-06 13:41:02+00:00,b'RT @anggasasongko: Suasana rekaman orchestra untuk scoring music film @mrs_film di Macedonia yang dikomandoi oleh Music Composer kesayangan\xe2\x80\xa6'
1528345986782793728,2022-05-22 12:04:13+00:00,b'@buciinduluu @seblakcicaks wkwk'
1528345867761004546,2022-05-22 12:03:44+00:00,b'RT @22ndmadness: lagi galau pgn nangis tp ketahan tugas kampus'
1528344947115511808,2022-05-22 12:00:05+00:00,b'@seblakcicaks relate'
1527882085528051713,2022-05-21 05:20:50+00:00,b'Gak di Indo aja sih.. di Melbourne juga berasa makin anget\xf0\x9f\xa5\xb5. Emang climate change itu dampaknya paling berasa untuk kita2 generasi muda. Makanya harus kita juga yang gerak.\n\nCoba cek gaya hidup lo di sustainable quiz dan lihat scorenya! https://t.co/pAkiSMT3uK \n\n#BeSeenBeHeard https://t.co/KfZmONtKJO https://t.co/3a6nFSIUf5'
1527862230561132544,2022-05-21 04:01:56+00:00,b'hey what\xe2\x80\x99s up?'
1514483631590313986,2022-04-14 06:00:10+00:00,"b'Lagi puasa dapet kiriman Invitation Box #CaptureRamadanSpark dari @realmeindonesia &amp; ada foto siapa tuh nyempil lol\n\nBtw, ada yg tau info apa di foto gue tersebut? Retweet &amp; reply untuk dapetin limited edition realmeow phone holder buat 2 orang yg beruntung! #HapeTerbaikRamadan https://t.co/kDGcu2p7s7'"
1499231362632486912,2022-03-03 03:53:05+00:00,b'Staring in awe at this beautiful strap bag designed by HELIOT EMIL for #realmediParisFW - @realmeindonesia at Paris Fashion Week 2022!\n\nI want want of these for sure. Wbu? https://t.co/Kax9UWYys4'
1499231104359751682,2022-03-03 03:52:04+00:00,b'Wanna see something cool?'
1498567190374612994,2022-03-01 07:53:54+00:00,"b""Tweet ini reminder buat gue tarik nafas yang panjang. It's gonna be okay dude :))"""
1489212314888728582,2022-02-03 12:20:58+00:00,"b'Ini dia jawaban dari pertanyaan gue semalam di IG! Kamera flagship di kelas mid-range dari realme 9 Pro+ \xe2\x9a\xa1\n\nWhat do you expect, guys? Tonton #CaptureTheLight Launch Event, Rabu 16 Feb - 15.00 WIB di Youtube @realmeindonesia! https://t.co/Ypzrm7wSSd'"
1452966234023022598,2021-10-26 11:51:59+00:00,b'RT @NetflixID: Aku persembahkan IKON PROFIL ALI &amp; RATU RATU QUEENS! Bangga banget karena ini film Indonesia pertama yang punya ikon profil\xe2\x80\xa6'
1428378281926033414,2021-08-19 15:28:15+00:00,"b'RT @Prestige_Mag: Intelligent, persistent and extremely talented, Iqbaal Ramadhan (@iqbaale) shares his thoughts on acting, mental health a\xe2\x80\xa6'"
1425591203345485828,2021-08-11 22:53:23+00:00,b'BRING BACK GUITAR MUSIC 2021'
1423502484148944898,2021-08-06 04:33:34+00:00,b'\xe2\x80\x9csirkulasi udara disini tidak baik\xe2\x80\x9d'
1423136851200647170,2021-08-05 04:20:40+00:00,b'Emma Stone'
1421450345880768512,2021-07-31 12:39:06+00:00,"b'Innalillahi wainnailaihi rojiun. Telah berpulang Upin, si kucing oren yang selalu menyapa dan manja kalo lagi di rumah. Selamat bermain sama Ipin di surga. Jangan petakilan di rainbow bridge nanti kepeleset!! You were a good friend bud &lt;/3'"
1418985896699830275,2021-07-24 17:26:15+00:00,b'@not4uz it\xe2\x80\x99s not worth it so don\xe2\x80\x99t'
1418976952245915648,2021-07-24 16:50:43+00:00,b'count your blessings. count your blessings. count your blessings. be the light to others. pick yourself up kid cmon you\xe2\x80\x99ve got this I know you xx'
1418759175773978628,2021-07-24 02:25:21+00:00,b'mentally attracted to you'
1418565715720818695,2021-07-23 13:36:36+00:00,b'10 years old today. BIG love to the fans for growing up with us xo https://t.co/P2K6pMrkYb'
1417684958877937666,2021-07-21 03:16:48+00:00,"b'Buat yang pengen invest, gue dan @ajaib_investasi pengen bagi-bagi saham Rp 1 Miliar buat mulai. Terutama di masa sulit gini, siapa tau bisa jadi langkah awal dengan modal 0. Hadiah akan kami acak setiap hari dan untuk info, klik link ini ya! https://t.co/dfUQ0mYmWX https://t.co/9ZbJWp0eqm'"
1417372598611038208,2021-07-20 06:35:35+00:00,"b'selamat idul adha buat semua Tenaga Kesehatan yang masih berjuang di lini terdepan penanganan Covid-19. semoga selalu dilindungi tuhan, diberi kesehatan dan kebahagiaan dalam bentuk yang seluas-luasnya. we owe you all!'"
1413704845689688067,2021-07-10 03:41:15+00:00,b'i love my cars'
1412376445897232384,2021-07-06 11:42:40+00:00,"b'Biyah adalah aku, Biyah adalah kamu, Biyah adalah kita semua #AlidanRatuRatuQueens \n\nhttps://t.co/RtmTYc5qps'"
1410986482291011591,2021-07-02 15:39:26+00:00,"b""When I'm looking through my phone I don't think about your face anymore\n\nWhen you're calling out my name sorry my mind's already on the road"""
1410573823838023683,2021-07-01 12:19:41+00:00,b'RT @svmmerdose: \xe2\x80\x98On My Own\xe2\x80\x99 Music Video will be available on @NetflixID \xe2\x80\x98s Youtube channel in a few minutes. The aliens are waiting so you\xe2\x80\xa6'
1410573787985154050,2021-07-01 12:19:32+00:00,b'RT @NetflixID: Official Music Video On My Own by @svmmerdose (OST-nya Ali &amp; Ratu Ratu Queens #ARRQ) udah tayang!! Kader Partai @iqbaale Nas\xe2\x80\xa6'
1409851607018311686,2021-06-29 12:29:51+00:00,"b'Just in case ada yang mau potong bondol kayak Ali, kindly show these to your local hairdresser\xf0\x9f\xa4\x93\xf0\x9f\x92\x96#AliDanRatuRatuQueens https://t.co/inh1dLud22'"
1409702563029475329,2021-06-29 02:37:36+00:00,"b'thank you, June'"
1408967064493051904,2021-06-27 01:55:00+00:00,b'@bellaaarss @mar_galo @Jirapah morning! you too!'
1408966660564742146,2021-06-27 01:53:23+00:00,"b'Buat gue, film #AliDanRatuRatuQueens  juga punya keajaiban di bagian musik dan scoringnya dan hari ini gue akan nanya langsung sama penata musiknya. @mar_galo dan @Jirapah. Kalo kepo, boleh pantengin sore ini! https://t.co/UVnlKx6iF1'"
1408404686508478466,2021-06-25 12:40:18+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/CJWjfhyPjX'
1408404599870918664,2021-06-25 12:39:58+00:00,b'@IndraAziz @NetflixID \xf0\x9f\x98\xb6\xe2\x80\x8d\xf0\x9f\x8c\xab\xef\xb8\x8f\xf0\x9f\x98\xb6\xe2\x80\x8d\xf0\x9f\x8c\xab\xef\xb8\x8f\xf0\x9f\x98\xb6\xe2\x80\x8d\xf0\x9f\x8c\xab\xef\xb8\x8f'
1408403450585518081,2021-06-25 12:35:24+00:00,b'ngakak 12 menit padahal ogut yang syuting yak\xf0\x9f\xa4\xa3 #AliDiNetflix https://t.co/V3oxVEh9cp'
1407595096439099393,2021-06-23 07:03:17+00:00,"b'RT @NetflixID: Enaknya sambil siapin selimut dan minuman anget nih guys nontonnya \xe2\x98\x95\xef\xb8\x8f Yuk, yuk nonton para pemeran film Ali &amp; Ratu Ratu Quee\xe2\x80\xa6'"
1407302496385568770,2021-06-22 11:40:36+00:00,"b'Buat yang penasaran sama gimana Ratu-Ratu Queens bisa sampe tinggal di New York, tenanggg. Ali udah bikin video untuk ngejawab pertanyaan kalian! Tonton di link di bawah ya\xe2\x9d\xa4\xef\xb8\x8f  #AliDanRatuRatuQueens\n\nhttps://t.co/lqwDOAH9ho'"
1407279350748123144,2021-06-22 10:08:37+00:00,b'RT @NetflixID: Ternyata Ali sama kayak kita semua yang penasaran sama cerita awal mula Ratu Ratu Queens. Gimana mereka bisa sampe ke New Yo\xe2\x80\xa6'
1406849107004510212,2021-06-21 05:38:59+00:00,"b'RT @PalariFilms: Siapa di sini yang masih baper banget sama kisah Ali dan mamanya, Mia?\n\nNonton obrolan @iqbaale dan @MarissaAnita mengenai\xe2\x80\xa6'"
1406815345780789259,2021-06-21 03:24:50+00:00,"b'""ketika bikin Film kita gak mau menggurui penonton harus mengerti pesan apa dari situ. Tapi memberikan ruang untuk diskusi dan membuat penonton compelled to do something with their lives"" kurang lebih ini yang barusan mas @luckykuswandi sampein di promo #ARRQ &amp; I am very moved'"
1406513520586285058,2021-06-20 07:25:29+00:00,b'@Homogenicworld @risa_saraswati thank you guys\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa5\xba'
1406513435567804418,2021-06-20 07:25:09+00:00,b'RT @Homogenicworld: Terima kasih @iqbaale untuk apresiasinya. Semoga saja ya bisa terlaksana nyanyi bareng @risa_saraswati. Gemes deh. \xf0\x9f\xa5\xb3\xf0\x9f\xa4\x97'
1406465643428208643,2021-06-20 04:15:14+00:00,b'RT @MarissaAnita: [Review] Hollywood Insider:\nAli &amp; Ratu Ratu Queens\xe2\x80\x99 Review: Netflix\xe2\x80\x99s Newest Dramedy \xe2\x80\x93 A Sweet Journey https://t.co/70CBG\xe2\x80\xa6'
1406261155094355975,2021-06-19 14:42:41+00:00,b'@ginaSnoer @NetflixID @MarissaAnita \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1406260910864310278,2021-06-19 14:41:42+00:00,"b'Bersyukur bisa jadi bagian dari keluarga Ali &amp; Ratu Ratu Queens. Gue belajar banyak banget disini. Terima kasih untuk kepercayaannya mainin Ali. Beruntung bisa kerja sama director, producer, casts, crews &amp; support system yang luar biasa. Love you all! #ARRQ https://t.co/ivn8NokxTl'"
1406260291621429249,2021-06-19 14:39:15+00:00,b'RT @NetflixID: Malem minggu hati ini sukses dibikin anget sama Ali &amp; Ratu Ratu Queens. Terima kasih ya udah ikut ngeramein Watch Party #ARR\xe2\x80\xa6'
1406260187481055232,2021-06-19 14:38:50+00:00,b'WATCH THE CREDIT TITLE TO HEAR AN UNRELEASED @svmmerdose SONG #ARRQ'
1406259479373488133,2021-06-19 14:36:01+00:00,b'RT @luckykuswandi: Bersyukur banget bisa menyutradarai film #ARRQ Terima kasih  @PalariFilms utk kepercayaan dan kesempatannya. Terima kasi\xe2\x80\xa6'
1406259180973920260,2021-06-19 14:34:50+00:00,"b'RT @MarissaAnita: .#ARRQ adalah salah satu highlight tak terlupakan dalam hidup saya. I worked with an amazing director, producers, cast me\xe2\x80\xa6'"
1406259171507392517,2021-06-19 14:34:48+00:00,b'RT @luckykuswandi: Film Ali adalah kesimpulan dari journey Ali memaknai keluarga. Lewat film ini kita jg  menyaksikan progress dari Ali ber\xe2\x80\xa6'
1406259114343231492,2021-06-19 14:34:34+00:00,"b'RT @PalariFilms: Animasi yang dibuat Ali di film itu semua karya @pinotski. Nah, kalo video pendek persembahan untuk ratu-ratu Queens karya\xe2\x80\xa6'"
1406258584799780866,2021-06-19 14:32:28+00:00,"b'RT @angginoen: Siapapun kamu yg nempel stiker \xe2\x80\x98hai jangan sedih dong\xe2\x80\x99 di tiang halte trans Jakarta Dukuh Atas sekitaran thn 2010, terima ka\xe2\x80\xa6'"
1406258529397211140,2021-06-19 14:32:15+00:00,"b'RT @angginoen: Berada di tempat yg jauh tu membuat kita cari2 cara menghilangkan kerapuhan; nemu tulisan random aja bisa jadi penyemangat,\xe2\x80\xa6'"
1406258325071667204,2021-06-19 14:31:26+00:00,"b'Pemilihan scoring ""I Love You - Billie Eilish"" untuk di sequence scenes ini emang di luar nalar manusia biasa sih. Cuman @luckykuswandi yang bisa envision lagu yang pas kayak gini, dan @alzaidy yang bisa make it happen. kudos to yous #ARRQ'"
1406257929162878982,2021-06-19 14:29:51+00:00,"b'working with @MarissaAnita was surreal. Especially during this scene. kalo ditanya, gue sampe lupa apa yang dirasain pas scene ini.. bener-bener kayak ""trance"" kalo kata Bu Christine Hakim. Yang gue inget, sakitnya kejedot sama kepala Mar sangking intensenya kami disini. #ARRQ https://t.co/Mgn1Ct63cp'"
1406257380061372423,2021-06-19 14:27:41+00:00,"b'RT @MarissaAnita: .@ginasnoer memang selalu tahu cara ""menggoyang"" hati penontonnya. Waktu take satu adegan antara aku dan @iqbaale saking\xe2\x80\xa6'"
1406257333131382788,2021-06-19 14:27:29+00:00,b'crazy how you deliberately thought about this #ARRQ https://t.co/KzZpHrQ8xb'
1406254706222002183,2021-06-19 14:17:03+00:00,b'U IN U OUT U COME U HOME ADIOS #ARRQ'
1406254495898628096,2021-06-19 14:16:13+00:00,b'@djaycoholyc @NetflixID worddd ahahaha'
1406254199906529286,2021-06-19 14:15:02+00:00,b'eh min mau dong fotonya bagus bgt... japri ok #ARRQ https://t.co/zReme9r5ab'
1406253757596266499,2021-06-19 14:13:17+00:00,b'Space cake #ARRQ'
1406253571591446529,2021-06-19 14:12:33+00:00,b'@itsblurrycandy sukurin. kelamaan sih ah'
1406253162508390402,2021-06-19 14:10:55+00:00,b'@Latifa84791941 @MarissaAnita whatttt where you at girl'
1406253015724531719,2021-06-19 14:10:20+00:00,"b'RT @luckykuswandi: Adegan di rooftop ini kita shoot di hari pertama produksi. Deg-degan krn ini pertama kali RRQ bersamaan di 1 frame, dan\xe2\x80\xa6'"
1406252967410343940,2021-06-19 14:10:09+00:00,b'Can we normalise this? Daripada harus chat pdkt 8 bulan terus jadiannya cuman 2 bulan gitu.. #ARRQ https://t.co/QyMwPjIruW'
