twitter_id,date,tweet
1546508907203350528,2022-07-11 14:57:10+00:00,b'Good morning to @iSmashFizzle Her \xe2\x9d\xa4\xef\xb8\x8f of Kenny Loggins is unmatched and man do I love me some Michael McDonald. \xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97 https://t.co/FaRIvPd1zk'
1546349095987453952,2022-07-11 04:22:08+00:00,b'Sure Jan \xf0\x9f\x98\x90 https://t.co/KWY91m02ON'
1546259120478572544,2022-07-10 22:24:37+00:00,b'RT @KatAMacfarlane: A Louisiana doctor prescribed Cytotec to make the insertion of an IUD less painful. Walgreens called the physician to a\xe2\x80\xa6'
1546254866669924353,2022-07-10 22:07:42+00:00,b'RT @angela_rye: There\xe2\x80\x99s just NOTHING like WNBA activism. Sending y\xe2\x80\x99all so much love.\n\nMay the NBA follow suit\xe2\x80\xa6in summer league AND on socia\xe2\x80\xa6'
1545907098055192576,2022-07-09 23:05:48+00:00,"b'RT @Strandjunker: If Supreme Court Justice Brett Kavanaugh doesn\xe2\x80\x99t want to be bothered at dinner, perhaps, according to his own logic, he s\xe2\x80\xa6'"
1545862316075274240,2022-07-09 20:07:51+00:00,b'Beautiful \xf0\x9f\xa4\x97\xf0\x9f\x94\xa5\xf0\x9f\xa4\x97\xf0\x9f\x94\xa5\xf0\x9f\xa4\x97\xf0\x9f\x94\xa5\xf0\x9f\xa4\x97 https://t.co/2fbbxiCRRn'
1545660388687040512,2022-07-09 06:45:28+00:00,b'My favorite song of all time. https://t.co/zv1VBq4Y8s'
1545512419023208448,2022-07-08 20:57:29+00:00,b'RT @laurenthehough: He should\xe2\x80\x99ve just gone to another state to get dinner.'
1545508380520771584,2022-07-08 20:41:26+00:00,b'RT @RexChapman: I can\xe2\x80\x99t believe the people forcing 10 year olds to have their rapists\xe2\x80\x99 babies could be this deranged.'
1544924075792822273,2022-07-07 05:59:37+00:00,b'RT @Ryan_Ken_Acts: Earth\xe2\x80\x99s climate is giving air fryer. A plague kills thousands daily and bosses still asked folks to risk death for their\xe2\x80\xa6'
