twitter_id,date,tweet
1313984202077925377,2020-10-07 23:27:01+00:00,b'hi https://t.co/xlDoFDqI16'
1309227763736301568,2020-09-24 20:26:37+00:00,b'@lovilinsky https://t.co/k5EdkJYbwB'
1309227473360416768,2020-09-24 20:25:28+00:00,b'@majesticghaya happy early birthday!'
1304554015800393729,2020-09-11 22:54:49+00:00,b'@shivrni i slept like this too last night #LoseSomebody https://t.co/BQvgvTx4Qm'
1304230019967799296,2020-09-11 01:27:22+00:00,b'RT @glowinasia: @jackgilinsky i\xe2\x80\x99ll keep streaming it since it was my birthday gift as well\xf0\x9f\x98\x8c\xe2\x9c\xa8'
1303915351088836608,2020-09-10 04:36:59+00:00,b'https://t.co/C6o6PB5dBc'
1259564245722771458,2020-05-10 19:21:32+00:00,b'happy mother\xe2\x80\x99s day. i love my mom so much.'
1257706943084281857,2020-05-05 16:21:16+00:00,b'i miss my friends'
1257050172812677120,2020-05-03 20:51:30+00:00,b'i wanna zoom with u guys'
1251646629385506817,2020-04-18 22:59:45+00:00,b'i want a dq blizzard so bad right now'
1251584792044470280,2020-04-18 18:54:02+00:00,b'u are hard. love the dance. thanks for making it! i hope u like the song https://t.co/OfCCHoK9pw'
1251366868474105859,2020-04-18 04:28:05+00:00,b'RT @JackJ: *complete silence in Uber while G has been staring at his phone for 20 straight minutes* \n\nGilinsky: dude what the fuck!\n\nMe: wh\xe2\x80\xa6'
1251365531380330496,2020-04-18 04:22:46+00:00,b'stay strong. things will get better i promise.'
1251331649368924163,2020-04-18 02:08:08+00:00,b'follow spree?'
1251327986571370497,2020-04-18 01:53:35+00:00,b'4 real. especially u alec. https://t.co/Ee9R1JLxeU'
1251041635468636161,2020-04-17 06:55:43+00:00,b'i care about u.'
1251017773377077251,2020-04-17 05:20:54+00:00,b'@LottaLoveG lololol love this great job'
1250209969376542722,2020-04-14 23:50:59+00:00,b'can someone teach me how to use this app again? how do i get to my profile?? i feel like i\xe2\x80\x99m 60. no offense if you\xe2\x80\x99re 60..'
991066882152148992,2018-04-30 21:28:52+00:00,"b'i like being single because it allows me to focus on myself &amp; work as hard as i possibly can with no distractions, but i really miss having someone to nap with.'"
989282077160951811,2018-04-25 23:16:41+00:00,b'stay with me. https://t.co/Z2gn5D0vBd'
977041440470642688,2018-03-23 04:36:46+00:00,b'idk... https://t.co/GHtgMyEHym'
959720365499953152,2018-02-03 09:29:00+00:00,b'shit blew my mind https://t.co/v7w7rI4F1I'
958105955597783042,2018-01-29 22:33:55+00:00,b'@auttumnrayne_ @JackJ ayeeee indy showin mad love too on 99.5!! they get it \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
957794586411364352,2018-01-29 01:56:39+00:00,b'bruno is the ultimate performer. so inspiring.'
957788000959848455,2018-01-29 01:30:28+00:00,b'gambino is a legend'
956029776246071296,2018-01-24 05:03:55+00:00,b'i miss snow days'
951957740062105600,2018-01-12 23:23:06+00:00,b'you know me the best but you hurt me the worst'
951597766039388160,2018-01-11 23:32:41+00:00,b'seeing any dog instantly brings me joy'
951175079383240704,2018-01-10 19:33:05+00:00,b'i got so much love for our day ones. y\xe2\x80\x99all truly mean the world to me.'
950487748195921920,2018-01-08 22:01:53+00:00,b'if i lay here\nif i just lay here\nwould u lie with me &amp; just forget the world'
950287199630536704,2018-01-08 08:44:58+00:00,b'i like waving at strangers'
949754628110827520,2018-01-06 21:28:43+00:00,"b'RT @JackAndJack: YOOOOO! We are gonna be on the @TODAYshow on Wednesday, can\xe2\x80\x99t wait to perform for you guys!! Make sure you tune in \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc'"
949469064870559744,2018-01-06 02:34:00+00:00,b'thank god for my friends'
941170965446246400,2017-12-14 05:00:18+00:00,b'listening to never be the same on repeat til 2018'
911093460530208769,2017-09-22 05:03:02+00:00,b'#BEG is out now:\n\niTunes: https://t.co/J9jTbSjfUa \n\nSpotify: https://t.co/zOtr3H3tbK \xe2\x80\xa6\n\nApple Music: https://t.co/uEsYYhg8fZ \xe2\x80\xa6'
911085409903329284,2017-09-22 04:31:03+00:00,b'@justinmorfi my bad my bad'
911085138510880770,2017-09-22 04:29:58+00:00,b'@babwstyles i gotchu'
911084728769437697,2017-09-22 04:28:21+00:00,b'@nobodybutniaII soon'
911083927976022017,2017-09-22 04:25:10+00:00,b'@aaliyahhenare_ i love u'
911083712774758401,2017-09-22 04:24:18+00:00,b'@JennaSparkles @JackJ @JackAndJack glad u like it'
911080509395968000,2017-09-22 04:11:35+00:00,b'@jesss_ixa @JackAndJack @JackJ happy early birthday'
911076646790107140,2017-09-22 03:56:14+00:00,b'@mattbaemendes yes that is a great idea'
911076584387338242,2017-09-22 03:55:59+00:00,"b""@wordsfornash come see us on tour i'll meet u there"""
911075611673739265,2017-09-22 03:52:07+00:00,b'@fernetshawn of course'
911074557947084800,2017-09-22 03:47:56+00:00,b'@sunnshxrry yeah'
911074513525260288,2017-09-22 03:47:45+00:00,b'@sweetmygomez go to sleep. sleep is good.'
911074007851483136,2017-09-22 03:45:45+00:00,b'@murderusso NOtifications'
911073502689501184,2017-09-22 03:43:44+00:00,b'@judestespinosa idk how to do that. but hi'
911073455717548032,2017-09-22 03:43:33+00:00,b'does butter melt in hot environments https://t.co/6lmZ1huteQ'
911073181678542849,2017-09-22 03:42:28+00:00,b'@ifshawnsttay not true'
911072153591717889,2017-09-22 03:38:22+00:00,b'@azulremk hellooooo'
911072044502065154,2017-09-22 03:37:56+00:00,b'@braziliancarter right here'
911072006166024193,2017-09-22 03:37:47+00:00,b'@anayourself @maspqaninha hi'
911071745196531712,2017-09-22 03:36:45+00:00,b'i appreciate that more than u know. https://t.co/8jUOZXpRzL'
911071202428436480,2017-09-22 03:34:36+00:00,b'@gilinskysh4wn te amo'
911070788425465857,2017-09-22 03:32:57+00:00,b'@xconnorainx haha'
911070728677580801,2017-09-22 03:32:43+00:00,b'@Yoalicorrea8 do not'
911070553221378049,2017-09-22 03:32:01+00:00,b'ok https://t.co/V3SSP24xRL'
911070499064573952,2017-09-22 03:31:48+00:00,b'@mattandchill never give up \xe2\x9d\xa4\xef\xb8\x8f'
911070206197325826,2017-09-22 03:30:38+00:00,b'i love u more. https://t.co/A3RrD79MtD'
911070143790309376,2017-09-22 03:30:23+00:00,b'@1dftolzanski te amooo'
911069652494704640,2017-09-22 03:28:26+00:00,b'@cameronoia i did'
911068907871526914,2017-09-22 03:25:29+00:00,"b""@heartlessfuller i can't wait to come back to mexico"""
911068694750445568,2017-09-22 03:24:38+00:00,"b""@rosscheater &amp; I DON'T EVEN SMOOOOOOKE na"""
911068574201950208,2017-09-22 03:24:09+00:00,"b""i'm watching the office right now. what are the odds. https://t.co/HmRYOmmqdb"""
911068377153544192,2017-09-22 03:23:22+00:00,"b""@Jackjmercy sorry sorry. i'll work on it"""
911067993370640384,2017-09-22 03:21:51+00:00,b'@styIesoml @JackJ'
911067794086576129,2017-09-22 03:21:03+00:00,"b""@espinosagozado i missed u guys :/ just had to focus up &amp; get some work done first. sorry i've been gone so long."""
911067477269815297,2017-09-22 03:19:48+00:00,b'obrigada. te amo. haha i dont know much portuguese.. teach me! https://t.co/0anRz8P7Sw'
911067017377021952,2017-09-22 03:17:58+00:00,b'te amo \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/vOnLFFigu5'
911066909449129984,2017-09-22 03:17:32+00:00,b'@Gomesztyles69 lies lies'
911066008068096000,2017-09-22 03:13:57+00:00,b'@cherriesweet_ @JackAndJack @JackJ soon soon soon soon'
911064977393328128,2017-09-22 03:09:52+00:00,b'@katysprry good luck. ace it for me cuz i never aced a test in my life. except for once in pre algebra. shout out ms. kreikmeire.'
911064420465307648,2017-09-22 03:07:39+00:00,b'@PRETTYMUCHVIBIN i love u'
911064313523081216,2017-09-22 03:07:13+00:00,"b""@garrixlonely you're mine"""
911063286103269376,2017-09-22 03:03:08+00:00,b'@xoitsmeg \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
911062482856296448,2017-09-22 02:59:57+00:00,b'@ghettoogilinsky i slept upside in my bed all of 7th grade. no one could possibly know that but me. &amp; maybe my mom.'
911061622239592449,2017-09-22 02:56:32+00:00,"b""@itsvalbae @JackJ @JackAndJack glad you're liking it"""
911061158362095616,2017-09-22 02:54:41+00:00,b'@Aaliyah_19_ @JackAndJack @JackJ let me know what u think once u give it a listen'
911060612960022528,2017-09-22 02:52:31+00:00,b'@EliHarry11 definitely gonna be a good time'
872687379320115200,2017-06-08 05:30:59+00:00,b'miss my baby'
872323750133460994,2017-06-07 05:26:03+00:00,b'https://t.co/w5dkAG1uoK'
870499348773093378,2017-06-02 04:36:32+00:00,"b""block out 20 minutes to watch this front to back. i promise you won't regret it. \n\nhttps://t.co/jSqZCMmlKM\n\n#GONEVIDEO"""
868221620569206789,2017-05-26 21:45:39+00:00,b'our new project #GONE is finally out. thank you for being so patient. really hope you enjoy these songs. more soon.\n\nhttps://t.co/q1OKoCY43o'
867847741887488000,2017-05-25 21:00:00+00:00,b'RT @JackAndJack: GONE\n5.26.17 https://t.co/UwFutsJ9WB'
837938551476129792,2017-03-04 08:11:33+00:00,b'just watched him do this https://t.co/rM3WSz34TU'
837353319299416064,2017-03-02 17:26:03+00:00,"b"".@JackJ i'll be your distraction"""
837352096819216384,2017-03-02 17:21:11+00:00,b'i fall deeper in love with paris every time i come'
830899762568130560,2017-02-12 22:01:55+00:00,b'sundays are beautiful'
