twitter_id,date,tweet
1545575883909476352,2022-07-09 01:09:40+00:00,"b'RT @MrazTeam: BEND, OR: Tonight\xe2\x80\x99s show @bendconcerts starts at 6:30 PM. See you soon! #lalalalivesongs #jasonmraz'"
1545490405470285824,2022-07-08 19:30:01+00:00,b'Wherever vinyls are sold (my website)\n\nPre-order: https://t.co/Z68RyeLbWK https://t.co/jfMk14seet'
1545201893986615297,2022-07-08 00:23:34+00:00,"b'RT @MrazTeam: JACKSONVILLE, OR: Tonight\xe2\x80\x99s show @brittfestivals starts at 7:15 PM. See you there! #lalalalivesongs #jasonmraz'"
1545135268683845632,2022-07-07 19:58:49+00:00,b'Come see us on tour this summer. You might like it.\n\n\xf0\x9f\x8e\x9f https://t.co/XDvq6pIOrG\n\xf0\x9f\x8e\xa5 Jeff Coffman\n#lalalalivesongs https://t.co/BSkKXbgjBW'
1544342872282972161,2022-07-05 15:30:07+00:00,b'Tour! \xf0\x9f\x8e\x9f https://t.co/XDvq6pIOrG https://t.co/SuFHxzrhr7'
1543268013247381505,2022-07-02 16:19:01+00:00,b'RT @MrazTeam: SAN DIEGO: See you tonight @HumphreysShows at 7:30pm! Doors open at 6:45pm. #lalalalivesongs'
1542943330060775425,2022-07-01 18:48:51+00:00,b'Who is @RainingJane.\n\nGet tickets: https://t.co/XDvq6pIOrG\n\n#lalalalivesongs #jasonandjane https://t.co/lfEZVcItU5'
1542679542883463168,2022-07-01 01:20:39+00:00,"b""RT @MrazTeam: SAN DIEGO: A handful of tickets were just released for this Saturday's sold out show at Humphreys. See you there! https://t.c\xe2\x80\xa6"""
1541907521610211328,2022-06-28 22:12:55+00:00,"b""RT @TheArtistsDen: .@jason_mraz is taking his Lalalalivesongs Tour to select cities in the US, and we're giving away a pair of tickets to t\xe2\x80\xa6"""
1541858293114556416,2022-06-28 18:57:18+00:00,"b""RT @SonicConcerts: Get ready to sing some #LaLaLaLivesongs, Halifax and Saint John! We'll see you in just over a month at the @DalArtsCentr\xe2\x80\xa6"""
