twitter_id,date,tweet
1541836364110520330,2022-06-28 17:30:09+00:00,b'the LimeWire Launch Event is only for LimeWire Originals Holders #LWOriginals\n\nhttps://t.co/uUrMAKlqXq'
1541835870302617604,2022-06-28 17:28:12+00:00,"b'RT @limewire: Party of the season with @jimjonescapo himself.\nTaking over New York with our #LWOriginals holders, but you have a chance to\xe2\x80\xa6'"
1541769034668064769,2022-06-28 13:02:37+00:00,b'RT @VibeMagazine: Premiere: @jimjonescapo &amp; @mainohustlehard of the #LobbyBoyz bring out the bikes in \xe2\x80\x9cNo Love\xe2\x80\x9d music video https://t.co/rg\xe2\x80\xa6'
1538976482499907588,2022-06-20 20:06:00+00:00,b'RT @Badazz_Bears: Private mint in the Bear cave starts today. If you missed out your next chance is at the public mint June 22nd 3PM Easter\xe2\x80\xa6'
1538876689077489666,2022-06-20 13:29:28+00:00,b'Time is running out to join the BadAzz Bears. Sign up \xf0\x9f\x90\xbb\xf0\x9f\x94\x97https://t.co/47CFqz2Wby https://t.co/oeoJpSZwyC'
1536454128813195264,2022-06-13 21:03:04+00:00,b'Who is joining us tonight on Spaces tonight?\n\n@Badazz_Bears team is pulling up \n\nTopic Utility in a Bear market. \n\nHit that reminder\xf0\x9f\x91\x89\xf0\x9f\x8f\xbd https://t.co/M8ZbIUBgPI\xe2\x80\xa6 #gowiththeflow @flow_blockchain https://t.co/WQ3Ez71g8U'
1536403758195818503,2022-06-13 17:42:55+00:00,b'RT @HOT97: . @jimjonescapo and @mainohustlehard backstage at #HOT97SummerJam https://t.co/e4mFD7qRl4'
1535295985164996608,2022-06-10 16:21:01+00:00,b'We going International ! thanks to @flowfanschina for supporting @Badazz_Bears we are going to the moon. \n\n\xf0\x9f\x90\xbbonly 1801 available for private mint sign up for the Bear Cave before it\xe2\x80\x99s too late\xf0\x9f\x94\x97https://t.co/UaOgwpGCgl https://t.co/ABXfCJXfa0'
1532737578843119616,2022-06-03 14:54:50+00:00,b'RT @Michael87118494: Settin trends out here : @Migos @somehoodlum @jimjonescapo https://t.co/WxJ10fpAeL'
1532737510165594113,2022-06-03 14:54:33+00:00,b'RT @somehoodlum: We set the trends mv w/ @jimjonescapo &amp; @Migos is currently playing 24/7 for the next week @ the movie theater in @decentr\xe2\x80\xa6'
