twitter_id,date,tweet
1542551387636219904,2022-06-30 16:51:24+00:00,b'I can\xe2\x80\x99t get enough of #TheOneThatGotAway&amp;  @BettyWho! OUT NOW on @PrimeVideo x https://t.co/3i87tL8eTE'
1535017070701576192,2022-06-09 21:52:43+00:00,"b'Just popping on to say that if you\xe2\x80\x99re interested in the summer transfer window, this podcast has many scoops with people in the know at lots of clubs in the premiership and championship. https://t.co/Kst1jCWE4x'"
1532756692550574080,2022-06-03 16:10:47+00:00,"b""RT @CarpoolKaraoke: To celebrate our new season of #CarpoolKaraoke on @AppleTVPlus, we're streaming a ton of episodes from the series for 2\xe2\x80\xa6"""
1532497088054906881,2022-06-02 22:59:12+00:00,b'This. On repeat. \xe2\x9d\xa4\xef\xb8\x8f https://t.co/dI8U8Ql4AL'
1531845281444028427,2022-06-01 03:49:10+00:00,b'https://t.co/LQtIIXTIKE'
1531790949709271043,2022-06-01 00:13:16+00:00,"b'RT @paramountplus: When @TomCruise calls you up for a day of Top Gun Training, you don\xe2\x80\x99t ask questions\xe2\x80\x94you say YES and then hope you have t\xe2\x80\xa6'"
1530307954859134977,2022-05-27 22:00:22+00:00,"b'RT @latelateshow: 3 hours. $300. Presenting, the full music video for @Harry_Styles\xe2\x80\x99 \xe2\x80\x9cDaylight\xe2\x80\x9d #CORDENxDAYLIGHT https://t.co/lFPH4dXQVk'"
1530307922143563777,2022-05-27 22:00:15+00:00,"b'RT @CarpoolKaraoke: At long last, new episodes of #CarpoolKaraoke: The Series are available right now on @AppleTVPlus! \n\n\xf0\x9f\x93\xba: https://t.co/N7\xe2\x80\xa6'"
1530307846700601344,2022-05-27 21:59:57+00:00,b'RT @latelateshow: Can James Corden and @Harry_Styles make a music video in only 3 hours with just $300? Only one way to find out! \n\nhttps:/\xe2\x80\xa6'
1529131972378775553,2022-05-24 16:07:26+00:00,"b'RT @latelateshow: Host a late night show, they said. It will be fun, they said. \n\nFull @tomcruise #TopGun piece: https://t.co/HxHLWqCWtO ht\xe2\x80\xa6'"
1529131901134311425,2022-05-24 16:07:09+00:00,b'RT @benwinston: The most ambitious and most fun bit we have ever done on @latelateshow https://t.co/2ycoxACa6i'
1528875933641232384,2022-05-23 23:10:02+00:00,"b""RT @latelateshow: Tonight, @TomCruise literally flips @JKCorden's world upside down in a jet-fueled @TopGunMovie experience that is the wil\xe2\x80\xa6"""
1524935610380582912,2022-05-13 02:12:36+00:00,b'RT @latelateshow: New episodes of @CarpoolKaraoke: The Series are just around the corner!'
1524935551970779142,2022-05-13 02:12:22+00:00,b'RT @CarpoolKaraoke: #CarpoolKaraoke hits the road with brand-new episodes coming to @AppleTVPlus on May 27! https://t.co/GgQMt7nrjF'
1512522642837942275,2022-04-08 20:07:54+00:00,b'RT @NICKIMINAJ: Yes. This is the one! Enjoy \xf0\x9f\x98\x98'
1511945999203274767,2022-04-07 05:56:31+00:00,b'RT @latelateshow: sheeeeesh \xf0\x9f\x92\x85\xe2\x9c\xa8 #NICKICARPOOL https://t.co/rC0U0cg8kf'
1511944018657112065,2022-04-07 05:48:39+00:00,b'Hey! It\xe2\x80\x99s been a while. Here\xe2\x80\x99s a brand new #CarpoolKaraoke I had a blast doing this.  x https://t.co/19n6W7h02F #NICKICARPOOL'
1446668319814152198,2021-10-09 02:46:19+00:00,"b'RT @benwinston: Days like today we love our job. In awe of our amazing team of crew, producers, writers, and the costume, set, props teams\xe2\x80\xa6'"
1446668199492128774,2021-10-09 02:45:51+00:00,b'RT @DocBrownLloyd: Thank you for having me @JKCorden !'
1438138718678781953,2021-09-15 13:52:44+00:00,b'So excited for this series. @Fulwell73 @bigboturner x  https://t.co/6kcC13FH9l'
1435640645905907713,2021-09-08 16:26:17+00:00,b'RT @justice4julius: ICYMI - @JKCorden featured #JusticeForJulius on last night\xe2\x80\x99s @latelateshow  \n\n\xf0\x9f\x92\x9a'
1435613694721880066,2021-09-08 14:39:11+00:00,"b'If you can spare the time, please watch, RT and sign the petition. #JuliusJones https://t.co/BFaxh99Uba'"
1435472498343047174,2021-09-08 05:18:08+00:00,b'https://t.co/xLIF4cZWJ1 https://t.co/BFaxh99Uba'
1435468979418517508,2021-09-08 05:04:09+00:00,"b'If you can spare the time, I\xe2\x80\x99d love you to watch this, sign the petition and RT if you can. Thanks so much \xf0\x9f\x99\x8f #JuliusJones https://t.co/BFaxh99Uba'"
1402374777994547201,2021-06-08 21:19:36+00:00,b'This is a brilliantly written open letter from Gareth Southgate to fans before the euros. https://t.co/cijO5teUsO'
1402362103072100355,2021-06-08 20:29:14+00:00,b'Oh man. This is so beautiful. https://t.co/kpvuxs9sFW'
1395406928340156417,2021-05-20 15:51:51+00:00,b'This is absolutely brilliant. https://t.co/w6cMeWbIuz'
1395406237815033867,2021-05-20 15:49:07+00:00,b'@driveinitagain Miss ya too! Truly. Hope you\xe2\x80\x99re doing ok \xe2\x9d\xa4\xef\xb8\x8f'
1395405246516531205,2021-05-20 15:45:10+00:00,"b""RT @magic_breakfast: We've just surveyed our partner schools about our holiday breakfast provision. More children have been arriving at sch\xe2\x80\xa6"""
1395404959865217027,2021-05-20 15:44:02+00:00,b'RT @magic_breakfast: We\xe2\x80\x99re excited to announce the first ever #GreatBigBreakfast will be taking place during the week of 7-13 June.\nGet tog\xe2\x80\xa6'
1395395773701885955,2021-05-20 15:07:32+00:00,b'Brilliant interview with the incredible Aidy Bryant here by @emilyrbakes https://t.co/TTgQEKszlQ'
1395395252127637505,2021-05-20 15:05:27+00:00,b'RT @alicevjones: \xe2\x80\x9cI spent so much of my life hiding from the word or trying to camouflage my entire being from being called fat\xe2\x80\x9d. Aidy Brya\xe2\x80\xa6'
1394542019037470724,2021-05-18 06:35:01+00:00,b'Members of the @latelateshow team asked for life advice from @BarackObama this here from Guillermo is great advice for all of us.  https://t.co/aSOKKHog8S'
1394507668526567426,2021-05-18 04:18:31+00:00,b'On tonight\xe2\x80\x99s @latelateshow we chat with @BarackObama and have a performance from @KELLYROWLAND @cbs 12.30 x x x https://t.co/UFgWLZYdLa'
1394507428171976719,2021-05-18 04:17:34+00:00,"b""RT @latelateshow: An absolute can't-miss #LateLateShow coming your way tonight with @BarackObama and music from @KELLYROWLAND! https://t.co\xe2\x80\xa6"""
1393631115236106241,2021-05-15 18:15:24+00:00,b'I\xe2\x80\x99m so happy for every @LCFC fan. Every player.They are a brilliantly run football club.From top to bottom. These scenes are what the European Super League wanted to destroy. This is a victory for football fans and the hope that lives inside all of us. Congratulations Leicester.'
1389265426652311558,2021-05-03 17:07:43+00:00,b'RT @Fulwell73: Check out the trailer for @fulwell73 new drama \xe2\x81\xa6@CWRepublicSarah\xe2\x81\xa9 premiering June 14th https://t.co/tdRHNg6GHl'
1385013229470978055,2021-04-21 23:31:00+00:00,b'I can\xe2\x80\x99t stop watching this. It\xe2\x80\x99s exceptional https://t.co/fj7Va7IPCW'
1384747734406549504,2021-04-21 05:56:01+00:00,b'This happened. Out of nowhere we ended up calling @Oprah during the monologue. \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8fhttps://t.co/42xVejAUYC'
1384577612090003459,2021-04-20 18:40:01+00:00,b'RT @paul_c_watson: At least the 18-24 year olds will have loved how quick the European Super League was. https://t.co/93Jdp8YGqG'
