twitter_id,date,tweet
1545537529411096576,2022-07-08 22:37:16+00:00,b'THIS IS\xe2\x80\xa6 NEW MUSIC! https://t.co/HVLZnCCB3r'
1545439071186497537,2022-07-08 16:06:02+00:00,b'RT @DNCE: Breakfast of champions \xf0\x9f\x98\x8b\xf0\x9f\x8e\xaf GOT ME GOOD OUT NOW!\n\nhttps://t.co/YfbrypokxK https://t.co/KiPOf11Sc8'
1545260323241807872,2022-07-08 04:15:45+00:00,b'RT @DNCE: FEELING GOOD CAUSE GOT ME GOOD IS OUT NOW \xf0\x9f\x8e\xaf\n\nhttps://t.co/YfbrypokxK https://t.co/OsbGO14vNp'
1542921463329566720,2022-07-01 17:21:57+00:00,b'RT @DNCE: GET UP OUT THAT CHAIR AND GRAB SOME NEW MERCH FOR YOUR CLOSET \xf0\x9f\x92\x9c\xf0\x9f\xa5\xb3\xe2\x9a\xa1\xef\xb8\x8f \n\nhttps://t.co/tGd8Ytd6JV https://t.co/hXsVKFgaSC'
1542540963096039428,2022-06-30 16:09:59+00:00,b'RT @DNCE: \xf0\x9f\x8e\xaf GOT ME GOOD \xf0\x9f\x8e\xaf JULY 8TH!!!\n\nhttps://t.co/va7WR3gNWa https://t.co/slFqtTVa5P'
1542237045888020480,2022-06-29 20:02:19+00:00,"b'Singer, Songwriter, Sangria Maker\xe2\x80\xa6 Add it to the resume \xf0\x9f\x98\x8e @DrinkOhza @Forbes @Braphe https://t.co/Of7pV6Snqh https://t.co/hcz9stMK6V'"
1541822794085806080,2022-06-28 16:36:14+00:00,"b""We\xe2\x80\x99ve had something in the mix for a long time now...\n\nPumped to announce my ownership in @drinkohza and bring you my perfect recipe of Sangria just in time for summer \xe2\x98\x80\xef\xb8\x8f Order online and it'll be in your hands (and mouth) in two days\xe2\x80\xa6 or less. #JOHZA4EVER https://t.co/3S9wKICXBH"""
1538924497213935616,2022-06-20 16:39:26+00:00,b'\xf0\x9f\x98\x8e\n\n\xf0\x9f\x93\xb8 @MikeyDeleasa https://t.co/YbmKWvE31w'
1538321435373887488,2022-06-19 00:43:05+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f @brianjoralvarez https://t.co/sB8GlgxbnF'
1537851567931437056,2022-06-17 17:36:00+00:00,b'RT @NickDiGiovanni: Nothing like a cup of Joe @joejonas https://t.co/8QeXLLIcM4'
1537622183165407233,2022-06-17 02:24:30+00:00,b'I cannot tell a lie\xe2\x80\xa6 or can I?? \xf0\x9f\xa4\x94 Thank you @VanityFair!!\n\nhttps://t.co/BJrRcEZzGu https://t.co/wUGyKUUPjL'
1537561351337365505,2022-06-16 22:22:47+00:00,b'Doing life on our own terms \xf0\x9f\x98\x88 New issue of @people out this Friday!! https://t.co/hNAGAVnKO7'
1536412600983883776,2022-06-13 18:18:03+00:00,b'Don\xe2\x80\x99t mess with Texas means don\xe2\x80\x99t litter. I take that pretty seriously\xe2\x80\xa6 #DontmesswithTexas https://t.co/BRpYvGRDbt'
1536390599082856448,2022-06-13 16:50:38+00:00,b'RT @DNCE: PRIDE WAS WILD \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88 THANK YOU FOR HAVING US DC &amp; @hot995!!! https://t.co/1PhkIqE93S'
