twitter_id,date,tweet
1546559279666057216,2022-07-11 18:17:20+00:00,b'I wonder how many times today I\xe2\x80\x99ll be asked if I play pickle ball.'
1546189258272247808,2022-07-10 17:47:00+00:00,b'I\xe2\x80\x99m buying Twitter today. Anybody need anything else while I\xe2\x80\x99m out?'
1545538372185243653,2022-07-08 22:40:37+00:00,b'I\xe2\x80\x99m not going to buy Twitter.'
1544452442825191424,2022-07-05 22:45:31+00:00,"b""What the hell?? I\xe2\x80\x99m back on @eentertainment ?! I am? Really? Yes. I'm returning to host of #CelebrityBeef, premiering August 2nd! On....Eh! Shoot I meant E! https://t.co/VUrrQpbDPz"""
1542260212345630720,2022-06-29 21:34:23+00:00,b'My question is why was the mouse covered in mayonnaise when I unpacked it https://t.co/SZZwSMxj9B'
1540039305053188096,2022-06-23 18:29:17+00:00,b'Hi https://t.co/O4kIEc4hae'
1537918079178379264,2022-06-17 22:00:17+00:00,b'Watch https://t.co/Un4P0vIWnG'
1537903038752382995,2022-06-17 21:00:31+00:00,b'#Penguins https://t.co/0Dn7qBAyVH'
1536935076226707462,2022-06-15 04:54:11+00:00,b'Nice to hear. How are things?'
1536885302597275649,2022-06-15 01:36:24+00:00,b'I\xe2\x80\x99m good\xe2\x80\xa6good. How you doin?'
1536877289861812224,2022-06-15 01:04:34+00:00,b'Cool. Cool. You doin\xe2\x80\x99 alright then? https://t.co/Y6MUQk8GXp'
1536872126883373056,2022-06-15 00:44:03+00:00,b'Good to hear. So\xe2\x80\xa6you been good?'
1536868585867341824,2022-06-15 00:29:59+00:00,b'Oh hey. How are you doing?'
1534590286050971649,2022-06-08 17:36:50+00:00,b'Link in bio. #LEGOCON'
1534590282703831040,2022-06-08 17:36:49+00:00,"b""Well\xe2\x80\xa6this is\xe2\x80\xa6very exciting for the kid and adult in me.  Here are this year's LEGO\xc2\xae CON hosts(and our badges to get into the event). You read it here first now go tell everyone\xe2\x80\xa6EVERYONE. \nWatch the livestream on 18 June 2022, 5pm London, 12pm New York, 9am Los Angeles. https://t.co/gZMoL0PLXu"""
1528406038428274688,2022-05-22 16:02:50+00:00,b'Bean Bag the dog loves golf https://t.co/HRYEaxnM5Q'
1528405940398985217,2022-05-22 16:02:27+00:00,"b'RT @ESPNPlus: What an entrance from @joelmchale and his pup, Bean Bag \xf0\x9f\x90\xb6\xf0\x9f\x98\x85\n\nWatch the PGA Championship MegaCast \xe2\x9e\xa1\xef\xb8\x8f https://t.co/WM6o4wYD2u ht\xe2\x80\xa6'"
1528156004419895296,2022-05-21 23:29:17+00:00,b'I\xe2\x80\x99m in hair and make up now. https://t.co/DGVtfZX8Qi'
1526238678195970048,2022-05-16 16:30:31+00:00,b'Bakers\xe2\x80\xa6start your fondants! #crimescenekitchen #foxtv @yolanda_gampp @curtisstone #season2 @FOXTV #sugar #baking #hostguy https://t.co/OZESutj2R2'
1525653445222481921,2022-05-15 01:45:01+00:00,b'This is the coolest thing ever https://t.co/Tqup1Rjvci'
1524810617500188674,2022-05-12 17:55:55+00:00,b'This is a picture we posed for in the same room. https://t.co/DtjG1rq4nr'
1524547423632343044,2022-05-12 00:30:05+00:00,"b'Holy crap Ken. This is absolutely outstanding. (I know, I\xe2\x80\x99m not being sarcastic. It\xe2\x80\x99s weird for me too.) https://t.co/kqr23xn6XI'"
1523443383544389632,2022-05-08 23:23:01+00:00,b'The Opera Cake said it didn\xe2\x80\x99t know who you were @kenjeong. I was so pissed for you. https://t.co/bzIbWLG5Mh'
1522272155949572097,2022-05-05 17:48:59+00:00,b'Nicely done @SoundersFC!!!!! #SeattleSoundersFC'
1521899521076310017,2022-05-04 17:08:16+00:00,b'BUY @yolanda_gampp\xe2\x80\x99s BOOK TODAY https://t.co/NZRJenIFCJ'
1519063977795493889,2022-04-26 21:20:49+00:00,"b""@hodaandjenny\xe2\x80\x94The answer to the breakfast vs dinner debate lies with\xe2\x80\xa6cocktail choice. Bloody Mary or Margarita? Either way, u can't lose. I'll send you my favorite new mixers from @QMixers so you can decide. Can you pay for shipping? Thx in advance! @hodakotb @jennabushhager https://t.co/NgA6P7A4dY"""
1518645748073652226,2022-04-25 17:38:56+00:00,b'@JackQuaid92 happy happy!!!'
1516608872529764354,2022-04-20 02:45:07+00:00,b'My rockabilly career is ready to launch. Thanks @anthonyanderson https://t.co/Qhh3Fec9aC'
1515417036653948928,2022-04-16 19:49:11+00:00,"b'If you love #Wordle, then I\xe2\x80\x99d like to direct your attention to Solitaire Stories on @AppleArcade. It has my voice in it, requires ZERO spelling, &amp; is way, way less depressing(unless you dislike the sound of my voice but still) Try it free:\xc2\xa0https://t.co/5mk6NeiiOC\xc2\xa0@RedGamesCo #ad https://t.co/dL6neEhZDx'"
1514312723298861058,2022-04-13 18:41:02+00:00,b'Greatest headline I\xe2\x80\x99ve ever been included in. https://t.co/Fb2JTm6cCm'
1513539781191475214,2022-04-11 15:29:38+00:00,b'Been a minute! Looking forward to presenting again at the @cmt awards 2night from Nashville. I promised @carrieunderwood I wouldn\xe2\x80\x99t be \xe2\x80\x9cover-grinning\xe2\x80\x9d as I am in this pic the last time I was there. See you all tonight! #cmtawards #nashvilletennessee #countrymusic #overgrinning https://t.co/HXggruQEzD'
1512510352801472514,2022-04-08 19:19:03+00:00,b'Because @kevinhart4real isn\xe2\x80\x99t busy enough he asked me to be on his new podcast #comedygoldminds on  @LOLNetwork. Listen now on @siriusxm https://t.co/iK9BldhDsK Here\xe2\x80\x99s a clip where I\xe2\x80\x99m mocking a much more successful person(Kevin). Thanks Kevin and thanks to my Wall Street hair. https://t.co/VkQDI2Hnh8'
1512204942706061317,2022-04-07 23:05:28+00:00,b'Obligatory Twitter workout post. Midlife Crisis post. Thanks Nick &amp; Sarah(owners of open air @vashonathleticclub). Thanks trainer Nick for the live analysis. #ObligatoryTWITTERWorkoutPost #midlifecrisispost #bragging https://t.co/COqQnaTDe7'
1510682786683777024,2022-04-03 18:16:58+00:00,b'https://t.co/Zn0FdhY0kT'
1510421317207527431,2022-04-03 00:57:58+00:00,b'Good luck to your @dukebasketball team @kenjeong. I just wish you\xe2\x80\x99d get more excited about these sorts of things. #FinalFour https://t.co/AMaVUzaKRy'
1508857631452004353,2022-03-29 17:24:27+00:00,b'Thinking about a third cup of coffee. #beanbagthedog https://t.co/ixljvhwS6y'
1507778547582001154,2022-03-26 17:56:33+00:00,b'Nice nice nice https://t.co/QEH2D7Bct5'
1505578692185051142,2022-03-20 16:15:07+00:00,"b'Even though I\xe2\x80\x99m only here for a few hours I love and missed you dearly Chicago. Oh and, anywhere to go for a hotdog around here? #mykindoftown https://t.co/FCFhmdqfvE'"
1504895562377691137,2022-03-18 19:00:36+00:00,b'Your flashlight is on.'
1503673367622209538,2022-03-15 10:04:02+00:00,b'Ken is pointing to the back of the @CriticsChoice\xe2\x80\x99s ballroom where he set up his merch table. https://t.co/25UtkHdVEU'
1502708725181607936,2022-03-12 18:10:53+00:00,"b'And somehow my boy is 14!! HAPPY BIRTHDAY ISAAC. Man do mom &amp; i love u. You\xe2\x80\x99re a smart, thoughtful, sarcastic, funny, young man &amp; we couldn\xe2\x80\x99t be prouder. For your present we got you two 1st-round picks, two 2nd picks, D-lineman Shelby Harris, TE Noah Fant &amp; QB Drew Lock. Love U! https://t.co/dmi8tbVK3N'"
1501793337417809926,2022-03-10 05:33:28+00:00,b'If you get a chance\xe2\x80\x94-tune in tomorrow. This will help Ukrainian foster children and their families. It\xe2\x80\x99s from 12 to 7 PST tomorrow(I say again!). I\xe2\x80\x99ll be popping in. https://t.co/5LtCSGvqps'
1501333186856439811,2022-03-08 23:04:59+00:00,b'I look forward to your outfit being put on display at the Opposite Smithsonian but in the mean time I\xe2\x80\x99ll watch @CherylHines\xe2\x80\x99 show tonight. #kenssuit #OppositeSmithsonian https://t.co/tyaQQxDbkh'
1501329910568210437,2022-03-08 22:51:58+00:00,b'Will you be wearing that same suit? https://t.co/tyaQQxlAsJ'
1501329300389351425,2022-03-08 22:49:33+00:00,b'So\xe2\x80\xa6you\xe2\x80\x99re not? https://t.co/nmYx1BnIgq'
1501328827615784960,2022-03-08 22:47:40+00:00,b'.@kenjeong Are you on tv?'
1501278253029330949,2022-03-08 19:26:42+00:00,b'End of an era. Can\xe2\x80\x99t believe it. Thanks @DangeRussWilson for all you\xe2\x80\x99ve done for Seattle and the @seahawks. Statues will be erected. You can now \xe2\x80\x9ccook\xe2\x80\x9d in Denver(but please remember grilling steaks takes a bit longer at altitude). #RussellWilson #gohawks #seahawksforever'
1501251707510140935,2022-03-08 17:41:13+00:00,b'.@ESPN headline: \xe2\x80\x9cAaron Rogers returning to Packers next season.\xe2\x80\x9d Follow up question: Is Aaron Rodgers returning to Packers next season?'
1500563434668179457,2022-03-06 20:06:16+00:00,b'Yes. Gillian\xe2\x80\x99s doc is incredible https://t.co/s2B5KIyqPk'
1499803785497042950,2022-03-04 17:47:42+00:00,b'Cut scene from Spider-Man No Way Home:Switzerland sequence. https://t.co/32uQwcjY1I'
1499716401082380297,2022-03-04 12:00:28+00:00,b'Yup. Yes. Yep. https://t.co/pa4K1FkMwP'
1498558933316812800,2022-03-01 07:21:06+00:00,b'No matter how long I\xe2\x80\x99ve been and/or get to work in the entertainment business this sort of thing is still wonderfully surreal. Thanks for sending @dmrosenrosen and to your doggy. Oh and btw @uw_football I still have three years of eligibility left #godawgs\xf0\x9f\x8f\x88 @UW https://t.co/gmlH4A4GGF'
1492684891514802178,2022-02-13 02:19:45+00:00,b'Learn another language\xe2\x80\x94-great. Lucky numbers\xe2\x80\x94-cool cool. And now my fortune is\xe2\x80\x94\xe2\x80\x94WHAAAAAAAAAT???? Uuuuh\xe2\x80\xa6.Are women quicker at opening sexist fortune cookies????? \xe2\x80\x94\xe2\x80\x94-What the hell is happening?? https://t.co/YBt9BnFwU5'
1492676232831401985,2022-02-13 01:45:21+00:00,b'I\xe2\x80\x99ll watch anything with @Kenny_Mayne in it https://t.co/ugwYdwB9Rv'
1492149754431606786,2022-02-11 14:53:18+00:00,b'#ad @kenjeong eats mixed nuts one at a time because he thinks everything needs as much attention as he does. #PlantersAllorOne https://t.co/aG3Q5FpVt2 https://t.co/zv0ippGVMg'
1491854297881059329,2022-02-10 19:19:16+00:00,b'All. Seriously. It\xe2\x80\x99s the only way\xe2\x80\xa6@kenjeong https://t.co/qXugOqXcj6'
1491118792231231489,2022-02-08 18:36:38+00:00,b'Happy green-screen-fence birthday @SethGreen!!!! https://t.co/xZllMAIB40'
1491061333630291975,2022-02-08 14:48:19+00:00,b'Hairspray central with Philonese. #stargirl https://t.co/QPWq7Hh1u8'
1490431487220482049,2022-02-06 21:05:32+00:00,b'Second Thanksgiving meal. Watch the race! https://t.co/fbwVa33hVk'
1490142644831330306,2022-02-06 01:57:46+00:00,b'Thanks but how are YOU?'
1490047394615988224,2022-02-05 19:39:17+00:00,b'Nice. So you doin alright?'
1490041981396926464,2022-02-05 19:17:46+00:00,b'Good to hear. So what else is going on?'
1490038445644812290,2022-02-05 19:03:43+00:00,b'Can\xe2\x80\x99t complain. Y\xe2\x80\x99all good then?'
1490036774172643329,2022-02-05 18:57:05+00:00,b'Cool. Cool. Cool. You good?'
1490036166053150722,2022-02-05 18:54:40+00:00,b'How are you?'
1489257079336423424,2022-02-03 15:18:51+00:00,b'#ad Share this video if you think I\xe2\x80\x99m right and @kenjeong needs to chill on the whole \xe2\x80\x98eating mixed nuts one at a time thing. #PlantersAllorOne https://t.co/cVjLtrr5KT'
1488914705943044105,2022-02-02 16:38:23+00:00,b'This is a very good memory. @Seahawks https://t.co/TbazGUxtvX'
1488911385098694663,2022-02-02 16:25:11+00:00,b'.@kenjeong agrees completely. He told me. I swear. No need to ask him a second time. https://t.co/1bHLnpleSc'
1488371728795451393,2022-02-01 04:40:47+00:00,b'Cheers again Betty. https://t.co/CDm0SmUxOZ'
1488358331009884164,2022-02-01 03:47:33+00:00,b'Cheers Betty! https://t.co/G2GvvOu8BR'
1487908420737019904,2022-01-30 21:59:46+00:00,"b""FOOTBALL FOOTBALL AND FOOTBALL. I'm dropping in on my friends(must learn their names) at In-Game Live today at NOW(PST) for some laughs, fan interaction, and sports betting advice( I know nothing) Join us!\n @ingamelivenow and @loopedlive"""
1486870893880094723,2022-01-28 01:17:00+00:00,b'I\xe2\x80\x99m still upset Peaky Blinders is ending after six seasons. @ThePeakyBlinder https://t.co/MoyG0vxIKJ'
1486720701876752386,2022-01-27 15:20:11+00:00,b'This made my morning https://t.co/ljUXCC5Uvo'
1486507351737880577,2022-01-27 01:12:25+00:00,b'#BillowyRobes is where the heat is @kenjeong and @alisonbrie https://t.co/RV238Z7vsh'
1486402291498323968,2022-01-26 18:14:56+00:00,b'Best pic of @kenjeong to date. https://t.co/53HV5cRllb'
1485771016987037698,2022-01-25 00:26:29+00:00,b'Is that the same as Platinum? https://t.co/ltd0sySB8m'
1485629510737223680,2022-01-24 15:04:11+00:00,b'#ad Maybe @kenjeong eats mixed nuts one at a time because he can\xe2\x80\x99t lift a handful? #PlantersAllorOne Watch more: https://t.co/eST3Egkhhe https://t.co/pNawUKyPzH'
1485394597278720001,2022-01-23 23:30:43+00:00,b'.@CooperKupp'
1485332760331907072,2022-01-23 19:25:00+00:00,"b'Maybe @kenjeong eats mixed nuts one at a time because he can\xe2\x80\x99t accommodate a handful? How do you eat them? (Also, Ken is standing on a box) #PlantersAllorOne @MrPeanut https://t.co/zmpn0CPdb8'"
1484039915444715523,2022-01-20 05:47:42+00:00,b'@SarahCrossan So so sorry for your loss.'
1483906023383461889,2022-01-19 20:55:40+00:00,b'It\xe2\x80\x99s official: You can go ahead and stop using the phrase \xe2\x80\x9c\xe2\x80\xa6in an abundance of caution\xe2\x80\xa6\xe2\x80\x9d in a sentence! From now on! No matter the context! Yay! Congrats!'
1483443011417624578,2022-01-18 14:15:49+00:00,"b""RT @Roku: \xf0\x9f\x9a\xa8 GIVEAWAY ALERT \xf0\x9f\x9a\xa8\n\n@JoelMcHale has never looked better than in full 8K! To prove it, we're giving away the ultimate @Hisense_USA\xe2\x80\xa6"""
1483210219282833409,2022-01-17 22:50:47+00:00,b'Here we go @BelfastMovie #belfastmovie @FocusFeatures Thanks for the digestive cookies https://t.co/EicdmU2qOt'
1483189276544098306,2022-01-17 21:27:34+00:00,b'Win a television set!  @HisenseGlobal https://t.co/kMPJjh2q2k'
1482087041470844932,2022-01-14 20:27:41+00:00,b'HAPPY 17th to my boy Eddie. I love you &amp; love the young man you\xe2\x80\x99ve grown into. I love how in these shots you look like you\xe2\x80\x99re in @edgarwright\xe2\x80\x99s #atworldsend movie or a Smiths cover band(Thank you Seattle weather and Grandfather Dick\xe2\x80\x99s army trench for effect) #happybirthdayeddie https://t.co/h5hlt59wta'
1481439832979034113,2022-01-13 01:35:54+00:00,b'Thanks @CherylHines. @kenjeong and I calmed down after we had a nice hot meal prepared by @GordonRamsay\xe2\x80\x99s #NextLevelChef contestants! (Tonight 9/8c on @FOXTV!!) https://t.co/ycfWzbWxZT'
1481400579532279808,2022-01-12 22:59:55+00:00,b'Thank you for your permission @kenjeong. This will allow @dannypudi and I to have our #911LoneStar watch party guilt free! Hi @RobLowe!! https://t.co/Jqfrz9fl7p'
1481398776539410432,2022-01-12 22:52:46+00:00,b'Thx for this @kenjeong. I had such a good time on Community with @dannypudi. #community #friendsforever #dannypudi https://t.co/7n7v9dBrNn'
1481396748467666946,2022-01-12 22:44:42+00:00,b'That\xe2\x80\x99s right catch the exciting BLOCK tonight on @FOXTV. First you\xe2\x80\x99ve got a show at 8pm and THEN @GordonRamsay\xe2\x80\x99s #NextLevelChef!!!! https://t.co/OC5s4PWe9l'
1481394782358278144,2022-01-12 22:36:53+00:00,b'You\xe2\x80\x99re right @kenjeong. Apologies. Let\xe2\x80\x99s get this back on track\xe2\x80\x94-I\xe2\x80\x99m so excited for #NextLevelChef!!!  Yay @GordonRamsay!!! (How\xe2\x80\x99s that Ken?) #backontrack https://t.co/WQNrDo0ZUF'
1481392704441380864,2022-01-12 22:28:38+00:00,b'You put one \xe2\x80\x9cDr.\xe2\x80\x9d in front of someone\xe2\x80\x99s name and all of a sudden they\xe2\x80\x99re an expert on everything. #flagexpert #Doctorsplaining #ICanSeeYourStethoscope https://t.co/ZC4ApTOPBC'
1481390494328385536,2022-01-12 22:19:51+00:00,b'Great. I\xe2\x80\x99ll take that flag and make a new suit for you out of it. America wants this. Needs this. You\xe2\x80\x99re welcome. #ICantNotSeeKensSuit https://t.co/QIrp0mbWjo'
1481388177407418370,2022-01-12 22:10:39+00:00,b'I\xe2\x80\x99m excited. Oh and by the way @kenjeong\xe2\x80\x94-smell my finger https://t.co/hMe0Y6vuIQ'
1481340918745559040,2022-01-12 19:02:51+00:00,b'.@robinthicke made a record(literally). But you can also download it to your @sony Walkman. #onearthandinheaven #robinthicke it\xe2\x80\x99s great.@kenjeong thankfully doesn\xe2\x80\x99t sing backup vocals on this. https://t.co/siJrxUVJmV'
1480699606769958916,2022-01-11 00:34:30+00:00,b'I won this https://t.co/o20vhYIoqw'
1480438245611638785,2022-01-10 07:15:57+00:00,b'RT @mariaspinella: Bob Saget once crashed the bachelorette party I threw for my sister. It was one of the funniest things I\xe2\x80\x99ve ever had hap\xe2\x80\xa6'
1480341925106360322,2022-01-10 00:53:13+00:00,b'I\xe2\x80\x99m so shocked at @bobsaget\xe2\x80\x99s passing. One of the most kind &amp; thoughtful people I\xe2\x80\x99ve ever come across &amp; he just happened to be one of the funniest on the planet. I will miss you so much Bob. Love you dear friend. I\xe2\x80\x99m so sorry @kellyrizzo. And so sorry to the rest of the family.'
1480247548501659649,2022-01-09 18:38:11+00:00,b'My wallet. From about fourth grade until the end of college. Nothing has spent more time near my butt. Thank you @vanhalen  #vanhalen #vanhalenwallet #velcrowallet https://t.co/dJXydxUh5F'
1479916959101640704,2022-01-08 20:44:33+00:00,b'Bean Bag is a big fan of the pre-order meal options on @alaskaair. #beanbagthedog https://t.co/Wu0LHeaMnD'
1478887254152003586,2022-01-06 00:32:52+00:00,b'Me and my gut will be watching https://t.co/lnDlJLyWqQ'
1476729793982844935,2021-12-31 01:39:53+00:00,b'I\xe2\x80\x99m starting four players from the Oilers this weekend. You can\xe2\x80\x99t stop me.  @AustinEkeler @LizLoza_FF https://t.co/4TT5HhDOBq'
1476647599922835458,2021-12-30 20:13:17+00:00,b'As you can see Bean Bag the Dog loves cabinetry or\xe2\x80\xa6wants a treat. Jury is out. And clearly if BB we\xe2\x80\x99re in the NFL he\xe2\x80\x99d never jump offsides. Also enjoy my mom\xe2\x80\x99s declaration about the number 77. (Video credit to to Sarah McHale) #beanbagthedog #77goodgrief https://t.co/atWjkac6Rk'
1476025170003255301,2021-12-29 02:59:58+00:00,"b'Fair, but I got a free apron out of this @cpmckenna https://t.co/NxVxLSx5a0'"
1476024009581940738,2021-12-29 02:55:21+00:00,b'It\xe2\x80\x99s milk chocolate flavored oxygen for us comedians. https://t.co/pPe4cTHVsk'
1475887221064433667,2021-12-28 17:51:48+00:00,b'I keep two table rules:\n1. Have at least one @MnkyShldrUS Adult Table cocktail present\n2. Have at least one dog at the table\nFollow these rules and perhaps you too can be famous like me. https://t.co/r6RTrdaXeQ'
1475607208595394561,2021-12-27 23:19:08+00:00,b'I have film to confirm it https://t.co/QmyRLvm375'
1475606926884950022,2021-12-27 23:18:01+00:00,b'Amen https://t.co/FOIQGf1v7r'
