twitter_id,date,tweet
1540892671182528515,2022-06-26 03:00:15+00:00,"b'\xf0\x9f\xa5\x81\xf0\x9f\xab\xb6 RUFEM OS TAMBORES \xf0\x9f\xab\xb6\xf0\x9f\xa5\x81\n\nPorque hoje \xc3\xa9 anivers\xc3\xa1rio dele, o baterista mais fera de todos!!! Dia de comemorar mais um ano juntos, com muita parceria, felicidades e conquistas. Vamo que vamo! Palmas para o Paulinho, galera! \xf0\x9f\x92\xaf\xf0\x9f\x91\x8f #parabens https://t.co/Yd9wq11sG8'"
1540775234349015040,2022-06-25 19:13:36+00:00,"b'\xe2\x80\xa6 Falta s\xc3\xb3 UMA SEMANA, galera!! \xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\n\n&gt;&gt; Cora\xc3\xa7\xc3\xa3o a 1000 pra estr\xc3\xa9ia da #JOTA25, no SABAD\xc3\x83O que vem, em SAMPA!! Bora com tudo!! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x91\x88\n\nUltimos ingressos https://t.co/7Ghvm5GtOM https://t.co/kz0DwxqWl6'"
1540350268218417152,2022-06-24 15:04:56+00:00,b'@crisribeiro76 @EncontroFatima @globo Dias melhores pra sempre'
1540350168477978625,2022-06-24 15:04:33+00:00,b'@Leticiar_3 @fbbreal \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0'
1540350082662469632,2022-06-24 15:04:12+00:00,b'@thiessaleite @flausinoJQ \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0'
1540349996477911040,2022-06-24 15:03:52+00:00,b'@ThaisfeijoPOA @EncontroFatima @flausinoJQ \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0'
1540345150433628161,2022-06-24 14:44:36+00:00,"b'RT @tvglobo: ""Hoje eu preciso te encontrar de qualquer jeito, nem que seja s\xc3\xb3 pra te levar pra casa..."" #Encontro https://t.co/giZuIQsYRv'"
1540341618938609664,2022-06-24 14:30:34+00:00,b'@adrianafialho6 @brauliobessa \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0'
1540341585879207937,2022-06-24 14:30:26+00:00,b'@deyserodriguezz \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0'
1540341511086391299,2022-06-24 14:30:09+00:00,b'@frsonia \xf0\x9f\xa5\xb0'
1540341081652531203,2022-06-24 14:28:26+00:00,b'@kamilacfs @EncontroFatima @fbbreal @curvelloanciaes \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0'
1540341026136551424,2022-06-24 14:28:13+00:00,b'@B_ittencourt @tvglobo @EncontroFatima Que lindo! \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\xa5\xb0'
1540340945522237440,2022-06-24 14:27:54+00:00,b'RT @tvglobo: E vamos de m\xc3\xbasica? @jotaquest no #Encontro! https://t.co/1KplPQjyxb'
1540340867944382464,2022-06-24 14:27:35+00:00,b'@rapha_alisson \xf0\x9f\xa5\xb0'
1540340804916547590,2022-06-24 14:27:20+00:00,b'@lyra_janete \xc3\x89 pra l\xc3\xa1 que eu vou\xe2\x80\xa6. \xf0\x9f\x8c\x9e'
1540340689501921282,2022-06-24 14:26:53+00:00,b'@ivaniselima @fbbreal @EncontroFatima \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0'
1540340630055968769,2022-06-24 14:26:39+00:00,b'@JucimeireScar Essa \xc3\xa9 linda mesmo!'
1540340570408755202,2022-06-24 14:26:24+00:00,b'@nazare_n @EncontroFatima \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0'
1540340538867589127,2022-06-24 14:26:17+00:00,b'@thiaguguedes @EncontroFatima \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0'
1540340405677576193,2022-06-24 14:25:45+00:00,b'@LuisPaschoall @fbbreal \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb'
1540340336463060993,2022-06-24 14:25:29+00:00,b'@SuzanaaaAH Dias melhores pra sempre! \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'
1540340213700067333,2022-06-24 14:24:59+00:00,b'@prasemprejq @flausinoJQ \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb'
1540340024545349632,2022-06-24 14:24:14+00:00,b'Fala galera! Quem t\xc3\xa1 ligado no @EncontroFatima na @globo ??? \nCorre que estamos na telinha! \xf0\x9f\xa5\xb0'
1539356578360569859,2022-06-21 21:16:22+00:00,"b'Agora, contem aqui: para voc\xc3\xaas, quais s\xc3\xa3o os nossos \xc3\xa1lbuns mais marcantes?!\xe2\x9d\xa4\xef\xb8\x8f #jotaquest #jota25'"
1539356575617384449,2022-06-21 21:16:22+00:00,"b'&gt;&gt; ""Pancad\xc3\xa9lico"" (2015), marca um momento muito legal, que \xc3\xa9 o nosso encontro com o Neil Rogers e o Jerry Barnes. Foi um \xc3\xa1lbum produzido por essa galera que a gente sempre amou muito como \xc3\xaddolo, e de repente, est\xc3\xa1vamos trabalhando com eles.'"
1539356573612531714,2022-06-21 21:16:21+00:00,"b'&gt;&gt; \xe2\x80\x9cDias Mejores\xe2\x80\x9d (2010), um convite para irmos \xc3\xa0 Argentina gravar um disco em espanhol, com a participa\xc3\xa7\xc3\xa3o especial do Illya Kuryaki and The Valderramas.'"
1539356571452559360,2022-06-21 21:16:21+00:00,"b'&gt;&gt; ""La Plata"" (2008), um \xc3\xa1lbum muito inventivo, muito diverso e com um olhar mais alternativo, foi 1\xc2\xba gravado no est\xc3\xbadio da banda.'"
1539356560975077376,2022-06-21 21:16:18+00:00,"b'25 anos de trajet\xc3\xb3ria \xc3\xa9 muita bagagem... E a gente confessa que escolher alguns momentos marcantes n\xc3\xa3o \xc3\xa9 ""f\xc3\xa1cil, extremamente f\xc3\xa1cil""! \xf0\x9f\x98\x85 Mas, separamos aqui 3 \xc3\xa1lbuns que fizeram hist\xc3\xb3ria: https://t.co/6QOuA8dHWI'"
1538895278635372544,2022-06-20 14:43:20+00:00,"b'JOTA25 t\xc3\xa1 cada vez mais perto!!! E a gnt mal pode esperar pra esse encontro cheio de emo\xc3\xa7\xc3\xa3o e alegria. Realmente, n\xc3\xa3o tem comemora\xc3\xa7\xc3\xa3o melhor do que poder estar ao vivo com vcs depois de todos esses anos juntos! Bora celebrar, galera: https://t.co/Mk7V0hwviB \xe2\x9d\xa4\xef\xb8\x8f #JotaQuest #jota25 https://t.co/vQFCzkmRpw'"
1537821339117047809,2022-06-17 15:35:53+00:00,b'\xc3\x89 s\xc3\xb3 escolher as m\xc3\xbasicas que vc mais gosta e se jogar: https://t.co/dWEpK85x9h \xf0\x9f\x8e\xa4 #JotaQuest #jota25'
1537821337259069442,2022-06-17 15:35:52+00:00,"b'Voc\xc3\xaas sabiam que hoje \xc3\xa9 o Dia do Karaok\xc3\xaa? Ent\xc3\xa3o, bora comemorar essa data do jeitinho que a gnt mais gosta: bem alto astral, aumentando o volume e cantando com emo\xc3\xa7\xc3\xa3o! Bora?!'"
1537454477179031553,2022-06-16 15:18:06+00:00,"b'Falta pouco pra gnt se encontrar e celebrar mto na turn\xc3\xaa JOTA25, galera! Temos crtz que vms viver momentos inesquec\xc3\xadveis juntos! Enquanto isso, bora relembrar alguns deles? Conta aqui um momento inesquec\xc3\xadvel que vc viveu com a gnt ao longo desses 25 anos! #jota25 #MeuMomentoJota'"
1535975130211418112,2022-06-12 13:19:42+00:00,"b'E a\xc3\xad, quem \xc3\xa9 voc\xc3\xaa no Dia dos Namorados!!! Comenta com os emojis #diadosnamorados #quizz \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\x8d\xf0\x9f\xa5\xb0 https://t.co/3serSXpW56'"
1535020556663377921,2022-06-09 22:06:34+00:00,b'@12jogadorcrfrj Essa \xc3\xa9 demais! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1534887087236947969,2022-06-09 13:16:13+00:00,b'RT @BandNewsFMCtba: Banda Jota Quest vem para Curitiba em\xc2\xa0agosto https://t.co/3Gw6Y4gZbH'
1534887042148081665,2022-06-09 13:16:02+00:00,b'@NTL7A \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
1534886685284212736,2022-06-09 13:14:37+00:00,b'@SofiaJacobsen5 Boa pedida! \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbc'
1534886531374141440,2022-06-09 13:14:00+00:00,b'@adrifpsonhos @deadpoolw9 Bom diaaaaaa \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbc'
1534886424431972352,2022-06-09 13:13:35+00:00,b'@deadpoolw9 @adrifpsonhos \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbc\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa4\x97'
1534881881036144642,2022-06-09 12:55:31+00:00,b'Bora construir mais uma? Partiu turn\xc3\xaa JOTA25!!! https://t.co/Mk7V0hwviB \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x94\xa5 #jota25 #flashback'
1534881878888615942,2022-06-09 12:55:31+00:00,"b'Nesse mesmo ano, aconteceu o maior momento da banda: a 1\xc2\xaa vez no @rockinrio! E a nossa 1\xc2\xaa vez em um festival aqui no Brasil, tocando pra 100 mil pessoas. Foi M\xc3\x81GICO! Inclusive, o DVD gravado nesse dia, ganhou o Grammy Latino. Sem d\xc3\xbavidas, uma fase muito bacana pra n\xc3\xb3s... https://t.co/S4j6kihxLH'"
