twitter_id,date,tweet
1546441733046538241,2022-07-11 10:30:15+00:00,b'@TheDeverakonda @MikeTyson @ananyapandayy #PuriJagannadh @Charmmeofficial @apoorvamehta18 @iamVishuReddy #AzeemDayani @DharmaMovies @PuriConnects @sonymusicindia @sonymusicsouth @AAFilmsIndia'
1546441730525782017,2022-07-11 10:30:14+00:00,b'Time to show your moves to #LigerMassStep! \n\nHere\xe2\x80\x99s the blockbuster track of the year #AKDIPAKDI!\xf0\x9f\x92\xa5\nSong out now - https://t.co/IYHYBhpxEL\n\n#LIGER \n#LigerOnAug25th'
1545658626341502977,2022-07-09 06:38:28+00:00,"b""If you haven't seen Episode 1 of #KoffeewithKarans7 yet, then whatever you're doing, just screw it, and go view it!\n\xc2\xa0\n\xc2\xa0#HotstarSpecials #KoffeeWithKaran S7 episode streaming every Thursday on @disneyplusHS\xc2\xa0 @apoorvamehta18 @jahnvio @aneeshabaig @Dharmatic_ https://t.co/lVlmpDNHNy"""
1545354911655030784,2022-07-08 10:31:36+00:00,b'@sonymusicindia @sonymusicsouth @AAFilmsIndia'
1545354788514439168,2022-07-08 10:31:07+00:00,b'Get ready to VIBE it out with #AKDIPAKDI \xf0\x9f\x94\xa5\n\nSong Releasing on 11th July @4:00 PM \xf0\x9f\x94\xa5\n\n#Liger\n#LigerOnAug25th\xc2\xa0\n\n@TheDeverakonda @MikeTyson @ananyapandayy #PuriJagannadh @Charmmeofficial\n@apoorvamehta18 @iamVishuReddy #AzeemDayani @DharmaMovies @PuriConnects https://t.co/JdokhgsGAQ'
1545037940190900224,2022-07-07 13:32:05+00:00,"b""It's finally time for my\xc2\xa0koffee\xc2\xa0date with my lovelies!\xc2\xa0\n\xc2\xa0\n#Hotstarspecials #KoffeeWithKaran S7, streaming now on @disneyplusHS\n\n@RanveerOfficial @aliaa08\xc2\xa0@apoorvamehta18\xc2\xa0\xc2\xa0@jahnvio\xc2\xa0@aneeshabaig @Dharmatic_ https://t.co/EwZ2B9yxd0"""
1544647634845331457,2022-07-06 11:41:08+00:00,b'@apoorvamehta18 @iamVishuReddy #AzeemDayani @DharmaMovies @PuriConnects @sonymusicindia @sonymusicsouth'
1544647510253518848,2022-07-06 11:40:39+00:00,"b""Giving you a little gist of what\xe2\x80\x99s coming your way in 50 days \xf0\x9f\x94\xa5\n\nLet's Celebrate with some Massssss Music!\n\nAKDI PAKDI\n1st song- July 11th\nPromo on July 8th\n\n#Liger\n#LigerOnAug25th  @TheDeverakonda @MikeTyson @ananyapandayy @karanjohar #PuriJagannadh @Charmmeofficial https://t.co/JqZHPc48lJ"""
1544569675010686977,2022-07-06 06:31:21+00:00,b'@apoorvamehta18\xc2\xa0@jahnvio\xc2\xa0@aneeshabaig\xc2\xa0@Dharmatic_\xc2\xa0@RanveerOfficial @aliaa08'
1544569619541037056,2022-07-06 06:31:08+00:00,"b'It\xe2\x80\x99s our Rocky\xe2\x80\x99s rocking birthday and to make it even more special, we have his Rani by our side! Catch more of their laughter with me on the couch on the first episode of #Hotstarspecials #KoffeeWithKaran S7, starting tomorrow on @disneyplusHS https://t.co/WoG7MdgsBV'"
1544270107203207170,2022-07-05 10:40:59+00:00,b'#HotstarSpecials #KoffeeWithKaranOnHotstar\n\xc2\xa0\n@apoorvamehta18\xc2\xa0@jahnvio\xc2\xa0@aneeshabaig\xc2\xa0@Dharmatic_'
1544268365392642048,2022-07-05 10:34:04+00:00,"b'Alright everyone, brace yourself as @RanveerOfficial , @aliaa08 and I dish out some steaming cups of entertainment in the very first episode of this sizzling hot new season! f#HotstarSpecials #KoffeeWithKaran S7. Catch the first episode on 7th July only on @DisneyPlusHS https://t.co/pDgKLfvrxo'"
1544186927909322754,2022-07-05 05:10:27+00:00,b'And what a tease my darling!!!!\xf0\x9f\x98\x89 https://t.co/ZEmfhtMD8N'
1543853995956924416,2022-07-04 07:07:30+00:00,b'#JugJuggJeeyo has been blessed by so many of you!\nKeep the love coming \xf0\x9f\x92\x96\n\nIn cinemas near you - book now! https://t.co/jYRIISlk7z'
1543573720127512577,2022-07-03 12:33:47+00:00,"b'RT @TheQuint: #JugJuggJeeyoReview: ""#JugJuggJeeyo is adorned with all good stuff that will put you in a forgiving mood. Music, visual pleas\xe2\x80\xa6'"
1543573368774938624,2022-07-03 12:32:23+00:00,"b'RT @akshayerathi: #JugJuggJeeyo is witnessing its second wave at the box office this weekend! Terrific upswing in footfalls, specially in t\xe2\x80\xa6'"
1543469722557186048,2022-07-03 05:40:32+00:00,b'With your love and support this crazy parivaar is taking over the box office ! #JugJuggJeeyo enters the 100 Crores club with your love and support ! \xe2\x9d\xa4\xef\xb8\x8f https://t.co/qjl660SKor'
1543204190096277504,2022-07-02 12:05:24+00:00,b'This is going to be EPIC!!  Congratulations @dhanushkraja and to the entire team of this potential cinematic marvel #CaptainMiller @ArunMatheswaran @SathyaJyothi @gvprakash https://t.co/WJZzpZ3ITd'
