twitter_id,date,tweet
1546228393057964033,2022-07-10 20:22:31+00:00,b'TORONTO: NIGHT 2 \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 https://t.co/gYv2dFOpqR'
1546228386355417088,2022-07-10 20:22:29+00:00,b'TORONTO: NIGHT 1 \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 https://t.co/FY2WGWVFYM'
1545537250188050432,2022-07-08 22:36:09+00:00,"b'.@amazonmusic !! \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\nlisten to ""Brown Eyes Baby"" on Country Heat: https://t.co/JBUVaFNH8a https://t.co/QB4ksl2Aua'"
1545535889048322048,2022-07-08 22:30:45+00:00,"b'RT @AppleMusic: Fall in love with #BrownEyesBaby, the latest from @KeithUrban.\nhttps://t.co/YNs3NF4hRz \xf0\x9f\x98\x8d https://t.co/FaAl3zlKlg'"
1545484101418995713,2022-07-08 19:04:58+00:00,b'NEW MUSIC FRIDAY \xf0\x9f\x94\xa5\nListen to Brown Eyes Baby on @Spotify:\nhttps://t.co/ccS8YDmsbI https://t.co/CoDd1VgFa2'
1545461585052844035,2022-07-08 17:35:29+00:00,b'TORONTO ! For everyone coming out to the show tonight \xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87 https://t.co/70uOIYcZzS'
1545268692916772865,2022-07-08 04:49:00+00:00,b'We\xe2\x80\x99ll be bringing this one to life every single night with all of YOU out on tour ! \n\xe2\x80\x9cBrown Eyes Baby\xe2\x80\x9d is out now :)\nhttps://t.co/G3aAZnUCW0 https://t.co/f5FInJIRPr'
1545078273943736321,2022-07-07 16:12:21+00:00,"b'So we\xe2\x80\x99re back in Paris 3 years later\xe2\x80\xa6 &amp; I take what I think is the same pic aside from the obvious differences \xe2\x80\x94 clothes, etc.\n\nAfter I left, I realized what I overlooked. If you spot the difference, let me know in the replies \xf0\x9f\x99\x83\n\nIn other news, Brown Eyes Baby is out tonight ! https://t.co/DsjoIhgfss'"
1542323556247298050,2022-06-30 01:46:05+00:00,"b'We kicked off the tour in FL a couple weekends ago &amp; played this song both nights. Since then, so many of you have posted videos &amp; asked for this one to be released. Brown Eyes Baby - out July 8 &amp; we\xe2\x80\x99re gonna play it tomorrow on the @TODAYshow !\n\nPre-save: https://t.co/pQT24b8Sck https://t.co/yYLEnAu29k'"
1540885897796894720,2022-06-26 02:33:20+00:00,b'HAPPY SWEET 16 BABY \nxxxxx https://t.co/Rs1NiYUugH'
1539350444790661120,2022-06-21 20:52:00+00:00,b'OPENING WEEKEND \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5#TSONworldtour\n\n\xf0\x9f\x8e\x9f: https://t.co/E4PaHvw0JT https://t.co/M1vnSMdwfd'
