twitter_id,date,tweet
1542930505934311424,2022-07-01 17:57:53+00:00,b'@DrayaDream Love you \xe2\x99\xa5\xef\xb8\x8f'
1542925777066266624,2022-07-01 17:39:06+00:00,"b'From closing my first solo listing off market, to visiting some of the most beautiful properties in LA, I\xe2\x80\x99m beyond grateful for what June brought me. July here we come. https://t.co/EAuSw3r6vB'"
1541462427102871552,2022-06-27 16:44:16+00:00,b'Success is earned. Never given. https://t.co/OWh339qOc7'
1540373434831470592,2022-06-24 16:37:00+00:00,b'Always on the go. #WorkingMama https://t.co/4scJwdTsJL'
1539773639632900097,2022-06-23 00:53:37+00:00,b'When all your meetings are in Malibu and you get to end your day looking at this \xf0\x9f\xa7\xa1 https://t.co/h7lj2DE5pm'
1539646280464363520,2022-06-22 16:27:33+00:00,"b""It's the growth zone for me. You? https://t.co/xMHRAka0Df"""
1538925205933789184,2022-06-20 16:42:15+00:00,b'Summer looks a bit different this year. https://t.co/JXQHmyiT4A'
1537469966080831489,2022-06-16 16:19:39+00:00,b'Rattan styling from @hm \xf0\x9f\xa4\x8e https://t.co/7V6oWWkRB5'
1536047070187991040,2022-06-12 18:05:34+00:00,b'@DrayaDream Love you thank you'
1534207311660474369,2022-06-07 16:15:01+00:00,b'Where do you think is the most desirable area to live in LA?'
1533949633197535233,2022-06-06 23:11:06+00:00,b'CLOSED! \n\nThis Spanish-style rebuild in the heart of Westlake Village exemplifies sophistication and gorgeous design. So honored to be able to help my friends sell this dreamy home to an amazing family! https://t.co/IWImszl66n'
1532779946816376832,2022-06-03 17:43:11+00:00,b'Loving kindness \xf0\x9f\xa7\xa1 https://t.co/2pSZ5Z0eoI'
1532487769422848000,2022-06-02 22:22:11+00:00,b'Filming a long and crazy real estate day today!  Coming soon \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/ePLIjVSRt9'
1530586225102315521,2022-05-28 16:26:07+00:00,b'I can\xe2\x80\x99t wait for you all to see inside this gorgeous property I listed in Westlake Village. My dear friends remodeled this dreamy home and it\xe2\x80\x99s nothing short of amazing \xf0\x9f\xa4\x8e https://t.co/OxZomymYAV'
1529909295625621504,2022-05-26 19:36:15+00:00,b'Lunch break. https://t.co/HCoDUoHzcu'
1528775590282526721,2022-05-23 16:31:18+00:00,b'Do you have a mantra you say everyday? #MondayMotivation'
1528775387685060608,2022-05-23 16:30:30+00:00,"b""Start of a new week - let's get it. https://t.co/Ug6W6iFK9f"""
1527343257461481472,2022-05-19 17:39:43+00:00,b'Happy moments spent by the sea. https://t.co/A2quhKIsHI'
1527092171626512384,2022-05-19 01:02:00+00:00,"b""Well, that was AWESOME.  I already can't wait for season 8! #TheMaskedSinger"""
1527091324666597376,2022-05-19 00:58:38+00:00,b'WHO IS UNDER THIS MASK!!! #FireflyMask #TheMaskedSinger'
1527090243773427712,2022-05-19 00:54:20+00:00,b'Oh wow! Did anyone guess that right?!  #RingmasterMask #TheMaskedSinger'
1527089210405965825,2022-05-19 00:50:14+00:00,b'RT @NicoleScherzy: This girl is on fire!!!! #FireflyMask #TheMaskedSinger'
1527084455495536640,2022-05-19 00:31:20+00:00,b'@JennyMcCarthy I think so too!! #TheMaskedSinger'
1527083967928672257,2022-05-19 00:29:24+00:00,b'RT @NicoleScherzy: The Battle of the Babes!!! We still LOVE you #ThePrinceMask \xf0\x9f\x90\xb8 #TheMaskedSinger'
1527082501176315904,2022-05-19 00:23:34+00:00,b'@JennyMcCarthy great guess.  I think #RingmasterMask could be @haydenpanettier also!'
1527081836626595841,2022-05-19 00:20:56+00:00,b'OMG #RingmasterMask this is so good...do you guys think #RingmasterMask is a professional singer?? #TheMaskedSinger'
1527080873907978242,2022-05-19 00:17:06+00:00,b'Could #FireflyMask be @aliciakeys??  \xf0\x9f\xa7\x90 #TheMaskedSinger'
1527080594705891329,2022-05-19 00:16:00+00:00,"b'Most importantly, who do you guys think is going to win?? #TheMaskedSinger'"
1527080157571190784,2022-05-19 00:14:15+00:00,b'@robinthicke WOW...I could never come up with a good guess on the spot like that. #TheMaskedSinger'
1527079567994736640,2022-05-19 00:11:55+00:00,b'#FireflyMask is crushing it as always!!!  Any guesses on who this is?  #TheMaskedSinger'
1527079336578195457,2022-05-19 00:11:00+00:00,b'Who was your favorite from this season?  There were so many great ones it is hard to choose...#TheMaskedSinger'
