twitter_id,date,tweet
1546334785936785410,2022-07-11 03:25:17+00:00,b'RT @Neva_J: Finally got to see For The Love of Money. I really enjoyed seeing @TheRealLRaye1 and @KeriHilson mother/daughter relationship.'
1545876460048613378,2022-07-09 21:04:03+00:00,"b'After all, it was the Songwriter Award \xf0\x9f\xa5\xb1 https://t.co/KLRTypTSUu'"
1545875916907233286,2022-07-09 21:01:54+00:00,b'And damn it was still missing some \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/koKI9zdjAG'
1545116397956628480,2022-07-07 18:43:50+00:00,b'SHOP NOW for 40% OFF the entire site until July 10th! \xe2\x98\x80\xef\xb8\x8f https://t.co/ljTqI1fC8y\n\n#BigSummerSale #Tees #Hoodies #Crewnecks #YouthTees #WorldwideShipping \xf0\x9f\x8c\x8e https://t.co/Gtrm1H1qWA'
1544468671753424896,2022-07-05 23:50:00+00:00,b'SUMMER SALE over at https://t.co/ljTqI0Y0JY! 40% off your purchase on the entire site! We ship worldwide! \xf0\x9f\x8c\x8d https://t.co/dchiMd8Rgv https://t.co/1H6WfLDvHx'
1544468259495444486,2022-07-05 23:48:22+00:00,b'Right here!!! https://t.co/dchiMcRgoX\n\nThank you! \xf0\x9f\x96\xa4\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4 https://t.co/u7MOtx3ycy'
1543763002800873472,2022-07-04 01:05:56+00:00,b'\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe \xe2\x98\xba\xef\xb8\x8f https://t.co/43BPMN4IcL'
1543263055324250113,2022-07-02 15:59:19+00:00,"b'\xe2\x80\xa6We learn &amp; grow through trials, challenges, &amp; difficult circumstances. The blessings do follow with your participation &amp; willingness to recognize them. Amen. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe'"
1543262771738841088,2022-07-02 15:58:11+00:00,"b'the universe, your angels, ancestors, spirit guides, The Most High\xe2\x80\xa6the whole divine realm will all conspire and act together to provide your needs, for your highest good, in divine time. It ain\xe2\x80\x99t all pretty &amp; fluffy\xe2\x80\x94often we do not recognize every blessing as such\xe2\x80\xa6but\xe2\x80\xa6'"
1543262527747985408,2022-07-02 15:57:13+00:00,b'https://t.co/S5HMUAWgvx'
1542957888162889728,2022-07-01 19:46:41+00:00,b'There\xe2\x80\x99s good in every \xe2\x80\x9cbad person\xe2\x80\x9d and bad in every good person. The scales slide but some just hide their bad better than others.'
1542911004308291584,2022-07-01 16:40:23+00:00,b'\xf0\x9f\x98\x82 https://t.co/wuGsxaIdWw'
1541981138763268098,2022-06-29 03:05:26+00:00,"b'The truth is this\xe2\x80\xa6 If you believe you can, you might. But if you keep trying, wherever you land will be better than where you are.'"
1541873392315502592,2022-06-28 19:57:18+00:00,b'Earth needs the healers really badly.'
1541526456995569665,2022-06-27 20:58:42+00:00,"b'I haven\xe2\x80\x99t eaten today. I\xe2\x80\x99m sick about you, Chaka. We need you to pull through. We can\xe2\x80\x99t take this one. \xf0\x9f\x92\x94'"
1541499002314756096,2022-06-27 19:09:36+00:00,b'Anything done or said for white approval in spite of your own people\xe2\x80\x99s advancements or cultural perception. https://t.co/p734gbExkY'
1541494180903526400,2022-06-27 18:50:26+00:00,b'RT @ChaseNCashe: I\xe2\x80\x99m a huge asset that\xe2\x80\x99s all I can tell you. \n\nThe rest gotta be shown.'
1540445215047270404,2022-06-24 21:22:14+00:00,b'RT @LeftSentThis: How un-free does the United States have to be before y\xe2\x80\x99all stop saying that it\xe2\x80\x99s the \xe2\x80\x9cland of the free\xe2\x80\x9d?'
1537160728167301123,2022-06-15 19:50:51+00:00,b'This that tie your hair down \xe2\x80\x98til you get to the parking lot weather. \xf0\x9f\xa5\xb5\xf0\x9f\x92\x86\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1536229896753664001,2022-06-13 06:12:03+00:00,b'RT @IAmSteveHarvey: You Only Accept What You Think You Deserve. Read that again.'
1536051234133708800,2022-06-12 18:22:07+00:00,b'Happy Birthday Kye!!! Love you sis! \xf0\x9f\x92\x95 https://t.co/Eihifi4mj8'
