twitter_id,date,tweet
1546521300063199232,2022-07-11 15:46:25+00:00,b'Mark your calendars!!!!!! https://t.co/YC3MmhOObC'
1546521061684035585,2022-07-11 15:45:28+00:00,"b'RT @DanRather: All those saying the \xe2\x80\x9cvote, vote, vote\xe2\x80\x9d message is old and tired undermine the power of the ballot box. Elections are fulcru\xe2\x80\xa6'"
1546520951885529088,2022-07-11 15:45:02+00:00,"b'\xe2\x80\x9cIf anybody\xe2\x80\x99s making a decision about me and my family, I need to be a part of that process\xe2\x80\x9d @MsLaToshaBrown. Sooooo perfectly said! Watch this whole thing! https://t.co/pgCNyko9gp'"
1545823181918937094,2022-07-09 17:32:21+00:00,b'That\xe2\x80\x99s a wrap on #Unprisoned. Coming soon to @hulu once I take a very long nap\xf0\x9f\x98\x82 \xf0\x9f\x92\xa4 https://t.co/rz8Bx5KWM4'
1545822980508471296,2022-07-09 17:31:33+00:00,"b'RT @petechatmon: #themarathoncontinues \xf0\x9f\x8f\x81 All things are circular, IF YOU STAY ON THE PATH. @kerrywashington was in my #nyu thesis film \xe2\x80\x9c3D\xe2\x80\x9d\xe2\x80\xa6'"
1545531516754825216,2022-07-08 22:13:22+00:00,"b'RT @TheRevAl: In Chicago with #CherelleGriner (wife of basketball star #BrittneyGriner), \xe2\x81\xa6@WNBA\xe2\x81\xa9 players, and \xe2\x81\xa6@TheWNBPA\xe2\x81\xa9 Executives ahead\xe2\x80\xa6'"
1545478910653128704,2022-07-08 18:44:20+00:00,"b'Today is the last day of filming #UnPrisoned!!!!! Sooooooooo proud and grateful to the brilliant cast, writers, directors, crew, EVERYONE. Cannot wait for you all to see this labor of love! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f @OnyxCollective @hulu'"
1545478751890415616,2022-07-08 18:43:42+00:00,b'Thank you @POTUS \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe https://t.co/eoQgxSI79s'
1545478660190310400,2022-07-08 18:43:20+00:00,b'Me when Malcolm X comes on\xe2\x80\xa6 https://t.co/oALuWMDfG5 https://t.co/Q6naQE5fcs'
1545442554363142144,2022-07-08 16:19:52+00:00,"b'RT @atrupar: Biden: ""We need 2 additional pro-choice senators &amp; a pro-choice House to codify Roe as federal law. Your vote can make that a\xe2\x80\xa6'"
1545156073203544064,2022-07-07 21:21:30+00:00,b'Another daily reminder.. https://t.co/618BupPrNv'
1545156023891021824,2022-07-07 21:21:18+00:00,"b""RT @shadowandact: The first footage from Hulu's 'Reasonable Doubt,' produced by @KerryWashington and starring @Emayatzy and @MichaelEaly, h\xe2\x80\xa6"""
1544744700724228096,2022-07-06 18:06:51+00:00,b'\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xe2\x9d\xa4\xef\xb8\x8f #SayHisName #PhilandoCastile https://t.co/rmhq4vF7Ws'
1544744545425887232,2022-07-06 18:06:14+00:00,b'RT @FLRising: #AbortionIsEssential https://t.co/8dfEmIAV8e'
1544744465696378880,2022-07-06 18:05:55+00:00,b'THIS IS MAJOR! And soooo inspiring. YES MICHIGAN!!!!! https://t.co/H3c6D4kzEB'
1544381400144523264,2022-07-05 18:03:13+00:00,b'The cycle continues. It\xe2\x80\x99s going to continue until we see real CHANGE and ACTION for stricter gun laws. https://t.co/jwmg81eAEi'
1544380965627129857,2022-07-05 18:01:30+00:00,"b'RT @BerniceKing: How did police manage to not shoot a White man who sought, shot, and killed 10 Black people in a grocery store with an ass\xe2\x80\xa6'"
1544008518834851840,2022-07-04 17:21:31+00:00,b'#4thofjuly2022. The day that the United States will have been an independent nation for as long as slavery lasted in its soil. https://t.co/woxKLDS7KF'
1543362096703844352,2022-07-02 22:32:52+00:00,b'Take it from us\xe2\x80\xa6There\xe2\x80\x99s so many reasons to LOVE #ReasonableDoubtHulu. \nFollow @ReasonableHulu &amp; @onyxcollective and tune in to the series premiere on 9.27 only on @hulu. https://t.co/e4OOHdyWj5'
1543353901189017600,2022-07-02 22:00:18+00:00,"b""RT @ReasonableHulu: Executive Producer and Director Kerry Washington gives us a first look at 'Reasonable Doubt,' premiering September 27,\xe2\x80\xa6"""
1543353887943319552,2022-07-02 22:00:15+00:00,"b""RT @ReasonableHulu: Meet Jax. \n\nFrom Executive Producers @kerrywashington &amp; @larrywilmore, 'Reasonable Doubt' premieres Tuesday, September\xe2\x80\xa6"""
1543352106223935489,2022-07-02 21:53:10+00:00,"b""RT @Emayatzy: Here comes Jax. \n\nFrom Executive Producers @kerrywashington &amp; @larrywilmore, 'Reasonable Doubt' premieres Tuesday, September\xe2\x80\xa6"""
1542974231142510592,2022-07-01 20:51:38+00:00,b'Dear Lord. Justice for #JaylandWalker'
1542974170652258304,2022-07-01 20:51:24+00:00,"b'RT @AOC: We are witnessing a judicial coup in process.\n\nIf the President and Congress do not restrain the Court now, the Court is signaling\xe2\x80\xa6'"
1542941778503802880,2022-07-01 18:42:41+00:00,"b'Abortion should be safe, legal, and accessible for everyone. Don\xe2\x80\x99t give up hope. We must stay in the fight until we achieve reproductive justice for ALL. Check out these resources for those in need of assistance now and for ways you can support. #ThisIsPersonal #BansOffOurBodies https://t.co/FLejphwiyE'"
1542568718575599616,2022-06-30 18:00:16+00:00,b'Donate to the @ACLU https://t.co/tGGPFBGA4f'
1542552632421535744,2022-06-30 16:56:21+00:00,b'The world needs to be talking about #BrittneyGriner. Action NEEDS to be taken.'
1542551864549355520,2022-06-30 16:53:18+00:00,b'The news we needed this week. Grateful for you #KetanjiBrownJackson!!!!!! https://t.co/Zw6ubL64H0'
1542222081537892352,2022-06-29 19:02:51+00:00,b'Ahhhhh!!!! #TheProphecyxAudible trailer is finally here! And this cast?!?!?! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5!!! Get ready to be hooked! I can\xe2\x80\x99t wait for you all to listen. Coming to @audible_com July 28th!\n\nhttps://t.co/rAmBRY5fPW'
1542200811807047680,2022-06-29 17:38:20+00:00,"b'RT @nytimes: Cassidy Hutchinson, a former aide to Donald Trump\xe2\x80\x99s final chief of staff, detailed what she witnessed on the day of the Capito\xe2\x80\xa6'"
1541921805949997056,2022-06-28 23:09:40+00:00,b'I hear you and I see you fighting. I\xe2\x80\x99m right there with you. Always. #BansOffOurBodies'
1541921804444266497,2022-06-28 23:09:40+00:00,"b'I\xe2\x80\x99ve seen a lot of you talking about #Confirmation and feeling inspired to take action on behalf of Anita Hill and all women who believe in equity, equality and choice. That conversation and action was part of my dream for this film back in 2016 and it still remains true today. https://t.co/E5bfNw2zIQ'"
1541471421385154560,2022-06-27 17:20:00+00:00,b'Please please please know that there ARE things state officials can do to protect women. We need to elect those leaders into office. Are you registered to vote? Are your friends registered to vote?'
1541470480086945798,2022-06-27 17:16:16+00:00,b'That part. https://t.co/TlXbnWSW1N'
1541470428287275008,2022-06-27 17:16:03+00:00,b'RT @ACLU: YOUR REASON FOR SEEKING AN ABORTION IS THE RIGHT REASON.\n\nWhatever the reason is.'
1541274602327777281,2022-06-27 04:17:55+00:00,"b'RT @AOC: Let\xe2\x80\x99s be real: there\xe2\x80\x99s a WHOLE lot of men whose lives, careers, and families have benefited from an abortion (including several \xe2\x80\x9cp\xe2\x80\xa6'"
1541274561865428992,2022-06-27 04:17:45+00:00,b'Thread\xf0\x9f\x91\x87\xf0\x9f\x8f\xbe https://t.co/hfA3UY5IXM'
