twitter_id,date,tweet
1546553946939998208,2022-07-11 17:56:09+00:00,"b""Comment \xc3\xa7a t'as toujours pas vu? omg. Ne perds plus de temps malheureux\nhttps://t.co/4XoxP2PzUe"""
1546553766597599232,2022-07-11 17:55:26+00:00,b'Quand je lis vos commentaires sur ma derni\xc3\xa8re vid\xc3\xa9o https://t.co/zu5hhQL1J1'
1546447875508412417,2022-07-11 10:54:39+00:00,b'La place du milieu dans l\xe2\x80\x99avion : https://t.co/eZw3jYovuO'
1546402667605491714,2022-07-11 07:55:01+00:00,"b""RT @voici: Kev Adams : l'adorable surprise qu'il a organis\xc3\xa9e pour les 80 ans de sa mamie Claudine https://t.co/1kQ75uPN0N https://t.co/oRlt\xe2\x80\xa6"""
1546199938480148480,2022-07-10 18:29:26+00:00,b'\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0 https://t.co/Gk6IeQcgrD'
1546157860584841216,2022-07-10 15:42:14+00:00,"b'surprise \xc3\xa0 ma mamie pour ses 80 ans, allez regarder \xc3\xa7a pour votre dose de mignonnerie de la journ\xc3\xa9e \xf0\x9f\xa5\xb0 https://t.co/rT2SgqO9re'"
1546116831215337472,2022-07-10 12:59:12+00:00,b'\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x91\x80\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8'
1546108050599284737,2022-07-10 12:24:19+00:00,b'@Margauxx24 Merciii'
1546089333446393856,2022-07-10 11:09:56+00:00,"b""@severinelove30 C'est Mamie Claudine et Enrico les vrais h\xc3\xa9ros! Ils m\xc3\xa9ritent une s\xc3\xa9rie netflix \xf0\x9f\xa4\xa3"""
1546089131444412416,2022-07-10 11:09:08+00:00,b'@Juu_GomHaul \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0'
1546087924868972545,2022-07-10 11:04:20+00:00,"b""@CallmeLysa je suis s\xc3\xa9rieux depuis que j'ai 30 ans \xf0\x9f\xa4\xa3"""
1546072120781930496,2022-07-10 10:01:32+00:00,"b""Pile \xc3\xa0 l'heure! Nouvelle vid\xc3\xa9o sur ma chaine YouTube! Un feat avec Enrico Macias, une annonce de dingue, va donc checkez \xc3\xa7a!\nhttps://t.co/y7yyhtj7VS"""
1545801857121095683,2022-07-09 16:07:37+00:00,b'@Diablobros Mets un rappel \xf0\x9f\x98\x87'
1545801784253468674,2022-07-09 16:07:19+00:00,b'@Russopobo \xc3\x87a serait bien de les retrouver pour une vid\xc3\xa9o \xf0\x9f\xa5\xb0'
