twitter_id,date,tweet
1342168351649517568,2020-12-24 18:00:45+00:00,b'1-800 XMAS   https://t.co/jDf7hPRgxm'
1209516046169919488,2019-12-24 16:47:51+00:00,b'KTWK https://t.co/O0qly7mOtl'
1077263549326651392,2018-12-24 18:03:39+00:00,b'Let Me Be Frank https://t.co/OzVGsX6Xbz'
924848412842971136,2017-10-30 04:00:19+00:00,b'https://t.co/X6ybi5atr5'
915237526369132546,2017-10-03 15:30:05+00:00,"b'From one Pres to another, you inspire our nation both on TV &amp; in life. Love to you @OfficialJLD from your seat mate #EmmyDad #BeatCancer https://t.co/kH7MF5MLfE'"
911228836813078528,2017-09-22 14:00:59+00:00,b'My favorite selfie from the Emmys: Look at these legends behind me. No way to feel like a loser with this Triple Crown! https://t.co/P8DBdIFpEY'
908366029256093696,2017-09-14 16:25:12+00:00,b'J. Paul Getty had a fortune. Everyone else paid the price. #AllTheMoney In the World in theaters this December https://t.co/VgxqMeEtSb'
906200518711758850,2017-09-08 17:00:14+00:00,"b'Witness the events that shaped the writings of J.D. Salinger in my new\nmovie #RebelintheRye, opening TODAY https://t.co/bPaYCo3EDv'"
905785736296886273,2017-09-07 13:32:02+00:00,"b""Nobody's purrrrrrfect! https://t.co/3AtV6CdeRP"""
905757474581602304,2017-09-07 11:39:44+00:00,b'Edison https://t.co/2CY8FRS6dG'
898232565093601282,2017-08-17 17:18:26+00:00,b'The @dicapriofdn Gala Online Art Auction is now open...Learn more about the #2017LDFAuction https://t.co/IbqpHKNfmL'
892530752042283009,2017-08-01 23:41:28+00:00,b'Proud to have been a part of this exciting new thriller...tune into Manhunt: Unabomber tonight https://t.co/0Uu9VmlovB'
887731790437392384,2017-07-19 17:52:06+00:00,b'Watch the first 6 minutes of a movie \xe2\x80\x9cthat will knock the wind out of you.\xe2\x80\x9d See it here NOW! #BabyDriverMovie https://t.co/KLXD6BMO57'
885878555430858752,2017-07-14 15:08:01+00:00,"b'FU: I don\xe2\x80\x99t care much for awards (if I did, I\xe2\x80\x99d have won them all by now) but I sure hope they get it right this year with Claire &amp; Stamper'"
885526460827664384,2017-07-13 15:48:55+00:00,"b'If at first you don\xe2\x80\x99t succeed, try try try try try try try try try try again! #Emmys2017 #HOC https://t.co/NkABF5qRTb'"
882259093796290563,2017-07-04 15:25:34+00:00,b'Happy 4th! Drive safely if you are racing to see Baby Driver today! https://t.co/l4BVoUM5rH'
880526681735282688,2017-06-29 20:41:34+00:00,b'Giving our fans a good first impression\xe2\x80\xa6.. Don\xe2\x80\x99t miss #BabyDriver in theaters now! https://t.co/ZgzE31XdOC'
