twitter_id,date,tweet
1546592919460519936,2022-07-11 20:31:00+00:00,"b'RT @wedusport: #THEMOVE is moving UP, UP, UP. &amp; we\xe2\x80\x99re just getting started. \n#forwardneverstraight #vamos #LFG \n@lancearmstrong @ghincapie\xe2\x80\xa6'"
1546502925496684544,2022-07-11 14:33:24+00:00,"b""Single biggest mistake the @NFL could ever make. Run, don't walk, the other way. https://t.co/i6gcJxjrsd"""
1545962561392168961,2022-07-10 02:46:11+00:00,"b'2. Yes @  times I say ""something particularly outlandish"" however, like it or not, we love the sport, know what we\'re talking about, and depending who you ask, have won many of these races multiple times. https://t.co/pDEMqaFX7s'"
1545962468517720064,2022-07-10 02:45:49+00:00,b'2 points of clarification - \n\n1. We broadcast across many platforms (as do most pods). Our downloads range  from 250-350K / day in total.  Thanks immensely to our incredible audience for the support. Straight up. https://t.co/pDEMqaFX7s'
1545805942037458945,2022-07-09 16:23:50+00:00,"b'C\xe2\x80\x99mon in, the water\xe2\x80\x99s fine. https://t.co/czNBB8RJS5'"
1545805702857314304,2022-07-09 16:22:53+00:00,b'RT @wedusport: Off to the studio we go! #THEMOVE @ghincapie @lancearmstrong @JohanBruyneel @jbhager https://t.co/UUlFnSO3kK'
1545546226799624192,2022-07-08 23:11:49+00:00,b'Good news! It ain\xe2\x80\x99t over \xe2\x80\x98til it\xe2\x80\x99s over. https://t.co/QZfsHM7brT'
1545497593119027200,2022-07-08 19:58:34+00:00,"b'RT @petermcarey: @jbhager @lancearmstrong @ghincapie loving the Move, as always! I have to say, I miss \xe2\x80\x9cBoulder Dude\xe2\x80\x9d! Can we get a rerun o\xe2\x80\xa6'"
1545497293540864000,2022-07-08 19:57:23+00:00,b'Wait for @LeTourFemmes avec @GoZwift ! Excited! https://t.co/ZoqKzLGuNl'
1545396409658064896,2022-07-08 13:16:30+00:00,b'@kendallbaker absofuckinglutely'
1545083472984715264,2022-07-07 16:33:00+00:00,b'RT @wedusport: THEMOVE Stage 6 Recap: LIVE now!\n\nhttps://t.co/uwTlv8R6YG https://t.co/hQ2nNEB9bJ'
1544806602963750912,2022-07-06 22:12:49+00:00,"b""Hey @JohanBruyneel, i reckon he'd be on the first plane out?? But then again, we're talking about JV. https://t.co/sz5VSdEdmC"""
1544724596284395520,2022-07-06 16:46:58+00:00,b'@ghincapie says \xe2\x80\x9cNobody\xe2\x80\x99s safe!\xe2\x80\x9d https://t.co/c8XrKprkq2'
1544474899061673984,2022-07-06 00:14:45+00:00,b'Like it were yesterday\xe2\x80\xa6 https://t.co/vUfZlJ9Rse'
1544406565930688513,2022-07-05 19:43:13+00:00,b'@WoutvanAert \xf0\x9f\xa4\xaf\xf0\x9f\xa4\xaf\xf0\x9f\xa4\xaf Hear my take \xf0\x9f\x91\x87\xf0\x9f\x8f\xbc\n#tdf2022 #THEMOVE @wedusport @ghincapie @jbhager @JohanBruyneel \n\nhttps://t.co/XrJweDf4N3 https://t.co/HH6ka3fE1J'
1543756208796012544,2022-07-04 00:38:56+00:00,b'Record THEMOVE | Stage 3 Recap\nhttps://t.co/VOAdKDvCwG\nRide with @ghincapie \nRepeat \xf0\x9f\x94\x81 https://t.co/lyp7GPZ7NQ'
1543284881517449219,2022-07-02 17:26:03+00:00,b'RT @wedusport: Amazing to watch @FabioJakobsen win stage 2\n\nOn our way to record #THEMOVE now\n\n#TDF2022\n\n@lancearmstrong @ghincapie @jbhage\xe2\x80\xa6'
1543009873096593408,2022-07-01 23:13:16+00:00,b'Le Tour Stage 1 \xe2\x9c\x85 THEMOVE Recap \xf0\x9f\x91\x87\xf0\x9f\x8f\xbc\n\nhttps://t.co/XOOdlZ76K6 \n@wedusport @ghincapie @JohanBruyneel @jbhager https://t.co/qK5XtdntqB'
1542701516846288896,2022-07-01 02:47:58+00:00,"b'The Boys are back in town! THEMOVE\n#TDF2022 Preview Show Available NOW! No longer \xe2\x80\x98just here to play the bass\xe2\x80\x99\xe2\x80\xa6 I sing &amp; dance, too. @wedusport @ghincapie @jbhager @JohanBruyneel \n\nhttps://t.co/ANmqhMmHEb https://t.co/CohaxGSwaN'"
1542603458674446336,2022-06-30 20:18:19+00:00,b'@justinemusk Heavy'
1541948950239928322,2022-06-29 00:57:32+00:00,b'@JohanBruyneel Who\xe2\x80\x99s Vaughters?'
1541873593839194115,2022-06-28 19:58:06+00:00,b'#O\xc5\xaaTCOMES x #TDF2022=All #TheAction. Join \xc5\xaaS\xe2\x80\xa6 https://t.co/1xSM64Bx7G'
1541415186220781568,2022-06-27 13:36:33+00:00,b'+ 1 https://t.co/wexjwFbIHI'
1541252920389144577,2022-06-27 02:51:45+00:00,b'AVS!!!!!!'
1541173694931812353,2022-06-26 21:36:57+00:00,b'Dumb and dumber https://t.co/1rDQSeIdjM'
1540449905101127681,2022-06-24 21:40:52+00:00,b'RT @wedusport: We\xe2\x80\x99re back\n\nT-7 till #TDF22\n\nBuckle up'
1540154268526583808,2022-06-24 02:06:06+00:00,"b""@rwgrover @RichardCarapazM yeah, why not? same results as the Pro Tour (pack fill) and @Vaughters could cut his budget by 90%. If i'm @EF, i take this deal."""
1540152893377941504,2022-06-24 02:00:39+00:00,"b""I heard @AthleticBrewing, @HoneyStinger, and @BienaSnacks stepped up big. Hook 'em! https://t.co/sCnrioxhAK"""
1540151379133468672,2022-06-24 01:54:38+00:00,"b'RT @battycakes: Last week, two days after they picked it up to a @buttsonbikes \xe2\x80\x9csurprise, it\xe2\x80\x99s free!\xe2\x80\x9d, Joe was murdered and Isabel\xe2\x80\x99s brand\xe2\x80\xa6'"
1540151314994196482,2022-06-24 01:54:22+00:00,"b'RT @battycakes: Y\xe2\x80\x99all, I\xe2\x80\x99m struggling on so many levels right now that it\xe2\x80\x99s not even funny. Real talk \xe2\x80\x94 life is piling the shit deep and wi\xe2\x80\xa6'"
1539778693115121664,2022-06-23 01:13:42+00:00,"b'Meet Glenn Frommer. Glenn is riding 5300mi across the US to raise awareness &amp; critically-needed research funds for Polycystic Kidney Disease from which he &amp; 600k+ Americans suffer. Visit https://t.co/5X5r0zDGiB to learn more, donate or ride w him. Cheerin\xe2\x80\x99 \xc5\xab on, Glenn! https://t.co/tDs3A36ifG'"
1539043346332540929,2022-06-21 00:31:42+00:00,"b'New Epsiode of THEMOVE: Dauphin\xc3\xa9 | Tour de Suisse Recap + a little TDF talk. \nPreview Below, Full Episode \xf0\x9f\x91\x89\xf0\x9f\x8f\xbb https://t.co/Id2SvnsSyR\n@wedusport @JohanBruyneel @jbhager https://t.co/e4u9HxdIjf'"
1538714161596600321,2022-06-20 02:43:38+00:00,"b'I love Texas. I mean, I really love Texas. But this is seriously fucked up. Ass backwards. https://t.co/cUqMbxvYfE'"
1538670417430228997,2022-06-19 23:49:49+00:00,"b""Massive mistake on @RichardCarapazM's part. He should run, not walk, the other way. https://t.co/mWmFLovWNH"""
1536756532687147010,2022-06-14 17:04:43+00:00,"b""Beyond proud of my teammate @julian_eison for getting into such a prestigious program, and frankly, not surprised. J, you're the man!! https://t.co/64CVnJxkTW"""
1536183281930186752,2022-06-13 03:06:49+00:00,b'@AntoineDeses @SportsOrla @rvandulken She\xe2\x80\x99s too big time for us'
1536092985791696897,2022-06-12 21:08:01+00:00,b'@SportsOrla @rvandulken She needs some Orla socks'
1535022716155138048,2022-06-09 22:15:09+00:00,"b'@AnaCabrera Wait, remind me why anyone in this country needs an assault rifle? Stop the madness.'"
