twitter_id,date,tweet
1545526778344636418,2022-07-08 21:54:33+00:00,"b'RT @jermainedupri: Somebody just told me this went \xf0\x9f\x93\x80 \xf0\x9f\xa4\xaf I was on the Fresh Fest we I first met @llcoolj I was 12 years old, if you would\xe2\x80\x99ve\xe2\x80\xa6'"
1544997900308054016,2022-07-07 10:52:58+00:00,b'The Trill Mealz Food Court lineup hosted by Bun B at Rock The Bells Fest... https://t.co/wGXTBpczcZ via @YouTube'
1544451278469840898,2022-07-05 22:40:53+00:00,b'Good read\xe2\x80\xa6 https://t.co/SPhkAyrssN https://t.co/t5gqNBo3Dh'
1541676138644111360,2022-06-28 06:53:29+00:00,b'Big Surprises in store for you at The #RockTheBellsFestival https://t.co/NU5KKcWMQv'
1541539115132502017,2022-06-27 21:49:00+00:00,"b's/o to @rockthebells and @jayshells for putting these Rap Quotes signs around NYC to celebrate Black Music Month.\xc2\xa0\n\xc2\xa0\nCan\xe2\x80\x99t wait to hit the stage at Rock The Bells Festival on Aug 6th in Queens, NY. Cop your tickets at\xc2\xa0https://t.co/C2pgZV6woX\xc2\xa0and see y\xe2\x80\x99all there! #RTBFestival https://t.co/G99miyIIav'"
1541489283625676801,2022-06-27 18:30:59+00:00,b'RT @UncleLouie: #RockTheBells @llcoolj @SIRIUSXM \xf0\x9f\x94\xa5 https://t.co/l3UUpeNNzl'
1540463397908750339,2022-06-24 22:34:29+00:00,b'Who will win? Find out tonight on the grand finale of Come Dance With Me on @CBSTVStudios at 8/7c. \xe2\x9c\x8a\xf0\x9f\x8f\xbe #CDWM https://t.co/OjScZym26J'
1539059310797398022,2022-06-21 01:35:08+00:00,b'RT @uhhmuseum: Shoutout to @therealcalebmclaughlin for the fresh re-enactment of LL Cool J\xe2\x80\x99s 1987 hit song \xe2\x80\x9cI\xe2\x80\x99m Bad\xe2\x80\x9d. Who\xe2\x80\x99s ready to do the\xe2\x80\xa6'
1538865914023751680,2022-06-20 12:46:39+00:00,b'RT @rosannascotto: Coming up at 9 @llcoolj @RockTheBells \xe2\x80\xa6plus @SheilaEdrummer and..#mushrooms @FreshCapMshrms @freshcaptony #gdny'
1538586051899535370,2022-06-19 18:14:34+00:00,b'Happy Juneteenth. \xe2\x9c\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbe\xf0\x9f\x91\x91'
1538575317996011524,2022-06-19 17:31:55+00:00,b'Happy Father\xe2\x80\x99s Day fellas. Stay strong. Achieve your goal!'
1538111341248098305,2022-06-18 10:48:15+00:00,b'RT @djmistercee: Thank You To LL Cool J @llcoolj &amp; The Entire Rock The Bells Staff @rockthebells For Hooking Me Up Wit Some Of That \xe2\x80\x9cDrip C\xe2\x80\xa6'
1537877431754760193,2022-06-17 19:18:46+00:00,b'Down to our final four \xe2\x9c\x8a\xf0\x9f\x8f\xbe You don\xe2\x80\x99t want to miss the all new #CDWM episode tonight at 8/7c on @cbstv. https://t.co/4hMORzuPVj'
1537875246669148160,2022-06-17 19:10:05+00:00,b'Buy your tickets to the @iHeartRadio Music Festival right now at\xc2\xa0https://t.co/byUhst5D0T! See you all there in September! #iHeartFestival https://t.co/o8yBRKwjNO'
1537159220692455424,2022-06-15 19:44:51+00:00,b'RT @bishop_beve: Damn that\xe2\x80\x99s wild you don\xe2\x80\x99t see many movies with black hero\xe2\x80\x99s well @llcoolj survived in deep blue sea \xf0\x9f\x8c\x8a he actually killed\xe2\x80\xa6'
1536863940390449152,2022-06-15 00:11:31+00:00,"b'I\xe2\x80\x99m celebrating the 35th\xc2\xa0anniversary of \xe2\x80\x98Bigger and Deffer\xe2\x80\x99 on The Pop-Up mode on @pandoramusic\xe2\x80\x99s  Hip Hop Forever. Listen as I go behind-the-scenes of the album, as well as discuss some of my favorite tracks. Listen now:   \nhttps://t.co/IwpsgsSPdp \n#PandoraMusic https://t.co/jOA8zSFiMG'"
1536824421050028032,2022-06-14 21:34:29+00:00,"b""RT @pandoramusic: We're celebrating 35 years of @llcoolj's 'Bigger and Deffer' with The Pop-Up mode on Hip Hop Forever. Listen as his break\xe2\x80\xa6"""
1536515051481231361,2022-06-14 01:05:09+00:00,b'Inspiring \xe2\x9c\x8a\xf0\x9f\x8f\xbe Coming Home: South Africa premieres TONIGHT. Hosted by my friend @djEFN and his crew. Tune in to this eye opening docuseries on @revolttv at 10pm EST. @RockTheBells https://t.co/FJqYTU87cL'
1536045116749516800,2022-06-12 17:57:48+00:00,b'\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbe\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\xaf\xf0\x9f\x8d\xbe https://t.co/C5hC80fheO'
1535364252319354882,2022-06-10 20:52:18+00:00,b'Reaching new heights tonight on #CDWM! Make sure to tune in to @CBS at 8/7c for some family fun! https://t.co/975UdP2WW5'
1534308280335339520,2022-06-07 22:56:14+00:00,b'RT @ztrip: Catch me and @llcoolj in Vegas for the @iHeartRadio Music Festival!!\n\nMore info: https://t.co/Cm9ZbvT416 https://t.co/p9lq79hdqf'
