twitter_id,date,tweet
1546547489779511297,2022-07-11 17:30:29+00:00,b'\xf0\x9f\x98\x8d https://t.co/MYgSncG3fj'
1546513954448363521,2022-07-11 15:17:14+00:00,b'https://t.co/4WV8n0DNkE https://t.co/zTsZRNTxkP'
1546513820851380224,2022-07-11 15:16:42+00:00,b'Feels like yesterday. Gotta always strive to do our best. The journey continues\xe2\x80\xa6stay tuned.\n\n#Milestone #Mrityudand #SilverJubilee #25Years #Monday #MondayMotivation https://t.co/M89ytCaqUP'
1546004238685184005,2022-07-10 05:31:48+00:00,b'#EidMubarak https://t.co/bfPqDH8p97'
1545983260181663744,2022-07-10 04:08:26+00:00,"b""RT @Danceis90915790: It's gonna be #20YearsOfDevdas, 1 of my favorite films of our dearest @MadhuriDixit \nCelebration mood on &amp; here's the\xe2\x80\xa6"""
1545414375585984512,2022-07-08 14:27:54+00:00,b'Sore Throat: Dr. Nene gotcha covered.\n\nhttps://t.co/sFCUA75sy2 https://t.co/9JjsxqkS9B'
1543573558839767041,2022-07-03 12:33:09+00:00,b'The little joys of life \xe2\x9d\xa4\xef\xb8\x8f\n\n#Sunday #SundayMood #Boomerang https://t.co/u3quTvHhhF'
1542841188918517760,2022-07-01 12:02:58+00:00,b'Constipation can be a pain in the butt. Join Dr. Nene to work it out. \n\nhttps://t.co/p3GPh8mviB https://t.co/Vxwe6va3kt'
1542123654959403008,2022-06-29 12:31:45+00:00,b'#TuHaiMera \xf0\x9f\x98\x8d Can\xe2\x80\x99t believe mango season is nearly done. Agle saal ka  intezar rahega \xf0\x9f\xa5\xb9\n\n#Mango #MangoSeason #Aam #Wednesday #WednesdayVibe https://t.co/mYd4Qg5z6o'
1541408201903509505,2022-06-27 13:08:47+00:00,"b'Happy Birthday, Aai! They say a mother is a daughter\xe2\x80\x99s bestfriend. They couldn\xe2\x80\x99t be any more right. From everything that you\xe2\x80\x99ve done for me, the lessons that you\xe2\x80\x99ve taught have been the biggest gift for me from you. I wish you only good health &amp; happiness! \xe2\x9d\xa4\xef\xb8\x8f\n\n#Birthday https://t.co/1hWcdPCOAc'"
1540353769619218434,2022-06-24 15:18:51+00:00,b'Join Dr. Nene on his channel and get to know the answers of some of the most requested questions!\n\nhttps://t.co/5vLmwICKu0 https://t.co/TGnacawVgF'
1538400894231846912,2022-06-19 05:58:49+00:00,"b'A father is a tough shield that protects his kids. Come what may, he will go great lengths to protect them, but also teach them the lessons that nobody else can. Happy Father\xe2\x80\x99s Day to the world\xe2\x80\x99s best dad! Our boys are growing into the young gentlemen we always envisioned \xe2\x9d\xa4\xef\xb8\x8f https://t.co/Ft8c4McBxS'"
1537806679278075909,2022-06-17 14:37:38+00:00,b'Join Dr. Nene to learn how to lose weight &amp; track it! \n\nhttps://t.co/QG74YKR5Ed https://t.co/2FThkH41OU'
1535929236816400384,2022-06-12 10:17:20+00:00,b'It\xe2\x80\x99s a denim day. Denim or Dayuumm \xf0\x9f\x98\x8d\n\n#Sunday #SundayMood #Denim #DenimOnDenim https://t.co/3LD7vI0AEu'
1534750818544623616,2022-06-09 04:14:44+00:00,b'\xf0\x9f\x99\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/0IvJs7Uvwo'
1534164267204857857,2022-06-07 13:23:59+00:00,b'Comfort over everything else! \n\n#Tuesday #TuesdayVibes https://t.co/krMO5Ct0La'
1532749857714106368,2022-06-03 15:43:37+00:00,b'Ankle Sprain is a dancer\xe2\x80\x99s worse nightmare. Join @DoctorNene to get better fast.\n\nhttps://t.co/M8ApVc2HiF https://t.co/vSw69ksJjR'
1531982687912636417,2022-06-01 12:55:10+00:00,b'\xf0\x9f\x92\x99\n\n#Saree #SareeLove #White #Wednesday #WednesdayVibe https://t.co/Blo3D0bRkV'
1530544693972328448,2022-05-28 13:41:05+00:00,"b'Burn Out, Here\xe2\x80\x99s Why\xe2\x80\xa6\n\nhttps://t.co/E48wPyGyqD https://t.co/OYFJlqhdAC'"
1530178722870874113,2022-05-27 13:26:51+00:00,b'Simplicity and elegance.. is a white Saree \xf0\x9f\xa4\x8d\n\n#Saree #SareeLove #White #Friday #FridayFeels https://t.co/zjo9eekgI0'
1530080131473059840,2022-05-27 06:55:05+00:00,b'#BhamlaFoundation #OnlyOneEarth #WorldEnvironmentDay'
1530080088410050561,2022-05-27 06:54:55+00:00,"b'There is #OnlyOneEarth and each of us has the power to spark the change needed for people and the planet.\n\nThe @bhamlafoundatio is pioneering its annual #WorldEnvironmentDay, Join the push to protect and restore our common home.\n\n@asifbhamlaa @unep @moefcc\n @UNinIndia https://t.co/c5pz0o9Yt8'"
1529718972622336000,2022-05-26 06:59:58+00:00,b'About last night \xf0\x9f\x92\x83\xf0\x9f\x8f\xbc\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9c\xa8\n\n#LookBook #ThursdayThoughts #Party https://t.co/cebKvngYDn'
1529380320659009536,2022-05-25 08:34:17+00:00,b'Ryan wanted to share this with everyone. So proud of him and the team. Have to encourage everyone to support those in need. https://t.co/TeJddP3pzo'
1528800283312402432,2022-05-23 18:09:25+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f https://t.co/kbEtc7IwA7'
1528727418294259712,2022-05-23 13:19:53+00:00,b'\xf0\x9f\x99\x8f https://t.co/oryaIX2u2x'
1528712329646313472,2022-05-23 12:19:56+00:00,b'Thank you \xf0\x9f\x99\x8f https://t.co/t8CTyOFnon'
1528685112790949888,2022-05-23 10:31:47+00:00,b'\xf0\x9f\x99\x8f https://t.co/Jeb7mgrndW'
1528640714522759168,2022-05-23 07:35:21+00:00,b'\xf0\x9f\x99\x8f https://t.co/H8tsbcRCMM'
1528328780674367488,2022-05-22 10:55:50+00:00,b'Too fast \xf0\x9f\xa4\x97\xe2\x9d\xa4\xef\xb8\x8f https://t.co/lh04b8o3Om'
1528026914161430528,2022-05-21 14:56:20+00:00,b'Heart attack is a serious issue. Being aware &amp; having complete knowledge about the same is a must.\n\nCheck out everything about it here:\nhttps://t.co/Kj1gHGW3lx https://t.co/5urLtrfzPD'
1527976118447644672,2022-05-21 11:34:29+00:00,"b'How lovely \xf0\x9f\xa4\x97\xf0\x9f\xa5\xb0  Hey guys, let me know, who would you sing my song \xf0\x9f\x8e\xb6 TU HAI MERA for ? ( apart from me, of course \xf0\x9f\x98\x9c) #TuHaiMera https://t.co/mijzr9TCml'"
1527913028066242560,2022-05-21 07:23:47+00:00,b'How sweet \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa5\xb0 https://t.co/kBhcxwztN6'
1527544157727641601,2022-05-20 06:58:02+00:00,b'#RajveerDeol #AvnishBarjatya #SoorajBarjatya @poonamdhillon #AshokThakeria'
1527544116166262784,2022-05-20 06:57:52+00:00,b'My journey began with Rajshri Productions &amp; #PalomaThakeriaDhillon you\xe2\x80\x99re so so lucky that you are also starting your journey with them! It\xe2\x80\x99s going to very special and fun! Wishing you &amp; the whole team all the very best! Have an awesome journey! https://t.co/AOcumKdldr'
