twitter_id,date,tweet
1546289475902312448,2022-07-11 00:25:14+00:00,b'@irabrianmiller Congrats!'
1546258310503944193,2022-07-10 22:21:23+00:00,b'Have a great show @thiswildlife\n\nhttps://t.co/8X82s5lvjz'
1546231265191272448,2022-07-10 20:33:55+00:00,b'@blink182italia Wait was it really number one?'
1546166601929502722,2022-07-10 16:16:58+00:00,b'What\xe2\x80\x99s up now @hwinkler4real https://t.co/0ugiDZmS1X'
1544814292439945216,2022-07-06 22:43:23+00:00,b'Hi yes three tickets for minion rise of gru please. https://t.co/cfMueGGwoC'
1544428570176475136,2022-07-05 21:10:39+00:00,b'RT @fterschoolradio: New episode today with Apple TV+ Friday Night Baseball commentator @katienolan! Listen live for free at 4pm PT on Appl\xe2\x80\xa6'
1544053077157629952,2022-07-04 20:18:35+00:00,b'This is awesome. I\xe2\x80\x99ve had an OP-1 for more than a decade and have only been able to coax a very nasal and uninspiring \xe2\x80\x9cehhhhhhhhhhh\xe2\x80\x9d out of it. https://t.co/EfQ3EKtLwq'
1542917722857623552,2022-07-01 17:07:05+00:00,b'McDonald\xe2\x80\x99s should gaslight people into believing they used to serve eggplant parmesan and that\xe2\x80\x99s why Grimace exists.'
1542894491459170305,2022-07-01 15:34:47+00:00,b'Happy 182 Day!'
1542682131238817793,2022-07-01 01:30:56+00:00,b'@dundlewood @TragicAllyHere This is it!! Thank you.'
1542677241502371840,2022-07-01 01:11:30+00:00,b'@Ygrene I\xe2\x80\x99m traveling by air tomorrow if you want a shot at the champ.'
1542670351598903296,2022-07-01 00:44:07+00:00,b'@steveagee I am!'
1542615640195727360,2022-06-30 21:06:43+00:00,b'Those new electric FedEx trucks are so cool I want to wave at them like a kid waving at a fire engine.'
1541255960978526208,2022-06-27 03:03:50+00:00,"b'RT @StanleyCup: Turn the lights off, carry me home.'"
1541253062295072768,2022-06-27 02:52:19+00:00,b'Congratulations @Avalanche !!!!\n\nhttps://t.co/CJUx6SBM7x'
1539807259512885248,2022-06-23 03:07:13+00:00,b'Saw some cool cactuses today. Zoom in and check out all the different colors and textures. https://t.co/FucJmn5St6'
1539451892970835968,2022-06-22 03:35:07+00:00,"b'RT @thewonderyears: Album pre-order, new song and new video tomorrow at 12 pm EST. https://t.co/AH8Xu112xw'"
1538666451434872833,2022-06-19 23:34:03+00:00,b'@emonitela Dad asf'
1538660253092392961,2022-06-19 23:09:25+00:00,b'@jwPencilAndPad Three orange whips.'
1538632045122899968,2022-06-19 21:17:20+00:00,b'For Father\xe2\x80\x99s Day I FaceTimed my dad and broke down all our cardboard boxes and took them out to the recycling bin. Lone tear of joy ran down my father\xe2\x80\x99s face.'
1537905829906554881,2022-06-17 21:11:37+00:00,b'@blink182italia Lost my sippy cup at that show.'
