twitter_id,date,tweet
1545707399130013696,2022-07-09 09:52:16+00:00,"b'@GinoMcKee2 @jonathanshalit Can\xe2\x80\x99t believe 4 weeks later that is still running around rent free in your head haha. Stuck it away though didn\xe2\x80\x99t I \xf0\x9f\x98\x89 \nIf you ever want to learn how to take 1, come over and il show you the ropes.\n\np.s was told to take it\xe2\x80\xa6. Took it away from nobody \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb'"
1545677889600995328,2022-07-09 07:55:00+00:00,b'It\xe2\x80\x99s been a team effort @jonathanshalit https://t.co/8gPzuwrw5x'
1545019506082422784,2022-07-07 12:18:49+00:00,b'What a night this is going to be. Last tickets remaining to support a fantastic cause for a special angel. \n\nhttps://t.co/aMTjX01epW\n\n@JackTweed_ https://t.co/jMhMNIqLCm'
1541553236066304000,2022-06-27 22:45:06+00:00,b'RT @extratv: Tonight on #ExtraTV: @JKCorden is with @MarkWright_ dishing on bringing the show back to London! \xf0\x9f\x87\xac\xf0\x9f\x87\xa7 https://t.co/KbRf7koUk2'
1538868396535779328,2022-06-20 12:56:31+00:00,b'@socceraid Not everyday you make Peta Cech kick his helmet in anger!!'
1537451652571185154,2022-06-16 15:06:53+00:00,b'@thedavidseaman Have a good one guys \xf0\x9f\x92\x99'
1532079314128277505,2022-06-01 19:19:07+00:00,b'RT @LawCrimeNetwork: WATCH LIVE: #VerdictWatch #JohnnyDepp v #Amber Heard Defamation Trial. #DeppVsHeard https://t.co/KJsnwffwrM'
1528431072844959745,2022-05-22 17:42:19+00:00,b'One of my favourite things ever as a kid in the holidays was a soccer school!! Everything about it!! This week my boy @Charliedinburgh is doing one in Buckhurst Hill essex!! If your kids aren\xe2\x80\x99t booked on a soccer school already get them on this. Will be great!! @_JEFootballAcad'
1528284056793792513,2022-05-22 07:58:07+00:00,b'RT @socceraid: Ready @MarkWright_? You have Teddy Sheringham to beat! \xe2\x9a\xbd\xef\xb8\x8f\n\n#SoccerAid for @UNICEF_uk Keepy-Uppy Quiz. https://t.co/RgfL2iqzzu'
1528028586837430273,2022-05-21 15:02:59+00:00,"b""RT @thisisheart: What a sunshine filled week we've had with @JamieTheakston, @AmandaHolden, as @MarkWright_  visits amazing @TUIUK destinat\xe2\x80\xa6"""
1526634120482377728,2022-05-17 18:41:52+00:00,b'Come and join us for a fantastic night for a fantastic cause!! \n\n@mickysteele1 \n\nhttps://t.co/oLrtYDUbUA'
1522482938209837056,2022-05-06 07:46:33+00:00,"b""RT @socceraid: Who's ready to see @MarkWright_ back in an England shirt at Soccer Aid? \xf0\x9f\x99\x8b\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f  \n\n\xf0\x9f\x93\x86 12 June\n\xf0\x9f\x8f\x9f\xef\xb8\x8f @LondonStadium\n\xf0\x9f\x8e\x9f\xef\xb8\x8f https://t.co\xe2\x80\xa6"""
1520519712458915841,2022-04-30 21:45:23+00:00,b'@chris_kammy Kammy\xe2\x80\xa6. Thanks for the memories!! Saturday afternoons will never be the same!! #legend #friend'
1519805457388511235,2022-04-28 22:27:12+00:00,b'@benwinston Both smashed it to levels that nobody has done!! Congratulations to both of you very talents humans!!'
1518932968655536132,2022-04-26 12:40:14+00:00,b'Looking forward to this!! Love a brunch!! Tickets here https://t.co/qYOu9ddmHV https://t.co/9Mb4ikj1oM'
1517896091538280448,2022-04-23 16:00:04+00:00,b'RT @NelsonTommylee: Getting ready to go out and watch the fury fight in Lisbon thanks to the holiday I won on @heartradiouk  with @MarkWrig\xe2\x80\xa6'
