twitter_id,date,tweet
1542526268805206017,2022-06-30 15:11:35+00:00,b'RT @AppleMusic: Queen of Hip-Hop Soul @maryjblige takes #AppleMusicLive to NYC for one night only at the historic United Palace.\n\nSign up f\xe2\x80\xa6'
1537089454854348800,2022-06-15 15:07:38+00:00,b'Good Morning Gorgeous! I\xe2\x80\x99m hitting the road with @EllaMai and @QueenNaija for the Good Morning Gorgeous Tour presented by @Hologic. AMEX presale begins today for AMEX cardholders at 10AM. General on sale begins this Friday at 10AM. \xf0\x9f\x94\x97 in bio https://t.co/yg9OOMJvVu'
1528771769129177091,2022-05-23 16:16:07+00:00,b'Proud to be included in the 2022 #TIME100. Thank you @Nas!! \xf0\x9f\x93\xb8 by @micaiah_carter https://t.co/ctrHodktlm'
1525915157674659846,2022-05-15 19:04:58+00:00,"b'RT @BBMAs: .@tarajiphenson has a message for her close friend and our Icon Award recipient, @maryjblige!\xf0\x9f\x92\x96 Watch the #BBMAs TOMORROW at 8PM\xe2\x80\xa6'"
1525915129291808768,2022-05-15 19:04:51+00:00,"b'RT @BBMAs: .@djkhaled sends super love to the 2022 #BBMAs Icon Award recipient, @maryjblige! Tune in to the show TOMORROW at 8PM ET/5PM PT\xe2\x80\xa6'"
1525915104742559744,2022-05-15 19:04:45+00:00,"b'RT @BBMAs: A special message from @ellamai to our Icon, @maryjblige! \xe2\x9d\xa4\xef\xb8\x8f Watch the #BBMAs TOMORROW at 8PM ET/5PM PT on NBC and Peacock. #Ico\xe2\x80\xa6'"
1525915084161110016,2022-05-15 19:04:40+00:00,"b'RT @BBMAs: .@HERMusicx is grateful for the #BBMAs Icon, @maryjblige, and so are we! See the show TOMORROW at 8PM ET/5PM PT on NBC and Peaco\xe2\x80\xa6'"
1525915044797550593,2022-05-15 19:04:31+00:00,"b'RT @BBMAs: Incoming message from @KianaLede to our Icon, @maryjblige! \xf0\x9f\x93\xa9 Catch the #BBMAs TOMORROW at 8PM ET/5PM PT on NBC and Peacock. #Ico\xe2\x80\xa6'"
1525914946826997760,2022-05-15 19:04:08+00:00,b'RT @BBMAs: .@IAMQUEENLATIFAH shares her most cherished memory with @maryjblige before she receives the Icon Award TOMORROW! Tune in at 8PM\xe2\x80\xa6'
1525913737978204160,2022-05-15 18:59:19+00:00,b'RT @itsgabrielleu: THIS is how much I \xe2\x9d\xa4\xef\xb8\x8f @maryjblige'
