twitter_id,date,tweet
1546623003194187779,2022-07-11 22:30:33+00:00,b'@Bianca17737904 \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c'
1546622957908377600,2022-07-11 22:30:22+00:00,b'@onoriogurgel \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c'
1546622929487773696,2022-07-11 22:30:15+00:00,b'@acforever01 Hugs\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97'
1546622861602848768,2022-07-11 22:29:59+00:00,b'@AdamChrisStar Hugs \xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97'
1546622631973199872,2022-07-11 22:29:04+00:00,b'@StepIn2MyCipher Facts\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf'
1546622536917590019,2022-07-11 22:28:42+00:00,b'@Ransome_Note \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c'
1546622473554350087,2022-07-11 22:28:27+00:00,b'@SandraHudson84 \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c'
1546622446354272256,2022-07-11 22:28:20+00:00,b'@_jadorececexo \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c'
1546622422920617984,2022-07-11 22:28:15+00:00,b'@MissyDrip \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c'
1546621992736116738,2022-07-11 22:26:32+00:00,b'@illyGoat @JonoMGreaves \xf0\x9f\x98\x98\xf0\x9f\x92\x9c\xf0\x9f\x92\x99\xf0\x9f\x92\x9c'
