twitter_id,date,tweet
1125341644725915649,2019-05-06 10:08:50+00:00,"b'..\n\xd8\xa5\xd8\xaf\xd8\xb1\xd8\xa7\xd9\x83 #\xd8\xb1\xd9\x85\xd8\xb6\xd8\xa7\xd9\x86 \xd9\x81\xd8\xb6\xd9\x84\xd9\x8f \xd9\x88\xd8\xb1\xd8\xad\xd9\x85\xd8\xa9 \xd9\x8a\xd9\x85\xd9\x8f\xd9\x86 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd8\xa8\xd9\x87\xd8\xa7 \xd8\xb9\xd9\x84\xd9\x89 \xd9\x85\xd9\x86 \xd8\xb4\xd8\xa7\xd8\xa1 \xd9\x85\xd9\x86 \xd8\xb9\xd8\xa8\xd8\xa7\xd8\xaf\xd9\x87 ""\xd9\x82\xd9\x84 \xd8\xa8\xd9\x81\xd8\xb6\xd9\x84 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd9\x88\xd8\xa8\xd8\xb1\xd8\xad\xd9\x85\xd8\xaa\xd9\x87 \xd9\x81\xd8\xa8\xd8\xb0\xd9\x84\xd9\x83 \xd9\x81\xd9\x84\xd9\x8a\xd9\x81\xd8\xb1\xd8\xad\xd9\x88\xd8\xa7""\n.\n\xd9\x88\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xab\xd9\x85\xd8\xa7\xd8\xb1\xd9\x83 #\xd8\xb4\xd9\x87\xd8\xb1_\xd8\xb1\xd9\x85\xd8\xb6\xd8\xa7\xd9\x86 \xd8\xa8\xd8\xa7\xd9\x84\xd8\xb0\xd9\x90\xd9\x83\xd8\xb1\xd8\x8c \xd9\x88\xd8\xa7\xd9\x84\xd8\xaa\xd9\x84\xd8\xa7\xd9\x88\xd8\xa9\xd8\x8c \xd9\x88\xd8\xa7\xd9\x84\xd8\xaa\xd8\xb1\xd8\xa7\xd9\x88\xd9\x8a\xd8\xad\xd8\x8c \xd9\x88\xd8\xa7\xd9\x84\xd8\xb5\xd8\xaf\xd9\x82\xd8\xa9\xd8\x8c \xd9\x87\xd9\x88 \xd8\xb4\xd9\x83\xd8\xb1 \xd9\x84\xd9\x84\xd9\x87 \xd9\x88\xd8\xb7\xd9\x84\xd8\xa8 \xd9\x84\xd9\x85\xd8\xb2\xd9\x8a\xd8\xaf \xd9\x81\xd8\xb6\xd9\x84\xd9\x87 \xd9\x88\xd8\xb1\xd8\xad\xd9\x85\xd8\xaa\xd9\x87\n.\n\xd8\xa7\xd9\x84\xd9\x84\xd9\x87\xd9\x85 \xd8\xa7\xd8\xb4\xd9\x85\xd9\x84\xd9\x86\xd8\xa7 \xd8\xa8\xd8\xb1\xd8\xad\xd9\x85\xd8\xaa\xd9\x83\xd8\x8c\n\xd9\x88\xd8\xa7\xd8\xae\xd8\xaa\xd9\x85 \xd9\x84\xd9\x86\xd8\xa7 \xd8\xb4\xd9\x87\xd8\xb1 \xd8\xb1\xd9\x85\xd8\xb6\xd8\xa7\xd9\x86 \xd8\xa8\xd8\xb1\xd8\xb6\xd9\x88\xd8\xa7\xd9\x86\xd9\x83\n..'"
1078386294638682113,2018-12-27 20:25:02+00:00,b'..\n#\xd8\xa3\xd8\xb0\xd9\x83\xd8\xa7\xd8\xb1_\xd8\xa7\xd9\x84\xd9\x86\xd9\x88\xd9\x85\n.. https://t.co/83PtsECi4o'
1078374393854742531,2018-12-27 19:37:45+00:00,"b'..\n\n\xd9\x84\xd8\xb2\xd9\x85\xd9\x84\xd8\xa7\xd8\xa6\xd9\x8a \xd8\xa7\xd9\x84\xd8\xae\xd8\xb7\xd8\xa8\xd8\xa7\xd8\xa1 \xd8\xa8\xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85\n\xe2\x81\xa7#\xd8\xae\xd8\xb7\xd8\xa8\xd8\xa9_\xd9\x85\xd9\x82\xd8\xaa\xd8\xb1\xd8\xad\xd8\xa9\n""\xd9\x85\xd9\x86 \xd8\xa2\xd8\xaf\xd8\xa7\xd8\xa8 \xd8\xa7\xd9\x84\xd9\x86\xd8\xb5\xd9\x8a\xd8\xad\xd8\xa9""\n\xe2\x81\xa7#\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd9\x8a\xd9\x81\xd9\x8a\n\xd9\x84\xd9\x84\xd8\xaa\xd8\xad\xd9\x85\xd9\x8a\xd9\x84\n\xd9\x88\xd9\x88\xd8\xb1\xd8\xaf\nhttps://t.co/zvIiJxy5m7\nPdf\nhttps://t.co/TbmuIzGL9u\n..'"
1078351558218211328,2018-12-27 18:07:00+00:00,b'https://t.co/PD6raIW9H1'
1078311836800507906,2018-12-27 15:29:10+00:00,b'..\n\xd8\xa3\xd9\x8f\xd9\x87\xd9\x86\xd9\x91\xd8\xa6 \xd8\xa7\xd9\x84\xd8\xb1\xd8\xac\xd8\xa7\xd9\x84 \xd8\xa7\xd9\x84\xd9\x83\xd8\xb1\xd8\xa7\xd9\x85 \xd8\xa7\xd9\x84\xd8\xb0\xd9\x8a\xd9\x86 \xd8\xaa\xd9\x85 \xd8\xaa\xd8\xb9\xd9\x8a\xd9\x8a\xd9\x86\xd9\x87\xd9\x85 \xd8\xa8\xd8\xa7\xd9\x84\xd9\x80  #\xd8\xa7\xd9\x88\xd8\xa7\xd9\x85\xd8\xb1_\xd9\x85\xd9\x84\xd9\x83\xd9\x8a\xd8\xa9\n\n\xd9\x88\xd8\xa3\xd8\xb3\xd8\xa3\xd9\x84 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd8\xa3\xd9\x86 \xd9\x8a\xd8\xb9\xd9\x8a\xd9\x86\xd9\x87\xd9\x85 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xa7\xd9\x84\xd8\xae\xd9\x8a\xd8\xb1 \xd9\x88\xd9\x8a\xd8\xb3\xd8\xaf\xd8\xaf\xd9\x87\xd9\x85 \xd9\x88\xd9\x8a\xd9\x88\xd9\x81\xd9\x82\xd9\x87\xd9\x85\n\xd9\x88\xd9\x8a\xd8\xb4\xd9\x85\xd9\x84\xd9\x86\xd8\xa7 \xd9\x88\xd9\x88\xd9\x84\xd8\xa7\xd8\xa9 \xd8\xa3\xd9\x85\xd8\xb1\xd9\x86\xd8\xa7 \xd9\x88\xd8\xa7\xd9\x84\xd9\x85\xd8\xb3\xd9\x84\xd9\x85\xd9\x8a\xd9\x86 \xd8\xa8\xd9\x81\xd8\xb6\xd9\x84\xd9\x87 \xd9\x88\xd8\xa5\xd8\xad\xd8\xb3\xd8\xa7\xd9\x86\xd9\x87 \xd9\x88\xd9\x83\xd8\xb1\xd9\x85\xd9\x87 ..\n\n..'
1078298897104158720,2018-12-27 14:37:45+00:00,b'..\n\xd8\xa7\xd9\x84\xd8\xa7\xd9\x84\xd8\xaa\xd9\x81\xd8\xa7\xd8\xaa \xd8\xa8\xd8\xa7\xd9\x84\xd8\xb1\xd8\xa3\xd8\xb3 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xb5\xd9\x84\xd8\xa7\xd8\xa9 \xd9\x84\xd8\xad\xd8\xa7\xd8\xac\xd8\xa9 \xd8\xa3\xd9\x88 \xd8\xb6\xd8\xb1\xd9\x88\xd8\xb1\xd8\xa9 \xd8\xac\xd8\xa7\xd8\xa6\xd8\xb2\n\xd9\x83\xd8\xa7\xd9\x85\xd8\xb1\xd8\xa3\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xaa\xd9\x82\xd8\xaa\xd8\xaa \xd9\x84\xd8\xb1\xd8\xb6\xd9\x8a\xd8\xb9\xd9\x87\xd8\xa7\xd8\x8c \xd8\xa3\xd9\x88 \xd9\x85\xd8\xb5\xd9\x84\xd9\x8d \xd8\xa7\xd9\x84\xd8\xaa\xd9\x81\xd8\xaa \xd9\x84\xd8\xa7\xd8\xaa\xd9\x82\xd8\xa7\xd8\xa1 \xd8\xb6\xd8\xb1\xd8\xb1\n\n\xd9\x88\xd8\xa3\xd9\x85\xd8\xa7 \xd9\x85\xd9\x86 \xd8\xba\xd9\x8a\xd8\xb1 \xd8\xad\xd8\xa7\xd8\xac\xd8\xa9 \xd9\x81\xd9\x85\xd9\x83\xd8\xb1\xd9\x88\xd9\x87 \xd9\x8a\xd9\x86\xd9\x82\xd8\xb5 \xd8\xab\xd9\x88\xd8\xa7\xd8\xa8 \xd8\xa7\xd9\x84\xd8\xb5\xd9\x84\xd8\xa7\xd8\xa9\n.. https://t.co/BEyPlfLuS8'
1078275622349225986,2018-12-27 13:05:16+00:00,b'RT @MohamadAlarefe: \xd8\xaa\xd8\xb9\xd8\xb1\xd9\x8e\xd9\x91\xd9\x81 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xb9\xd9\x84\xd8\xa7\xd9\x82\xd8\xa9 \xd8\xa2\xd9\x84 \xd8\xa7\xd9\x84\xd8\xa8\xd9\x8a\xd8\xaa \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb7\xd9\x87\xd8\xa7\xd8\xb1 \xd8\xa8\xd8\xa3\xd8\xa8\xd9\x8a \xd8\xa8\xd9\x83\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xb5\xd8\xaf\xd9\x8a\xd9\x82 \xd8\xb1\xd8\xb6\xd9\x8a \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd8\xb9\xd9\x86\xd9\x87\n\xd9\x88\xd8\xb9\xd9\x84\xd9\x89 \xd8\xb1\xd8\xa3\xd8\xb3\xd9\x87\xd9\x85 \xd8\xa3\xd9\x85\xd9\x8a\xd8\xb1 \xd8\xa7\xd9\x84\xd9\x85\xd8\xa4\xd9\x85\xd9\x86\xd9\x8a\xd9\x86 \xd8\xb9\xd9\x84\xd9\x8a \xd8\xa8\xd9\x86 \xd8\xa3\xd8\xa8\xd9\x8a \xd8\xb7\xd8\xa7\xd9\x84\xd8\xa8 \xd8\xb1\xd8\xb6\xd9\x8a \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd8\xb9\xd9\x86\xd9\x87\n\nh\xe2\x80\xa6'
1078204743535726592,2018-12-27 08:23:37+00:00,"b'..\n\xd8\xa5\xd8\xb0\xd8\xa7 \xd8\xa3\xd9\x82\xd9\x8a\xd9\x85\xd8\xaa \xd8\xa7\xd9\x84\xd8\xb5\xd9\x84\xd8\xa7\xd8\xa9\n\xd9\x88\xd8\xa7\xd9\x84\xd9\x85\xd8\xa3\xd9\x85\xd9\x88\xd9\x85 \xd9\x8a\xd8\xb5\xd9\x84\xd9\x8a \xd9\x86\xd8\xa7\xd9\x81\xd9\x84\xd8\xa9\n\xd9\x81\xd9\x8a\xd8\xaa\xd9\x85\xd9\x87\xd8\xa7 \xd8\xae\xd9\x81\xd9\x8a\xd9\x81\xd8\xa9 \xd9\x84\xd9\x8a\xd9\x84\xd8\xad\xd9\x82 \xd8\xaa\xd9\x83\xd8\xa8\xd9\x8a\xd8\xb1\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xa5\xd8\xad\xd8\xb1\xd8\xa7\xd9\x85 \xd9\x85\xd8\xb9 \xd8\xa7\xd9\x84\xd8\xa5\xd9\x85\xd8\xa7\xd9\x85\n.\n\xd9\x82\xd8\xa7\xd9\x84 \xef\xb7\xba :\n""\xd8\xa5\xd8\xb0\xd8\xa7 \xd8\xa3\xd9\x82\xd9\x8a\xd9\x85\xd8\xaa \xd8\xa7\xd9\x84\xd8\xb5\xd9\x84\xd8\xa7\xd8\xa9 \xd9\x81\xd9\x84\xd8\xa7 \xd8\xb5\xd9\x84\xd8\xa7\xd8\xa9 \xd8\xa5\xd9\x84\xd8\xa7 \xd8\xa7\xd9\x84\xd9\x85\xd9\x83\xd8\xaa\xd9\x88\xd8\xa8\xd8\xa9""\n\xd8\xb1\xd9\x88\xd8\xa7\xd9\x87 \xd9\x85\xd8\xb3\xd9\x84\xd9\x85\n\n.. https://t.co/VwVEqhy2JW'"
1078180569995976705,2018-12-27 06:47:34+00:00,b'..\n\xd9\x86\xd9\x81\xd8\xb9 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd8\xa8\xd9\x83 \xd9\x8a\xd8\xa7 \xd9\x88\xd9\x84\xd8\xaf\xd9\x8a \xd9\x85.\xd8\xb9\xd8\xa8\xd8\xaf\xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd8\xa7\xd9\x84\xd8\xad\xd8\xb1\xd8\xa8\xd9\x8a ..\n@EngAlharbi https://t.co/7XPerO5qtp'
1078138400920592384,2018-12-27 04:00:00+00:00,b'https://t.co/w7f60LnmzO'
