twitter_id,date,tweet
1546068456176590848,2022-07-10 09:46:59+00:00,b'@1976Eviction There\xe2\x80\x99s no \xe2\x80\x98probably\xe2\x80\x99 about it.'
1546068006048092163,2022-07-10 09:45:11+00:00,"b'@opposite_bob Historical, possibly.'"
1546051025555144705,2022-07-10 08:37:43+00:00,"b'Last night, I found a box full of stories I wrote (and illustrated) between the ages of five and 12. Fascinating reading. Burned the lot.'"
1545712519876050944,2022-07-09 10:12:37+00:00,b'@77Franscois It\xe2\x80\x99s coming.'
1545711672425385985,2022-07-09 10:09:15+00:00,"b'@oldtimer515 The hammer, used with discretion, is a more creative tool, though to many its use transforms the finest repouss\xc3\xa9 into nothing more than a nail.'"
1545314833045880832,2022-07-08 07:52:21+00:00,"b'@Penelily12 I usually put it in my mouth, but sometimes all over my face.'"
1545313821513981955,2022-07-08 07:48:20+00:00,b'@oldtimer515 Of course.'
1545307805963493378,2022-07-08 07:24:26+00:00,b'@ridesandskis Bought about 10 years ago.'
1545053798694981633,2022-07-07 14:35:05+00:00,b'@ridesandskis Question unclear.'
1545053524114870275,2022-07-07 14:34:00+00:00,b'@Mikolaitis2 @JeremyClarkson No. We\xe2\x80\x99re all baffled as well.'
1545053324075929602,2022-07-07 14:33:12+00:00,b'@DukeMidSodor James is better.'
1545052791172870146,2022-07-07 14:31:05+00:00,b'@BrianBoake Jeans and an old T-shirt with a motorbike on it.'
1544653011070459907,2022-07-06 12:02:30+00:00,b'@thegrandtour @gkbarryx I cannot escape the cheese.'
1544652321098973185,2022-07-06 11:59:46+00:00,b'@garretwd They fell off the back of my bike. Information lost.'
1544578045306179584,2022-07-06 07:04:37+00:00,b'@garretwd Which ones?'
1544577632385236992,2022-07-06 07:02:59+00:00,b'@RevRichardColes Say NO to tagged tea bags.'
1544187059983863808,2022-07-05 05:10:59+00:00,b'@gjbrooks Thanks.'
1543981733997154304,2022-07-04 15:35:05+00:00,b'@geder5 @JeremyClarkson @RichardHammond Looks like a car.'
1541656176907239425,2022-06-28 05:34:09+00:00,b'@NickFarrant1 @thegrandtour It\xe2\x80\x99s in my bunker.'
1539481563108413440,2022-06-22 05:33:01+00:00,"b'@MrMaxRuse @jamesmaygin Was a gift, I think from the Conran.'"
1538574302143995906,2022-06-19 17:27:53+00:00,"b'@NamusWattus I\xe2\x80\x99d love to say yes, but\xe2\x80\xa6'"
1538400786425729028,2022-06-19 05:58:24+00:00,b'@Globex7Mark I had a trumpet back then. That sticker was very depressing.'
1538165335530082304,2022-06-18 14:22:48+00:00,b'Deep joy. I just discovered that the protective film was still in place on the control panel of our washing machine. Peeled it off. \n#RockAndRollWillNeverDie'
1538093035648651266,2022-06-18 09:35:30+00:00,"b'@JasmineRiga @thegrandtour S\xc3\xac, ma non sulla mia bicicletta, spiacente; bens\xc3\xac sul treno.'"
1538091836832620544,2022-06-18 09:30:44+00:00,"b'@oldtimer515 Yes, it\xe2\x80\x99s linear, and moves you.'"
1537503519946817543,2022-06-16 18:32:59+00:00,b'@IcaRosaNera @primevideouk Sono anche felice di essere li (?).'
1537503048536403969,2022-06-16 18:31:06+00:00,"b'@christhefuzzz @primevideouk \xc3\x89 tornato, grazie all\xe2\x80\x99Italia.'"
1537475938782412800,2022-06-16 16:43:23+00:00,"b'It\xe2\x80\x99s here! (It\xe2\x80\x99s actually next month, but you know what I mean)\n\xe2\x81\xa6@primevideouk\xe2\x81\xa9 https://t.co/oWW7UTpZKj'"
1537093758482776073,2022-06-15 15:24:44+00:00,b'@thegrandtour I can\xe2\x80\x99t spot myself in the fourth one among all those other saints.'
1536631653585637377,2022-06-14 08:48:30+00:00,"b'Despite what some of you are saying, I do NOT look like Brian May, Robert Plant, or Billy Connolly. They are outstanding, high-achieving men and you should have more respect.'"
1536630604380487681,2022-06-14 08:44:19+00:00,b'@alexander_ward @cargohauler I bought it from Halfords.'
1536562727585558528,2022-06-14 04:14:36+00:00,b'@cargohauler Explain?'
1536559775890251776,2022-06-14 04:02:53+00:00,b'@HuskyAuntie Thanks. I am.'
1535999107902410753,2022-06-12 14:54:59+00:00,b'@bubba_leeroy @Turk_306 @TinaHarley883 I\xe2\x80\x99ve never mentioned my \xe2\x80\x98root part\xe2\x80\x99.'
1535951769422946305,2022-06-12 11:46:53+00:00,"b'@manlikeslatt \xc3\x89 la mia giacca Italiana, e bella.'"
1535950760697020416,2022-06-12 11:42:52+00:00,b'Handy guide to looking like a bit of a nob.\n\nhttps://t.co/xMd4C52XSW'
1535612823509667841,2022-06-11 13:20:02+00:00,"b'@SkiverMacIver You clearly didn\xe2\x80\x99t hear him speak on the Yammy Fizzie. The subject demands knowledge, authority, and huge exaggeration.'"
1535608080884449282,2022-06-11 13:01:11+00:00,b'@paulfrost_me No. Not in a \xe2\x80\x98top\xe2\x80\x99.'
1535227837833269249,2022-06-10 11:50:14+00:00,b'@MickMcDermott10 No. Especially when asked by a copper.'
1535215047097651200,2022-06-10 10:59:24+00:00,b'This was a fascinating discussion. Especially the bit about myths and legends (of the Yamaha FS1E).\n\nhttps://t.co/Xge1T7PwmI'
1535173832616599553,2022-06-10 08:15:38+00:00,"b'@RevRichardColes @niki_perkins @FaneProductions Pubs last, I\xe2\x80\x99d suggest.'"
1534431246557794305,2022-06-08 07:04:52+00:00,b'@Portland_Beer @RobertPlant He hopes not.'
1533684841178333186,2022-06-06 05:38:55+00:00,b'@XxKeaton662 It was me.'
1533027593062125576,2022-06-04 10:07:15+00:00,b'A crow was doing 38mph on the approach to a roundabout.\n#Speedofbirds'
