twitter_id,date,tweet
1541809862304100352,2022-06-28 15:44:51+00:00,b'This is what I wake up to every morning. https://t.co/QzluMi816P'
1541452672984924161,2022-06-27 16:05:30+00:00,"b'If you liked it, then you should\xe2\x80\x99ve put a ring on it. https://t.co/GqadrWlCXu'"
1538542913193275393,2022-06-19 15:23:09+00:00,b'Just posted a photo https://t.co/2cSXHXWaJm'
1535940934545858560,2022-06-12 11:03:49+00:00,b'Just posted a photo https://t.co/QrvPyyeERn'
1535895387994836992,2022-06-12 08:02:50+00:00,"b'#worldginday was yesterday. I forgot to post because gin reasons. Happy Belated. (@bettybuzz not pictured, but was pitchered). https://t.co/wl77JhqPAM'"
1535319885152194560,2022-06-10 17:56:00+00:00,b'Where am I? Hint- There\xe2\x80\x99s a great ice cream spot nearby. https://t.co/E1jMfAPqyf'
1534956689463595009,2022-06-09 17:52:47+00:00,b'Where am I? https://t.co/2Z6FhE7A7H'
1534579222936801281,2022-06-08 16:52:52+00:00,b'Where am I? https://t.co/rMZmcLHStC'
1534505208641822721,2022-06-08 11:58:46+00:00,b'Just posted a photo https://t.co/CYnxCTbdMT'
1533343582676983809,2022-06-05 07:02:52+00:00,b'Guns and Roses are the only guns I like. #portugal https://t.co/sIo9vU1axY'
1533099400221843456,2022-06-04 14:52:35+00:00,b'Things are looking up. #portugal https://t.co/vDm143jTtr'
1533055012066275330,2022-06-04 11:56:12+00:00,b'Emulating the first ever photobomb. #portugal I found this tour to be fascinating and educational. I find my friends to be hilarious. https://t.co/QtEJgw3y70'
1532992496900390914,2022-06-04 07:47:47+00:00,b'Got a chance to visit with the very lovely and extremely talented @danielamelchior last night. She gently informed me that TDK doesn\xe2\x80\x99t stand for The Dark Knight. #thesuicidesquad #ratcatcher2 #TDK https://t.co/cIH9UxbHbh'
1532757309780369409,2022-06-03 16:13:14+00:00,b'This has been an inspiring day. #streetart https://t.co/52BJTj5SRq'
1532722093305085952,2022-06-03 13:53:18+00:00,b'One man\xe2\x80\x99s trash panda is another man\xe2\x80\x99s street art. This tour is incredible. #lisbonportugal https://t.co/QqAnQoBWDU'
1532685331933315074,2022-06-03 11:27:13+00:00,b'Guess where we are. https://t.co/hTxvnWMXC7'
1532348010084065282,2022-06-02 13:06:49+00:00,b'Guess where I am. #notporto https://t.co/1XtgJeh6m2'
1532283350492364800,2022-06-02 08:49:53+00:00,"b'Ah, Porto. What a lovely place you are. Your people are kind and welcoming, your architecture is tremendous, your hotels are haunted, and your sidewalks are bumpy. Thank you for your hospitality. I\xe2\x80\x99ll be back. https://t.co/Dh7wCo8m4Z'"
1532071304324476928,2022-06-01 18:47:18+00:00,b'Guess where I am. https://t.co/JJTq1B5p5Q'
1531916916616531970,2022-06-01 08:33:49+00:00,"b'Guess where I am. Or, was. I\xe2\x80\x99m not there anymore. https://t.co/SGEOQS3ig9'"
1531359068819886080,2022-05-30 19:37:07+00:00,b'Guess the airport. https://t.co/30Hu3vKN77'
1527648316720300038,2022-05-20 13:51:55+00:00,b'Just posted a photo https://t.co/ueDqqEb9Eg'
1520389101521883136,2022-04-30 13:06:23+00:00,"b'Me and the dog, comparing injured toes. Turns out, her toe injury was emotional, not physical. She feels better, now. https://t.co/HMuZI0n4aw'"
1519756397939986436,2022-04-28 19:12:15+00:00,"b'We found Delish to be delightful, once we got derictions from deguy at degrocery store. https://t.co/WAQOFHoB2Y'"
