twitter_id,date,tweet
1536304048898338816,2022-06-13 11:06:43+00:00,b'@KeyJayandMax them wasn\xe2\x80\x99t that bad @maxkellerman just wasn\xe2\x80\x99t new .. but you only got about 1or2 more wears out ..\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1523072424505331712,2022-05-07 22:48:57+00:00,b'RT @morrayda1: https://t.co/gPsGV9tPk2. Out now a song for the Queen that brought you in this world love you ma\xe2\x99\xa5\xef\xb8\x8f'
1470196634529185792,2021-12-13 00:59:27+00:00,b'The @NFL should be ashamed of themselves.. they act like we wasn\xe2\x80\x99t watching.. that was blatant..!!! \nI LOVE THE GOAT 2..!!! BUT THAT WAS BULLSHITT..!!! Right is Right Bro..!!\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1445615553645723656,2021-10-06 05:03:00+00:00,b'RT @_Sweeze: If you know me you know I fucked wit Nelly heavy! I damn near was a st. lunatic \xf0\x9f\x98\x82'
1445615502491938817,2021-10-06 05:02:48+00:00,"b'RT @divinejanai: Thank you so much  #BETHipHopAwards for giving Nelly his flowers!\n\nSincerely,\n\nAn STL girl #314'"
1445615484192190471,2021-10-06 05:02:44+00:00,b'RT @DJBlayZ_JT: Nelly ripped the stage in half!!!!\n2021 BET AWARDS'
1445615423202873346,2021-10-06 05:02:29+00:00,b'RT @LakiaraLashaa__: Nelly so fine I watched the awards twice'
1445615364579094530,2021-10-06 05:02:15+00:00,b'RT @North2013: Thank you Nelly for my Elementary and Middle School Years #HipHopAwards #BETHipHopAwards https://t.co/u59Z4wWGaE'
1445615334086512644,2021-10-06 05:02:08+00:00,b'RT @sbestx_: Nelly is very attractive. Jesus Christ. #HipHopAwards https://t.co/XBbRz7xP8I'
1445615286988652544,2021-10-06 05:01:57+00:00,b'RT @Wayno119: Nelly a fucking legend'
1445615270538579977,2021-10-06 05:01:53+00:00,b'RT @BlaQueChic83: #BETHipHopAwards Nelly got my whole house like........ https://t.co/GMAS19zObI'
1445615152317931527,2021-10-06 05:01:25+00:00,b'RT @sylviamphofe: Among several things the streets saying Nelly is single #HipHopAwards https://t.co/SCrYUvMHxM'
1445615096206532610,2021-10-06 05:01:11+00:00,b'RT @EdnaLeroy: Exactly \xf0\x9f\x97\xa3 Nelly\xe2\x80\x99s performance was the best of the night \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 #HipHopAwards https://t.co/9vCcbcH945'
1445615065680396288,2021-10-06 05:01:04+00:00,b'RT @xoxoaug: Nelly so damn FINEEEE! Should\xe2\x80\x99ve gave him a FINE ASS MAN AWARD \xf0\x9f\x98\x8b\xf0\x9f\x98\x82 #BETHipHopAwards'
1445615028506279938,2021-10-06 05:00:55+00:00,b'RT @Oxy_Tocin_: Nelly ain\xe2\x80\x99t gotta be that damn fine Chile \xe2\x80\xa6 #HipHopAwards https://t.co/1KNT31cTu2'
1445614912202412039,2021-10-06 05:00:27+00:00,b'RT @TheNinoLife: The way this man has preserved himself \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x80\xa6he needs an award just for that \xf0\x9f\x98\x82 #Nelly #HipHopAwards https://t.co/dKPCOrRWpj'
1445614848998457345,2021-10-06 05:00:12+00:00,b'RT @Mz_KellieBaby: Nelly\xe2\x80\xa6\xe2\x80\xa6.#HipHopAwards sheesh https://t.co/DGAnwfZ6nV'
1445614777493950472,2021-10-06 04:59:55+00:00,"b""RT @BET: Congrats @nelly_mo on being this year's I Am Hip Hop Honoree! #HipHopAwards \xf0\x9f\x8f\x86 https://t.co/WSkHMl2aBg"""
1445614716504604683,2021-10-06 04:59:41+00:00,b'RT @BET: .@Nelly_mo is taking us back with ALL of his \nclassics! \xf0\x9f\x94\xa5 \xf0\x9f\x94\xa5  #HipHopAwards https://t.co/2yFkEqDE9d'
1445614673311662085,2021-10-06 04:59:30+00:00,"b'RT @STRAPPEDUS: Nelly, Young Thug &amp; Gunna hanging out at the BET Awards \xf0\x9f\x92\x9a https://t.co/Gn2csbAivk'"
1445614629569191939,2021-10-06 04:59:20+00:00,b'RT @TreySongz: Nelly killin shit! This is dope'
1440175529772998669,2021-09-21 04:46:18+00:00,"b""Nelly To Receive 'I Am Hip Hop' Award at 2021 BET Hip Hop Awards | Entertainment Tonight https://t.co/aQAnk58W53"""
1440017163465764864,2021-09-20 18:17:00+00:00,b'Nelly To Receive \xe2\x80\x9cI Am Hip Hop\xe2\x80\x9d Award During 2021 BET Hip Hop Awards \xe2\x80\x93 https://t.co/LXBfNVip76 https://t.co/TmWoqc4zsQ'
1436974566442741770,2021-09-12 08:46:48+00:00,"b'RT @jermainedupri: The newest member of #JDsvegan Army @Nelly_Mo,Bobs face should tell you everything #vgang \xf0\x9f\x8c\xb1\xf0\x9f\x8c\xb1 https://t.co/gATqOHKbYA'"
1436974363312545794,2021-09-12 08:46:00+00:00,b'RT @Thrillist: You can now get @Nelly_Mo go-to Burger King order for $6. https://t.co/Ibdp8fOKgn'
1436974333910519809,2021-09-12 08:45:53+00:00,b'RT @PCG7: @ComplexMusic @Nelly_Mo GOAT \xf0\x9f\x90\x90'
1436974284669440002,2021-09-12 08:45:41+00:00,"b'RT @NME: ""@TPain is one of the most underrated artists, period\xe2\x80\x9d \xe2\x80\x93 @Nelly_Mo https://t.co/gWuYuozuJW'"
1436974212590325760,2021-09-12 08:45:24+00:00,"b""RT @onmilwaukee: The power of positivity fuels @Nelly_Mo's enthusiastic @Summerfest set https://t.co/NJPTwPDdiU https://t.co/0xpBcM4z3A"""
1436152792515850251,2021-09-10 02:21:22+00:00,"b'Burger King has 3 new celebrity meals: Nelly, Anitta, Lil Huddy https://t.co/KjkH59XT2e'"
