twitter_id,date,tweet
1267047357843042305,2020-05-31 10:56:45+00:00,"b'nildenvideolar hatirlatti, bogazici caz korosuyla kanatlanmisiz ne guzel\xf0\x9f\x92\xab https://t.co/iAxIFCqLXG'"
1266437738984865792,2020-05-29 18:34:20+00:00,"b'\xe2\x80\x98ozluyorum\xe2\x80\x99 artik spotify ve butun dijital platformlarda. valentina\xe2\x80\x99nin da bizim de karantinalarimiz artik yavas yavas son bulurken, bugunlerin anisi olarak calsin istedim. nurkanrenda @ersonmezalp @ezgi_ozkan\xf0\x9f\x92\x95 https://t.co/5P3YU0Mc7S'"
1264185247001870336,2020-05-23 13:23:44+00:00,"b'yine oturdum her \xc5\x9feyi @armanayse\xe2\x80\x99ye anlatt\xc4\xb1m. yeni hayat\xc4\xb1m\xc4\xb1, karantinam\xc4\xb1, aziz arifimi, serdar\xc4\xb1m\xc4\xb1, nilimi ve karaibrahimgil\xe2\x80\x99li nili. yar\xc4\xb1n. foto\xc4\x9fraflar da ba\xc5\x9fka bir ay\xc5\x9fe,kom\xc5\x9fum dostum can\xc4\xb1m aysekayaphotofilm.\xe2\x80\xa6 https://t.co/IqXFusTYGW'"
1262723495106162688,2020-05-19 12:35:16+00:00,b'ovunmek icin degil ama saklamak icin koyuyorum buraya. dinceloji \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xe2\x99\xa5\xef\xb8\x8ffikirperestdergi https://t.co/fMQscXBJd2'
1262051439280611331,2020-05-17 16:04:45+00:00,b'ayni anda kucucuk kalmayi ve kocaman olmayi da ozledim. #lefkeavrupa\xc3\xbcniversitesi nildenvideolar #gecenyilbugun https://t.co/kq644HhIMQ'
1261376690413899776,2020-05-15 19:23:32+00:00,b'story time with @tanjubabacan @turkiye_mtd https://t.co/HoJLJG50Ki'
1257207775417044992,2020-05-04 07:17:46+00:00,"b'Kintsugi: K\xc4\xb1r\xc4\xb1klara alt\xc4\xb1n tozu. Hani \xc5\x9fark\xc4\xb1da diyo ya: \xe2\x80\x98Bazen de tam ortadan k\xc4\xb1r\xc4\xb1lmay\xc4\xb1/ yere d\xc3\xbc\xc5\x9fen camlar gibi da\xc4\x9f\xc4\xb1lmay\xc4\xb1\xe2\x80\x99 diye. \xc4\xb0\xc5\x9fte tam o oldu\xc4\x9funda \xe2\x80\x98kintsugi\xe2\x80\x99. Hani, \xe2\x80\x98yok geri birle\xc5\x9femeyece\xc4\x9fim art\xc4\xb1k\xe2\x80\x99 dedi\xc4\x9fimizde.\xe2\x80\xa6 https://t.co/8m6X04HwJH'"
1256145914533724161,2020-05-01 08:58:18+00:00,b'haydi biz de tutalim ellerinden o kucuklerin. bagis icin link profilimde. @tevkurumsal https://t.co/mCFMDOPKrO'
1255540620455804928,2020-04-29 16:53:05+00:00,"b'nasil severim bunu, cok tesekkurler kazablanka\xe2\x80\x99yi hatirlattigin icin nildenvideolar. pelin_kirca ne harika cizip oynatmistin\xe2\x9c\xa8bulent uludag sen ne guzel muziklendirmistin\xf0\x9f\x92\xab https://t.co/wzM0b8WxQl'"
1255438933896441856,2020-04-29 10:09:01+00:00,"b'evet...gelecek yazlarin umuduna yazilmis sarki\xf0\x9f\x98\x8c#Repost deezerturkey\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nGelecek yazlar\xc4\xb1n umuduna yaz\xc4\xb1lm\xc4\xb1\xc5\x9f yeni bir \xc5\x9fark\xc4\xb1, Nil Karaibrahimgil\'den ""Sak\xc4\xb1z Adas\xc4\xb1"" \xc5\x9fimdi Deezer\'da. \xf0\x9f\x8f\x9d Dinlemek i\xc3\xa7in link bio\'da. @niltakipte\xe2\x80\xa6 https://t.co/XcGVVWSghi'"
